INEGI. IX Censo Ejidal 2007,,,,,,,,,,
Ejidos y comunidades segun tipo de organizacion o asociacion,,,,,,,,,,cuadro 32
por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_total, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_asociacion_rural_de_interes_colectivo, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_union_de_ejidos_y_comunidades_agrarias, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_grupos_para_la_produccion, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_sociedades_de_produccion_rural, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_sociedades_de_solidaridad_social, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_sociedades_mercantiles, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_otras_formas_de_asociacion,sin_formas_de_organizacion_o_asociacion
Tumbala,24,9,1,0,4,4,3,0,5,15
Tuxtla Gutierrez,6,1,0,0,0,0,0,0,1,5
Tuxtla Chico,7,3,0,3,0,0,0,0,0,4
Tuzantan,16,7,1,4,4,2,0,0,0,9
Tzimol,18,6,0,4,2,0,0,1,0,12
Union Juarez,12,9,0,8,1,1,1,0,1,3
Venustiano Carranza,41,9,0,4,3,4,0,0,1,32
Villa Corzo,71,19,2,5,11,10,4,0,2,52
Villaflores,67,34,1,9,29,17,3,1,2,33
Yajalon,8,2,2,0,1,1,1,0,0,6
San Lucas,C,C,0,0,0,0,0,0,0,C
Zinacantan,6,0,0,0,0,0,0,0,0,6
San Juan Cancuc,C,C,0,0,1,0,0,0,0,C
Aldama,C,C,0,0,0,0,0,0,0,C
Benemerito de las Americas,14,4,0,0,3,1,1,1,1,10
Maravilla Tenejapa,33,7,0,6,2,0,0,0,0,26
Marques de Comillas,23,14,1,2,11,5,5,1,3,9
Montecristo de Guerrero,5,2,0,0,2,1,1,0,0,3
San Andres Duraznal,5,0,0,0,0,0,0,0,0,5
Santiago el Pinar,C,C,0,0,0,0,0,0,0,C
Chihuahua,987,371,64,255,82,23,13,4,18,616
Ahumada,24,5,2,2,2,4,1,0,0,19
Aldama,24,15,4,10,4,0,0,0,0,9
Allende,21,7,4,2,3,0,2,0,0,14
Aquiles Serdan,C,C,1,0,0,0,0,0,0,C
Ascension,21,8,1,8,0,1,0,0,0,13
Bachiniva,11,3,0,2,0,0,1,0,0,8
Balleza,20,12,3,3,11,0,1,0,0,8
Batopilas,12,12,0,12,0,0,0,0,0,0
Bocoyna,26,5,1,3,1,1,0,0,0,21
Buenaventura,9,4,1,1,0,0,0,0,2,5
Camargo,24,1,0,0,1,0,0,0,0,23
Carichi,23,0,0,0,0,0,0,0,0,23
Casas Grandes,13,4,0,3,0,1,0,0,1,9
Coronado,6,1,0,0,0,1,0,0,0,5
Coyame del Sotol,12,3,0,0,1,1,1,0,0,9
La Cruz,5,1,0,1,0,0,0,0,0,4
Cuauhtemoc,26,9,0,9,3,0,0,0,0,17
Cusihuiriachi,21,2,1,0,1,1,0,0,0,19
Chihuahua,47,1,0,0,1,0,0,0,0,46
Chinipas,16,6,3,3,0,0,0,0,0,10
Delicias,4,2,0,1,1,0,0,0,1,2
Dr. Belisario Dominguez,9,0,0,0,0,0,0,0,0,9
Galeana,4,4,0,2,1,0,0,1,0,0
Santa Isabel,8,1,0,0,1,0,0,0,0,7
Gomez Farias,7,2,0,0,2,1,0,0,0,5
Gran Morelos,10,0,0,0,0,0,0,0,0,10
Guachochi,26,7,4,4,2,1,1,0,1,19
Guadalupe,7,3,0,3,1,0,0,0,0,4
Guadalupe y Calvo,45,29,3,27,2,0,0,0,0,16
Guazapares,11,5,1,4,0,0,1,0,0,6
Guerrero,50,19,3,10,10,0,1,1,4,31
Hidalgo del Parral,12,0,0,0,0,0,0,0,0,12
Huejotitan,8,0,0,0,0,0,0,0,0,8
Ignacio Zaragoza,4,4,0,4,0,0,0,0,0,0
Janos,14,4,0,4,0,0,0,0,0,10
Jimenez,53,37,0,25,14,2,0,0,2,16
Juarez,10,5,1,5,2,2,0,0,0,5
Julimes,6,5,4,0,1,0,0,0,1,1
