INEGI. IX Censo Ejidal 2007,,,,,,,,,,
Ejidos y comunidades segun tipo de organizacion o asociacion,,,,,,,,,,cuadro 32
por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_total, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_asociacion_rural_de_interes_colectivo, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_union_de_ejidos_y_comunidades_agrarias, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_grupos_para_la_produccion, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_sociedades_de_produccion_rural, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_sociedades_de_solidaridad_social, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_sociedades_mercantiles, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_otras_formas_de_asociacion,sin_formas_de_organizacion_o_asociacion
Villa de Etla,C,C,0,0,0,0,0,0,0,C
San Pedro y San Pablo Teposcolula,7,0,0,0,0,0,0,0,0,7
San Pedro y San Pablo Tequixtepec,8,2,1,0,1,0,1,0,0,6
San Pedro Yucunama,C,C,0,0,1,0,0,0,0,C
San Raymundo Jalpan,C,C,0,0,0,0,0,0,0,C
San Sebastian Abasolo,C,C,1,0,1,1,1,0,0,C
San Sebastian Coatlan,C,C,0,0,0,0,0,0,0,C
San Sebastian Ixcapa,7,7,0,7,0,0,0,0,0,0
San Sebastian Nicananduta,C,C,0,0,1,0,0,0,0,C
San Sebastian Rio Hondo,4,0,0,0,0,0,0,0,0,4
San Sebastian Tecomaxtlahuaca,3,1,0,1,0,0,0,0,0,2
San Sebastian Teitipac,C,C,0,0,0,0,0,0,0,C
San Sebastian Tutla,C,C,0,0,0,0,0,0,0,C
San Simon Almolongas,C,C,0,0,0,0,0,0,0,C
San Simon Zahuatlan,C,C,0,0,0,0,0,0,0,C
Santa Ana,C,C,0,1,0,0,0,0,0,C
Santa Ana Cuauhtemoc,C,C,0,0,0,0,0,0,0,C
Santa Ana del Valle,C,C,0,0,0,0,0,0,0,C
Santa Ana Tavela,C,C,0,1,1,0,0,0,0,C
Santa Ana Tlapacoyan,C,C,0,0,1,0,0,0,0,C
Santa Ana Yareni,C,C,0,0,0,0,0,0,0,C
Santa Ana Zegache,C,C,0,0,0,0,0,0,0,C
Santa Catalina Quieri,C,C,0,0,0,0,0,0,0,C
Santa Catarina Cuixtla,C,C,0,0,0,0,0,0,0,C
Santa Catarina Ixtepeji,C,C,0,0,0,0,0,0,0,C
Santa Catarina Juquila,6,2,0,1,1,1,0,0,0,4
Santa Catarina Lachatao,C,C,0,1,1,0,1,0,0,C
Santa Catarina Loxicha,C,C,0,1,0,0,0,0,0,C
Santa Catarina Mechoacan,C,C,0,0,1,0,0,0,0,C
Santa Catarina Minas,C,C,0,0,0,0,0,0,0,C
Santa Catarina Quiane,C,C,0,0,0,0,0,0,0,C
Santa Catarina Tayata,C,C,0,1,1,0,0,0,0,C
Santa Catarina Ticua,C,C,0,0,1,0,0,0,0,C
Santa Catarina Yosonotu,C,C,0,0,0,0,0,0,0,C
Santa Catarina Zapoquila,3,0,0,0,0,0,0,0,0,3
Santa Cruz Amilpas,C,C,0,0,0,0,0,0,0,C
Santa Cruz Itundujia,C,C,1,1,1,2,1,0,0,C
Santa Cruz Mixtepec,4,1,0,0,0,1,0,0,0,3
Santa Cruz Nundaco,C,C,0,0,0,0,0,0,0,C
Santa Cruz Papalutla,C,C,0,0,1,0,0,0,0,C
Santa Cruz Tacache de Mina,C,C,0,0,0,0,0,0,0,C
Santa Cruz Tacahua,C,C,0,0,0,0,0,0,0,C
Santa Cruz Tayata,C,C,0,0,0,0,0,0,1,C
Santa Cruz Xitla,C,C,0,0,1,0,1,0,0,C
Santa Cruz Xoxocotlan,5,0,0,0,0,0,0,0,0,5
Santa Cruz Zenzontepec,C,C,0,0,0,0,0,0,0,C
Santa Gertrudis,5,1,0,1,0,0,0,0,0,4
Santa Ines del Monte,C,C,0,0,0,0,0,0,0,C
Santa Lucia del Camino,C,C,0,0,0,0,0,0,0,C
Santa Lucia Miahuatlan,C,C,0,1,0,0,0,0,0,C
Santa Lucia Monteverde,4,3,0,1,2,3,0,0,1,1
Santa Lucia Ocotlan,C,C,0,0,0,0,0,0,0,C
Santa Maria Alotepec,3,3,0,0,3,0,0,0,0,0
Santa Maria Apazco,C,C,0,0,0,0,0,0,0,C
Heroica Ciudad de Tlaxiaco,8,0,0,0,0,0,0,0,0,8
Ayoquezco de Aldama,C,C,0,0,1,1,0,0,0,C
Santa Maria Atzompa,C,C,0,0,0,0,0,0,0,C
Santa Maria Camotlan,C,C,0,0,0,1,0,0,0,C
Santa Maria Colotepec,C,C,0,0,1,0,0,1,0,C
Santa Maria Cortijo,C,C,0,0,0,0,0,0,1,C
Santa Maria Coyotepec,C,C,0,0,1,0,0,0,0,C
Santa Maria Chachoapam,C,C,0,1,1,1,0,0,0,C
Villa de Chilapa de Diaz,4,0,0,0,0,0,0,0,0,4
Santa Maria Chilchotla,5,2,0,2,0,0,0,0,0,3
Santa Maria Chimalapa,3,3,0,0,2,1,1,0,0,0
Santa Maria del Rosario,C,C,0,0,0,0,0,0,0,C
Santa Maria del Tule,3,0,0,0,0,0,0,0,0,3
Santa Maria Ecatepec,9,8,0,5,5,2,1,0,0,1
Santa Maria Guelace,C,C,0,0,0,0,0,0,0,C
Santa Maria Guienagati,C,C,0,0,0,0,0,0,0,C
Santa Maria Huatulco,C,C,0,1,1,1,1,1,0,C
Santa Maria Huazolotitlan,6,3,1,0,1,0,1,0,2,3
Santa Maria Ipalapa,3,0,0,0,0,0,0,0,0,3
Santa Maria Ixcatlan,C,C,0,0,0,0,0,0,0,C
Santa Maria Jacatepec,15,11,0,1,0,7,0,0,8,4
Santa Maria Jalapa del Marques,C,C,0,1,0,0,0,0,0,C
Santa Maria Jaltianguis,C,C,1,1,1,1,0,0,0,C
Santa Maria Mixtequilla,C,C,0,0,0,1,0,0,0,C
Santa Maria Nativitas,C,C,0,0,1,1,1,0,0,C
Santa Maria Nduayaco,3,1,0,0,1,0,1,0,0,2
Santa Maria Papalo,C,C,0,1,0,1,0,0,0,C
Santa Maria Peñoles,4,1,0,1,0,0,0,0,0,3
Santa Maria Petapa,C,C,0,0,0,0,0,0,0,C
Santa Maria Quiegolani,C,C,0,0,1,1,0,0,0,C
Santa Maria Sola,4,2,0,2,1,0,0,0,0,2
Santa Maria Tataltepec,C,C,0,1,0,0,0,0,1,C
Santa Maria Tecomavaca,C,C,0,0,0,0,0,0,0,C
Santa Maria Temaxcalapa,C,C,0,0,0,0,0,0,0,C
Santa Maria Temaxcaltepec,C,C,0,0,1,0,0,0,0,C
Santa Maria Teopoxco,C,C,0,0,0,0,0,0,0,C
Santa Maria Tepantlali,C,C,0,0,0,0,0,0,0,C
Santa Maria Texcatitlan,C,C,0,0,0,0,0,0,0,C
Santa Maria Tlahuitoltepec,C,C,0,0,1,0,1,0,0,C
Santa Maria Tlalixtac,C,C,0,0,0,1,0,0,0,C
Santa Maria Tonameca,C,C,0,0,1,0,1,0,0,C
Santa Maria Totolapilla,C,C,0,0,0,0,0,0,0,C
Santa Maria Yalina,C,C,0,0,0,0,0,0,0,C
Santa Maria Yolotepec,C,C,0,0,0,0,0,0,0,C
Santa Maria Yosoyua,C,C,1,0,1,0,0,0,0,C
Santa Maria Yucuhiti,C,C,0,0,1,0,0,0,0,C
Santa Maria Zacatepec,C,C,0,0,0,0,0,0,0,C
Santa Maria Zaniza,C,C,0,0,1,0,0,0,0,C
Santa Maria Zoquitlan,C,C,0,0,0,0,0,0,0,C
Santiago Amoltepec,C,C,0,1,0,1,0,0,0,C
Santiago Apoala,C,C,0,0,0,0,0,0,0,C
Santiago Astata,C,C,0,1,0,0,0,0,0,C
Santiago Atitlan,C,C,0,1,1,0,0,0,0,C
Santiago Ayuquililla,C,C,0,0,0,0,0,0,0,C
Santiago Cacaloxtepec,C,C,0,0,0,0,0,0,0,C
Santiago Camotlan,4,3,1,2,0,0,1,0,0,1
Santiago Comaltepec,C,C,0,0,1,0,0,0,0,C
Santiago Chazumba,10,3,0,1,2,0,0,0,0,7
Santiago Choapam,6,1,0,1,1,1,0,0,0,5
Santiago del Rio,C,C,0,0,0,0,0,0,0,C
Santiago Huajolotitlan,7,3,0,0,3,0,1,0,0,4
Santiago Huauclilla,4,2,0,0,1,1,0,0,0,2
Santiago Ihuitlan Plumas,C,C,0,0,1,0,1,0,0,C
Santiago Ixcuintepec,C,C,0,1,0,0,1,0,0,C
Santiago Ixtayutla,7,1,0,1,0,0,0,0,0,6
Santiago Jamiltepec,6,3,0,1,2,1,1,1,3,3
Santiago Jocotepec,23,10,1,7,2,5,0,0,0,13
Santiago Juxtlahuaca,10,1,0,0,1,0,0,0,0,9
Santiago Lachiguiri,C,C,0,2,1,1,1,0,1,C
Santiago Lalopa,C,C,1,0,1,1,1,0,1,C
Santiago Laollaga,C,C,0,1,1,1,0,0,0,C
Santiago Laxopa,3,3,0,3,1,0,0,0,1,0
Santiago Llano Grande,3,2,0,0,2,0,0,0,0,1
Santiago Matatlan,3,0,0,0,0,0,0,0,0,3
Santiago Minas,C,C,0,0,0,0,0,0,0,C
Santiago Nacaltepec,5,2,0,0,0,1,0,0,1,3
Santiago Nejapilla,C,C,0,0,0,0,0,0,0,C
Santiago Nundiche,C,C,0,1,0,0,1,0,0,C
Santiago Nuyoo,3,0,0,0,0,0,0,0,0,3
Santiago Pinotepa Nacional,23,10,1,4,6,1,0,0,3,13
Santiago Suchilquitongo,6,4,0,0,0,0,0,0,4,2
Santiago Tamazola,4,1,0,1,0,0,0,0,0,3
Santiago Tapextla,3,1,0,1,0,0,0,0,0,2
Villa Tejupam de la Union,C,C,0,0,0,0,0,0,0,C
Santiago Tenango,C,C,0,0,0,0,0,0,0,C
Santiago Tepetlapa,C,C,0,0,0,0,0,0,0,C
Santiago Tetepec,6,2,0,1,0,1,0,0,0,4
Santiago Texcalcingo,C,C,0,1,0,0,0,0,0,C
Santiago Textitlan,C,C,0,0,1,0,0,0,0,C
Santiago Tilantongo,C,C,0,0,0,0,0,0,0,C
Santiago Tillo,C,C,0,1,0,0,0,0,0,C
Santiago Tlazoyaltepec,C,C,1,1,0,0,0,0,0,C
Santiago Xanica,C,C,0,2,0,0,0,0,0,C
Santiago Xiacui,3,2,0,2,0,0,0,0,0,1
Santiago Yaitepec,C,C,0,0,0,0,0,0,0,C
Santiago Yaveo,8,4,1,1,0,1,2,0,1,4
Santiago Yosondua,4,2,0,2,0,0,0,0,0,2
Santiago Yucuyachi,C,C,0,0,0,0,0,0,0,C
Santiago Zacatepec,3,3,0,2,2,0,0,0,0,0
Santiago Zoochila,C,C,0,0,1,0,0,0,1,C
Nuevo Zoquiapam,C,C,0,1,0,0,0,0,0,C
Santo Domingo Ingenio,C,C,0,0,0,0,0,0,0,C
Santo Domingo Albarradas,C,C,0,0,0,0,0,0,0,C
Santo Domingo Armenta,C,C,1,0,1,1,0,0,0,C
Santo Domingo Chihuitan,C,C,0,0,0,1,0,0,0,C
Santo Domingo de Morelos,C,C,0,0,0,0,0,0,0,C
Santo Domingo Ixcatlan,C,C,0,0,0,0,0,0,0,C
Santo Domingo Nuxaa,C,C,0,0,0,0,0,0,0,C
Santo Domingo Ozolotepec,C,C,0,1,0,0,0,0,0,C
Santo Domingo Petapa,C,C,0,0,0,0,0,0,0,C
Santo Domingo Roayaga,C,C,0,0,1,0,0,0,0,C
Santo Domingo Tehuantepec,17,10,1,6,6,2,2,0,1,7
Santo Domingo Teojomulco,C,C,0,0,0,0,0,0,0,C
Santo Domingo Tepuxtepec,C,C,0,0,0,0,0,0,0,C
Santo Domingo Tlatayapam,C,C,0,0,0,0,0,0,0,C
Santo Domingo Tomaltepec,C,C,0,0,0,0,0,0,0,C
Santo Domingo Tonala,4,0,0,0,0,0,0,0,0,4
Santo Domingo Tonaltepec,C,C,0,0,0,1,0,0,0,C
Santo Domingo Xagacia,C,C,0,0,0,0,0,0,0,C
Santo Domingo Yanhuitlan,C,C,0,0,0,0,0,0,0,C
Santo Domingo Zanatepec,6,6,0,3,2,3,0,0,1,0
Santos Reyes Nopala,4,1,0,1,0,0,0,0,0,3
Santos Reyes Papalo,C,C,0,0,0,0,0,0,0,C
Santos Reyes Tepejillo,C,C,0,0,0,0,0,0,0,C
Santos Reyes Yucuna,C,C,0,0,0,0,0,0,0,C
Santo Tomas Jalieza,5,1,0,0,1,0,0,0,0,4
Santo Tomas Mazaltepec,C,C,0,0,0,0,0,0,0,C
Santo Tomas Ocotepec,C,C,0,0,0,0,0,0,0,C
San Vicente Coatlan,C,C,0,0,0,0,0,0,0,C
San Vicente Lachixio,C,C,0,0,0,0,0,0,0,C
San Vicente Nuñu,C,C,0,0,0,0,0,0,0,C
Silacayoapam,9,0,0,0,0,0,0,0,0,9
Soledad Etla,C,C,0,0,1,0,0,0,1,C
Villa de Tamazulapam del Progreso,C,C,0,0,0,0,0,0,0,C
Tanetze de Zaragoza,C,C,1,0,0,0,0,0,1,C
Taniche,C,C,0,0,0,0,0,0,0,C
Tataltepec de Valdes,C,C,0,1,1,1,0,1,0,C
Teococuilco de Marcos Perez,C,C,0,1,0,1,0,0,0,C
Teotitlan de Flores Magon,C,C,0,2,0,0,0,0,0,C
Teotitlan del Valle,C,C,0,0,1,0,0,0,0,C
Teotongo,C,C,0,0,0,0,0,0,0,C
Tepelmeme Villa de Morelos,C,C,0,0,0,0,0,0,0,C
Tezoatlan de Segura y Luna,9,1,0,1,0,0,0,0,0,8
San Jeronimo Tlacochahuaya,3,0,0,0,0,0,0,0,0,3
Tlacolula de Matamoros,6,0,0,0,0,0,0,0,0,6
Tlacotepec Plumas,C,C,0,0,0,0,0,0,0,C
Tlalixtac de Cabrera,C,C,0,0,0,0,0,0,0,C
Totontepec Villa de Morelos,11,5,2,4,1,0,1,0,0,6
Trinidad Zaachila,5,1,0,0,0,0,0,0,1,4
La Trinidad Vista Hermosa,C,C,0,0,1,0,0,0,0,C
Valerio Trujano,C,C,0,1,0,0,0,0,0,C
San Juan Bautista Valle Nacional,24,9,0,7,2,1,1,0,1,15
Villa Diaz Ordaz,3,0,0,0,0,0,0,0,0,3
Yaxe,C,C,0,0,0,0,0,0,0,C
Magdalena Yodocono de Porfirio Diaz,C,C,0,0,0,0,0,0,0,C
Yogana,C,C,0,0,0,0,0,0,0,C
Yutanduchi de Guerrero,C,C,0,0,0,0,0,0,0,C
Villa de Zaachila,3,1,0,0,1,0,0,0,0,2
Zapotitlan del Rio,C,C,0,2,0,0,0,0,0,C
Zapotitlan Lagunas,C,C,0,0,0,0,0,0,0,C
Zapotitlan Palmas,C,C,0,0,0,0,0,0,0,C
Santa Ines de Zaragoza,C,C,0,0,0,0,0,0,0,C
Zimatlan de alvarez,8,4,0,2,2,0,0,0,2,4
Puebla,1194,373,35,201,94,57,63,12,35,821
Acajete,8,4,0,3,1,0,0,0,1,4
Acateno,4,2,0,0,0,0,1,0,1,2
Acatlan,16,7,0,6,1,0,0,0,0,9
Acatzingo,9,2,0,0,2,0,0,0,0,7
Acteopan,C,C,0,0,1,1,0,0,0,C
Ahuacatlan,C,C,0,1,0,0,0,0,0,C
Ahuatlan,C,C,0,0,0,0,0,0,0,C
Ahuazotepec,6,6,0,5,1,0,0,1,0,0
Ahuehuetitla,3,1,0,1,0,0,0,0,0,2
Ajalpan,10,3,1,3,0,0,0,0,0,7
Albino Zertuche,C,C,0,1,0,0,0,0,0,C
Aljojuca,4,1,0,0,1,0,0,0,0,3
Altepexi,C,C,0,0,0,1,0,0,0,C
Amixtlan,C,C,0,0,0,0,0,0,0,C
Amozoc,7,1,0,1,0,0,0,0,0,6
Aquixtla,5,3,0,3,1,1,0,0,0,2
Atexcal,9,0,0,0,0,0,0,0,0,9
Atlixco,29,4,0,1,2,1,0,0,1,25
Atoyatempan,C,C,0,0,0,0,0,0,0,C
Atzala,C,C,1,0,0,0,0,0,1,C
Atzitzihuacan,9,3,0,2,0,1,0,0,0,6
Atzitzintla,5,0,0,0,0,0,0,0,0,5
Axutla,C,C,0,0,0,0,0,0,0,C
Ayotoxco de Guerrero,3,3,1,0,1,0,3,0,0,0
Calpan,3,0,0,0,0,0,0,0,0,3
Caltepec,9,2,0,2,0,0,0,0,0,7
Camocuautla,C,C,0,0,0,0,0,0,0,C
Caxhuacan,C,C,0,0,0,0,0,0,0,C
Coatzingo,C,C,0,0,0,0,0,0,0,C
Cohetzala,3,2,0,2,0,0,0,0,0,1
Cohuecan,C,C,0,0,0,0,0,0,0,C
Coronango,3,0,0,0,0,0,0,0,0,3
Coxcatlan,9,4,2,3,1,1,0,0,1,5
Coyomeapan,3,1,0,0,0,0,1,0,0,2
Coyotepec,4,1,0,1,0,0,0,0,0,3
Cuapiaxtla de Madero,C,C,0,0,0,0,0,0,0,C
Cuautempan,C,C,0,0,0,0,0,0,0,C
Cuautinchan,7,4,0,4,0,0,0,0,0,3
Cuautlancingo,3,0,0,0,0,0,0,0,0,3
Cuayuca de Andrade,5,0,0,0,0,0,0,0,0,5
Cuetzalan del Progreso,C,C,0,2,1,0,0,0,0,C
Cuyoaco,11,1,0,0,1,1,1,0,0,10
Chalchicomula de Sesma,24,4,0,3,1,2,0,1,0,20
Chapulco,C,C,0,0,0,0,0,0,0,C
Chiautla,6,3,1,2,1,1,1,1,0,3
Chiautzingo,5,2,0,1,0,0,0,0,1,3
Chiconcuautla,C,C,0,1,0,0,0,0,0,C
Chietla,21,8,1,5,2,0,3,1,1,13
Chignahuapan,45,17,0,9,6,3,0,0,1,28
Chignautla,C,C,0,1,0,0,0,0,0,C
Chila,4,2,0,2,0,0,0,0,0,2
Chila de la Sal,C,C,0,0,0,0,0,0,0,C
Honey,C,C,0,0,0,0,0,0,0,C
Chilchotla,C,C,0,0,0,0,0,0,0,C
Chinantla,3,2,0,2,0,0,0,0,0,1
Domingo Arenas,C,C,0,0,0,0,0,0,0,C
Eloxochitlan,C,C,0,0,0,0,0,0,0,C
Epatlan,4,1,0,1,1,0,0,0,0,3
Esperanza,9,0,0,0,0,0,0,0,0,9
Francisco Z. Mena,21,5,0,1,4,0,0,0,0,16
General Felipe angeles,5,0,0,0,0,0,0,0,0,5
Guadalupe,3,1,0,1,0,0,0,0,0,2
Guadalupe Victoria,10,1,0,0,0,1,1,0,0,9
Huaquechula,26,3,1,1,0,0,0,0,1,23
Huatlatlauca,8,1,0,1,0,0,0,0,0,7
Huauchinango,4,1,1,1,1,0,1,0,0,3
Huehuetlan el Chico,4,2,0,1,0,1,0,0,0,2
Huejotzingo,11,5,0,5,0,0,0,0,0,6
Hueytamalco,9,8,2,0,1,2,8,0,0,1
Hueytlalpan,C,C,0,0,0,0,0,0,0,C
Huitzilan de Serdan,C,C,0,1,0,0,0,0,0,C
Ixcamilpa de Guerrero,4,3,0,3,1,0,0,0,0,1
Ixcaquixtla,7,1,0,1,0,0,0,0,0,6
Ixtacamaxtitlan,24,10,0,9,1,0,0,0,0,14
Izucar de Matamoros,26,10,2,5,4,1,1,0,0,16
Jalpan,7,1,0,0,1,1,0,0,0,6
Jolalpan,9,9,2,2,1,1,7,0,0,0
Jonotla,4,3,1,1,2,1,1,0,1,1
Jopala,C,C,0,0,0,0,0,0,0,C
Juan C. Bonilla,C,C,0,0,0,0,0,0,0,C
Juan N. Mendez,3,1,0,1,0,0,0,0,0,2
Lafragua,7,0,0,0,0,0,0,0,0,7
Libres,6,2,0,0,1,1,1,0,0,4
La Magdalena Tlatlauquitepec,C,C,0,1,0,0,0,0,0,C
Mazapiltepec de Juarez,3,1,0,1,0,0,0,0,0,2
Mixtla,C,C,0,0,0,0,0,0,0,C
Molcaxac,9,2,0,2,0,0,0,0,0,7
Cañada Morelos,5,2,0,1,1,0,0,0,0,3
Nicolas Bravo,C,C,0,0,1,0,1,0,1,C
Nopalucan,6,0,0,0,0,0,0,0,0,6
Ocotepec,C,C,0,0,0,0,0,0,0,C
Ocoyucan,11,5,0,5,0,0,0,0,0,6
Olintla,C,C,0,0,0,0,0,0,0,C
Oriental,7,4,1,1,1,3,3,0,0,3
Pahuatlan,C,C,0,0,0,0,0,0,0,C
Palmar de Bravo,14,1,0,1,0,0,0,0,0,13
Pantepec,16,2,0,1,0,0,1,0,0,14
Petlalcingo,8,2,0,2,0,0,0,0,0,6
Piaxtla,5,2,0,1,1,0,0,0,0,3
Puebla,20,2,0,1,1,0,0,0,0,18
Quecholac,12,1,0,0,0,1,0,0,0,11
Rafael Lara Grajales,C,C,0,0,1,0,0,0,0,C
Los Reyes de Juarez,3,0,0,0,0,0,0,0,0,3
San Andres Cholula,6,0,0,0,0,0,0,0,0,6
San Antonio Cañada,C,C,0,0,0,0,0,0,2,C
San Diego la Mesa Tochimiltzingo,4,1,0,0,1,0,0,0,0,3
San Felipe Teotlalcingo,3,0,0,0,0,0,0,0,0,3
San Gabriel Chilac,4,0,0,0,0,0,0,0,0,4
San Jeronimo Tecuanipan,3,2,0,2,0,0,0,0,0,1
San Jeronimo Xayacatlan,3,0,0,0,0,0,0,0,0,3
San Jose Chiapa,7,0,0,0,0,0,0,0,0,7
San Jose Miahuatlan,8,4,0,1,3,1,0,0,0,4
San Juan Atenco,5,3,0,0,2,2,0,0,0,2
San Martin Texmelucan,11,2,0,2,0,0,0,0,0,9
San Martin Totoltepec,C,C,0,0,0,0,0,0,0,C
San Matias Tlalancaleca,3,1,0,0,0,1,0,0,0,2
San Miguel Xoxtla,C,C,0,0,0,0,0,0,0,C
San Nicolas Buenos Aires,7,1,0,0,0,1,0,0,0,6
San Nicolas de los Ranchos,3,0,0,0,0,0,0,0,0,3
San Pablo Anicano,6,6,0,6,0,0,0,0,0,0
San Pedro Cholula,3,0,0,0,0,0,0,0,0,3
San Pedro Yeloixtlahuaca,C,C,0,1,0,0,0,0,0,C
San Salvador el Seco,4,0,0,0,0,0,0,0,0,4
San Salvador el Verde,8,2,0,0,0,1,1,0,0,6
San Salvador Huixcolotla,C,C,0,0,0,0,0,0,0,C
San Sebastian Tlacotepec,C,C,0,0,0,0,0,0,0,C
Santa Catarina Tlaltempan,C,C,0,0,0,0,0,0,0,C
Santa Ines Ahuatempan,C,C,0,0,0,0,0,0,0,C
Santa Isabel Cholula,4,4,0,3,1,0,0,0,0,0
Santiago Miahuatlan,3,1,0,0,0,0,0,1,0,2
Huehuetlan el Grande,13,3,1,0,0,0,0,0,2,10
Santo Tomas Hueyotlipan,C,C,0,0,0,0,0,0,1,C
Soltepec,7,1,0,0,0,0,1,0,0,6
Tecali de Herrera,12,6,0,6,0,0,0,0,0,6
Tecamachalco,18,2,0,0,1,0,0,0,1,16
Tecomatlan,3,1,0,1,0,0,0,0,0,2
Tehuacan,12,1,0,0,0,0,0,0,1,11
Tehuitzingo,10,5,1,5,0,0,0,0,0,5
Tenampulco,8,7,0,0,1,2,7,0,2,1
Teopantlan,3,2,0,1,1,0,0,0,0,1
Teotlalco,4,4,2,0,1,0,4,0,0,0
Tepanco de Lopez,7,4,0,3,2,3,0,0,0,3
Tepatlaxco de Hidalgo,C,C,0,0,1,0,0,0,0,C
Tepeaca,23,7,0,1,1,1,2,0,5,16
Tepemaxalco,3,0,0,0,0,0,0,0,0,3
Tepeojuma,8,6,2,3,0,0,0,0,2,2
Tepetzintla,3,2,0,1,1,0,1,0,0,1
Tepexco,4,1,0,1,0,0,0,0,0,3
Tepexi de Rodriguez,12,1,0,0,1,0,0,0,0,11
Tepeyahualco,14,5,0,0,2,2,0,0,1,9
Tepeyahualco de Cuauhtemoc,C,C,0,1,0,0,1,0,0,C
Tetela de Ocampo,4,0,0,0,0,0,0,0,0,4
Teziutlan,C,C,0,0,0,1,0,0,1,C
Tianguismanalco,6,0,0,0,0,0,0,0,0,6
Tilapa,7,6,1,5,5,1,2,1,0,1
Tlacotepec de Benito Juarez,18,10,0,4,4,1,1,0,2,8
Tlacuilotepec,4,3,0,2,0,1,0,0,0,1
Tlachichuca,24,7,0,1,3,2,0,1,1,17
Tlahuapan,18,6,3,3,1,1,0,1,0,12
Tlanepantla,C,C,0,0,0,0,0,0,0,C
Tlapacoya,3,0,0,0,0,0,0,0,0,3
Tlapanala,6,2,0,2,0,0,0,0,0,4
Tlatlauquitepec,4,3,1,2,2,2,1,1,0,1
Tlaxco,C,C,0,0,0,0,0,0,0,C
Tochimilco,12,0,0,0,0,0,0,0,0,12
Tochtepec,4,0,0,0,0,0,0,0,0,4
Totoltepec de Guerrero,3,1,0,1,0,0,0,0,0,2
Tulcingo,C,C,0,1,2,0,0,0,0,C
Tuzamapan de Galeana,C,C,0,0,0,0,0,0,0,C
Tzicatlacoyan,7,1,0,0,1,0,0,0,0,6
Venustiano Carranza,12,7,0,1,5,1,2,1,0,5
Vicente Guerrero,4,2,0,0,1,0,0,0,1,2
Xayacatlan de Bravo,C,C,0,0,0,0,0,0,0,C
Xicotepec,10,1,0,0,0,0,1,0,0,9
Xicotlan,C,C,0,1,0,0,0,0,0,C
Xiutetelco,3,0,0,0,0,0,0,0,0,3
Xochiapulco,C,C,0,0,0,0,0,0,0,C
Xochiltepec,3,1,0,1,0,1,0,0,0,2
Xochitlan de Vicente Suarez,C,C,2,0,0,0,0,0,0,C
Xochitlan Todos Santos,3,0,0,0,0,0,0,0,0,3
Yehualtepec,9,2,0,0,0,1,1,0,0,7
Zacapala,7,1,0,0,0,1,1,0,0,6
Zacapoaxtla,10,2,0,1,0,0,1,0,0,8
Zacatlan,18,11,5,10,0,0,0,2,0,7
Zapotitlan,7,3,0,0,1,1,0,0,2,4
Zaragoza,C,C,0,0,0,0,0,0,0,C
Zautla,8,0,0,0,0,0,0,0,0,8
Zihuateutla,8,8,0,8,2,3,1,0,0,0
Zinacatepec,C,C,0,1,0,0,0,0,0,C
Zoquiapan,C,C,0,0,0,0,0,0,0,C
Zoquitlan,C,C,0,0,0,0,0,0,0,C
Queretaro,378,233,16,194,34,25,7,0,34,145
Amealco de Bonfil,23,8,1,6,1,1,0,0,0,15
Pinal de Amoles,19,8,0,7,2,0,0,0,0,11
Arroyo Seco,13,9,0,8,1,0,0,0,0,4
Cadereyta de Montes,38,11,0,4,6,2,1,0,2,27
Colon,42,22,1,11,8,6,0,0,3,20
Corregidora,16,7,0,3,0,3,1,0,2,9
Ezequiel Montes,8,2,0,2,0,0,0,0,0,6
Huimilpan,16,10,0,10,0,0,1,0,2,6
Jalpan de Serra,6,4,0,3,0,1,0,0,0,2
Landa de Matamoros,4,3,1,2,1,1,0,0,0,1
El Marques,39,35,0,35,0,3,0,0,1,4
Pedro Escobedo,19,19,1,19,3,0,1,0,2,0
Peñamiller,16,16,12,11,1,2,0,0,2,0
Queretaro,41,5,0,1,0,2,1,0,1,36
San Joaquin,4,4,0,3,1,0,1,0,0,0
San Juan del Rio,52,51,0,51,2,4,0,0,16,1
Tequisquiapan,12,10,0,9,7,0,1,0,2,2
Toliman,10,9,0,9,1,0,0,0,1,1
Quintana Roo,282,163,32,75,77,39,3,4,20,119
Cozumel,C,C,0,0,0,0,0,0,0,C
Felipe Carrillo Puerto,55,31,8,9,11,7,2,0,4,24
Isla Mujeres,C,C,0,2,2,0,0,0,0,C
Othon P. Blanco,105,49,10,18,29,15,1,1,2,56
Benito Juarez,C,C,0,1,1,0,0,0,1,C
Jose Maria Morelos,65,44,11,22,23,7,0,1,7,21
Lazaro Cardenas,34,26,3,20,8,9,0,1,3,8
Solidaridad,17,9,0,3,3,1,0,1,3,8
San Luis Potosi,1421,418,36,174,152,114,17,8,46,1003
