INEGI. IX Censo Ejidal 2007,,,,,,,
"Total de ejidatarios, comuneros y posesionarios",,,,,,,cuadro 13
por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,total,ejidatarios_y_comuneros_total,ejidatarios_y_comuneros_hombres,ejidatarios_y_comuneros_mujeres,con_parcela_individual_total,con_parcela_individual_hombres,con_parcela_individual_mujeres
Hueytamalco,9,647,568,79,647,568,79
Hueytlalpan,C,89,73,16,89,73,16
Huitzilan de Serdan,C,441,340,101,441,340,101
Ixcamilpa de Guerrero,4,508,404,104,238,191,47
Ixcaquixtla,7,636,546,90,636,546,90
Ixtacamaxtitlan,24,2370,2050,320,2324,2035,289
Izucar de Matamoros,26,3210,2273,937,2939,2135,804
Jalpan,7,539,392,147,536,392,144
Jolalpan,9,3381,1880,1501,3091,1638,1453
Jonotla,4,175,143,32,166,143,23
Jopala,C,97,88,9,97,88,9
Juan C. Bonilla,C,475,439,36,475,439,36
Juan N. Mendez,3,4641,3121,1520,628,458,170
Lafragua,7,2003,1891,112,2003,1891,112
Libres,6,2435,1873,562,2171,1645,526
La Magdalena Tlatlauquitepec,C,299,169,130,299,169,130
Mazapiltepec de Juarez,3,1115,671,444,1115,671,444
Mixtla,C,43,27,16,43,27,16
Molcaxac,9,1327,923,404,1291,893,398
Cañada Morelos,5,1099,905,194,1099,905,194
Nicolas Bravo,C,843,613,230,663,571,92
Nopalucan,6,1819,1466,353,1819,1466,353
Ocotepec,C,776,489,287,771,489,282
Ocoyucan,11,2226,1719,507,1987,1530,457
Olintla,C,292,232,60,292,232,60
Oriental,7,1789,1239,550,1789,1239,550
Pahuatlan,C,79,69,10,22,16,6
Palmar de Bravo,14,2659,1820,839,2110,1666,444
Pantepec,16,1185,854,331,1111,787,324
Petlalcingo,8,855,557,298,778,500,278
Piaxtla,5,494,390,104,421,355,66
Puebla,20,6361,4478,1883,6058,4205,1853
Quecholac,12,2434,1946,488,2434,1946,488
Rafael Lara Grajales,C,245,219,26,245,219,26
Los Reyes de Juarez,3,514,368,146,514,368,146
San Andres Cholula,6,638,477,161,356,280,76
San Antonio Cañada,C,368,326,42,298,256,42
San Diego la Mesa Tochimiltzingo,4,253,234,19,211,192,19
San Felipe Teotlalcingo,3,1069,902,167,1069,902,167
San Gabriel Chilac,4,642,556,86,637,551,86
San Jeronimo Tecuanipan,3,347,227,120,347,227,120
San Jeronimo Xayacatlan,3,638,494,144,437,344,93
San Jose Chiapa,7,688,474,214,688,474,214
San Jose Miahuatlan,8,1985,1458,527,1573,1309,264
San Juan Atenco,5,1358,998,360,1358,998,360
San Martin Texmelucan,11,2855,2150,705,2501,1854,647
San Martin Totoltepec,C,76,36,40,40,35,5
San Matias Tlalancaleca,3,1641,1329,312,1641,1329,312
San Miguel Xoxtla,C,326,176,150,326,176,150
San Nicolas Buenos Aires,7,1580,1298,282,1580,1298,282
San Nicolas de Los Ranchos,3,789,719,70,689,619,70
San Pablo Anicano,6,514,401,113,514,401,113
San Pedro Cholula,3,266,194,72,266,194,72
San Pedro Yeloixtlahuaca,C,556,440,116,556,440,116
San Salvador el Seco,4,3271,2401,870,3271,2401,870
San Salvador el Verde,8,1865,1509,356,1556,1344,212
San Salvador Huixcolotla,C,432,324,108,432,324,108
San Sebastian Tlacotepec,C,119,99,20,119,99,20
Santa Catarina Tlaltempan,C,8,4,4,0,0,0
Santa Ines Ahuatempan,C,88,73,15,88,73,15
Santa Isabel Cholula,4,546,386,160,546,386,160
Santiago Miahuatlan,3,661,397,264,661,397,264
Huehuetlan el Grande,13,1747,1316,431,1046,764,282
Santo Tomas Hueyotlipan,C,236,143,93,236,143,93
Soltepec,7,1149,998,151,1149,998,151
Tecali de Herrera,12,771,671,100,584,512,72
Tecamachalco,18,2423,1716,707,2411,1716,695
Tecomatlan,3,411,255,156,391,255,136
Tehuacan,12,1130,748,382,1124,742,382
Tehuitzingo,10,1338,1072,266,1239,1037,202
Tenampulco,8,654,508,146,654,508,146
Teopantlan,3,1126,499,627,1126,499,627
Teotlalco,4,472,419,53,472,419,53
Tepanco de Lopez,7,1923,1554,369,1490,1125,365
Tepatlaxco de Hidalgo,C,1625,1197,428,1625,1197,428
Tepeaca,23,3522,2609,913,3494,2589,905
Tepemaxalco,3,234,206,28,227,206,21
Tepeojuma,8,704,491,213,657,451,206
Tepetzintla,3,208,181,27,208,181,27
Tepexco,4,861,698,163,748,698,50
Tepexi de Rodriguez,12,3458,2317,1141,2558,1717,841
Tepeyahualco,14,2352,1970,382,2352,1970,382
Tepeyahualco de Cuauhtemoc,C,259,195,64,259,195,64
Tetela de Ocampo,4,282,240,42,33,30,3
Teziutlan,C,122,88,34,122,88,34
Tianguismanalco,6,988,654,334,767,493,274
Tilapa,7,591,403,188,591,403,188
Tlacotepec de Benito Juarez,18,3798,2837,961,3395,2514,881
Tlacuilotepec,4,207,164,43,207,164,43
Tlachichuca,24,4078,3403,675,4023,3403,620
Tlahuapan,18,3307,2980,327,3177,2854,323
Tlanepantla,C,154,103,51,154,103,51
Tlapacoya,3,451,358,93,451,358,93
Tlapanala,6,890,743,147,890,743,147
Tlatlauquitepec,4,699,558,141,674,533,141
Tlaxco,C,53,44,9,53,44,9
Tochimilco,12,2746,2177,569,2746,2177,569
Tochtepec,4,422,323,99,422,323,99
Totoltepec de Guerrero,3,180,119,61,70,16,54
Tulcingo,C,497,467,30,161,144,17
Tuzamapan de Galeana,C,36,27,9,36,27,9
Tzicatlacoyan,7,1066,965,101,666,565,101
Venustiano Carranza,12,901,768,133,894,768,126
Vicente Guerrero,4,1776,1679,97,739,677,62
Xayacatlan de Bravo,C,61,48,13,0,0,0
Xicotepec,10,860,662,198,810,612,198
Xicotlan,C,369,358,11,369,358,11
Xiutetelco,3,326,274,52,50,35,15
Xochiapulco,C,145,65,80,105,65,40
Xochiltepec,3,830,719,111,0,0,0
Xochitlan de Vicente Suarez,C,115,108,7,0,0,0
Xochitlan Todos Santos,3,499,218,281,315,218,97
Yehualtepec,9,2016,1753,263,1146,998,148
Zacapala,7,591,495,96,292,225,67
Zacapoaxtla,10,1772,1248,524,1494,1116,378
Zacatlan,18,5335,3732,1603,4867,3446,1421
Zapotitlan,7,3070,1740,1330,1917,1567,350
Zaragoza,C,358,188,170,358,188,170
Zautla,8,1762,1273,489,1600,1273,327
Zihuateutla,8,829,699,130,829,699,130
Zinacatepec,C,176,118,58,176,118,58
Zoquiapan,C,81,70,11,81,70,11
Zoquitlan,C,257,227,30,227,227,0
Queretaro,378,35922,29047,6875,32315,26157,6158
Amealco de Bonfil,23,4042,3372,670,4037,3371,666
Pinal de Amoles,19,1303,975,328,1237,928,309
Arroyo Seco,13,1261,1035,226,1182,963,219
Cadereyta de Montes,38,6345,5185,1160,4685,3871,814
Colon,42,3086,2606,480,2943,2475,468
Corregidora,16,1267,935,332,1162,887,275
Ezequiel Montes,8,512,441,71,479,408,71
Huimilpan,16,1133,939,194,1026,849,177
Jalpan de Serra,6,545,402,143,493,361,132
Landa de Matamoros,4,172,158,14,93,84,9
El Marques,39,2606,2063,543,2518,2026,492
Pedro Escobedo,19,2217,1639,578,2215,1637,578
Peñamiller,16,1591,1390,201,1121,958,163
Queretaro,41,2759,2144,615,2408,1861,547
San Joaquin,4,503,384,119,303,202,101
San Juan del Rio,52,4829,3982,847,4790,3967,823
Tequisquiapan,12,1190,925,265,1073,838,235
Toliman,10,561,472,89,550,471,79
Quintana Roo,282,36107,32126,3981,16218,14974,1244
Cozumel,C,120,89,31,84,64,20
Felipe Carrillo Puerto,55,8555,8077,478,1637,1614,23
Isla Mujeres,C,292,225,67,277,210,67
Othon P. Blanco,105,15140,12842,2298,9374,8453,921
Benito Juarez,C,767,648,119,354,354,0
Jose Maria Morelos,65,5612,5273,339,2360,2307,53
Lazaro Cardenas,34,3937,3535,402,1609,1556,53
Solidaridad,17,1684,1437,247,523,416,107
San Luis Potosi,1421,153092,132600,20492,140629,121693,18936
Ahualulco,14,1703,1344,359,1703,1344,359
Alaquines,11,1503,1290,213,1109,966,143
Aquismon,28,6456,4188,2268,5688,3535,2153
Armadillo de Los Infante,7,368,317,51,352,308,44
Cardenas,C,1539,1329,210,1539,1329,210
Catorce,21,2401,2155,246,2395,2151,244
Cedral,29,2213,2045,168,2169,2002,167
Cerritos,18,1172,956,216,1074,862,212
Cerro de San Pedro,5,157,134,23,152,129,23
Ciudad del Maiz,28,3277,2980,297,2881,2643,238
Ciudad Fernandez,15,2090,1683,407,2049,1647,402
Tancanhuitz,26,2179,1769,410,1617,1281,336
Ciudad Valles,60,4279,3526,753,3972,3273,699
Coxcatlan,28,2765,2601,164,2686,2538,148
Charcas,27,2188,2033,155,2161,2031,130
ebano,92,3743,3018,725,3697,2984,713
Guadalcazar,52,6133,5603,530,5660,5186,474
Huehuetlan,13,2056,1510,546,1496,1100,396
Lagunillas,7,847,720,127,806,694,112
Matehuala,44,4336,4031,305,3496,3203,293
Mexquitic de Carmona,30,4544,3792,752,4406,3666,740
Moctezuma,30,2508,2272,236,2479,2247,232
Rayon,8,1934,1536,398,1682,1294,388
Rioverde,55,7038,6078,960,6764,5853,911
Salinas,11,3914,3607,307,3614,3307,307
San Antonio,10,1293,1154,139,1230,1094,136
San Ciro de Acosta,5,930,744,186,930,744,186
San Luis Potosi,35,4114,3543,571,3581,3088,493
San Martin Chalchicuautla,58,3183,2961,222,2943,2727,216
San Nicolas Tolentino,6,581,486,95,580,485,95
Santa Catarina,5,1731,1606,125,1730,1605,125
Santa Maria del Rio,12,880,771,109,824,729,95
Santo Domingo,25,4119,3765,354,3636,3341,295
San Vicente Tancuayalab,23,1092,958,134,1092,958,134
Soledad de Graciano Sanchez,8,1438,1303,135,1411,1279,132
Tamasopo,21,4203,3561,642,2882,2343,539
Tamazunchale,33,13582,12388,1194,11436,10341,1095
Tampacan,23,1575,1471,104,1575,1471,104
Tampamolon Corona,31,1512,1395,117,1188,1094,94
Tamuin,175,5765,4258,1507,4972,3754,1218
Tanlajas,26,1971,1710,261,1882,1637,245
Tanquian de Escobedo,5,588,526,62,588,526,62
Tierra Nueva,C,60,57,3,60,57,3
Vanegas,20,1958,1821,137,1928,1799,129
Venado,18,1986,1788,198,1925,1740,185
Villa de Arriaga,11,1443,1287,156,1441,1286,155
Villa de Guadalupe,20,2097,1943,154,1976,1832,144
Villa de la Paz,5,416,379,37,416,379,37
Villa de Ramos,18,6210,5467,743,6164,5431,733
Villa de Reyes,20,2708,2348,360,2673,2313,360
Villa Hidalgo,27,3057,2706,351,3010,2668,342
Villa Juarez,9,1871,1646,225,1845,1623,222
Axtla de Terrazas,29,2537,2286,251,2513,2286,227
Xilitla,35,3820,3364,456,3820,3364,456
Zaragoza,7,873,765,108,858,750,108
Villa de Arista,8,1202,1051,151,1127,976,151
Matlapa,12,1762,1607,155,1642,1499,143
El Naranjo,16,1192,968,224,1104,901,203
Sinaloa,1309,152779,124569,28210,130547,106284,24263
Ahome,115,17638,13183,4455,17013,12692,4321
Angostura,62,6237,4798,1439,5756,4409,1347
Badiraguato,44,10509,9140,1369,4869,4568,301
Concordia,29,3453,2993,460,1370,1279,91
Cosala,37,3170,2846,324,608,538,70
Culiacan,185,18897,15805,3092,17296,14430,2866
Choix,63,4693,4018,675,3297,2918,379
Elota,39,5524,4574,950,4718,3900,818
Escuinapa,20,3094,2718,376,2970,2614,356
El Fuerte,103,10522,8054,2468,9874,7543,2331
Guasave,140,15992,12102,3890,14580,10979,3601
Mazatlan,45,4382,3694,688,4103,3539,564
Mocorito,71,7469,6180,1289,7119,5947,1172
Rosario,51,5096,4356,740,3799,3249,550
Salvador Alvarado,22,3384,2787,597,3225,2722,503
San Ignacio,51,4418,4022,396,3293,3029,264
Sinaloa,154,19044,15799,3245,17521,14481,3040
Navolato,78,9257,7500,1757,9136,7447,1689
Sonora,979,78231,61532,16699,44393,35830,8563
Aconchi,C,500,400,100,0,0,0
Agua Prieta,6,322,284,38,163,153,10
alamos,84,4959,4177,782,2277,2040,237
Altar,7,302,257,45,188,178,10
Arivechi,C,426,371,55,242,226,16
Arizpe,6,879,800,79,476,430,46
Atil,C,123,106,17,56,52,4
Bacadehuachi,C,96,87,9,0,0,0
Bacanora,4,178,161,17,0,0,0
Bacerac,4,335,278,57,176,167,9
Bacoachi,5,195,175,20,89,82,7
Bacum,44,2302,1599,703,1194,902,292
Banamichi,3,383,340,43,104,102,2
Baviacora,C,783,733,50,58,46,12
Bavispe,C,241,223,18,91,79,12
Benjamin Hill,3,124,95,29,113,85,28
Caborca,72,2323,1861,462,935,873,62
Cajeme,103,7397,5162,2235,3321,2234,1087
Cananea,7,529,452,77,61,58,3
Carbo,C,117,101,16,106,101,5
La Colorada,6,546,492,54,422,384,38
Cucurpe,3,341,279,62,201,169,32
Cumpas,7,956,844,112,600,538,62
Divisaderos,C,201,180,21,180,180,0
Empalme,16,1238,973,265,936,749,187
Etchojoa,45,5913,3882,2031,3953,2434,1519
Fronteras,12,685,617,68,366,329,37
Granados,C,194,183,11,16,16,0
Guaymas,31,5153,4720,433,4218,3985,233
Hermosillo,52,2810,2256,554,1751,1427,324
Huachinera,C,180,144,36,156,120,36
Huasabas,C,236,220,16,236,220,16
Huatabampo,57,7669,5278,2391,3622,2519,1103
Huepac,3,451,425,26,62,55,7
Imuris,6,497,387,110,204,175,29
Magdalena,9,766,655,111,531,505,26
Mazatan,3,266,216,50,252,216,36
Moctezuma,4,550,492,58,209,209,0
Naco,C,190,162,28,190,162,28
Nacori Chico,4,478,413,65,202,198,4
Nacozari de Garcia,4,321,275,46,0,0,0
Navojoa,45,5390,3944,1446,3374,2415,959
Nogales,8,278,234,44,257,218,39
Onavas,C,56,48,8,53,45,8
Opodepe,6,571,503,68,380,371,9
Oquitoa,C,62,50,12,20,17,3
Pitiquito,11,757,640,117,477,465,12
Puerto Peñasco,27,1438,1013,425,968,670,298
Quiriego,17,919,728,191,285,235,50
Rayon,5,587,535,52,121,109,12
Rosario,17,765,654,111,311,280,31
Sahuaripa,18,927,839,88,514,481,33
San Felipe de Jesus,C,140,124,16,0,0,0
San Javier,C,80,74,6,80,74,6
San Luis Rio Colorado,41,2700,2045,655,2473,1931,542
San Miguel de Horcasitas,4,372,328,44,372,328,44
San Pedro de la Cueva,6,860,738,122,518,481,37
Santa Ana,7,650,548,102,523,431,92
Santa Cruz,C,230,188,42,178,151,27
Saric,5,369,319,50,107,107,0
Soyopa,6,440,387,53,264,239,25
Suaqui Grande,C,195,189,6,165,159,6
Tepache,C,112,97,15,67,67,0
Trincheras,3,221,185,36,185,166,19
Tubutama,7,389,322,67,154,129,25
Ures,12,1123,999,124,921,812,109
Villa Hidalgo,4,310,275,35,121,111,10
Villa Pesqueira,3,419,387,32,417,387,30
Yecora,9,541,497,44,296,276,20
General Plutarco Elias Calles,29,1383,1122,261,889,742,147
Benito Juarez,10,1221,918,303,411,306,105
San Ignacio Rio Muerto,38,2571,1847,724,1535,1229,306
Tabasco,779,60606,48459,12147,55765,44916,10849
Balancan,55,4733,3977,756,4511,3807,704
Cardenas,62,7570,5985,1585,7467,5906,1561
Centla,55,3171,2544,627,3099,2487,612
Centro,64,5619,4188,1431,3880,3011,869
Comalcalco,33,2518,2053,465,2320,1900,420
Cunduacan,44,3409,2638,771,3361,2594,767
Emiliano Zapata,14,1008,797,211,863,687,176
Huimanguillo,123,10080,7578,2502,9326,7178,2148
Jalapa,23,1059,900,159,969,827,142
Jalpa de Mendez,28,1828,1538,290,1808,1518,290
Jonuta,37,3636,3075,561,3003,2459,544
Macuspana,66,4815,3889,926,4657,3764,893
Nacajuca,29,1839,1584,255,1829,1580,249
Paraiso,16,1061,785,276,984,723,261
Tacotalpa,36,2457,2260,197,2305,2115,190
Teapa,21,1155,965,190,944,784,160
Tenosique,73,4648,3703,945,4439,3576,863
Tamaulipas,1391,76791,63714,13077,72756,60585,12171
Abasolo,37,2519,2174,345,2315,1999,316
Aldama,62,3249,2898,351,3234,2886,348
Altamira,39,1928,1453,475,1732,1331,401
Antiguo Morelos,17,948,794,154,948,794,154
Burgos,19,1232,1083,149,1146,1020,126
Bustamante,22,1393,1252,141,1348,1230,118
Camargo,9,416,316,100,331,264,67
Casas,23,758,671,87,702,621,81
Cruillas,10,440,380,60,248,216,32
Gomez Farias,25,1008,793,215,765,634,131
Gonzalez,87,4270,3447,823,4233,3420,813
Güemez,41,1701,1484,217,1572,1370,202
Guerrero,C,55,48,7,54,48,6
Gustavo Diaz Ordaz,9,649,514,135,649,514,135
Hidalgo,62,4322,3837,485,4133,3659,474
Jaumave,40,2421,2190,231,2047,1836,211
Jimenez,22,855,649,206,767,589,178
Llera,54,2789,2423,366,2644,2314,330
Mainero,14,527,461,66,527,461,66
El Mante,124,7235,5432,1803,6991,5261,1730
Matamoros,78,4496,3270,1226,4354,3164,1190
Mendez,22,1382,1201,181,1357,1185,172
Miquihuana,9,569,522,47,388,382,6
Nuevo Laredo,16,598,479,119,519,412,107
Nuevo Morelos,6,354,303,51,324,277,47
Ocampo,34,1781,1523,258,1766,1515,251
Padilla,20,1284,1098,186,1211,1026,185
Palmillas,C,395,357,38,282,244,38
Reynosa,74,4510,3740,770,4272,3605,667
Rio Bravo,23,1743,1233,510,1743,1233,510
San Carlos,53,2149,1905,244,1944,1756,188
San Fernando,67,5523,4569,954,5465,4519,946
San Nicolas,7,303,253,50,168,153,15
Soto la Marina,59,2672,2323,349,2605,2286,319
Tampico,C,29,24,5,29,24,5
Tula,60,3942,3325,617,3826,3235,591
Valle Hermoso,27,1458,1181,277,1453,1178,275
Victoria,40,1890,1601,289,1785,1523,262
Villagran,31,1282,1129,153,1169,1028,141
Xicotencatl,41,1716,1379,337,1710,1373,337
Tlaxcala,246,44216,36117,8099,41217,33942,7275
Amaxac de Guerrero,C,160,90,70,0,0,0
Atlangatepec,4,662,620,42,662,620,42
Altzayanca,18,1560,1376,184,1496,1316,180
Apizaco,4,1106,1047,59,903,861,42
Calpulalpan,11,2047,1514,533,1855,1385,470
El Carmen Tequexquitla,C,1119,851,268,1119,851,268
Cuapiaxtla,11,1657,1257,400,1304,1010,294
Cuaxomulco,C,78,74,4,78,74,4
Chiautempan,5,427,395,32,427,395,32
Muñoz de Domingo Arenas,4,477,422,55,477,422,55
Españita,11,1122,873,249,1067,837,230
Huamantla,25,4183,3514,669,4183,3514,669
Hueyotlipan,13,2204,1885,319,1984,1715,269
Ixtacuixtla de Mariano Matamoros,16,1904,1548,356,1884,1548,336
Ixtenco,C,1731,1211,520,1731,1211,520
Tepetitla de Lardizabal,C,485,451,34,485,451,34
Sanctorum de Lazaro Cardenas,4,1010,791,219,960,791,169
Nanacamilpa de Mariano Arista,5,1447,1287,160,1321,1287,34
Nativitas,15,2241,1800,441,2019,1609,410
Panotla,6,751,601,150,745,601,144
Santa Cruz Tlaxcala,4,385,270,115,378,270,108
Teolocholco,C,191,141,50,186,136,50
Terrenate,6,1445,1328,117,1445,1328,117
Tetla de la Solidaridad,7,1211,944,267,900,674,226
Tetlatlahuca,3,504,379,125,254,204,50
Tlaxcala,3,292,253,39,285,253,32
Tlaxco,29,4422,3910,512,4315,3836,479
Tocatlan,C,289,253,36,289,253,36
Totolac,C,118,83,35,83,83,0
Zitlaltepec de Trinidad Sanchez Santos,3,1211,931,280,1211,931,280
Tzompantepec,3,432,352,80,432,352,80
Xaloztoc,C,1604,1279,325,1590,1270,320
Xaltocan,4,420,351,69,420,351,69
Papalotla de Xicohtencatl,C,137,91,46,137,91,46
Xicohtzinco,C,256,180,76,256,180,76
Yauhquemecan,3,401,354,47,250,240,10
Zacatelco,C,1152,802,350,952,602,350
Benito Juarez,C,554,354,200,554,354,200
Emiliano Zapata,C,406,388,18,406,388,18
Lazaro Cardenas,C,431,410,21,431,410,21
La Magdalena Tlaltelulco,C,349,209,140,349,209,140
San Damian Texoloc,C,126,106,20,126,106,20
San Jose Teacalco,C,460,310,150,460,310,150
San Lorenzo Axocomanitla,C,195,185,10,10,10,0
San Lucas Tecopilco,C,300,220,80,300,220,80
Santa Ana Nopalucan,C,366,266,100,366,266,100
Santa Apolonia Teacalco,C,188,161,27,132,117,15
Veracruz de Ignacio de la Llave,3684,294675,244033,50642,276509,230427,46082
Acajete,C,177,45,132,177,45,132
Acatlan,C,150,115,35,150,115,35
Acayucan,31,2791,2397,394,2791,2397,394
Actopan,29,3714,3276,438,3712,3274,438
Acula,9,552,428,124,375,313,62
Acultzingo,16,1279,1015,264,1211,970,241
Camaron de Tejeda,5,401,360,41,281,257,24
Alto Lucero de Gutierrez Barrios,16,1451,1349,102,1377,1293,84
Altotonga,16,1771,1443,328,1771,1443,328
Alvarado,19,1629,1212,417,1583,1212,371
Amatitlan,6,484,346,138,431,346,85
Naranjos Amatlan,11,339,300,39,339,300,39
Amatlan de Los Reyes,19,1276,889,387,1276,889,387
angel R. Cabada,21,1978,1544,434,1978,1544,434
La Antigua,11,560,411,149,560,411,149
Apazapan,5,457,421,36,457,421,36
Atlahuilco,C,62,60,2,62,60,2
Atoyac,15,1215,943,272,1198,930,268
Atzacan,7,737,617,120,620,507,113
Atzalan,39,2380,2040,340,2379,2039,340
Tlaltetela,14,1304,1185,119,1181,1079,102
Banderilla,C,129,115,14,0,0,0
Benito Juarez,23,2458,2408,50,1585,1543,42
Boca del Rio,C,91,64,27,91,64,27
Calcahualco,4,280,262,18,235,220,15
Camerino Z. Mendoza,C,52,45,7,52,45,7
Carrillo Puerto,4,156,125,31,132,105,27
Catemaco,30,2138,1929,209,2001,1819,182
Cazones,24,2018,1591,427,1989,1566,423
Cerro Azul,7,383,320,63,383,320,63
Citlaltepetl,C,38,32,6,38,32,6
Coacoatzintla,3,123,103,20,86,71,15
Coahuitlan,C,345,304,41,345,304,41
Coatepec,14,2083,1463,620,2083,1463,620
Coatzacoalcos,8,429,350,79,403,336,67
Coatzintla,16,968,796,172,906,796,110
Coetzala,C,111,77,34,111,77,34
Colipa,3,480,423,57,480,423,57
Comapa,15,1196,1076,120,1023,946,77
Cordoba,24,1070,856,214,1070,856,214
Cosamaloapan de Carpio,32,2796,2138,658,2645,2032,613
Coscomatepec,4,1428,1173,255,1223,971,252
Cosoleacaque,16,1427,989,438,1171,845,326
Cotaxtla,16,1030,869,161,990,846,144
Coxquihui,5,457,361,96,457,361,96
Coyutla,8,1141,875,266,1125,875,250
Cuichapa,6,389,260,129,389,260,129
Cuitlahuac,15,800,647,153,718,595,123
Chacaltianguis,12,2145,1726,419,2066,1647,419
Chalma,16,1694,1600,94,1549,1518,31
Chiconamel,11,763,702,61,706,702,4
Chiconquiaco,9,575,539,36,573,537,36
Chicontepec,84,8514,7804,710,7964,7440,524
Chinameca,10,579,515,64,558,496,62
Chinampa de Gorostiza,7,246,205,41,246,205,41
Las Choapas,121,5839,4665,1174,5714,4622,1092
Chocaman,3,704,532,172,704,532,172
Chontla,12,1742,1536,206,1704,1502,202
Chumatlan,C,500,250,250,500,250,250
Emiliano Zapata,26,2724,2391,333,2713,2384,329
Espinal,20,1466,1167,299,1466,1167,299
Fortin,7,830,565,265,830,565,265
Gutierrez Zamora,15,678,552,126,678,552,126
Hidalgotitlan,40,2600,2193,407,2568,2182,386
Huatusco,10,623,510,113,623,510,113
Huayacocotla,25,1693,1421,272,1344,1129,215
Hueyapan de Ocampo,36,4920,4143,777,4690,3943,747
Huiloapan,C,18,12,6,18,12,6
Ignacio de la Llave,30,2182,1539,643,2182,1539,643
Ilamatlan,15,1921,1665,256,680,595,85
Isla,47,2311,1908,403,2034,1823,211
Ixcatepec,9,320,293,27,318,293,25
Ixhuacan de Los Reyes,6,480,429,51,460,413,47
Ixhuatlan del Cafe,13,1311,1067,244,1311,1067,244
Ixhuatlancillo,3,629,453,176,620,444,176
Ixhuatlan del Sureste,12,603,514,89,557,468,89
Ixhuatlan de Madero,69,6143,5375,768,5901,5238,663
Ixmatlahuacan,8,459,382,77,459,382,77
Ixtaczoquitlan,15,2608,1900,708,2571,1887,684
Jalacingo,17,1311,1084,227,1311,1084,227
Xalapa,10,597,488,109,491,393,98
Jalcomulco,4,927,866,61,927,866,61
Jaltipan,14,983,859,124,858,783,75
Jamapa,12,753,594,159,753,594,159
Jesus Carranza,52,2473,2054,419,2436,2019,417
Xico,12,1068,888,180,1038,860,178
Jilotepec,5,484,396,88,484,396,88
Juan Rodriguez Clara,46,3891,3016,875,3832,2969,863
Juchique de Ferrer,11,952,779,173,952,779,173
Lerdo de Tejada,3,431,321,110,330,321,9
Maltrata,3,348,285,63,348,285,63
Manlio Fabio Altamirano,28,1981,1627,354,1456,1252,204
Mariano Escobedo,3,203,143,60,200,143,57
Martinez de la Torre,46,3474,2661,813,3251,2503,748
Mecayapan,14,1681,1502,179,1480,1306,174
Medellin,33,2150,1495,655,1975,1417,558
Miahuatlan,C,158,112,46,108,81,27
Minatitlan,122,6700,5663,1037,6614,5593,1021
Misantla,42,2452,1915,537,2301,1812,489
Moloacan,14,626,466,160,626,466,160
Naolinco,4,218,187,31,218,187,31
Nautla,19,1245,909,336,882,694,188
Nogales,6,273,221,52,273,221,52
Oluta,3,318,239,79,308,239,69
Omealca,24,1513,1162,351,1513,1162,351
Otatitlan,4,182,123,59,182,123,59
Oteapan,C,296,276,20,146,126,20
Ozuluama de Mascareñas,39,1836,1611,225,1693,1525,168
Pajapan,10,1141,1058,83,1092,1047,45
Panuco,132,6205,5081,1124,6145,5046,1099
Papantla,70,6314,5214,1100,6246,5214,1032
Paso del Macho,27,1372,1180,192,1368,1180,188
Paso de Ovejas,26,1720,1435,285,1720,1435,285
La Perla,C,96,93,3,93,93,0
Perote,20,2813,2217,596,2463,2216,247
Platon Sanchez,11,1122,1052,70,1122,1052,70
Playa Vicente,65,4577,3647,930,4446,3608,838
Las Vigas de Ramirez,4,596,502,94,596,502,94
Pueblo Viejo,19,928,723,205,928,723,205
Puente Nacional,28,1430,1303,127,1367,1271,96
Rafael Delgado,C,461,355,106,461,355,106
Rafael Lucio,C,96,56,40,20,5,15
Los Reyes,C,212,175,37,212,175,37
Rio Blanco,C,55,27,28,55,27,28
Saltabarranca,4,356,312,44,356,312,44
San Andres Tuxtla,80,7611,6454,1157,7438,6343,1095
San Juan Evangelista,50,2582,2175,407,2554,2162,392
Santiago Tuxtla,45,4280,3695,585,4280,3695,585
Sayula de Aleman,31,2446,2178,268,2446,2178,268
Soconusco,7,379,328,51,357,327,30
Soledad Atzompa,C,350,317,33,308,283,25
Soledad de Doblado,26,1464,1265,199,1446,1247,199
Soteapan,25,3394,2902,492,3301,2812,489
Tamalin,9,267,237,30,257,228,29
Tamiahua,50,2542,2255,287,2391,2114,277
Tampico Alto,23,1417,1177,240,1417,1177,240
Tancoco,9,282,223,59,282,223,59
Tantima,18,897,801,96,897,801,96
Tantoyuca,38,14276,11544,2732,12475,9931,2544
Castillo de Teayo,26,1989,1752,237,1903,1722,181
Tecolutla,37,2051,1683,368,2051,1683,368
Temapache,108,9124,7888,1236,9117,7881,1236
Tempoal,39,2613,2356,257,2611,2356,255
Tenampa,6,891,797,94,847,773,74
Teocelo,C,114,107,7,114,107,7
Tepatlaxco,5,249,207,42,230,190,40
Tepetlan,6,726,615,111,726,615,111
Tepetzintla,12,829,718,111,797,717,80
Tequila,C,31,30,1,31,30,1
Jose Azueta,30,2834,2369,465,2755,2312,443
Texcatepec,5,1662,1535,127,112,105,7
Texistepec,21,1137,966,171,993,906,87
Tezonapa,44,4828,3646,1182,4828,3646,1182
Tierra Blanca,80,4662,3811,851,4254,3442,812
Tihuatlan,64,4410,3436,974,4343,3405,938
Tlacojalpan,3,322,251,71,322,251,71
Tlacolulan,C,105,94,11,105,94,11
Tlacotalpan,19,838,685,153,687,679,8
