INEGI. IX Censo Ejidal 2007,,,,,,,
"Total de ejidatarios, comuneros y posesionarios",,,,,,,cuadro 13
por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,total,ejidatarios_y_comuneros_total,ejidatarios_y_comuneros_hombres,ejidatarios_y_comuneros_mujeres,con_parcela_individual_total,con_parcela_individual_hombres,con_parcela_individual_mujeres
Irapuato,80,6172,5340,832,6103,5277,826
Jaral del Progreso,15,1873,1589,284,1642,1582,60
Jerecuaro,42,2861,2438,423,2858,2435,423
Leon,50,3417,2803,614,3245,2693,552
Moroleon,8,364,261,103,364,261,103
Ocampo,16,1304,1073,231,1270,1072,198
Penjamo,151,8500,7130,1370,8403,7080,1323
Pueblo Nuevo,6,259,171,88,259,171,88
Purisima del Rincon,11,679,555,124,679,555,124
Romita,47,2943,2585,358,2943,2585,358
Salamanca,54,3319,2669,650,3296,2655,641
Salvatierra,58,6761,5241,1520,6504,5020,1484
San Diego de la Union,34,1949,1475,474,1473,1109,364
San Felipe,81,6449,5067,1382,6213,4953,1260
San Francisco del Rincon,26,1693,1487,206,1691,1487,204
San Jose Iturbide,3,429,307,122,429,307,122
San Luis de la Paz,24,1883,1418,465,1341,1081,260
Santa Catarina,C,170,115,55,133,90,43
Santa Cruz de Juventino Rosas,26,2354,1925,429,2165,1752,413
Santiago Maravatio,9,366,332,34,365,331,34
Silao,64,3036,2574,462,2917,2493,424
Tarandacuao,3,339,290,49,339,290,49
Tarimoro,14,1237,1025,212,1205,1020,185
Tierra Blanca,3,192,161,31,105,101,4
Uriangato,9,359,262,97,344,249,95
Valle de Santiago,98,6273,5171,1102,5906,5038,868
Victoria,15,1123,863,260,801,625,176
Villagran,11,981,753,228,919,691,228
Xichu,14,1676,1279,397,1577,1217,360
Yuriria,53,4599,3636,963,4328,3418,910
Guerrero,1259,335112,239822,95290,225808,167972,57836
Acapulco de Juarez,45,13671,9046,4625,11721,7816,3905
Ahuacuotzingo,28,3545,3153,392,2055,1812,243
Ajuchitlan del Progreso,39,5191,4246,945,3972,3267,705
Alcozauca de Guerrero,14,4083,3258,825,2391,1988,403
Alpoyeca,5,647,582,65,473,423,50
Apaxtla,4,300,248,52,300,248,52
Arcelia,23,1472,1182,290,1254,1018,236
Atenango del Rio,14,1067,902,165,965,806,159
Atlamajalcingo del Monte,7,2691,2197,494,1767,1601,166
Atlixtac,5,7195,4395,2800,4728,2758,1970
Atoyac de alvarez,36,5830,4485,1345,5156,4014,1142
Ayutla de Los Libres,28,10252,8233,2019,3035,2794,241
Azoyu,11,1812,1571,241,1604,1365,239
Benito Juarez,6,1576,1141,435,1572,1141,431
Buenavista de Cuellar,7,382,334,48,382,334,48
Coahuayutla de Jose Maria Izazaga,35,2583,2273,310,2143,1884,259
Cocula,16,1606,1286,320,1490,1214,276
Copala,6,2559,2509,50,2014,1971,43
Copalillo,9,1954,1484,470,1877,1411,466
Copanatoyac,8,6111,4511,1600,917,617,300
Coyuca de Benitez,32,6965,5788,1177,5706,4844,862
Coyuca de Catalan,56,6773,5459,1314,5308,4270,1038
Cuajinicuilapa,11,2178,1663,515,2135,1637,498
Cualac,C,1486,886,600,1486,886,600
Cuautepec,5,2517,2517,0,2043,2043,0
Cuetzala del Progreso,12,1565,1263,302,1297,1102,195
Cutzamala de Pinzon,33,3979,3427,552,3714,3212,502
Chilapa de alvarez,45,12185,10343,1842,4154,3374,780
Chilpancingo de Los Bravo,31,4899,4193,706,4537,3865,672
Florencio Villarreal,C,2614,2014,600,2614,2014,600
General Canuto A. Neri,5,552,284,268,206,122,84
General Heliodoro Castillo,7,10155,6150,4005,9674,6150,3524
Huamuxtitlan,8,1672,1318,354,1248,1036,212
