INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,,,,
Total de ejidos y comunidades segun tematica de la capacitacion recibida en ultimos cinco años,,,,,,,,,,,,,,,cuadro 36
y ejidatarios participantes por entidad federativa y municipio,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,total,recibieron_capacitacion_tematica_organizacion_agraria_total,recibieron_capacitacion_tematica_organizacion_agraria_ejidatarios_participantes,recibieron_capacitacion_tematica_administracion_agraria_total,recibieron_capacitacion_tematica_administracion_agraria_ejidatarios_participantes,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_cultivos_o_del_bosque_total,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_cultivos_o_del_bosque_ejidatarios_participantes,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_animales_total,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_animales_ejidatarios_participantes,recibieron_capacitacion_tematica_comercializacion_total,recibieron_capacitacion_tematica_comercializacion_ejidatarios_participantes,recibieron_capacitacion_tematica_derechos_agrarios_total,recibieron_capacitacion_tematica_derechos_agrarios_ejidatarios_participantes,no recibieroncapacitacion sobre estas tematicas
Metapa,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Mitontic,C,C,1,78,0,0,0,0,0,0,0,0,0,0,C
Motozintla,43,18,3,109,1,85,9,469,2,51,9,419,1,40,25
Ocosingo,159,40,14,596,5,677,11,372,14,360,3,43,12,604,119
Ocotepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Ocozocoautla de Espinosa,74,18,3,29,1,2,11,392,2,30,0,0,4,111,56
Ostuacan,29,9,2,89,3,410,4,77,4,56,0,0,1,80,20
Osumacinta,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Oxchuc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Palenque,163,27,12,566,3,146,9,210,10,434,2,76,5,218,136
Pantelho,9,6,1,45,1,154,1,150,1,150,0,0,6,1021,3
Pantepec,6,3,1,80,0,0,2,151,0,0,0,0,2,161,3
Pichucalco,9,2,1,113,0,0,1,15,2,140,1,15,0,0,7
Pijijiapan,70,23,9,847,5,179,7,174,10,1012,1,10,3,665,47
El Porvenir,5,3,1,36,1,49,2,67,0,0,0,0,0,0,2
Villa Comaltitlan,19,6,3,145,0,0,4,138,3,142,1,56,1,12,13
Pueblo Nuevo Solistahuacan,21,1,0,0,0,0,1,28,0,0,0,0,0,0,20
Rayon,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Reforma,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Las Rosas,17,2,1,36,0,0,1,41,0,0,0,0,1,41,15
Sabanilla,19,1,0,0,0,0,0,0,1,3,0,0,0,0,18
Salto de Agua,86,9,6,328,4,372,4,364,2,208,0,0,4,365,77
San Cristobal de las Casas,16,4,2,158,0,0,4,847,0,0,0,0,1,122,12
San Fernando,18,6,3,128,2,430,3,199,1,40,2,62,2,126,12
Siltepec,18,7,3,506,0,0,6,771,2,92,0,0,1,272,11
Simojovel,53,8,3,141,1,38,5,239,1,2,1,40,1,168,45
Sitala,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Socoltenango,33,5,1,135,0,0,0,0,1,3,0,0,4,159,28
Solosuchiapa,11,5,1,63,1,20,3,124,2,35,1,71,1,63,6
Soyalo,4,1,0,0,0,0,0,0,1,45,0,0,0,0,3
Suchiapa,9,3,1,50,0,0,2,55,0,0,1,40,2,332,6
Suchiate,17,3,1,24,0,0,0,0,2,25,1,20,0,0,14
Sunuapa,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Tapachula,52,19,15,634,4,271,4,90,0,0,1,20,1,18,33
Tapalapa,C,C,0,0,0,0,1,20,1,8,1,50,1,250,C
Tapilula,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Tecpatan,59,19,8,356,1,15,3,8,5,161,1,36,5,223,40
Tenejapa,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Teopisca,16,4,1,45,0,0,4,427,1,85,0,0,0,0,12
Tila,29,6,3,170,1,35,2,400,2,318,2,350,2,45,23
Tonala,54,22,18,772,8,629,7,268,4,122,1,50,5,242,32
Totolapa,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
La Trinitaria,85,37,10,555,4,152,8,255,18,792,1,80,17,918,48
Tumbala,24,8,1,63,0,0,4,135,5,100,3,155,1,62,16
Tuxtla Gutierrez,6,5,3,117,0,0,2,130,2,66,1,100,2,75,1
Tuxtla Chico,7,4,1,54,0,0,0,0,1,9,1,1,1,12,3
Tuzantan,16,10,7,420,6,605,2,38,1,9,1,25,6,269,6
Tzimol,18,4,1,34,0,0,2,179,2,67,0,0,1,34,14
Union Juarez,12,10,8,398,6,526,5,253,0,0,3,137,7,433,2
Venustiano Carranza,41,9,5,532,1,40,1,25,1,35,0,0,2,70,32
Villa Corzo,71,23,5,399,3,745,19,787,4,211,0,0,0,0,48
Villaflores,67,25,13,1085,6,1125,14,472,11,395,6,320,4,527,42
Yajalon,8,1,1,35,0,0,0,0,0,0,0,0,0,0,7
San Lucas,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Zinacantan,6,3,1,78,0,0,3,10332,0,0,0,0,0,0,3
San Juan Cancuc,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Aldama,C,C,1,56,0,0,0,0,0,0,0,0,0,0,C
Benemerito de las Americas,14,3,0,0,0,0,2,115,1,112,0,0,0,0,11
Maravilla Tenejapa,33,6,1,80,0,0,4,97,3,115,0,0,1,80,27
Marques de Comillas,23,9,1,6,0,0,5,197,4,107,0,0,1,62,14
Montecristo de Guerrero,5,5,2,238,0,0,4,361,3,343,4,347,3,353,0
San Andres Duraznal,5,1,1,230,1,400,1,35,0,0,0,0,0,0,4
Santiago el Pinar,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Chihuahua,987,207,66,8778,25,1608,116,6516,51,1744,31,2602,39,4220,780
Ahumada,24,4,3,106,1,87,0,0,1,11,0,0,4,151,20
Aldama,24,3,2,22,0,0,1,750,0,0,0,0,1,750,21
Allende,21,2,0,0,0,0,1,6,1,18,0,0,0,0,19
Aquiles Serdan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Ascension,21,5,2,34,0,0,2,33,1,1,1,1,1,41,16
Bachiniva,11,1,0,0,0,0,0,0,0,0,0,0,1,57,10
Balleza,20,10,3,753,1,200,10,961,1,260,1,200,2,460,10
Batopilas,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Bocoyna,26,10,2,58,2,80,9,185,1,15,1,50,0,0,16
Buenaventura,9,2,0,0,0,0,0,0,2,55,0,0,0,0,7
Camargo,24,1,0,0,0,0,0,0,0,0,1,7,0,0,23
Carichi,23,4,0,0,0,0,4,59,0,0,0,0,0,0,19
Casas Grandes,13,3,1,100,1,100,3,133,1,3,0,0,0,0,10
Coronado,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Coyame del Sotol,12,4,0,0,2,35,0,0,2,20,0,0,1,4,8
La Cruz,5,2,2,150,1,35,0,0,0,0,0,0,2,183,3
Cuauhtemoc,26,7,3,76,0,0,3,34,3,21,0,0,0,0,19
Cusihuiriachi,21,2,1,220,1,200,1,14,0,0,1,14,0,0,19
Chihuahua,47,6,1,113,1,23,2,21,4,75,2,21,0,0,41
Chinipas,16,4,3,385,0,0,1,300,1,18,0,0,1,18,12
