INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,,,,
Total de ejidos y comunidades segun tematica de la capacitacion recibida en ultimos cinco años,,,,,,,,,,,,,,,cuadro 36
y ejidatarios participantes por entidad federativa y municipio,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,total,recibieron_capacitacion_tematica_organizacion_agraria_total,recibieron_capacitacion_tematica_organizacion_agraria_ejidatarios_participantes,recibieron_capacitacion_tematica_administracion_agraria_total,recibieron_capacitacion_tematica_administracion_agraria_ejidatarios_participantes,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_cultivos_o_del_bosque_total,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_cultivos_o_del_bosque_ejidatarios_participantes,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_animales_total,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_animales_ejidatarios_participantes,recibieron_capacitacion_tematica_comercializacion_total,recibieron_capacitacion_tematica_comercializacion_ejidatarios_participantes,recibieron_capacitacion_tematica_derechos_agrarios_total,recibieron_capacitacion_tematica_derechos_agrarios_ejidatarios_participantes,no recibieroncapacitacion sobre estas tematicas
Carmen,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Cerralvo,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Cienega de Flores,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
China,4,1,0,0,1,10,0,0,0,0,1,10,0,0,3
Dr. Arroyo,106,14,5,125,0,0,1,30,5,67,2,30,5,195,92
Dr. Gonzalez,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Galeana,110,22,8,174,3,114,8,342,9,126,2,56,7,447,88
Garcia,11,6,2,26,0,0,1,12,1,10,1,10,3,105,5
Gral. Bravo,C,C,0,0,0,0,0,0,0,0,0,0,1,53,C
Gral. Escobedo,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Gral. Teran,16,2,1,5,0,0,0,0,0,0,0,0,1,40,14
Gral. Zaragoza,15,8,8,254,3,116,5,196,1,60,1,60,6,209,7
Gral. Zuazua,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Guadalupe,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Hualahuises,5,1,0,0,0,0,0,0,1,6,0,0,0,0,4
Iturbide,12,9,5,25,0,0,5,114,0,0,1,25,5,157,3
Juarez,4,1,1,5,0,0,0,0,0,0,0,0,0,0,3
Lampazos de Naranjo,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Linares,68,5,3,38,0,0,1,10,1,6,0,0,3,123,63
Marin,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Mier y Noriega,14,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Mina,23,2,0,0,0,0,0,0,2,15,1,8,0,0,21
Montemorelos,26,4,0,0,1,5,2,45,0,0,1,15,0,0,22
Monterrey,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Paras,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Pesqueria,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Los Ramones,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Rayones,8,1,0,0,0,0,1,23,0,0,0,0,0,0,7
Sabinas Hidalgo,9,1,0,0,0,0,0,0,1,15,0,0,0,0,8
Salinas Victoria,7,1,0,0,0,0,0,0,0,0,0,0,1,23,6
Hidalgo,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Catarina,5,1,0,0,0,0,1,5,0,0,0,0,0,0,4
Santiago,9,5,0,0,0,0,4,54,1,4,0,0,0,0,4
Vallecillo,11,2,0,0,0,0,0,0,1,15,0,0,2,75,9
Villaldama,5,2,0,0,0,0,1,10,1,21,0,0,0,0,3
Oaxaca,1632,522,171,27076,101,7154,325,37336,143,8335,73,9142,227,30807,1110
Abejones,C,C,1,9,0,0,0,0,0,0,0,0,0,0,C
Acatlan de Perez Figueroa,38,7,3,64,1,3,4,135,2,35,2,53,3,9,31
Asuncion Cacalotepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Asuncion Cuyotepeji,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Asuncion Ixtaltepec,11,1,1,274,1,274,1,12,0,0,0,0,1,274,10
Asuncion Nochixtlan,11,3,1,203,1,75,2,207,1,1,1,1,2,278,8
Asuncion Tlacolulita,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Ayotzintepec,6,2,0,0,1,50,1,20,0,0,0,0,0,0,4
El Barrio de la Soledad,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Calihuala,4,1,0,0,0,0,0,0,0,0,0,0,1,20,3
Candelaria Loxicha,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Cienega de Zimatlan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Ciudad Ixtepec,C,C,1,40,0,0,1,40,0,0,0,0,0,0,C
Coatecas Altas,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Coicoyan de las Flores,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
La Compañia,C,C,0,0,0,0,0,0,1,3,0,0,0,0,C
Concepcion Buenavista,4,1,1,15,1,12,1,6,1,6,0,0,0,0,3
Concepcion Papalo,C,C,0,0,0,0,1,12,0,0,0,0,0,0,C
Constancia del Rosario,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Cosolapa,8,3,2,202,2,245,0,0,0,0,0,0,3,295,5
Cosoltepec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Cuilapam de Guerrero,4,1,0,0,0,0,0,0,0,0,0,0,1,24,3
Cuyamecalco Villa de Zaragoza,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Chahuites,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Chalcatongo de Hidalgo,C,C,1,220,0,0,1,220,0,0,0,0,1,220,C
Chiquihuitlan de Benito Juarez,C,C,1,1,1,6,1,6,1,6,0,0,1,6,C
Heroica Ciudad de Ejutla de Crespo,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Tamazulapam del Espiritu Santo,C,C,1,800,1,4,0,0,0,0,0,0,1,1700,C
Fresnillo de Trujano,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Guadalupe Etla,C,C,0,0,0,0,0,0,0,0,0,0,1,139,C
Guadalupe de Ramirez,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Guelatao de Juarez,C,C,0,0,0,0,0,0,1,5,0,0,0,0,C
Guevea de Humboldt,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Mesones Hidalgo,3,2,1,5,0,0,1,5,2,17,0,0,0,0,1
Villa Hidalgo,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Heroica Ciudad de Huajuapan de Leon,8,6,4,216,1,12,3,73,0,0,1,40,6,325,2
Huautepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Ixtlan de Juarez,10,3,2,356,1,150,3,37,0,0,2,76,2,206,7
Heroica Ciudad de Juchitan de Zaragoza,5,3,1,70,0,0,0,0,2,220,0,0,2,85,2
Loma Bonita,37,12,4,128,2,77,5,232,10,460,1,28,3,157,25
Magdalena Apasco,4,1,0,0,0,0,0,0,0,0,0,0,1,47,3
Magdalena Jaltepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Magdalena Jicotlan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Magdalena Mixtepec,C,C,0,0,0,0,1,160,0,0,0,0,0,0,C
Magdalena Ocotlan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Magdalena Peñasco,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Magdalena Teitipac,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Magdalena Tequisistlan,3,1,0,0,0,0,1,21,1,6,0,0,0,0,2
Magdalena Tlacotepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Magdalena Zahuatlan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Mariscala de Juarez,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Martires de Tacubaya,C,C,1,20,1,20,0,0,0,0,0,0,0,0,C
Matias Romero Avendaño,24,5,2,103,0,0,1,1,2,220,1,40,2,175,19
Miahuatlan de Porfirio Diaz,9,3,1,50,1,12,1,20,0,0,0,0,1,20,6
Mixistlan de la Reforma,C,C,0,0,0,0,0,0,0,0,0,0,1,100,C
Monjas,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Nazareno Etla,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Nejapa de Madero,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Ixpantepec Nieves,3,2,0,0,2,18,1,6,0,0,0,0,1,5,1
Santiago Niltepec,4,1,0,0,0,0,1,200,0,0,0,0,0,0,3
Oaxaca de Juarez,9,2,0,0,0,0,1,6,0,0,0,0,1,40,7
Ocotlan de Morelos,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"La ""Pe""",C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Pinotepa de Don Luis,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Jose del Progreso,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Putla Villa de Guerrero,15,4,1,100,1,100,2,30,1,20,0,0,2,600,11
Santa Catarina Quioquitani,C,C,1,10,0,0,0,0,0,0,0,0,0,0,C
Reforma de Pineda,C,C,1,40,0,0,0,0,0,0,0,0,0,0,C
La Reforma,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Reyes Etla,C,C,1,60,0,0,0,0,1,10,0,0,1,60,C
Rojas de Cuauhtemoc,C,C,0,0,0,0,0,0,1,266,0,0,0,0,C
Salina Cruz,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
San Agustin Amatengo,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Agustin Atenango,C,C,0,0,1,283,0,0,0,0,0,0,1,283,C
San Agustin Chayuco,5,4,0,0,0,0,3,127,3,121,1,23,2,45,1
San Agustin de las Juntas,C,C,0,0,0,0,1,40,0,0,0,0,0,0,C
San Agustin Etla,C,C,0,0,0,0,1,20,0,0,0,0,1,20,C
San Agustin Loxicha,C,C,0,0,0,0,1,800,0,0,0,0,0,0,C
San Agustin Tlacotepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Agustin Yatareni,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Andres Cabecera Nueva,C,C,0,0,0,0,1,60,0,0,0,0,0,0,C
San Andres Dinicuiti,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
San Andres Huaxpaltepec,C,C,1,50,0,0,0,0,1,50,0,0,0,0,C
San Andres Huayapam,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Andres Ixtlahuaca,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Andres Lagunas,C,C,1,120,1,120,1,120,0,0,0,0,1,120,C
San Andres Nuxiño,C,C,1,135,0,0,1,30,0,0,0,0,0,0,C
San Andres Sinaxtla,C,C,0,0,0,0,1,3,0,0,0,0,0,0,C
San Andres Solaga,3,3,1,203,0,0,3,393,0,0,0,0,1,203,0
San Andres Teotilalpam,C,C,1,283,1,283,1,1250,0,0,0,0,1,283,C
San Andres Yaa,C,C,0,0,0,0,1,80,0,0,0,0,0,0,C
San Andres Zabache,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Andres Zautla,3,1,0,0,0,0,1,150,0,0,0,0,0,0,2
San Antonino Castillo Velasco,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Antonino el Alto,C,C,1,12,0,0,2,45,0,0,2,43,1,22,C
San Antonino Monte Verde,C,C,0,0,0,0,1,4,0,0,0,0,0,0,C
San Antonio Acutla,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Antonio de la Cal,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Antonio Huitepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Antonio Nanahuatipam,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
San Antonio Sinicahua,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Antonio Tepetlapa,3,1,0,0,0,0,0,0,1,40,0,0,0,0,2
San Baltazar Chichicapam,C,C,0,0,0,0,2,200,2,80,0,0,2,400,C
San Baltazar Loxicha,C,C,0,0,0,0,1,150,0,0,1,100,0,0,C
San Baltazar Yatzachi el Bajo,4,1,0,0,0,0,1,70,1,10,0,0,0,0,3
San Bartolo Coyotepec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
San Bartolome Ayautla,C,C,0,0,0,0,1,120,0,0,0,0,1,90,C
San Bartolome Loxicha,C,C,0,0,0,0,1,250,0,0,1,250,1,60,C
San Bartolome Quialana,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Bartolome Yucuañe,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Bartolome Zoogocho,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Bartolo Soyaltepec,C,C,0,0,0,0,1,20,0,0,0,0,0,0,C
San Bartolo Yautepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Bernardo Mixtepec,3,1,0,0,0,0,1,20,0,0,0,0,0,0,2
San Blas Atempa,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Carlos Yautepec,18,7,2,112,0,0,5,130,0,0,3,384,2,112,11
San Cristobal Amatlan,4,1,0,0,0,0,1,103,0,0,1,29,0,0,3
San Cristobal Amoltepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Cristobal Suchixtlahuaca,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Dionisio del Mar,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Dionisio Ocotepec,5,1,1,100,0,0,0,0,0,0,0,0,0,0,4
San Dionisio Ocotlan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Esteban Atatlahuca,C,C,1,50,1,30,2,229,0,0,0,0,1,60,C
San Felipe Jalapa de Diaz,12,1,0,0,0,0,0,0,1,20,0,0,0,0,11
San Felipe Tejalapam,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Felipe Usila,8,4,1,30,1,153,3,342,1,42,0,0,2,189,4
San Francisco Cahuacua,C,C,0,0,0,0,1,400,0,0,1,14,1,400,C
San Francisco Cajonos,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Francisco Chapulapa,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Francisco Chindua,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Francisco del Mar,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Francisco Huehuetlan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Francisco Ixhuatan,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
San Francisco Jaltepetongo,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Francisco Lachigolo,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Francisco Nuxaño,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Francisco Ozolotepec,3,3,0,0,0,0,1,262,0,0,0,0,3,503,0
San Francisco Sola,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Francisco Telixtlahuaca,C,C,1,80,1,200,0,0,0,0,0,0,1,300,C
San Francisco Teopan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Francisco Tlapancingo,C,C,0,0,0,0,0,0,0,0,0,0,1,150,C
San Gabriel Mixtepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Ildefonso Amatlan,C,C,0,0,0,0,1,210,0,0,0,0,0,0,C
San Ildefonso Sola,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Ildefonso Villa Alta,5,1,0,0,0,0,0,0,0,0,0,0,1,100,4
San Jacinto Amilpas,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Jacinto Tlacotepec,C,C,0,0,0,0,1,400,1,400,0,0,1,400,C
San Jeronimo Coatlan,C,C,0,0,0,0,1,900,0,0,0,0,0,0,C
San Jeronimo Silacayoapilla,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Jeronimo Sosola,6,1,0,0,1,6,0,0,0,0,0,0,1,200,5
San Jeronimo Taviche,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Jeronimo Tecoatl,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Jorge Nuchita,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
San Jose Ayuquila,C,C,0,0,1,1,1,1,1,1,0,0,1,1,C
San Jose Chiltepec,11,2,0,0,0,0,2,95,0,0,0,0,0,0,9
San Jose del Peñasco,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Jose Estancia Grande,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Jose Tenango,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Juan Achiutla,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Juan Atepec,C,C,1,400,1,400,1,400,0,0,1,400,1,400,C
Animas Trujano,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Juan Bautista Atatlahuca,3,2,0,0,0,0,2,206,0,0,0,0,1,257,1
San Juan Bautista Coixtlahuaca,3,1,0,0,0,0,0,0,0,0,0,0,1,240,2
San Juan Bautista Cuicatlan,16,4,0,0,0,0,3,148,2,63,0,0,0,0,12
San Juan Bautista Guelache,3,1,0,0,0,0,0,0,0,0,0,0,1,120,2
San Juan Bautista Jayacatlan,C,C,0,0,0,0,1,100,0,0,0,0,0,0,C
San Juan Bautista lo de Soto,C,C,1,30,1,30,1,30,0,0,1,15,1,40,C
San Juan Bautista Suchitepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Juan Bautista Tlacoatzintepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Juan Bautista Tlachichilco,C,C,0,0,0,0,1,35,0,0,0,0,1,50,C
San Juan Bautista Tuxtepec,68,13,3,133,1,3,9,155,9,182,1,3,4,103,55
San Juan Cacahuatepec,6,2,1,120,2,12,1,2,1,12,0,0,2,126,4
San Juan Cieneguilla,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Juan Coatzospam,C,C,0,0,0,0,0,0,0,0,1,110,0,0,C
San Juan Colorado,6,3,1,60,1,104,3,330,2,75,0,0,2,164,3
San Juan Comaltepec,3,3,0,0,0,0,3,393,1,180,0,0,1,105,0
San Juan Cotzocon,18,3,0,0,0,0,0,0,3,192,0,0,0,0,15
San Juan Chicomezuchil,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Juan Chilateca,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Juan del Estado,C,C,0,0,0,0,1,30,0,0,0,0,0,0,C
San Juan del Rio,C,C,0,0,0,0,1,15,0,0,0,0,0,0,C
San Juan Diuxi,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Juan Evangelista Analco,C,C,0,0,0,0,1,6,1,6,0,0,0,0,C
San Juan Guelavia,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Juan Guichicovi,31,10,6,478,3,94,4,68,5,188,2,88,5,470,21
San Juan Ihualtepec,C,C,0,0,0,0,1,55,0,0,0,0,0,0,C
San Juan Juquila Mixes,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Juan Juquila Vijanos,C,C,1,21,1,21,1,21,0,0,0,0,0,0,C
San Juan Lachao,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Juan Lachigalla,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
San Juan Lajarcia,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Juan Lalana,4,2,1,280,0,0,1,30,1,10,0,0,0,0,2
San Juan de los Cues,C,C,0,0,0,0,1,50,0,0,0,0,0,0,C
San Juan Mazatlan,20,2,1,5,1,5,0,0,2,40,1,5,1,2,18
San Juan Mixtepec -Dto. 08-,C,C,1,8000,0,0,0,0,0,0,0,0,1,3000,C
San Juan Mixtepec -Dto. 26-,C,C,1,20,0,0,0,0,0,0,0,0,0,0,C
San Juan Ñumi,3,1,0,0,0,0,0,0,0,0,0,0,1,300,2
San Juan Ozolotepec,4,2,1,35,0,0,0,0,0,0,0,0,1,120,2
San Juan Petlapa,6,4,0,0,0,0,4,310,0,0,1,3,1,89,2
San Juan Quiahije,C,C,1,12,1,6,1,12,1,15,0,0,1,5,C
San Juan Quiotepec,4,2,1,62,1,62,2,82,0,0,1,10,1,62,2
San Juan Sayultepec,3,1,1,30,1,30,1,30,0,0,0,0,1,30,2
San Juan Tabaa,C,C,1,120,0,0,1,60,1,70,0,0,0,0,C
San Juan Tamazola,C,C,0,0,0,0,2,184,1,164,0,0,0,0,C
San Juan Teita,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Juan Teitipac,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Juan Tepeuxila,5,2,0,0,0,0,2,230,0,0,0,0,1,180,3
San Juan Teposcolula,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Juan Yaee,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
San Juan Yatzona,C,C,0,0,0,0,0,0,1,10,0,0,1,2,C
San Juan Yucuita,C,C,0,0,1,12,0,0,0,0,0,0,2,49,C
San Lorenzo,3,2,0,0,0,0,1,200,0,0,0,0,2,398,1
San Lorenzo Albarradas,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
San Lorenzo Cacaotepec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
San Lorenzo Texmelucan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Lorenzo Victoria,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Lucas Camotlan,C,C,1,100,0,0,0,0,0,0,0,0,1,100,C
San Lucas Ojitlan,31,10,1,25,1,12,3,53,1,20,0,0,7,220,21
San Lucas Quiavini,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Luis Amatlan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Marcos Arteaga,3,1,0,0,0,0,0,0,0,0,0,0,1,45,2
San Martin de los Cansecos,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Martin Huamelulpam,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Martin Itunyoso,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Martin Lachila,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Martin Peras,C,C,0,0,0,0,1,3000,0,0,0,0,0,0,C
San Martin Tilcajete,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Martin Toxpalan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Mateo Cajonos,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Capulalpam de Mendez,C,C,1,180,1,180,1,180,0,0,1,180,1,180,C
San Mateo del Mar,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Mateo Etlatongo,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Mateo Nejapam,C,C,0,0,0,0,0,0,0,0,0,0,1,12,C
San Mateo Peñasco,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Mateo Rio Hondo,C,C,1,3,0,0,1,3,1,3,0,0,0,0,C
San Mateo Sindihui,C,C,1,18,1,18,1,18,0,0,1,18,0,0,C
San Mateo Tlapiltepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Melchor Betaza,C,C,0,0,0,0,1,80,0,0,0,0,0,0,C
San Miguel Achiutla,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Miguel Aloapam,C,C,1,50,0,0,1,50,1,100,0,0,0,0,C
San Miguel Amatitlan,9,5,4,72,2,58,3,54,1,6,0,0,1,6,4
San Miguel Coatlan,C,C,0,0,0,0,1,30,0,0,0,0,0,0,C
San Miguel Chicahua,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Miguel Chimalapa,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Miguel del Puerto,3,2,2,210,2,160,1,120,1,50,1,120,0,0,1
San Miguel Ejutla,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Miguel el Grande,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Miguel Huautla,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Miguel Mixtepec,C,C,0,0,0,0,1,10,1,10,1,10,0,0,C
San Miguel Panixtlahuaca,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Miguel Peras,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Miguel Piedras,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Miguel Quetzaltepec,C,C,1,500,0,0,1,1000,0,0,1,500,0,0,C
San Miguel Santa Flor,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Villa Sola de Vega,6,5,2,62,1,12,4,492,0,0,0,0,2,550,1
San Miguel Soyaltepec,35,6,1,52,3,129,5,296,1,40,1,87,3,92,29
San Miguel Suchixtepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Villa Talea de Castro,3,1,0,0,0,0,1,500,0,0,0,0,0,0,2
San Miguel Tecomatlan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Miguel Tenango,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Miguel Tequixtepec,C,C,0,0,1,6,1,100,0,0,0,0,0,0,C
San Miguel Tilquiapam,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Miguel Tlacamama,4,3,1,51,1,51,2,161,3,157,2,101,2,107,1
San Miguel Tlacotepec,C,C,1,10,1,10,1,10,0,0,0,0,1,10,C
San Miguel Tulancingo,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Miguel Yotao,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Nicolas Hidalgo,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Pablo Coatlan,3,1,0,0,1,8,1,10,0,0,0,0,0,0,2
San Pablo Cuatro Venados,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Pablo Etla,3,1,1,12,0,0,1,96,0,0,0,0,1,12,2
San Pablo Huitzo,C,C,1,30,0,0,1,10,0,0,0,0,0,0,C
San Pablo Huixtepec,C,C,0,0,0,0,1,40,0,0,0,0,0,0,C
San Pablo Macuiltianguis,C,C,2,50,1,20,1,30,0,0,0,0,2,230,C
San Pablo Tijaltepec,C,C,1,15,1,10,1,40,1,15,0,0,0,0,C
San Pablo Villa de Mitla,6,2,0,0,0,0,2,99,0,0,0,0,1,5,4
San Pablo Yaganiza,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Pedro Amuzgos,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Pedro Apostol,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Pedro Atoyac,3,2,0,0,0,0,1,30,2,26,1,16,1,25,1
San Pedro Cajonos,C,C,0,0,0,0,1,20,0,0,0,0,0,0,C
San Pedro Coxcaltepec Cantaros,C,C,0,0,0,0,1,4,0,0,0,0,0,0,C
San Pedro Comitancillo,C,C,0,0,0,0,1,100,0,0,1,170,0,0,C
San Pedro el Alto,C,C,1,50,0,0,1,80,1,200,1,800,1,6,C
San Pedro Huamelula,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
San Pedro Huilotepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Pedro Ixcatlan,8,3,0,0,0,0,2,135,2,73,1,8,0,0,5
San Pedro Ixtlahuaca,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
