INEGI. IX Censo Ejidal 2007,,,,,,,,,
Superficie total de ejidos y comunidades Agrarias segun distribucion interna de la tierra ,,,,,,,,cuadro 1,
por entidad federativa y municipio,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,superficie_total_(ha),distribucion_interna_de_la_tierra_(ha)_superficie_parcelada,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_total,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_uso_comun,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_asentamiento_humano_total,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_asentamiento_humano_reserva_de_crecimiento,otras_superficies_(ha),unidad_de_medida
Ocozocoautla de Espinosa,74,75372.1800,56706.9400,17991.1700,16847.5700,1143.6000,15.7000,674.0700,Hectarea
Ostuacan,29,27110.5000,23523.5000,3275.7500,2419.0000,856.7500,110.5000,311.2500,Hectarea
Osumacinta,3,5688.2500,2938.1700,2571.2900,2478.5800,92.7100,8.0000,178.7900,Hectarea
Oxchuc,3,37102.0000,15267.0000,21654.0000,21517.0000,137.0000,0.0000,181.0000,Hectarea
Palenque,163,161100.1900,138537.8600,21256.2000,18271.0400,2985.1600,259.5500,1306.1300,Hectarea
Pantelho,9,6556.3200,5809.0000,642.3200,367.3200,275.0000,42.0000,105.0000,Hectarea
Pantepec,6,9110.7400,6783.6400,2300.6600,2177.0000,123.6600,0.0000,26.4400,Hectarea
Pichucalco,9,7946.0000,7457.0000,437.0000,370.0000,67.0000,0.0000,52.0000,Hectarea
Pijijiapan,70,101171.0000,61573.5000,38909.5000,37957.0000,952.5000,31.0000,688.0000,Hectarea
El Porvenir,5,9071.0000,7291.0000,1644.0000,1482.0000,162.0000,48.0000,136.0000,Hectarea
Villa Comaltitlan,19,19848.7600,18977.6000,543.8200,202.2000,341.6200,0.0000,327.3400,Hectarea
Pueblo Nuevo Solistahuacan,21,21859.0000,16233.0000,5472.5000,4993.5000,479.0000,6.0000,153.5000,Hectarea
Rayon,4,3350.0000,1550.0000,1756.0000,1571.0000,185.0000,10.0000,44.0000,Hectarea
Reforma,7,8472.0000,7780.0000,63.0000,0.0000,63.0000,0.0000,629.0000,Hectarea
Las Rosas,17,13631.7500,8834.8000,4770.7500,4535.0000,235.7500,104.2500,26.2000,Hectarea
Sabanilla,19,23753.6400,14458.2300,9123.4100,8781.0000,342.4100,85.0000,172.0000,Hectarea
Salto de Agua,86,82633.5000,73293.5000,8149.5000,7191.0000,958.5000,27.0000,1190.5000,Hectarea
San Cristobal de las Casas,16,14751.1800,9051.1500,5524.5800,5042.6000,481.9800,220.0000,175.4500,Hectarea
San Fernando,18,13485.9200,9395.8700,3600.7000,3045.1500,555.5500,14.1900,489.3500,Hectarea
Siltepec,18,71116.0000,44537.0000,23141.0000,21836.0000,1305.0000,761.0000,3438.0000,Hectarea
Simojovel,53,24307.5900,12950.2600,10939.3300,10613.2300,326.0900,0.0000,418.0000,Hectarea
