INEGI. IX Censo Ejidal 2007,,,,
"Ejidos y comunidades con tractores de su propiedad, segun cantidad y funcionamiento",,,,cuadro 26
por entidad federativa y municipio,,,,
,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_tractores,cantidad_de_tractores,ejidos_y_comunidades_con tractores_en_funcionamiento,cantidad_de_tractores_en_funcionamiento
Ruiz,1,2,1,2
San Blas,1,1,1,1
Santiago Ixcuintla,3,5,3,5
Tepic,5,8,5,8
Nuevo Leon,58,82,49,69
Dr. Arroyo,17,20,13,15
Galeana,17,29,14,24
Hualahuises,1,5,1,5
Linares,7,11,7,10
Mina,12,12,10,10
Montemorelos,1,1,1,1
Sabinas Hidalgo,1,2,1,2
Salinas Victoria,1,1,1,1
Villaldama,1,1,1,1
Oaxaca,185,290,179,273
Acatlan de Perez Figueroa,3,4,3,4
Asuncion Cuyotepeji,1,1,1,1
Asuncion Ixtaltepec,3,4,3,4
Asuncion Nochixtlan,5,7,5,7
El Barrio de la Soledad,1,5,1,5
Ciudad Ixtepec,1,2,1,2
Concepcion Buenavista,1,1,1,1
Constancia del Rosario,2,2,2,2
Cosoltepec,1,1,1,1
Heroica Ciudad de Ejutla de Crespo,2,6,2,6
Heroica Ciudad de Huajuapan de Leon,2,2,2,2
Ixtlan de Juarez,2,3,2,3
Heroica Ciudad de Juchitan de Zaragoza,2,2,2,2
Loma Bonita,1,1,1,1
Magdalena Apasco,1,1,1,1
Magdalena Jaltepec,1,2,1,2
Santa Magdalena Jicotlan,1,2,1,2
Magdalena Peñasco,1,4,1,4
Magdalena Tlacotepec,1,2,1,2
Matias Romero Avendaño,1,1,1,1
Miahuatlan de Porfirio Diaz,1,1,1,1
Nazareno Etla,1,1,1,1
Ixpantepec Nieves,1,1,1,1
Ocotlan de Morelos,1,1,1,1
Putla Villa de Guerrero,4,5,3,4
Reforma de Pineda,1,1,1,1
La Reforma,1,1,1,1
Salina Cruz,2,6,2,6
San Agustin Amatengo,1,2,1,2
San Agustin Chayuco,1,1,1,1
San Agustin de las Juntas,1,2,1,2
San Andres Cabecera Nueva,1,2,1,2
San Andres Huaxpaltepec,1,1,1,1
San Andres Huayapam,1,1,1,1
San Andres Lagunas,1,4,1,4
San Andres Nuxiño,1,2,1,2
San Andres Sinaxtla,1,2,1,2
San Andres Zautla,1,1,1,1
San Antonio Huitepec,1,1,1,1
San Baltazar Chichicapam,2,4,2,4
San Bartolo Coyotepec,1,1,1,1
San Bartolome Yucuañe,1,2,1,2
San Bartolo Soyaltepec,1,1,1,1
San Bernardo Mixtepec,1,1,1,1
San Cristobal Amoltepec,1,1,1,1
San Dionisio del Mar,1,2,1,1
San Francisco Ixhuatan,1,2,1,2
San Francisco Jaltepetongo,1,2,1,2
San Ildefonso Sola,1,1,1,1
San Jeronimo Sosola,4,5,4,5
San Jose Estancia Grande,1,1,1,1
San Juan Atepec,1,1,1,1
Animas Trujano,1,1,0,0
San Juan Bautista Atatlahuca,1,1,1,1
San Juan Bautista Jayacatlan,1,3,1,3
San Juan Bautista Tuxtepec,3,4,3,4
San Juan Cacahuatepec,1,1,1,1
San Juan Chicomezuchil,1,1,1,1
San Juan Chilateca,1,1,1,1
San Juan del Estado,1,1,1,1
San Juan Guichicovi,1,1,1,1
San Juan Mixtepec -Dto. 26-,1,1,1,1
San Juan Quiahije,1,1,1,1
San Juan Sayultepec,1,1,1,1
San Juan Tamazola,1,6,1,6
San Juan Teita,1,1,1,1
San Juan Yucuita,1,2,1,2
San Lorenzo Victoria,1,3,1,3
San Marcos Arteaga,1,1,1,1
Capulalpam de Mendez,1,1,1,1
San Mateo Sindihui,1,1,1,1
San Mateo Tlapiltepec,1,1,1,1
San Miguel Achiutla,1,1,1,1
San Miguel Peras,1,1,0,0
San Miguel Piedras,1,1,1,1
Villa Sola de Vega,2,2,2,2
San Miguel Soyaltepec,2,3,2,3
San Miguel Tecomatlan,1,1,1,1
San Miguel Tequixtepec,1,2,1,2
San Pablo Coatlan,1,1,1,1
San Pablo Villa de Mitla,1,1,1,1
San Pedro Huamelula,2,6,2,6
San Pedro Juchatengo,1,2,1,2
San Pedro Tapanatepec,2,2,2,2
San Pedro Teozacoalco,1,1,1,1
