INEGI. IX Censo Ejidal 2007,,,,,
Ejidos y comunidades con avecindados segun sexo de los avencindados,,,,,cuadro 15
por entidad federativa y municipio,,,,,
,,,,,
,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_avecindados, avecindados_total, avecindados_hombres, avecindados_mujeres,ejidos_y_comunidades_sin_avecindados
Villa Purificacion,4,222,172,50,9
Quitupan,19,2463,1041,1422,6
El Salto,4,4154,3419,735,0
San Cristobal de la Barranca,1,22,20,2,1
San Diego de Alejandria,1,2,2,0,0
San Juan de los Lagos,2,25,25,0,5
San Marcos,1,63,0,63,3
San Martin Hidalgo,2,7,4,3,16
San Miguel el Alto,0,0,0,0,1
Gomez Farias,3,90,70,20,2
San Sebastian del Oeste,9,288,152,136,9
Santa Maria de los angeles,6,31,31,0,4
Sayula,4,147,47,100,1
Tala,8,376,291,85,5
Talpa de Allende,11,1239,595,644,6
Tamazula de Gordiano,26,8362,4777,3585,9
Tapalpa,4,3236,922,2314,4
Tecalitlan,3,208,98,110,14
Tecolotlan,14,271,217,54,6
Techaluta de Montenegro,0,0,0,0,2
Tenamaxtlan,6,32,21,11,6
Teocaltiche,6,1177,544,633,5
Teocuitatlan de Corona,13,218,151,67,14
Tepatitlan de Morelos,0,0,0,0,2
Tequila,6,52,45,7,9
Teuchitlan,1,2,2,0,5
Tizapan el Alto,7,200,152,48,7
Tlajomulco de Zuñiga,10,3473,1971,1502,15
Tlaquepaque,3,5658,3842,1816,4
Toliman,6,85,82,3,6
Tomatlan,21,1180,678,502,19
Tonala,2,14,14,0,6
Tonaya,0,0,0,0,2
Tonila,3,203,103,100,5
Tototlan,6,276,146,130,16
Tuxcacuesco,5,280,249,31,3
Tuxcueca,4,160,84,76,1
Tuxpan,5,443,114,329,9
Union de San Antonio,9,93,88,5,8
Union de Tula,6,49,44,5,8
Valle de Guadalupe,0,0,0,0,1
Valle de Juarez,5,187,152,35,4
San Gabriel,10,51,40,11,12
Villa Corona,4,925,655,270,1
Villa Guerrero,1,20,10,10,0
Villa Hidalgo,3,177,158,19,1
Cañadas de Obregon,0,0,0,0,1
Yahualica de Gonzalez Gallo,0,0,0,0,3
Zacoalco de Torres,8,828,496,332,8
Zapopan,21,36086,25573,10513,11
Zapotiltic,6,170,116,54,12
Zapotitlan de Vadillo,1,15,9,6,3
Zapotlan del Rey,6,130,127,3,16
Zapotlanejo,5,640,440,200,6
Mexico,654,119666,77873,41793,579
Acambay,20,1239,1060,179,12
Acolman,13,16651,8251,8400,0
Aculco,14,1063,650,413,12
Almoloya de Alquisiras,10,694,568,126,2
Almoloya de Juarez,19,455,324,131,17
Almoloya del Rio,1,5,5,0,3
Amanalco,12,802,506,296,7
Amatepec,11,442,278,164,6
Amecameca,1,20,20,0,10
Apaxco,1,2900,2900,0,1
Atenco,4,2013,913,1100,1
Atizapan,1,12,7,5,0
Atizapan de Zaragoza,0,0,0,0,1
Atlacomulco,13,2020,1489,531,16
Atlautla,2,36,29,7,1
Axapusco,13,545,315,230,3
Ayapango,3,19,16,3,2
Calimaya,5,294,214,80,4
Capulhuac,3,61,47,14,1
Coacalco de Berriozabal,1,60,40,20,1
Coatepec Harinas,7,170,107,63,4
Cocotitlan,0,0,0,0,2
Coyotepec,1,1300,590,710,0
Cuautitlan,1,1200,1200,0,1
Chalco,2,8,8,0,12
Chapa de Mota,12,629,515,114,3
Chapultepec,1,39,24,15,0
Chiautla,4,16,15,1,1
Chicoloapan,1,173,84,89,0
Chiconcuac,1,25,25,0,0
Chimalhuacan,1,2000,1000,1000,0
Donato Guerra,7,1341,812,529,10
Ecatepec de Morelos,0,0,0,0,8
Ecatzingo,2,56,44,12,0
Huehuetoca,3,1806,1756,50,0
Hueypoxtla,6,110,101,9,5
Huixquilucan,0,0,0,0,7
Isidro Fabela,2,5,4,1,2
Ixtapaluca,2,12,7,5,7
Ixtapan de la Sal,2,40,33,7,0
Ixtapan del Oro,6,156,112,44,2
Ixtlahuaca,15,1238,747,491,21
Jaltenco,0,0,0,0,1
Jilotepec,25,2593,2062,531,8
Jilotzingo,2,73,68,5,5
Jiquipilco,8,1004,290,714,7
Jocotitlan,8,850,434,416,7
Joquicingo,2,25,10,15,1
Juchitepec,1,10000,3000,7000,1
Lerma,7,3721,2342,1379,13
Malinalco,4,37,32,5,9
Melchor Ocampo,0,0,0,0,3
Metepec,4,2377,1383,994,1
Mexicaltzingo,0,0,0,0,1
