INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades con superficie de uso comun segun uso agricola,,,,,,cuadro 4,
por entidad federativa y municipio,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_superficie_de_uso_comun,superficie_de_uso_comun_(ha),ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_total,,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_sembrada_en_2007,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_para_sembrarse_solo_por_uno_o_dos_años,unidad_de_medida
Cerritos,17,34399.6600,0,0,0,0,Hectarea
Cerro de San Pedro,5,4971.0000,1,1,1,0,Hectarea
Ciudad Del Maiz,28,131290.0000,10,9,9,1,Hectarea
Ciudad Fernandez,13,24675.4100,0,0,0,0,Hectarea
Tancanhuitz,20,4813.6100,19,18,18,14,Hectarea
Ciudad Valles,33,41061.5800,10,9,9,2,Hectarea
Coxcatlan,7,800.5000,7,4,4,4,Hectarea
Charcas,27,133310.7500,1,1,1,0,Hectarea
ebano,3,365.0000,2,1,1,0,Hectarea
Guadalcazar,52,263275.4800,1,0,0,0,Hectarea
Huehuetlan,9,2225.1600,7,4,4,1,Hectarea
Lagunillas,7,16215.6400,2,1,1,0,Hectarea
Matehuala,43,70151.3100,3,3,3,1,Hectarea
Mexquitic de Carmona,29,35063.3800,1,1,1,0,Hectarea
Moctezuma,29,78445.8700,4,3,3,0,Hectarea
Rayon,8,25501.8000,2,2,2,1,Hectarea
Rioverde,52,164535.7300,8,6,6,1,Hectarea
Salinas,11,64690.0000,0,0,0,0,Hectarea
San Antonio,10,2197.5000,5,3,3,4,Hectarea
San Ciro de Acosta,5,26681.0000,0,0,0,0,Hectarea
San Luis Potosi,33,71802.5400,1,0,0,0,Hectarea
San Martin Chalchicuautla,21,648.0400,10,5,5,4,Hectarea
San Nicolas Tolentino,6,20996.7900,0,0,0,0,Hectarea
Santa Catarina,4,33264.2600,0,0,0,0,Hectarea
Santa Maria Del Rio,12,34254.5900,1,0,0,0,Hectarea
Santo Domingo,25,200061.3800,3,3,3,0,Hectarea
San Vicente Tancuayalab,9,537.0200,2,2,2,1,Hectarea
Soledad de Graciano Sanchez,7,14050.0000,0,0,0,0,Hectarea
Tamasopo,11,73052.0500,1,1,1,1,Hectarea
Tamazunchale,20,9313.9500,13,12,12,7,Hectarea
Tampacan,12,970.4900,7,3,3,4,Hectarea
Tampamolon Corona,16,2027.5200,15,15,15,8,Hectarea
Tamuin,46,10094.7100,12,10,10,1,Hectarea
Tanlajas,6,720.3800,3,3,3,3,Hectarea
Tanquian de Escobedo,1,18.3800,0,0,0,0,Hectarea
Tierra Nueva,1,572.0000,0,0,0,0,Hectarea
Vanegas,20,205670.2500,3,1,1,0,Hectarea
Venado,18,98770.4100,1,1,1,0,Hectarea
Villa de Arriaga,11,22160.0000,0,0,0,0,Hectarea
Villa de Guadalupe,20,118527.2300,3,2,2,0,Hectarea
Villa de la Paz,5,10633.7000,0,0,0,0,Hectarea
Villa de Ramos,18,101059.0600,1,1,1,0,Hectarea
Villa de Reyes,20,72203.2300,1,1,1,0,Hectarea
Villa Hidalgo,27,112840.0000,1,0,0,0,Hectarea
Villa Juarez,9,35777.2000,2,2,2,0,Hectarea
Axtla de Terrazas,5,131.0000,2,0,0,0,Hectarea
Xilitla,16,8437.8500,4,3,3,0,Hectarea
Zaragoza,7,15069.1300,1,1,1,0,Hectarea
Villa de Arista,8,38551.8500,1,1,1,0,Hectarea
Matlapa,3,524.1500,2,1,1,0,Hectarea
El Naranjo,15,29267.0000,7,6,6,1,Hectarea
Sinaloa,933,2215665.0800,272,249,249,107,Hectarea
Ahome,75,49269.2100,7,7,7,1,Hectarea
Angostura,23,4915.6400,6,6,6,0,Hectarea
Badiraguato,41,392451.9900,29,29,29,20,Hectarea
Concordia,29,203130.0300,16,11,11,3,Hectarea
Cosala,37,168955.4300,33,33,33,31,Hectarea
Culiacan,115,151010.9000,29,29,29,11,Hectarea
Choix,60,181232.9000,19,14,14,14,Hectarea
Elota,27,54301.0000,7,5,5,2,Hectarea
Escuinapa,17,43921.2300,6,6,6,0,Hectarea
El Fuerte,85,108010.1100,15,14,14,4,Hectarea
Guasave,65,12442.7600,14,13,13,1,Hectarea
Mazatlan,38,99215.0400,7,5,5,2,Hectarea
Mocorito,63,67377.3400,8,8,8,1,Hectarea
Rosario,48,135835.8400,21,17,17,5,Hectarea
Salvador Alvarado,15,4782.7900,3,2,2,1,Hectarea
San Ignacio,48,235584.5000,22,22,22,10,Hectarea
Sinaloa,118,290699.3300,29,27,27,1,Hectarea
Navolato,29,12529.0400,1,1,1,0,Hectarea
Sonora,864,5056727.9100,305,255,255,29,Hectarea
Aconchi,1,28628.0000,0,0,0,0,Hectarea
Agua Prieta,6,53534.5000,0,0,0,0,Hectarea
alamos,81,281173.9600,51,51,51,5,Hectarea
Altar,5,31701.0000,1,1,1,1,Hectarea
Arivechi,3,25826.0000,1,1,1,0,Hectarea
Arizpe,6,56072.2800,0,0,0,0,Hectarea
Atil,2,6687.0000,0,0,0,0,Hectarea
Bacadehuachi,1,10905.0000,0,0,0,0,Hectarea
Bacanora,4,18441.0000,2,1,1,0,Hectarea
Bacerac,4,30950.5900,2,2,2,0,Hectarea
Bacoachi,5,15101.3600,2,2,2,0,Hectarea
Bacum,34,6137.6000,10,9,9,0,Hectarea
Banamichi,3,18206.4100,0,0,0,0,Hectarea
Baviacora,2,47262.0000,1,1,1,0,Hectarea
Bavispe,2,28036.7500,0,0,0,0,Hectarea
Benjamin Hill,1,1608.0000,0,0,0,0,Hectarea
Caborca,64,250997.7200,17,6,6,1,Hectarea
Cajeme,75,131180.9100,36,34,34,0,Hectarea
Cananea,7,172267.1800,1,1,1,0,Hectarea
Carbo,1,5767.0000,0,0,0,0,Hectarea
La Colorada,6,40124.0000,2,2,2,0,Hectarea
Cucurpe,3,38640.0000,2,2,2,0,Hectarea
Cumpas,7,64181.5000,3,3,3,1,Hectarea
Divisaderos,1,14536.0000,0,0,0,0,Hectarea
Empalme,14,19911.0000,6,5,5,0,Hectarea
Etchojoa,41,14450.5600,17,16,16,0,Hectarea
Fronteras,12,99302.9900,0,0,0,0,Hectarea
Granados,1,21531.0000,0,0,0,0,Hectarea
Guaymas,27,625354.0000,15,15,15,3,Hectarea
Hermosillo,43,103599.2000,9,4,4,1,Hectarea
Huachinera,2,14418.7200,0,0,0,0,Hectarea
Huasabas,1,18222.0000,0,0,0,0,Hectarea
Huatabampo,51,135036.0800,28,25,25,7,Hectarea
Huepac,3,24867.0000,0,0,0,0,Hectarea
Imuris,5,34430.0000,1,1,1,0,Hectarea
Magdalena,9,45916.0000,3,1,1,0,Hectarea
Mazatan,3,21027.0000,1,1,1,1,Hectarea
Moctezuma,4,46402.0000,1,1,1,0,Hectarea
Naco,2,67245.0000,0,0,0,0,Hectarea
Nacori Chico,4,71510.6600,3,3,3,0,Hectarea
Nacozari de Garcia,4,27698.0000,0,0,0,0,Hectarea
Navojoa,41,86633.0000,14,9,9,0,Hectarea
Nogales,7,34922.8000,2,1,1,0,Hectarea
Onavas,2,38967.0000,1,1,1,0,Hectarea
Opodepe,6,50970.0000,0,0,0,0,Hectarea
Oquitoa,1,15404.0000,0,0,0,0,Hectarea
Pitiquito,9,164904.0000,1,0,0,0,Hectarea
Puerto Peñasco,26,186227.9400,0,0,0,0,Hectarea
Quiriego,14,63644.0000,9,7,7,2,Hectarea
Rayon,5,30910.0000,2,2,2,0,Hectarea
Rosario,16,109112.0000,8,7,7,0,Hectarea
Sahuaripa,16,106348.0000,6,6,6,0,Hectarea
San Felipe de Jesus,1,15058.0000,0,0,0,0,Hectarea
San Javier,1,8244.0000,0,0,0,0,Hectarea
San Luis Rio Colorado,36,570016.0000,5,4,4,2,Hectarea
San Miguel de Horcasitas,4,34729.5000,0,0,0,0,Hectarea
San Pedro de la Cueva,6,112604.0000,3,3,3,0,Hectarea
Santa Ana,6,40445.0000,0,0,0,0,Hectarea
Santa Cruz,2,55296.0000,1,1,1,0,Hectarea
Saric,5,30321.0000,0,0,0,0,Hectarea
Soyopa,5,54701.1200,3,2,2,0,Hectarea
Suaqui Grande,1,2996.0000,0,0,0,0,Hectarea
Tepache,2,13751.0000,0,0,0,0,Hectarea
Trincheras,2,22060.0000,1,0,0,0,Hectarea
Tubutama,7,61196.0000,0,0,0,0,Hectarea
Ures,12,86298.4100,2,1,1,0,Hectarea
Villa Hidalgo,3,22293.0000,0,0,0,0,Hectarea
Villa Pesqueira,3,37749.0000,1,1,1,1,Hectarea
Yecora,6,38685.2200,5,4,4,1,Hectarea
General Plutarco Elias Calles,29,175734.1700,10,4,4,2,Hectarea
Benito Juarez,8,4642.5000,8,8,8,0,Hectarea
San Ignacio Rio Muerto,32,12978.2800,8,6,6,1,Hectarea
Tabasco,273,185401.8000,79,60,60,23,Hectarea
Balancan,15,4094.5000,8,7,7,2,Hectarea
Cardenas,17,6860.4700,5,4,4,1,Hectarea
Centla,43,63298.6800,15,11,11,7,Hectarea
Centro,18,17201.3500,3,3,3,2,Hectarea
Comalcalco,7,4315.5900,3,1,1,0,Hectarea
Cunduacan,3,32.2000,2,2,2,0,Hectarea
Emiliano Zapata,5,4127.6300,4,4,4,0,Hectarea
Huimanguillo,29,6854.6200,2,0,0,0,Hectarea
Jalapa,3,14.0000,0,0,0,0,Hectarea
Jalpa de Mendez,8,3671.0000,3,2,2,0,Hectarea
Jonuta,23,23917.2700,4,3,3,1,Hectarea
Macuspana,19,18773.5300,2,2,2,0,Hectarea
Nacajuca,11,4461.7300,2,2,2,1,Hectarea
Paraiso,13,5959.4100,3,2,2,0,Hectarea
Tacotalpa,16,6051.4400,4,0,0,0,Hectarea
Teapa,10,4001.0300,5,3,3,2,Hectarea
Tenosique,33,11767.3700,14,14,14,7,Hectarea
Tamaulipas,920,1134393.3400,112,89,89,6,Hectarea
Abasolo,35,23229.0000,5,5,5,0,Hectarea
Aldama,26,5781.8900,3,2,2,1,Hectarea
Altamira,23,4023.0000,2,2,2,0,Hectarea
Antiguo Morelos,15,7101.8600,1,1,1,1,Hectarea
Burgos,14,41675.0000,0,0,0,0,Hectarea
Bustamante,22,66367.8400,6,5,5,0,Hectarea
Camargo,2,597.3700,1,0,0,0,Hectarea
Casas,23,36004.7100,2,0,0,0,Hectarea
Cruillas,10,36639.0000,1,1,1,1,Hectarea
Gomez Farias,19,23945.0000,0,0,0,0,Hectarea
Gonzalez,45,13495.0300,7,7,7,0,Hectarea
Güemez,35,26857.9000,6,3,3,0,Hectarea
Guerrero,2,743.0000,0,0,0,0,Hectarea
Gustavo Diaz Ordaz,3,57.6200,0,0,0,0,Hectarea
Hidalgo,43,43348.0000,2,2,2,0,Hectarea
Jaumave,40,152358.6800,2,1,1,0,Hectarea
Jimenez,15,12378.5000,2,2,2,0,Hectarea
Llera,48,57509.2500,3,2,2,0,Hectarea
Mainero,10,9654.6400,0,0,0,0,Hectarea
El Mante,48,13403.2600,9,6,6,0,Hectarea
Matamoros,20,12729.5000,4,4,4,0,Hectarea
Mendez,14,27459.0000,3,3,3,0,Hectarea
Miquihuana,9,39132.8400,1,0,0,0,Hectarea
Nuevo Laredo,8,3392.5000,0,0,0,0,Hectarea
Nuevo Morelos,6,6113.5900,0,0,0,0,Hectarea
Ocampo,34,58649.7500,3,3,3,0,Hectarea
Padilla,16,4594.7200,2,2,2,0,Hectarea
Palmillas,5,15310.7400,1,0,0,0,Hectarea
Reynosa,45,10305.3600,9,9,9,0,Hectarea
Rio Bravo,4,58.0000,3,3,3,0,Hectarea
San Carlos,51,56454.0000,3,1,1,1,Hectarea
San Fernando,51,33209.0000,8,7,7,0,Hectarea
San Nicolas,7,20848.0000,0,0,0,0,Hectarea
Soto la Marina,36,28882.5400,2,2,2,0,Hectarea
Tampico,1,37.0000,0,0,0,0,Hectarea
Tula,60,195144.3700,16,15,15,2,Hectarea
Valle Hermoso,1,63.0000,0,0,0,0,Hectarea
Victoria,23,21485.8700,1,0,0,0,Hectarea
Villagran,23,16995.0100,3,1,1,0,Hectarea
Xicotencatl,28,8358.0000,1,0,0,0,Hectarea
Tlaxcala,169,37452.0700,26,24,24,1,Hectarea
Atlangatepec,4,783.0700,0,0,0,0,Hectarea
Altzayanca,12,3926.5100,3,3,3,0,Hectarea
Apizaco,3,79.0000,0,0,0,0,Hectarea
Calpulalpan,10,4360.2800,4,4,4,0,Hectarea
El Carmen Tequexquitla,2,343.0000,0,0,0,0,Hectarea
Cuapiaxtla,4,288.5000,0,0,0,0,Hectarea
Chiautempan,1,79.0000,1,1,1,0,Hectarea
Muñoz de Domingo Arenas,3,67.2900,1,1,1,0,Hectarea
Españita,11,2579.4300,1,1,1,0,Hectarea
Huamantla,9,197.3700,4,4,4,1,Hectarea
Hueyotlipan,11,1863.3800,2,2,2,0,Hectarea
Ixtacuixtla de Mariano Matamoros,14,874.0000,1,0,0,0,Hectarea
Ixtenco,1,147.1900,0,0,0,0,Hectarea
Sanctorum de Lazaro Cardenas,3,919.0000,0,0,0,0,Hectarea
Nanacamilpa de Mariano Arista,4,2877.0000,2,2,2,0,Hectarea
Nativitas,5,16.0000,1,1,1,0,Hectarea
Panotla,4,368.0700,0,0,0,0,Hectarea
Teolocholco,1,120.0000,0,0,0,0,Hectarea
Terrenate,6,1216.6900,1,1,1,0,Hectarea
Tetla de la Solidaridad,6,2015.0000,1,1,1,0,Hectarea
Tetlatlahuca,2,1.2500,0,0,0,0,Hectarea
Tlaxco,28,10279.4900,2,1,1,0,Hectarea
Tocatlan,1,451.0000,0,0,0,0,Hectarea
Zitlaltepec de Trinidad Sanchez Santos,1,284.0000,0,0,0,0,Hectarea
Tzompantepec,3,76.0000,0,0,0,0,Hectarea
Xaloztoc,2,121.0000,0,0,0,0,Hectarea
Xaltocan,3,491.0000,0,0,0,0,Hectarea
Yauhquemecan,3,343.0000,0,0,0,0,Hectarea
Zacatelco,1,20.0000,0,0,0,0,Hectarea
Benito Juarez,1,225.0000,1,1,1,0,Hectarea
Emiliano Zapata,2,1054.0000,0,0,0,0,Hectarea
Lazaro Cardenas,2,313.0000,0,0,0,0,Hectarea
La Magdalena Tlaltelulco,1,6.0000,0,0,0,0,Hectarea
San Damian Texoloc,1,1.0000,0,0,0,0,Hectarea
San Jose Teacalco,1,600.0000,0,0,0,0,Hectarea
San Lucas Tecopilco,1,50.0000,0,0,0,0,Hectarea
Santa Ana Nopalucan,1,14.8000,0,0,0,0,Hectarea
Santa Apolonia Teacalco,1,1.7500,1,1,1,0,Hectarea
Veracruz de Ignacio de la Llave,1164,249866.9400,365,256,256,71,Hectarea
Acajete,2,119.0800,1,1,1,0,Hectarea
Acayucan,5,281.5000,4,4,4,2,Hectarea
Actopan,8,415.8500,2,0,0,0,Hectarea
Acula,3,925.0000,0,0,0,0,Hectarea
Acultzingo,15,5392.0000,1,1,1,0,Hectarea
Alto Lucero de Gutierrez Barrios,4,705.3000,1,1,1,0,Hectarea
Altotonga,7,131.6000,0,0,0,0,Hectarea
Alvarado,5,1097.9300,1,0,0,0,Hectarea
Naranjos Amatlan,4,21.3000,1,0,0,0,Hectarea
Amatlan de los Reyes,7,639.2600,5,1,1,1,Hectarea
angel R. Cabada,6,425.5000,6,4,4,0,Hectarea
La Antigua,1,118.0200,0,0,0,0,Hectarea
Apazapan,4,250.9600,0,0,0,0,Hectarea
Atoyac,2,130.0300,0,0,0,0,Hectarea
Atzacan,4,336.0000,1,1,1,0,Hectarea
Atzalan,11,285.5900,2,1,1,0,Hectarea
Tlaltetela,7,1512.4700,3,1,1,0,Hectarea
Banderilla,1,360.0000,0,0,0,0,Hectarea
Benito Juarez,19,6048.9800,16,13,13,7,Hectarea
Boca Del Rio,2,78.0000,0,0,0,0,Hectarea
Calcahualco,3,1271.0000,1,1,1,0,Hectarea
Camerino Z. Mendoza,1,956.0000,0,0,0,0,Hectarea
Carrillo Puerto,1,43.0000,1,1,1,0,Hectarea
Catemaco,9,3744.0000,2,2,2,0,Hectarea
Cazones,5,190.3200,3,2,2,0,Hectarea
Cerro Azul,3,220.0000,1,1,1,0,Hectarea
Citlaltepetl,1,205.6000,0,0,0,0,Hectarea
Coacoatzintla,3,504.0000,1,1,1,0,Hectarea
Coahuitlan,1,208.0000,1,1,1,1,Hectarea
Coatepec,5,661.0000,2,2,2,0,Hectarea
Coatzacoalcos,1,337.0000,1,1,1,0,Hectarea
Coatzintla,2,0.7500,0,0,0,0,Hectarea
Coetzala,1,4.0000,1,0,0,0,Hectarea
Comapa,1,133.0700,0,0,0,0,Hectarea
Cordoba,11,484.6400,10,2,2,1,Hectarea
Cosamaloapan de Carpio,4,304.1200,3,3,3,1,Hectarea
Coscomatepec,4,372.0000,1,1,1,0,Hectarea
Cosoleacaque,4,1848.3000,1,0,0,0,Hectarea
Cotaxtla,1,212.0000,1,1,1,0,Hectarea
Coxquihui,1,6.0000,0,0,0,0,Hectarea
Coyutla,1,23.0000,1,1,1,0,Hectarea
Cuitlahuac,3,98.0000,0,0,0,0,Hectarea
Chacaltianguis,1,60.0000,1,1,1,0,Hectarea
Chalma,7,1120.7000,5,5,5,0,Hectarea
Chiconamel,4,44.9000,0,0,0,0,Hectarea
Chiconquiaco,6,578.0000,0,0,0,0,Hectarea
Chicontepec,50,2871.0900,13,12,12,7,Hectarea
Chinampa de Gorostiza,6,28.9400,1,0,0,0,Hectarea
Las Choapas,53,11272.5000,13,11,11,7,Hectarea
Chontla,6,666.9700,0,0,0,0,Hectarea
Emiliano Zapata,13,2539.5000,2,1,1,0,Hectarea
Espinal,5,262.0000,0,0,0,0,Hectarea
Gutierrez Zamora,2,152.0300,1,1,1,0,Hectarea
Hidalgotitlan,10,925.2500,3,2,2,0,Hectarea
Huatusco,3,29.0000,3,2,2,0,Hectarea
Huayacocotla,24,14940.1300,7,7,7,0,Hectarea
Hueyapan de Ocampo,14,2593.0000,4,4,4,1,Hectarea
Ignacio de la Llave,1,11.0000,0,0,0,0,Hectarea
Ilamatlan,10,11261.8700,10,8,8,1,Hectarea
Isla,8,230.0000,3,3,3,0,Hectarea
Ixcatepec,1,22.7500,0,0,0,0,Hectarea
Ixhuacan de los Reyes,5,1508.0000,1,1,1,0,Hectarea
Ixhuatlan Del Cafe,2,288.6700,1,0,0,0,Hectarea
Ixhuatlancillo,3,1010.0000,3,3,3,1,Hectarea
Ixhuatlan Del Sureste,2,232.0000,0,0,0,0,Hectarea
Ixhuatlan de Madero,38,1940.6200,10,4,4,2,Hectarea
Ixmatlahuacan,3,770.0000,1,0,0,0,Hectarea
Ixtaczoquitlan,6,245.6500,1,1,1,0,Hectarea
Jalacingo,17,2753.8500,1,1,1,0,Hectarea
Jalcomulco,4,2791.0700,2,2,2,1,Hectarea
Jaltipan,4,280.0000,2,1,1,0,Hectarea
Jesus Carranza,23,3744.7700,8,7,7,0,Hectarea
Xico,8,1472.2000,2,2,2,0,Hectarea
Jilotepec,4,983.0900,0,0,0,0,Hectarea
Juan Rodriguez Clara,4,968.0000,3,1,1,1,Hectarea
Juchique de Ferrer,2,139.0000,2,2,2,1,Hectarea
Maltrata,3,3450.0000,1,1,1,1,Hectarea
Manlio Fabio Altamirano,3,62.7000,1,1,1,0,Hectarea
Mariano Escobedo,1,39.0000,1,1,1,1,Hectarea
Martinez de la Torre,4,1667.0000,3,2,2,0,Hectarea
Mecayapan,1,1924.0000,0,0,0,0,Hectarea
Miahuatlan,1,77.5000,0,0,0,0,Hectarea
Minatitlan,43,5771.2100,8,7,7,2,Hectarea
Misantla,10,1098.9700,4,4,4,1,Hectarea
Moloacan,1,589.0000,1,1,1,1,Hectarea
Naolinco,3,64.5000,1,1,1,0,Hectarea
Nautla,6,815.0000,3,3,3,0,Hectarea
Nogales,5,1025.0000,1,1,1,1,Hectarea
Omealca,3,386.0000,2,0,0,0,Hectarea
Otatitlan,1,0.7500,1,1,1,1,Hectarea
Ozuluama de Mascareñas,22,2133.4000,5,4,4,0,Hectarea
Pajapan,1,16.0000,0,0,0,0,Hectarea
Panuco,47,3253.9100,14,13,13,0,Hectarea
Papantla,7,129.6700,3,0,0,0,Hectarea
Paso Del Macho,2,14.0000,1,0,0,0,Hectarea
Paso de Ovejas,2,288.0000,1,0,0,0,Hectarea
Perote,17,19504.0000,6,6,6,1,Hectarea
Platon Sanchez,2,1015.0000,1,1,1,0,Hectarea
Playa Vicente,11,409.0000,3,3,3,0,Hectarea
Las Vigas de Ramirez,4,1434.0000,1,1,1,1,Hectarea
Pueblo Viejo,4,480.0000,0,0,0,0,Hectarea
Puente Nacional,7,252.0000,4,3,3,0,Hectarea
Rafael Delgado,1,44.9000,1,1,1,0,Hectarea
Los Reyes,2,15.0000,1,0,0,0,Hectarea
Rio Blanco,1,32.0000,0,0,0,0,Hectarea
Saltabarranca,1,433.3300,1,0,0,0,Hectarea
San Andres Tuxtla,35,8891.4700,5,3,3,0,Hectarea
San Juan Evangelista,11,255.8000,4,4,4,0,Hectarea
Santiago Tuxtla,5,96.4000,1,1,1,0,Hectarea
Sayula de Aleman,4,290.0000,1,1,1,1,Hectarea
Soconusco,1,150.0000,1,0,0,0,Hectarea
Soledad Atzompa,2,484.0000,0,0,0,0,Hectarea
Soledad de Doblado,2,21.5000,0,0,0,0,Hectarea
Soteapan,4,972.7500,2,2,2,1,Hectarea
Tamalin,3,216.0900,0,0,0,0,Hectarea
Tamiahua,22,6080.7200,1,1,1,0,Hectarea
Tampico Alto,12,1463.7700,1,1,1,0,Hectarea
Tancoco,5,64.9100,1,0,0,0,Hectarea
Tantima,6,171.8600,0,0,0,0,Hectarea
Tantoyuca,19,524.3800,2,1,1,1,Hectarea
Castillo de Teayo,8,61.0000,7,1,1,0,Hectarea
Tecolutla,6,211.5000,0,0,0,0,Hectarea
Temapache,36,540.8600,13,2,2,0,Hectarea
Tempoal,10,275.3500,5,4,4,1,Hectarea
Tenampa,3,12.0000,3,0,0,0,Hectarea
Tepetlan,5,251.0000,3,3,3,0,Hectarea
Tepetzintla,5,92.0000,0,0,0,0,Hectarea
Jose Azueta,5,831.0000,2,1,1,0,Hectarea
Texcatepec,5,14840.6200,5,5,5,5,Hectarea
Texistepec,6,265.0000,5,5,5,0,Hectarea
Tezonapa,11,1582.4900,3,1,1,1,Hectarea
Tierra Blanca,3,35.4100,2,0,0,0,Hectarea
Tihuatlan,16,129.2500,10,3,3,0,Hectarea
Tlacojalpan,2,589.0000,2,2,2,0,Hectarea
Tlacolulan,1,70.5200,0,0,0,0,Hectarea
Tlacotalpan,2,268.0000,0,0,0,0,Hectarea
Tlachichilco,7,2610.1400,3,3,3,3,Hectarea
Tlalixcoyan,3,29.3800,0,0,0,0,Hectarea
Tlapacoyan,1,2.2300,0,0,0,0,Hectarea
Tlilapan,1,91.0000,1,0,0,0,Hectarea
Tomatlan,2,16.0500,2,1,1,0,Hectarea
Tonayan,2,30.5000,1,1,1,0,Hectarea
Totutla,4,33.3400,1,0,0,0,Hectarea
Tuxpam,25,2063.3200,4,2,2,0,Hectarea
ursulo Galvan,1,4.4700,0,0,0,0,Hectarea
Vega de Alatorre,1,11.2500,0,0,0,0,Hectarea
Veracruz,2,14.0000,1,0,0,1,Hectarea
Villa Aldama,5,989.0000,1,1,1,0,Hectarea
Xoxocotla,1,683.0000,0,0,0,0,Hectarea
Yecuatla,1,3.5000,0,0,0,0,Hectarea
Zacualpan,4,2332.0100,2,2,2,1,Hectarea
Zongolica,6,26.0000,1,0,0,0,Hectarea
Zontecomatlan de Lopez y Fuentes,13,15049.7100,10,10,10,9,Hectarea
Agua Dulce,4,3092.0000,0,0,0,0,Hectarea
El Higo,3,47.0000,2,2,2,0,Hectarea
Tres Valles,5,137.7100,2,1,1,0,Hectarea
Carlos A. Carrillo,2,38.2500,1,0,0,0,Hectarea
Tatahuicapan de Juarez,3,617.0000,1,1,1,0,Hectarea
Uxpanapa,65,35945.8800,6,6,6,2,Hectarea
Yucatan,633,1710329.7800,459,426,426,316,Hectarea
Abala,7,22938.1900,5,5,5,5,Hectarea
Acanceh,5,6971.9400,2,2,2,2,Hectarea
Akil,1,1760.0000,1,1,1,1,Hectarea
Baca,3,2122.5000,1,0,0,0,Hectarea
Bokoba,1,4529.0000,1,0,0,0,Hectarea
Buctzotz,3,1405.7500,2,2,2,2,Hectarea
Cacalchen,1,2037.4500,1,1,1,1,Hectarea
Calotmul,3,3244.0000,2,2,2,2,Hectarea
Cansahcab,5,7709.3800,2,2,2,2,Hectarea
Cantamayec,3,7338.0000,3,3,3,3,Hectarea
Celestun,1,17500.0000,0,0,0,0,Hectarea
Cenotillo,2,21466.0000,1,1,1,0,Hectarea
Conkal,3,1047.0000,0,0,0,0,Hectarea
Cuncunul,4,5940.0000,4,4,4,4,Hectarea
Cuzama,4,6827.9000,3,3,3,3,Hectarea
Chacsinkin,2,5793.0000,2,2,2,0,Hectarea
Chankom,14,34610.0000,13,13,13,11,Hectarea
Chapab,2,11599.0000,2,2,2,2,Hectarea
Chemax,16,94389.4000,15,15,15,13,Hectarea
Chicxulub Pueblo,2,166.4700,0,0,0,0,Hectarea
Chichimila,7,18982.9400,6,5,5,5,Hectarea
Chikindzonot,3,22294.0000,3,3,3,3,Hectarea
Chochola,2,16149.3000,0,0,0,0,Hectarea
Chumayel,1,5756.9000,1,1,1,1,Hectarea
Dzan,1,3082.0400,1,1,1,1,Hectarea
Dzemul,3,8142.0000,1,1,1,1,Hectarea
Dzidzantun,1,609.0000,1,1,1,1,Hectarea
Dzilam de Bravo,2,404.0000,0,0,0,0,Hectarea
Dzilam Gonzalez,1,1922.7800,1,1,1,1,Hectarea
Dzitas,3,21230.0000,3,3,3,3,Hectarea
Dzoncauich,1,256.0000,1,1,1,1,Hectarea
Espita,7,37594.0000,6,6,6,3,Hectarea
Halacho,8,28448.0000,5,2,2,3,Hectarea
Hocaba,4,6380.2700,3,3,3,3,Hectarea
Hoctun,3,6262.2500,2,2,2,2,Hectarea
Homun,5,12738.0000,3,3,3,1,Hectarea
Huhi,2,12050.5000,2,2,2,2,Hectarea
Hunucma,7,27438.1400,3,3,3,2,Hectarea
Ixil,1,5864.6000,1,1,1,0,Hectarea
Izamal,10,25271.4400,9,8,8,5,Hectarea
Kanasin,3,6103.5000,0,0,0,0,Hectarea
Kantunil,2,8305.9700,1,1,1,1,Hectarea
Kaua,2,6813.0000,2,2,2,2,Hectarea
Kinchil,2,22934.0000,1,0,0,0,Hectarea
Kopoma,2,12794.2000,2,2,2,2,Hectarea
Mama,1,6337.1500,1,1,1,1,Hectarea
Mani,2,1898.0000,2,2,2,2,Hectarea
Maxcanu,14,63001.0000,13,11,11,8,Hectarea
Mayapan,1,6853.5900,1,1,1,1,Hectarea
Merida,40,31210.6100,14,11,11,13,Hectarea
Mococha,4,2536.0000,3,3,3,1,Hectarea
Motul,19,10970.7500,14,10,10,6,Hectarea
Muna,4,35885.9300,2,2,2,2,Hectarea
Muxupip,3,6223.0000,2,2,2,2,Hectarea
Opichen,2,24387.0000,2,2,2,1,Hectarea
Oxkutzcab,6,24393.9000,5,5,5,2,Hectarea
Panaba,1,145.0000,1,1,1,1,Hectarea
Peto,29,62239.7700,23,21,21,2,Hectarea
Progreso,5,10578.0000,1,1,1,1,Hectarea
Quintana Roo,2,7887.0000,2,2,2,2,Hectarea
Sacalum,4,13201.0500,4,4,4,4,Hectarea
Samahil,5,24386.8500,2,0,0,0,Hectarea
Sanahcat,1,3263.0000,1,1,1,1,Hectarea
Santa Elena,2,25199.8100,2,2,2,1,Hectarea
Seye,4,14000.0600,1,1,1,1,Hectarea
Sinanche,6,5862.9400,4,4,4,2,Hectarea
Sotuta,4,21069.8400,4,4,4,4,Hectarea
