INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades con superficie de uso comun segun uso agricola,,,,,,cuadro 4,
por entidad federativa y municipio,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_superficie_de_uso_comun,superficie_de_uso_comun_(ha),ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_total,,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_sembrada_en_2007,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_para_sembrarse_solo_por_uno_o_dos_años,unidad_de_medida
General Simon Bolivar,21,120366.4400,3,1,1,0,Hectarea
Gomez Palacio,73,18901.6200,9,7,7,3,Hectarea
Guadalupe Victoria,10,68277.8500,2,2,2,0,Hectarea
Guanacevi,40,388752.8700,12,10,10,0,Hectarea
Hidalgo,17,158263.0000,1,1,1,1,Hectarea
Inde,11,96040.0000,3,3,3,1,Hectarea
Lerdo,29,126652.0000,8,5,5,1,Hectarea
Mapimi,76,303987.5000,15,8,8,4,Hectarea
Mezquital,22,364153.8400,13,13,13,4,Hectarea
Nazas,24,166398.8900,5,3,3,0,Hectarea
Nombre de Dios,19,50226.1600,2,2,2,0,Hectarea
Ocampo,24,211091.6300,4,4,4,0,Hectarea
El Oro,25,242006.3300,4,2,2,2,Hectarea
Otaez,14,135470.0000,10,10,10,2,Hectarea
Panuco de Coronado,17,27174.2700,4,4,4,0,Hectarea
Peñon Blanco,5,32674.8700,0,0,0,0,Hectarea
Poanas,18,39921.4000,1,1,1,0,Hectarea
Pueblo Nuevo,24,632406.2200,18,18,18,0,Hectarea
Rodeo,29,138651.1700,1,1,1,0,Hectarea
San Bernardo,24,135020.0000,2,2,2,0,Hectarea
San Dimas,49,381023.0500,46,46,46,1,Hectarea
San Juan de Guadalupe,21,184522.7100,3,3,3,0,Hectarea
San Juan Del Rio,22,72322.5500,1,1,1,0,Hectarea
San Luis Del Cordero,2,26532.0000,1,1,1,0,Hectarea
San Pedro Del Gallo,11,73729.5000,2,2,2,2,Hectarea
Santa Clara,6,40331.0000,0,0,0,0,Hectarea
Santiago Papasquiaro,62,476953.3400,29,29,29,0,Hectarea
