INEGI. IX Censo Ejidal 2007,,,,,,,
"Total de ejidos y comunidades segun cuenten con sociedades mercantiles, tipo de participantes",,,,,,,cuadro 35
y finalidades de las sociedades por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,_ejidos_y_comunidades,con_sociedades_mercantiles_total,con_sociedades_mercantiles_ejidatarios_participantes,con_sociedades_mercantiles_ejidatarios_participantes_mujeres,con_participantes_no_ejidatarios,solo_para_actividades_agropecuarias_o_forestales,sin_sociedades_mercantiles
Manuel Doblado,33,0,0,0,0,0,33
Comonfort,32,0,0,0,0,0,32
Coroneo,C,C,0,0,0,0,C
Cortazar,23,0,0,0,0,0,23
Cueramaro,15,0,0,0,0,0,15
Doctor Mora,5,0,0,0,0,0,5
Dolores Hidalgo Cuna de la Independencia Nal.,60,0,0,0,0,0,60
Guanajuato,29,0,0,0,0,0,29
Huanimaro,20,0,0,0,0,0,20
Irapuato,80,0,0,0,0,0,80
Jaral del Progreso,15,1,63,20,0,1,14
Jerecuaro,42,0,0,0,0,0,42
Leon,50,0,0,0,0,0,50
Moroleon,8,0,0,0,0,0,8
Ocampo,16,0,0,0,0,0,16
Penjamo,151,0,0,0,0,0,151
Pueblo Nuevo,6,0,0,0,0,0,6
Purisima del Rincon,11,0,0,0,0,0,11
Romita,47,0,0,0,0,0,47
Salamanca,54,0,0,0,0,0,54
Salvatierra,58,0,0,0,0,0,58
San Diego de la Union,34,0,0,0,0,0,34
San Felipe,81,0,0,0,0,0,81
San Francisco del Rincon,26,0,0,0,0,0,26
San Jose Iturbide,3,0,0,0,0,0,3
San Luis de la Paz,24,2,150,82,1,1,22
Santa Catarina,C,C,0,0,0,0,C
Santa Cruz de Juventino Rosas,26,0,0,0,0,0,26
Santiago Maravatio,9,0,0,0,0,0,9
Silao,64,0,0,0,0,0,64
Tarandacuao,3,0,0,0,0,0,3
Tarimoro,14,0,0,0,0,0,14
Tierra Blanca,3,0,0,0,0,0,3
Uriangato,9,0,0,0,0,0,9
Valle de Santiago,98,0,0,0,0,0,98
Victoria,15,0,0,0,0,0,15
Villagran,11,0,0,0,0,0,11
Xichu,14,0,0,0,0,0,14
Yuriria,53,0,0,0,0,0,53
Guerrero,1259,2,2053,85,0,0,1257
Acapulco de Juarez,45,0,0,0,0,0,45
Ahuacuotzingo,28,0,0,0,0,0,28
Ajuchitlan del Progreso,39,0,0,0,0,0,39
Alcozauca de Guerrero,14,0,0,0,0,0,14
Alpoyeca,5,0,0,0,0,0,5
Apaxtla,4,0,0,0,0,0,4
Arcelia,23,0,0,0,0,0,23
Atenango del Rio,14,0,0,0,0,0,14
Atlamajalcingo del Monte,7,0,0,0,0,0,7
Atlixtac,5,0,0,0,0,0,5
