INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades con superficie de uso comun sin vegetacion,,,,,,cuadro 10,
por entidad federativa y municipio,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,total,con_arenales_o_pedregales,ensalitradas,erosionadas,cubiertas_con_agua,otras,erosionadas
Malinalco,4,3,0,1,0,3,1
Metepec,1,0,0,0,0,1,0
Morelos,11,10,0,7,3,3,7
Naucalpan de Juarez,5,3,0,2,0,4,2
Nicolas Romero,4,3,0,1,0,3,1
Nopaltepec,2,1,0,0,2,1,0
Ocoyoacac,3,1,0,0,0,3,0
Ocuilan,1,1,0,1,0,1,1
El Oro,9,2,1,2,2,6,2
Otumba,4,1,0,3,0,2,3
Otzolotepec,3,1,0,1,1,2,1
Ozumba,3,3,0,0,0,3,0
La Paz,1,1,0,0,0,0,0
Polotitlan,7,6,0,2,0,3,2
Rayon,1,0,1,0,0,0,0
San Felipe del Progreso,22,16,2,6,1,6,6
San Martin de las Piramides,5,1,0,0,1,4,0
San Simon de Guerrero,1,1,0,0,0,1,0
Santo Tomas,1,0,0,0,0,1,0
Soyaniquilpan de Juarez,7,3,0,1,2,4,1
Sultepec,2,2,0,1,0,1,1
