INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades medidos por alguna institucion o empresa segun hayan optado,,,,,,cuadro 37,
por el dominio pleno de sus tierras por entidad federativa y municipio,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_medidos,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_para_todo_el_ejido_o_comunidad_,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_ejidatarios,superficie_en_dominio_pleno_(ha),unidad_de_medida
Santiago Xiacui,3,1,1,0,0,1680.0000,Hectarea
Santiago Yaveo,5,1,1,0,0,200.0000,Hectarea
Santiago Yosondua,2,2,2,0,0,3808.6300,Hectarea
Santiago Yucuyachi,1,0,0,0,0,0.0000,Hectarea
Santiago Zacatepec,2,2,2,0,0,500.0000,Hectarea
Santo Domingo Ingenio,1,0,0,0,0,0.0000,Hectarea
Santo Domingo Albarradas,1,0,0,0,0,0.0000,Hectarea
Santo Domingo Armenta,1,0,0,0,0,0.0000,Hectarea
Santo Domingo Chihuitan,1,1,1,0,0,7268.6300,Hectarea
Santo Domingo de Morelos,1,0,0,0,0,0.0000,Hectarea
Santo Domingo Ixcatlan,1,1,1,0,0,1650.0000,Hectarea
Santo Domingo Nuxaa,1,0,0,0,0,0.0000,Hectarea
Santo Domingo Tehuantepec,12,3,2,1,1,1910.0000,Hectarea
Santo Domingo Tlatayapam,1,0,0,0,0,0.0000,Hectarea
Santo Domingo Tonala,1,0,0,0,0,0.0000,Hectarea
Santo Domingo Tonaltepec,1,0,0,0,0,0.0000,Hectarea
Santo Domingo Yanhuitlan,1,0,0,0,0,0.0000,Hectarea
Santo Domingo Zanatepec,5,1,1,0,0,8403.0000,Hectarea
Santos Reyes Nopala,2,0,0,0,0,0.0000,Hectarea
Santos Reyes Yucuna,1,0,0,0,0,0.0000,Hectarea
Santo Tomas Jalieza,3,0,0,0,0,0.0000,Hectarea
Santo Tomas Mazaltepec,1,0,0,0,0,0.0000,Hectarea
Santo Tomas Ocotepec,1,0,0,0,0,0.0000,Hectarea
San Vicente Lachixio,1,0,0,0,0,0.0000,Hectarea
San Vicente Nuñu,1,0,0,0,0,0.0000,Hectarea
Silacayoapam,5,0,0,0,0,0.0000,Hectarea
Tanetze de Zaragoza,1,0,0,0,0,0.0000,Hectarea
Taniche,1,0,0,0,0,0.0000,Hectarea
Teotitlan de Flores Magon,2,1,0,1,10,20.0000,Hectarea
Teotitlan del Valle,2,1,1,0,0,1728.9700,Hectarea
Tepelmeme Villa de Morelos,1,0,0,0,0,0.0000,Hectarea
San Jeronimo Tlacochahuaya,1,1,1,0,0,300.0000,Hectarea
Tlacolula de Matamoros,6,4,2,2,36,6213.0600,Hectarea
Tlacotepec Plumas,1,0,0,0,0,0.0000,Hectarea
Tlalixtac de Cabrera,2,1,1,0,0,100.0000,Hectarea
Totontepec Villa de Morelos,10,6,5,1,130,7010.0000,Hectarea
Trinidad Zaachila,4,0,0,0,0,0.0000,Hectarea
La Trinidad Vista Hermosa,1,0,0,0,0,0.0000,Hectarea
Valerio Trujano,1,0,0,0,0,0.0000,Hectarea
San Juan Bautista Valle Nacional,16,1,0,1,2,2.5000,Hectarea
Villa Diaz Ordaz,2,2,2,0,0,1185.0000,Hectarea
Yogana,2,1,1,0,0,6195.0000,Hectarea
Villa de Zaachila,2,1,1,0,0,800.0000,Hectarea
Zapotitlan del Rio,2,0,0,0,0,0.0000,Hectarea
Zapotitlan Lagunas,1,0,0,0,0,0.0000,Hectarea
Zapotitlan Palmas,2,1,1,0,0,67.0000,Hectarea
Santa Ines de Zaragoza,1,0,0,0,0,0.0000,Hectarea
Zimatlan de alvarez,5,0,0,0,0,0.0000,Hectarea
Puebla,1086,198,131,67,2175,47313.4800,Hectarea
Acajete,7,1,1,0,0,207.0000,Hectarea
Acateno,4,0,0,0,0,0.0000,Hectarea
Acatlan,15,2,2,0,0,0.0000,Hectarea
Acatzingo,9,1,0,1,15,4.0000,Hectarea
Acteopan,3,0,0,0,0,0.0000,Hectarea
Ahuacatlan,1,0,0,0,0,0.0000,Hectarea
Ahuatlan,1,0,0,0,0,0.0000,Hectarea
Ahuazotepec,6,3,1,2,23,43.0000,Hectarea
Ahuehuetitla,3,0,0,0,0,0.0000,Hectarea
Ajalpan,8,5,3,2,6,1573.7500,Hectarea
Aljojuca,4,0,0,0,0,0.0000,Hectarea
Altepexi,2,0,0,0,0,0.0000,Hectarea
Amixtlan,1,0,0,0,0,0.0000,Hectarea
Amozoc,6,0,0,0,0,0.0000,Hectarea
Aquixtla,4,1,1,0,0,550.0000,Hectarea
Atexcal,8,0,0,0,0,0.0000,Hectarea
Atlixco,23,10,7,3,108,607.0000,Hectarea
Atoyatempan,1,0,0,0,0,0.0000,Hectarea
Atzala,1,0,0,0,0,0.0000,Hectarea
Atzitzihuacan,9,0,0,0,0,0.0000,Hectarea
Atzitzintla,5,0,0,0,0,0.0000,Hectarea
Axutla,1,0,0,0,0,0.0000,Hectarea
Ayotoxco de Guerrero,3,0,0,0,0,0.0000,Hectarea
Calpan,3,0,0,0,0,0.0000,Hectarea
Caltepec,9,4,4,0,0,5651.8600,Hectarea
Camocuautla,1,1,0,1,17,17.0000,Hectarea
Caxhuacan,1,1,1,0,0,20.0000,Hectarea
Coatzingo,2,0,0,0,0,0.0000,Hectarea
Cohetzala,2,0,0,0,0,0.0000,Hectarea
Cohuecan,2,0,0,0,0,0.0000,Hectarea
Coronango,3,2,0,2,100,126.0000,Hectarea
Coxcatlan,6,2,2,0,0,5425.3400,Hectarea
Coyotepec,4,0,0,0,0,0.0000,Hectarea
Cuapiaxtla de Madero,1,1,1,0,0,30.0000,Hectarea
Cuautempan,1,0,0,0,0,0.0000,Hectarea
Cuautinchan,7,2,2,0,0,20.0000,Hectarea
Cuautlancingo,3,3,2,1,40,175.0000,Hectarea
Cuayuca de Andrade,5,0,0,0,0,0.0000,Hectarea
Cuetzalan del Progreso,2,0,0,0,0,0.0000,Hectarea
Cuyoaco,10,0,0,0,0,0.0000,Hectarea
Chalchicomula de Sesma,24,1,0,1,20,15.0000,Hectarea
Chiautla,6,2,1,1,1,690.2300,Hectarea
Chiautzingo,5,2,1,1,200,75.0000,Hectarea
Chiconcuautla,1,0,0,0,0,0.0000,Hectarea
Chietla,20,2,1,1,1,8.0000,Hectarea
Chignahuapan,44,7,4,3,14,283.0000,Hectarea
Chignautla,1,0,0,0,0,0.0000,Hectarea
Chila,2,0,0,0,0,0.0000,Hectarea
Chila de la Sal,1,0,0,0,0,0.0000,Hectarea
Honey,1,0,0,0,0,0.0000,Hectarea
Chilchotla,2,0,0,0,0,0.0000,Hectarea
Chinantla,3,0,0,0,0,0.0000,Hectarea
Domingo Arenas,2,0,0,0,0,0.0000,Hectarea
Eloxochitlan,1,0,0,0,0,0.0000,Hectarea
Epatlan,3,0,0,0,0,0.0000,Hectarea
Esperanza,9,1,0,1,3,1.5000,Hectarea
Francisco Z. Mena,20,0,0,0,0,0.0000,Hectarea
General Felipe angeles,5,0,0,0,0,0.0000,Hectarea
Guadalupe,2,0,0,0,0,0.0000,Hectarea
Guadalupe Victoria,10,2,0,2,42,140.0000,Hectarea
Huaquechula,26,9,7,2,19,1747.2000,Hectarea
Huatlatlauca,4,1,1,0,0,0.0000,Hectarea
Huauchinango,4,2,2,0,0,40.0000,Hectarea
Huehuetlan el Chico,2,0,0,0,0,0.0000,Hectarea
Huejotzingo,11,4,0,4,186,68.0000,Hectarea
Hueytamalco,9,0,0,0,0,0.0000,Hectarea
Hueytlalpan,2,1,0,1,10,30.0000,Hectarea
Huitzilan de Serdan,1,0,0,0,0,0.0000,Hectarea
Ixcamilpa de Guerrero,3,0,0,0,0,0.0000,Hectarea
Ixcaquixtla,6,1,0,1,5,5.0000,Hectarea
Ixtacamaxtitlan,23,5,5,0,0,0.0000,Hectarea
Izucar de Matamoros,24,4,4,0,0,2712.8200,Hectarea
Jalpan,7,0,0,0,0,0.0000,Hectarea
Jolalpan,7,2,2,0,0,3123.0000,Hectarea
Jonotla,3,0,0,0,0,0.0000,Hectarea
Jopala,1,0,0,0,0,0.0000,Hectarea
Juan C. Bonilla,2,2,1,1,40,26.5300,Hectarea
Juan N. Mendez,3,0,0,0,0,0.0000,Hectarea
Lafragua,7,0,0,0,0,0.0000,Hectarea
Libres,6,2,1,1,80,264.0000,Hectarea
La Magdalena Tlatlauquitepec,1,1,1,0,0,300.0000,Hectarea
Mazapiltepec de Juarez,3,0,0,0,0,0.0000,Hectarea
Mixtla,1,0,0,0,0,0.0000,Hectarea
Molcaxac,8,3,3,0,0,83.0000,Hectarea
Cañada Morelos,4,1,1,0,0,1705.7900,Hectarea
Nicolas Bravo,1,0,0,0,0,0.0000,Hectarea
Nopalucan,6,0,0,0,0,0.0000,Hectarea
Ocotepec,2,0,0,0,0,0.0000,Hectarea
Ocoyucan,8,6,4,2,110,1868.5300,Hectarea
Olintla,1,0,0,0,0,0.0000,Hectarea
Oriental,7,3,0,3,52,746.0000,Hectarea
Pahuatlan,2,0,0,0,0,0.0000,Hectarea
Palmar de Bravo,13,3,3,0,0,197.8300,Hectarea
Pantepec,15,0,0,0,0,0.0000,Hectarea
Petlalcingo,7,3,3,0,0,964.7000,Hectarea
Piaxtla,3,0,0,0,0,0.0000,Hectarea
Puebla,14,2,2,0,0,274.0000,Hectarea
Quecholac,12,1,1,0,0,3.0000,Hectarea
Rafael Lara Grajales,1,0,0,0,0,0.0000,Hectarea
Los Reyes de Juarez,3,0,0,0,0,0.0000,Hectarea
San Andres Cholula,5,4,4,0,0,271.0000,Hectarea
San Antonio Cañada,2,1,0,1,5,23.0000,Hectarea
San Diego la Mesa Tochimiltzingo,3,1,0,1,2,1.5000,Hectarea
San Felipe Teotlalcingo,3,0,0,0,0,0.0000,Hectarea
San Gabriel Chilac,3,1,0,1,76,200.0000,Hectarea
San Jeronimo Tecuanipan,3,1,1,0,0,78.5000,Hectarea
San Jeronimo Xayacatlan,2,0,0,0,0,0.0000,Hectarea
San Jose Chiapa,7,0,0,0,0,0.0000,Hectarea
San Jose Miahuatlan,7,3,3,0,0,2635.0400,Hectarea
San Juan Atenco,5,0,0,0,0,0.0000,Hectarea
San Martin Texmelucan,11,8,4,4,104,822.2200,Hectarea
San Martin Totoltepec,1,0,0,0,0,0.0000,Hectarea
San Matias Tlalancaleca,3,0,0,0,0,0.0000,Hectarea
San Miguel Xoxtla,1,1,1,0,0,100.0000,Hectarea
San Nicolas Buenos Aires,7,0,0,0,0,0.0000,Hectarea
San Nicolas de los Ranchos,1,0,0,0,0,0.0000,Hectarea
San Pablo Anicano,6,0,0,0,0,0.0000,Hectarea
San Pedro Cholula,2,1,1,0,0,30.0000,Hectarea
San Pedro Yeloixtlahuaca,2,0,0,0,0,0.0000,Hectarea
San Salvador el Seco,4,0,0,0,0,0.0000,Hectarea
San Salvador el Verde,8,1,0,1,45,18.0000,Hectarea
San Salvador Huixcolotla,1,1,0,1,7,5.0000,Hectarea
San Sebastian Tlacotepec,1,0,0,0,0,0.0000,Hectarea
Santa Isabel Cholula,4,1,1,0,0,6.0000,Hectarea
Santiago Miahuatlan,3,1,1,0,0,94.0000,Hectarea
Huehuetlan el Grande,11,0,0,0,0,0.0000,Hectarea
Santo Tomas Hueyotlipan,2,0,0,0,0,0.0000,Hectarea
Soltepec,7,0,0,0,0,0.0000,Hectarea
Tecali de Herrera,10,0,0,0,0,0.0000,Hectarea
Tecamachalco,18,6,4,2,4,342.0000,Hectarea
Tecomatlan,1,0,0,0,0,0.0000,Hectarea
Tehuacan,11,8,7,1,25,1065.0000,Hectarea
Tehuitzingo,8,2,2,0,0,0.0000,Hectarea
Tenampulco,7,0,0,0,0,0.0000,Hectarea
Teopantlan,2,0,0,0,0,0.0000,Hectarea
Teotlalco,2,0,0,0,0,0.0000,Hectarea
Tepanco de Lopez,7,2,1,1,6,1104.0000,Hectarea
Tepatlaxco de Hidalgo,2,0,0,0,0,0.0000,Hectarea
Tepeaca,23,2,0,2,168,418.0000,Hectarea
Tepemaxalco,3,0,0,0,0,0.0000,Hectarea
Tepeojuma,8,1,0,1,30,40.0000,Hectarea
Tepetzintla,3,2,2,0,0,443.7500,Hectarea
Tepexco,4,0,0,0,0,0.0000,Hectarea
Tepexi de Rodriguez,10,1,0,1,10,5.0000,Hectarea
Tepeyahualco,14,1,0,1,20,105.0000,Hectarea
Tepeyahualco de Cuauhtemoc,2,1,1,0,0,0.0000,Hectarea
Tetela de Ocampo,4,0,0,0,0,0.0000,Hectarea
Teziutlan,2,0,0,0,0,0.0000,Hectarea
Tianguismanalco,5,0,0,0,0,0.0000,Hectarea
Tilapa,7,2,0,2,7,10.0000,Hectarea
Tlacotepec de Benito Juarez,17,4,3,1,16,6403.0000,Hectarea
Tlacuilotepec,4,0,0,0,0,0.0000,Hectarea
Tlachichuca,24,5,0,5,143,571.4200,Hectarea
Tlahuapan,15,0,0,0,0,0.0000,Hectarea
Tlanepantla,2,0,0,0,0,0.0000,Hectarea
Tlapacoya,3,0,0,0,0,0.0000,Hectarea
Tlapanala,6,1,1,0,0,373.9900,Hectarea
Tlatlauquitepec,4,2,2,0,0,220.0000,Hectarea
Tlaxco,1,0,0,0,0,0.0000,Hectarea
Tochimilco,12,2,1,1,220,320.0000,Hectarea
Tochtepec,4,0,0,0,0,0.0000,Hectarea
Totoltepec de Guerrero,2,1,1,0,0,264.0900,Hectarea
Tulcingo,2,0,0,0,0,0.0000,Hectarea
Tuzamapan de Galeana,1,0,0,0,0,0.0000,Hectarea
Tzicatlacoyan,6,1,1,0,0,0.0000,Hectarea
Venustiano Carranza,12,1,1,0,0,119.0000,Hectarea
Vicente Guerrero,1,1,1,0,0,797.0000,Hectarea
Xayacatlan de Bravo,1,0,0,0,0,0.0000,Hectarea
Xicotepec,9,0,0,0,0,0.0000,Hectarea
Xicotlan,2,0,0,0,0,0.0000,Hectarea
Xochiapulco,1,1,1,0,0,0.0000,Hectarea
Xochiltepec,2,0,0,0,0,0.0000,Hectarea
Xochitlan de Vicente Suarez,2,1,1,0,0,0.0000,Hectarea
Xochitlan Todos Santos,3,0,0,0,0,0.0000,Hectarea
Yehualtepec,8,0,0,0,0,0.0000,Hectarea
Zacapala,6,0,0,0,0,0.0000,Hectarea
Zacapoaxtla,10,8,6,2,170,422.9000,Hectarea
Zacatlan,18,1,0,1,25,50.0000,Hectarea
Zapotitlan,6,1,1,0,0,67.0000,Hectarea
Zaragoza,2,0,0,0,0,0.0000,Hectarea
Zautla,8,2,2,0,0,25.0000,Hectarea
Zihuateutla,8,0,0,0,0,0.0000,Hectarea
Zinacatepec,1,0,0,0,0,0.0000,Hectarea
Zoquiapan,2,1,1,0,0,41.0000,Hectarea
Zoquitlan,1,0,0,0,0,0.0000,Hectarea
Queretaro,361,133,88,45,628,15016.3500,Hectarea
Amealco de Bonfil,22,6,5,1,25,1582.0000,Hectarea
Pinal de Amoles,17,4,3,1,4,277.0000,Hectarea
Arroyo Seco,11,0,0,0,0,0.0000,Hectarea
Cadereyta de Montes,34,3,3,0,0,239.0000,Hectarea
Colon,42,14,10,4,79,730.5000,Hectarea
Corregidora,16,12,10,2,32,1643.1900,Hectarea
Ezequiel Montes,8,4,2,2,40,313.4000,Hectarea
Huimilpan,16,9,5,4,32,284.0000,Hectarea
Jalpan de Serra,6,1,0,1,25,8.0000,Hectarea
Landa de Matamoros,4,0,0,0,0,0.0000,Hectarea
El Marques,37,25,14,11,165,2393.5000,Hectarea
Pedro Escobedo,17,12,11,1,2,480.0000,Hectarea
Peñamiller,15,1,1,0,0,10.0000,Hectarea
Queretaro,41,19,13,6,93,5935.0700,Hectarea
San Joaquin,3,0,0,0,0,0.0000,Hectarea
San Juan del Rio,50,16,10,6,91,860.1900,Hectarea
Tequisquiapan,12,5,1,4,35,258.0000,Hectarea
Toliman,10,2,0,2,5,2.5000,Hectarea
Quintana Roo,266,68,65,3,300,403448.3000,Hectarea
Cozumel,1,0,0,0,0,0.0000,Hectarea
Felipe Carrillo Puerto,51,10,10,0,0,178770.0000,Hectarea
Isla Mujeres,1,1,1,0,0,29000.0000,Hectarea
Othon P. Blanco,97,44,44,0,0,167872.3000,Hectarea
Benito Juarez,3,1,1,0,0,626.0000,Hectarea
Jose Maria Morelos,64,6,5,1,160,9337.0000,Hectarea
Lazaro Cardenas,33,3,1,2,140,2434.0000,Hectarea
Solidaridad,16,3,3,0,0,15409.0000,Hectarea
San Luis Potosi,1309,152,69,83,1097,27777.1300,Hectarea
Ahualulco,12,1,0,1,4,39.7500,Hectarea
Alaquines,10,3,3,0,0,133.0000,Hectarea
Aquismon,20,0,0,0,0,0.0000,Hectarea
Armadillo de los Infante,7,2,0,2,13,45.0000,Hectarea
Cardenas,4,0,0,0,0,0.0000,Hectarea
Catorce,20,0,0,0,0,0.0000,Hectarea
Cedral,29,1,0,1,1,80.0000,Hectarea
Cerritos,17,5,5,0,0,3305.1200,Hectarea
Cerro de San Pedro,5,3,3,0,0,0.0000,Hectarea
Ciudad del Maiz,28,6,3,3,28,3358.0000,Hectarea
Ciudad Fernandez,14,2,1,1,8,75.0000,Hectarea
Tancanhuitz,23,1,0,1,2,8.8600,Hectarea
Ciudad Valles,56,8,1,7,31,396.9700,Hectarea
Coxcatlan,27,1,0,1,4,5.4700,Hectarea
Charcas,24,0,0,0,0,0.0000,Hectarea
ebano,90,7,2,5,27,413.6500,Hectarea
Guadalcazar,49,13,11,2,6,2218.5000,Hectarea
Huehuetlan,13,3,0,3,77,500.4100,Hectarea
Lagunillas,6,0,0,0,0,0.0000,Hectarea
Matehuala,44,18,6,12,285,4532.1200,Hectarea
Mexquitic de Carmona,28,1,1,0,0,0.0000,Hectarea
Moctezuma,26,2,2,0,0,837.8600,Hectarea
Rayon,8,1,0,1,6,20.0000,Hectarea
Rioverde,47,5,3,2,3,86.5100,Hectarea
Salinas,8,0,0,0,0,0.0000,Hectarea
San Antonio,8,0,0,0,0,0.0000,Hectarea
San Ciro de Acosta,5,0,0,0,0,0.0000,Hectarea
San Luis Potosi,33,13,8,5,183,2523.7400,Hectarea
San Martin Chalchicuautla,56,1,0,1,2,29.2800,Hectarea
San Nicolas Tolentino,5,0,0,0,0,0.0000,Hectarea
Santa Catarina,4,0,0,0,0,0.0000,Hectarea
Santa Maria del Rio,12,0,0,0,0,0.0000,Hectarea
Santo Domingo,19,1,0,1,14,219.6300,Hectarea
San Vicente Tancuayalab,23,1,0,1,29,196.0000,Hectarea
Soledad de Graciano Sanchez,7,5,0,5,64,375.0000,Hectarea
Tamasopo,20,4,2,2,15,988.0000,Hectarea
Tamazunchale,27,2,0,2,67,114.3900,Hectarea
Tampacan,20,1,0,1,1,1.0000,Hectarea
Tampamolon Corona,31,1,1,0,0,282.0000,Hectarea
Tamuin,160,7,1,6,44,418.0700,Hectarea
Tanlajas,25,4,2,2,38,264.0000,Hectarea
Tanquian de Escobedo,5,1,0,1,23,237.8700,Hectarea
Tierra Nueva,1,0,0,0,0,0.0000,Hectarea
Vanegas,20,0,0,0,0,0.0000,Hectarea
Venado,18,0,0,0,0,0.0000,Hectarea
Villa de Arriaga,11,2,1,1,5,100.0000,Hectarea
Villa de Guadalupe,18,1,1,0,0,462.0000,Hectarea
Villa de la Paz,5,1,0,1,2,20.0000,Hectarea
Villa de Ramos,15,0,0,0,0,0.0000,Hectarea
Villa de Reyes,20,4,1,3,21,1928.4900,Hectarea
Villa Hidalgo,27,6,0,6,74,371.1800,Hectarea
Villa Juarez,7,4,4,0,0,3038.2600,Hectarea
Axtla de Terrazas,29,1,0,1,9,70.0000,Hectarea
Xilitla,25,7,7,0,0,0.0000,Hectarea
Zaragoza,7,1,0,1,1,2.0000,Hectarea
Villa de Arista,4,0,0,0,0,0.0000,Hectarea
Matlapa,12,0,0,0,0,0.0000,Hectarea
El Naranjo,15,1,0,1,10,80.0000,Hectarea
Sinaloa,1254,274,212,62,2021,192665.4900,Hectarea
Ahome,114,21,11,10,230,13109.0000,Hectarea
Angostura,62,6,0,6,55,495.5000,Hectarea
Badiraguato,34,5,4,1,203,18.0000,Hectarea
Concordia,29,13,11,2,110,2523.0000,Hectarea
Cosala,35,2,2,0,0,4557.1000,Hectarea
Culiacan,178,55,43,12,669,30616.1100,Hectarea
Choix,61,51,51,0,0,59646.2800,Hectarea
Elota,35,4,4,0,0,5612.5200,Hectarea
Escuinapa,19,2,2,0,0,2391.0000,Hectarea
El Fuerte,103,28,24,4,100,45765.2100,Hectarea
Guasave,137,20,12,8,128,4892.0000,Hectarea
Mazatlan,40,22,19,3,315,7848.0000,Hectarea
Mocorito,68,6,2,4,14,1115.2100,Hectarea
Rosario,47,15,13,2,98,10638.4000,Hectarea
Salvador Alvarado,20,1,0,1,25,443.0000,Hectarea
San Ignacio,51,7,7,0,0,1957.0000,Hectarea
Sinaloa,146,3,0,3,54,524.0000,Hectarea
Navolato,75,13,7,6,20,514.1600,Hectarea
Sonora,820,288,218,70,3199,595267.0900,Hectarea
Aconchi,1,0,0,0,0,0.0000,Hectarea
Agua Prieta,5,1,0,1,83,1336.0000,Hectarea
alamos,50,10,3,7,195,9514.0000,Hectarea
Altar,4,1,1,0,0,0.0000,Hectarea
Arivechi,3,1,1,0,0,14332.0000,Hectarea
Arizpe,5,1,1,0,0,0.0000,Hectarea
Atil,2,1,1,0,0,154.0000,Hectarea
Bacadehuachi,1,0,0,0,0,0.0000,Hectarea
Bacanora,4,0,0,0,0,0.0000,Hectarea
Bacerac,4,0,0,0,0,0.0000,Hectarea
Bacoachi,5,2,2,0,0,65.0000,Hectarea
Bacum,41,3,2,1,15,97.0000,Hectarea
Banamichi,3,0,0,0,0,0.0000,Hectarea
Baviacora,1,0,0,0,0,0.0000,Hectarea
Bavispe,2,0,0,0,0,0.0000,Hectarea
Benjamin Hill,2,2,2,0,0,755.0000,Hectarea
Caborca,62,24,19,5,120,71306.4000,Hectarea
Cajeme,58,21,16,5,190,9465.7000,Hectarea
Cananea,7,2,2,0,0,17185.7400,Hectarea
Carbo,2,0,0,0,0,0.0000,Hectarea
La Colorada,6,4,3,1,54,9890.0000,Hectarea
Cucurpe,3,2,2,0,0,341.0000,Hectarea
Cumpas,6,3,3,0,0,850.0000,Hectarea
Divisaderos,1,0,0,0,0,0.0000,Hectarea
Empalme,11,2,2,0,0,4914.0000,Hectarea
Etchojoa,36,19,12,7,1288,28278.7600,Hectarea
Fronteras,11,1,0,1,29,221.0000,Hectarea
Granados,1,1,0,1,2,4.0000,Hectarea
Guaymas,30,10,9,1,25,7594.0000,Hectarea
Hermosillo,49,18,10,8,156,17094.0000,Hectarea
Huachinera,2,0,0,0,0,0.0000,Hectarea
Huatabampo,54,24,19,5,292,8695.5000,Hectarea
Huepac,2,1,1,0,0,183.0000,Hectarea
Imuris,6,5,5,0,0,792.0000,Hectarea
Magdalena,9,5,5,0,0,10947.0000,Hectarea
Mazatan,2,0,0,0,0,0.0000,Hectarea
Moctezuma,4,1,0,1,5,58.0000,Hectarea
Naco,2,0,0,0,0,0.0000,Hectarea
Nacori Chico,4,1,0,1,214,3877.6000,Hectarea
Nacozari de Garcia,4,1,1,0,0,771.0000,Hectarea
Navojoa,38,23,18,5,78,22793.0000,Hectarea
Nogales,8,8,8,0,0,50803.0000,Hectarea
Onavas,2,0,0,0,0,0.0000,Hectarea
Opodepe,4,3,3,0,0,6800.0000,Hectarea
Pitiquito,11,6,4,2,20,62416.0000,Hectarea
Puerto Peñasco,27,14,12,2,98,36794.8900,Hectarea
Quiriego,15,7,6,1,29,16876.0000,Hectarea
Rayon,5,1,1,0,0,5808.0000,Hectarea
Rosario,16,4,3,1,1,1865.0000,Hectarea
Sahuaripa,17,7,6,1,13,17512.0000,Hectarea
San Javier,1,1,1,0,0,16434.0000,Hectarea
San Luis Rio Colorado,41,9,6,3,55,26766.0000,Hectarea
San Miguel de Horcasitas,4,3,2,1,1,158.0000,Hectarea
San Pedro de la Cueva,6,1,1,0,0,0.0000,Hectarea
Santa Ana,7,6,5,1,40,35918.0000,Hectarea
Santa Cruz,2,1,1,0,0,45000.0000,Hectarea
Saric,3,1,1,0,0,0.0000,Hectarea
Soyopa,5,4,3,1,75,11285.0000,Hectarea
Suaqui Grande,2,2,2,0,0,3000.0000,Hectarea
Tepache,2,0,0,0,0,0.0000,Hectarea
Trincheras,3,2,2,0,0,5926.0000,Hectarea
Tubutama,5,1,1,0,0,340.0000,Hectarea
Ures,8,0,0,0,0,0.0000,Hectarea
Villa Hidalgo,4,0,0,0,0,0.0000,Hectarea
Villa Pesqueira,3,1,1,0,0,3120.0000,Hectarea
Yecora,4,0,0,0,0,0.0000,Hectarea
General Plutarco Elias Calles,28,0,0,0,0,0.0000,Hectarea
Benito Juarez,8,2,2,0,0,925.0000,Hectarea
San Ignacio Rio Muerto,36,14,7,7,121,6005.5000,Hectarea
Tabasco,759,116,70,46,688,39056.0400,Hectarea
Balancan,54,5,2,3,11,206.0000,Hectarea
Cardenas,62,2,0,2,48,234.0000,Hectarea
Centla,54,9,5,4,20,9130.5000,Hectarea
Centro,61,14,5,9,279,2465.7400,Hectarea
Comalcalco,33,10,8,2,48,3058.9700,Hectarea
Cunduacan,44,0,0,0,0,0.0000,Hectarea
Emiliano Zapata,13,0,0,0,0,0.0000,Hectarea
Huimanguillo,116,27,21,6,63,6277.4900,Hectarea
Jalapa,23,1,0,1,12,100.0000,Hectarea
Jalpa de Mendez,28,5,5,0,0,3319.3400,Hectarea
Jonuta,33,0,0,0,0,0.0000,Hectarea
Macuspana,65,7,0,7,110,626.0000,Hectarea
Nacajuca,28,21,19,2,54,11249.0000,Hectarea
Paraiso,16,5,5,0,0,1827.0000,Hectarea
Tacotalpa,35,1,0,1,3,32.0000,Hectarea
Teapa,21,3,0,3,29,285.0000,Hectarea
Tenosique,73,6,0,6,11,245.0000,Hectarea
Tamaulipas,1318,192,135,57,1157,132379.1300,Hectarea
Abasolo,36,11,10,1,54,835.0000,Hectarea
Aldama,54,6,3,3,55,2082.0000,Hectarea
Altamira,36,4,3,1,17,631.0000,Hectarea
Antiguo Morelos,16,1,0,1,10,8.0000,Hectarea
Burgos,18,4,3,1,75,700.0000,Hectarea
Bustamante,17,6,6,0,0,979.0000,Hectarea
Camargo,6,1,1,0,0,78.0000,Hectarea
Casas,20,0,0,0,0,0.0000,Hectarea
Cruillas,10,3,3,0,0,6224.0000,Hectarea
Gomez Farias,22,1,0,1,10,340.0000,Hectarea
Gonzalez,83,24,20,4,82,6499.2100,Hectarea
Güemez,40,6,2,4,90,125.1500,Hectarea
Guerrero,1,1,1,0,0,4000.0000,Hectarea
Gustavo Diaz Ordaz,9,3,2,1,3,52.0000,Hectarea
Hidalgo,61,2,2,0,0,8902.0000,Hectarea
Jaumave,38,16,16,0,0,45637.2000,Hectarea
Jimenez,22,4,3,1,3,72.0000,Hectarea
Llera,50,2,0,2,9,54.0000,Hectarea
Mainero,14,0,0,0,0,0.0000,Hectarea
El Mante,124,6,2,4,17,706.0000,Hectarea
Matamoros,74,22,8,14,398,7806.5000,Hectarea
Mendez,22,2,1,1,1,20.0000,Hectarea
Miquihuana,9,0,0,0,0,0.0000,Hectarea
Nuevo Laredo,16,11,11,0,0,16672.0000,Hectarea
Nuevo Morelos,6,0,0,0,0,0.0000,Hectarea
Ocampo,34,0,0,0,0,0.0000,Hectarea
Padilla,19,1,1,0,0,8.0000,Hectarea
Palmillas,5,1,1,0,0,1000.0000,Hectarea
Reynosa,74,17,16,1,30,5828.0000,Hectarea
Rio Bravo,22,6,5,1,5,55.0000,Hectarea
