INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades medidos por alguna institucion o empresa segun hayan optado,,,,,,cuadro 37,
por el dominio pleno de sus tierras por entidad federativa y municipio,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_medidos,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_para_todo_el_ejido_o_comunidad_,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_ejidatarios,superficie_en_dominio_pleno_(ha),unidad_de_medida
Ahumada,22,14,14,0,0,6553.0000,Hectarea
Aldama,24,9,9,0,0,5224.2000,Hectarea
Allende,20,15,14,1,7,815.0000,Hectarea
Aquiles Serdan,2,2,1,1,6,36.0000,Hectarea
Ascension,14,4,3,1,5,160.0000,Hectarea
Bachiniva,10,5,4,1,320,6000.0000,Hectarea
Balleza,10,0,0,0,0,0.0000,Hectarea
Batopilas,11,0,0,0,0,0.0000,Hectarea
Bocoyna,23,15,14,1,150,25.0000,Hectarea
Buenaventura,9,3,1,2,292,6376.0000,Hectarea
Camargo,22,8,7,1,24,2731.1400,Hectarea
Carichi,18,18,18,0,0,9996.5000,Hectarea
Casas Grandes,12,2,2,0,0,0.0000,Hectarea
Coronado,4,1,1,0,0,145.0000,Hectarea
Coyame del Sotol,12,1,1,0,0,16.8300,Hectarea
La Cruz,4,0,0,0,0,0.0000,Hectarea
Cuauhtemoc,26,17,16,1,94,10095.7500,Hectarea
Cusihuiriachi,16,3,3,0,0,760.0000,Hectarea
Chihuahua,41,31,21,10,453,12469.6500,Hectarea
Chinipas,14,13,13,0,0,6205.7500,Hectarea
Delicias,4,1,1,0,0,150.0000,Hectarea
Dr. Belisario Dominguez,8,2,2,0,0,356.0000,Hectarea
Galeana,4,1,1,0,0,0.0000,Hectarea
Santa Isabel,8,0,0,0,0,0.0000,Hectarea
Gomez Farias,7,4,4,0,0,3800.0000,Hectarea
Gran Morelos,10,0,0,0,0,0.0000,Hectarea
Guachochi,16,2,2,0,0,15.0000,Hectarea
Guadalupe,7,4,2,2,21,84.0000,Hectarea
Guadalupe y Calvo,39,16,14,2,1247,638.0000,Hectarea
Guazapares,11,10,10,0,0,5000.0000,Hectarea
Guerrero,48,2,1,1,25,12.0000,Hectarea
Hidalgo del Parral,10,0,0,0,0,0.0000,Hectarea
Huejotitan,8,1,0,1,10,20.0000,Hectarea
Ignacio Zaragoza,4,0,0,0,0,0.0000,Hectarea
Janos,9,9,8,1,30,4650.0000,Hectarea
Jimenez,50,22,20,2,22,13523.0000,Hectarea
Juarez,9,7,7,0,0,5560.0600,Hectarea
Julimes,5,1,1,0,0,0.0000,Hectarea
Lopez,10,3,3,0,0,1208.5000,Hectarea
Madera,17,0,0,0,0,0.0000,Hectarea
Maguarichi,3,1,1,0,0,0.0000,Hectarea
Matachi,5,3,2,1,1,2176.5400,Hectarea
Matamoros,7,5,5,0,0,3153.0000,Hectarea
Meoqui,4,1,0,1,2,10.0000,Hectarea
Morelos,12,1,1,0,0,0.0000,Hectarea
Moris,8,1,1,0,0,20.0000,Hectarea
Namiquipa,9,0,0,0,0,0.0000,Hectarea
Nonoava,3,1,1,0,0,0.0000,Hectarea
Nuevo Casas Grandes,2,1,1,0,0,4820.0000,Hectarea
Ocampo,16,4,4,0,0,2480.0000,Hectarea
Ojinaga,20,8,8,0,0,4338.0000,Hectarea
Praxedis G. Guerrero,5,1,0,1,2,12.0000,Hectarea
Riva Palacio,9,6,6,0,0,0.0000,Hectarea
Rosales,10,2,1,1,6,36.0000,Hectarea
Rosario,5,0,0,0,0,0.0000,Hectarea
San Francisco de Borja,7,2,1,1,33,3082.0000,Hectarea
San Francisco de Conchos,6,4,2,2,77,2369.0000,Hectarea
San Francisco del Oro,4,1,1,0,0,0.0000,Hectarea
Santa Barbara,9,4,3,1,19,60.0000,Hectarea
Satevo,18,9,4,5,306,9005.0000,Hectarea
Saucillo,13,2,0,2,42,1226.0000,Hectarea
Temosachi,10,1,1,0,0,0.0000,Hectarea
El Tule,4,1,1,0,0,0.0000,Hectarea
Urique,26,1,1,0,0,30.0000,Hectarea
Uruachi,14,1,1,0,0,0.0000,Hectarea
