INEGI. IX Censo Ejidal 2007,,,,,,,,,,
Ejidos y comunidades con bodegas y naves propias segun cantidad y capacidad,,,,,,,,,,cuadro 24
por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_bodegas,cantidad_con_bodegas,superficie,unidad_de_medida,ejidos_y_comunidades_con_naves_para_aves,cantidad_con_naves_para_aves,capacidad_en_numero_de_cabezas,ejidos_y_comunidades_con_naves_para_cerdos,cantidad_con_naves_para_cerdos,capacidad_en_numero_de_cabezas
Celaya,2,2,1101,Metros,0,0,0,0,0,0
Manuel Doblado,1,2,352,Metros,0,0,0,0,0,0
Comonfort,1,1,450,Metros,0,0,0,0,0,0
Cortazar,3,3,1433,Metros,0,0,0,0,0,0
Cueramaro,1,2,2000,Metros,0,0,0,0,0,0
Doctor Mora,2,2,600,Metros,0,0,0,0,0,0
Dolores Hidalgo Cuna de la Independencia Nal.,10,17,4868,Metros,0,0,0,0,0,0
Guanajuato,2,2,250,Metros,0,0,0,0,0,0
Irapuato,6,10,4482,Metros,0,0,0,0,0,0
Jaral del Progreso,2,2,2900,Metros,0,0,0,0,0,0
Jerecuaro,8,9,2015,Metros,0,0,0,0,0,0
Leon,8,25,3505,Metros,0,0,0,4,4,400
Penjamo,9,25,17092,Metros,1,1,2500,0,0,0
Purisima del Rincon,1,1,361,Metros,0,0,0,0,0,0
Romita,8,24,34200,Metros,1,1,500,1,1,100
Salamanca,2,3,1992,Metros,0,0,0,0,0,0
Salvatierra,5,6,5892,Metros,0,0,0,0,0,0
San Diego de la Union,2,3,1021,Metros,0,0,0,0,0,0
San Felipe,9,15,3973,Metros,0,0,0,0,0,0
San Francisco del Rincon,1,1,126,Metros,0,0,0,0,0,0
San Luis de la Paz,9,12,3070,Metros,0,0,0,4,4,406
Santa Cruz de Juventino Rosas,1,2,2300,Metros,0,0,0,0,0,0
Silao,19,41,27868,Metros,0,0,0,0,0,0
Tarimoro,5,11,2672,Metros,0,0,0,0,0,0
Uriangato,1,1,600,Metros,0,0,0,0,0,0
Valle de Santiago,13,25,11168,Metros,0,0,0,0,0,0
Victoria,1,1,200,Metros,0,0,0,0,0,0
Villagran,5,5,3362,Metros,0,0,0,0,0,0
Xichu,1,1,188,Metros,0,0,0,0,0,0
Yuriria,3,4,2072,Metros,0,0,0,0,0,0
Guerrero,91,114,70941,Metros,7,43,122300,7,9,1290
Acapulco de Juarez,2,2,480,Metros,2,8,95000,1,3,400
Ahuacuotzingo,1,1,150,Metros,0,0,0,0,0,0
Ajuchitlan del Progreso,2,2,700,Metros,0,0,0,0,0,0
Alpoyeca,3,4,804,Metros,0,0,0,0,0,0
Apaxtla,1,1,300,Metros,0,0,0,0,0,0
Arcelia,2,2,1200,Metros,0,0,0,0,0,0
Atenango del Rio,1,1,300,Metros,1,15,300,1,1,50
Atlixtac,1,1,50,Metros,0,0,0,0,0,0
Atoyac de alvarez,3,3,1240,Metros,0,0,0,0,0,0
Coahuayutla de Jose Maria Izazaga,3,3,1461,Metros,0,0,0,0,0,0
Copalillo,1,1,500,Metros,0,0,0,0,0,0
Coyuca de Benitez,2,2,750,Metros,0,0,0,0,0,0
Coyuca de Catalan,3,4,870,Metros,0,0,0,1,1,50
Cuajinicuilapa,4,5,492,Metros,0,0,0,0,0,0
Cuetzala del Progreso,1,3,120,Metros,0,0,0,0,0,0
Cutzamala de Pinzon,1,1,1600,Metros,0,0,0,0,0,0
Chilapa de alvarez,2,3,412,Metros,0,0,0,0,0,0
Chilpancingo de los Bravo,5,6,4675,Metros,0,0,0,0,0,0
Florencio Villarreal,1,1,100,Metros,0,0,0,0,0,0
Huamuxtitlan,5,7,770,Metros,0,0,0,0,0,0
Huitzuco de los Figueroa,1,2,750,Metros,0,0,0,0,0,0
Iguala de la Independencia,2,3,11861,Metros,0,0,0,1,1,500
Jose Azueta,3,4,1044,Metros,0,0,0,0,0,0
Juan R. Escudero,1,2,10000,Metros,2,5,9000,0,0,0
Leonardo Bravo,2,3,1350,Metros,0,0,0,0,0,0
Malinaltepec,2,3,420,Metros,0,0,0,0,0,0
Ometepec,2,3,2505,Metros,0,0,0,1,1,40
Petatlan,1,2,5000,Metros,0,0,0,0,0,0
Quechultenango,1,1,750,Metros,0,0,0,0,0,0
San Luis Acatlan,4,4,570,Metros,0,0,0,0,0,0
San Marcos,1,1,300,Metros,0,0,0,0,0,0
San Miguel Totolapan,1,1,300,Metros,0,0,0,0,0,0
Taxco de Alarcon,1,1,40,Metros,0,0,0,1,1,200
Tecoanapa,4,4,1550,Metros,0,0,0,0,0,0
Tepecoacuilco de Trujano,2,4,1950,Metros,1,7,10000,0,0,0
Tixtla de Guerrero,1,1,20,Metros,0,0,0,0,0,0
Tlacoachistlahuaca,1,1,300,Metros,0,0,0,1,1,50
Tlalixtaquilla de Maldonado,1,1,200,Metros,0,0,0,0,0,0
Tlapa de Comonfort,1,3,10000,Metros,0,0,0,0,0,0
Tlapehuala,1,1,1500,Metros,0,0,0,0,0,0
La Union de Isidoro Montes de Oca,2,3,1514,Metros,1,8,8000,0,0,0
Xochihuehuetlan,1,1,200,Metros,0,0,0,0,0,0
Zirandaro,3,3,329,Metros,0,0,0,0,0,0
Zitlala,2,2,350,Metros,0,0,0,0,0,0
Eduardo Neri,2,3,990,Metros,0,0,0,0,0,0
Acatepec,1,1,15,Metros,0,0,0,0,0,0
Marquelia,1,1,60,Metros,0,0,0,0,0,0
Iliatenco,2,2,99,Metros,0,0,0,0,0,0
Hidalgo,109,212,78008,Metros,17,101,123400,11,11,630
Acatlan,7,22,3626,Metros,0,0,0,0,0,0
Acaxochitlan,1,2,400,Metros,0,0,0,0,0,0
Agua Blanca de Iturbide,2,9,4500,Metros,0,0,0,0,0,0
Alfajayucan,2,5,190,Metros,1,3,9000,0,0,0
Almoloya,3,3,2700,Metros,0,0,0,0,0,0
Apan,1,1,540,Metros,0,0,0,0,0,0
Atitalaquia,1,1,240,Metros,0,0,0,0,0,0
Atlapexco,1,1,120,Metros,0,0,0,0,0,0
Atotonilco el Grande,2,3,3600,Metros,0,0,0,0,0,0
Cardonal,1,1,10,Metros,3,3,19000,0,0,0
Cuautepec de Hinojosa,5,12,2050,Metros,0,0,0,0,0,0
Emiliano Zapata,1,6,30,Metros,0,0,0,0,0,0
Epazoyucan,3,5,1250,Metros,0,0,0,0,0,0
Francisco I. Madero,1,1,500,Metros,0,0,0,0,0,0
Huasca de Ocampo,8,16,12750,Metros,1,2,3000,0,0,0
Huautla,1,1,150,Metros,0,0,0,0,0,0
Huazalingo,0,0,0,Metros,1,21,100,1,1,70
Huejutla de Reyes,9,9,2097,Metros,0,0,0,0,0,0
Huichapan,4,5,1097,Metros,2,28,53000,1,1,100
Ixmiquilpan,2,2,280,Metros,1,3,1500,0,0,0
Jacala de Ledezma,2,11,3537,Metros,1,3,9000,0,0,0
Jaltocan,1,1,40,Metros,0,0,0,0,0,0
Metepec,1,5,6000,Metros,0,0,0,0,0,0
Mixquiahuala de Juarez,1,1,1000,Metros,1,1,6000,0,0,0
Nopala de Villagran,1,1,200,Metros,0,0,0,0,0,0
San Felipe Orizatlan,7,7,2310,Metros,0,0,0,0,0,0
Pisaflores,1,1,96,Metros,1,30,300,1,1,30
San Salvador,2,2,1000,Metros,0,0,0,0,0,0
Santiago de Anaya,2,3,1060,Metros,0,0,0,0,0,0
Santiago Tulantepec de Lugo Guerrero,3,3,1520,Metros,0,0,0,1,1,100
Singuilucan,6,17,13240,Metros,0,0,0,0,0,0
Tasquillo,1,1,100,Metros,1,1,2000,0,0,0
Tecozautla,2,3,180,Metros,1,3,10000,0,0,0
Tepehuacan de Guerrero,0,0,0,Metros,0,0,0,3,3,150
Tepeji del Rio de Ocampo,1,2,450,Metros,0,0,0,0,0,0
Villa de Tezontepec,1,6,525,Metros,0,0,0,0,0,0
Tizayuca,1,4,600,Metros,0,0,0,0,0,0
Tlanchinol,1,1,50,Metros,0,0,0,0,0,0
Tolcayuca,1,3,53,Metros,0,0,0,0,0,0
Tula de Allende,1,1,200,Metros,1,1,500,0,0,0
Tulancingo de Bravo,4,12,3293,Metros,0,0,0,0,0,0
Xochiatipan,0,0,0,Metros,0,0,0,3,3,150
Yahualica,0,0,0,Metros,0,0,0,1,1,30
Zacualtipan de angeles,4,4,414,Metros,0,0,0,0,0,0
Zapotlan de Juarez,1,5,1500,Metros,0,0,0,0,0,0
Zempoala,5,9,4200,Metros,0,0,0,0,0,0
Zimapan,4,4,310,Metros,2,2,10000,0,0,0
Jalisco,561,991,431605,Metros,12,48,946780,23,73,30529
Acatic,2,35,300,Metros,0,0,0,0,0,0
Acatlan de Juarez,6,9,5075,Metros,0,0,0,0,0,0
Ahualulco de Mercado,6,10,8520,Metros,0,0,0,0,0,0
Amacueca,1,1,400,Metros,0,0,0,0,0,0
Amatitan,5,11,6431,Metros,0,0,0,0,0,0
Ameca,28,54,19172,Metros,0,0,0,0,0,0
San Juanito de Escobedo,5,12,3040,Metros,0,0,0,0,0,0
Arandas,1,5,3200,Metros,0,0,0,0,0,0
El Arenal,3,18,4050,Metros,0,0,0,0,0,0
Atemajac de Brizuela,3,4,4211,Metros,0,0,0,0,0,0
Atengo,6,7,1566,Metros,0,0,0,0,0,0
Atenguillo,2,2,164,Metros,0,0,0,0,0,0
Atotonilco el Alto,6,12,2082,Metros,0,0,0,0,0,0
Atoyac,3,3,330,Metros,0,0,0,0,0,0
Autlan de Navarro,5,6,5194,Metros,0,0,0,1,3,400
Ayotlan,10,12,9421,Metros,0,0,0,0,0,0
Ayutla,10,18,7270,Metros,0,0,0,0,0,0
La Barca,8,12,3098,Metros,0,0,0,0,0,0
Cabo Corrientes,5,7,3562,Metros,1,1,700,0,0,0
Casimiro Castillo,9,13,3835,Metros,0,0,0,0,0,0
Cihuatlan,2,2,2600,Metros,0,0,0,0,0,0
Zapotlan el Grande,2,4,1280,Metros,0,0,0,0,0,0
Cocula,7,15,3697,Metros,0,0,0,0,0,0
Colotlan,1,1,288,Metros,0,0,0,0,0,0
Concepcion de Buenos Aires,4,6,1510,Metros,0,0,0,0,0,0
Cuautitlan de Garcia Barragan,6,8,3168,Metros,0,0,0,0,0,0
Cuautla,2,3,7150,Metros,0,0,0,0,0,0
Cuquio,12,17,38080,Metros,0,0,0,0,0,0
Chapala,2,2,504,Metros,0,0,0,1,3,300
Chimaltitan,1,2,100,Metros,0,0,0,0,0,0
Chiquilistlan,3,5,1124,Metros,0,0,0,0,0,0
Degollado,8,14,5801,Metros,1,2,6000,1,1,100
Ejutla,1,1,100,Metros,0,0,0,0,0,0
Encarnacion de Diaz,4,14,1580,Metros,0,0,0,0,0,0
