INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,,,,
Total de ejidos y comunidades segun tipo de actividad agropecuaria o forestal,,,,,,,,,,,,,,,CUADRO 18
y forma de explotacion por entidad federativa y municipio,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
entidada_federativa_y _municipio,ejidos_y_comunidades,actividad_agropecuaria_o_forestal_a_total_de_ejidos_y_comunidades_con_actividad_agropecuaria_o_forestal,actividad_agropecuaria_o_forestal_a_agricola_total,actividad_agropecuaria_o_forestal_a_agricola_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_agricola_en_forma_colectiva,actividad_agropecuaria_o_forestal_a_ganadera_total,actividad_agropecuaria_o_forestal_a_ganadera_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_ganadera_en_forma_colectiva,actividad_agropecuaria_o_forestal_a_forestal_total,actividad_agropecuaria_o_forestal_a_forestal_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_forestal_en_forma_colectiva,actividad_agropecuaria_o_forestal_a_recoleccion_total,actividad_agropecuaria_o_forestal_a_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_en_forma_colectiva,sin actividades_de_este_tipo
Santiago,9,7,6,3,0,2,1,0,1,1,0,2,1,0,2
Vallecillo,11,11,4,0,0,11,7,1,0,0,0,0,0,0,0
Villaldama,5,5,3,2,1,5,3,1,0,0,0,0,0,0,0
Oaxaca,1632,1630,1596,1398,130,1322,486,36,302,183,120,565,378,57,2
Abejones,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Acatlan de Perez Figueroa,38,38,38,37,5,26,3,0,5,2,1,5,4,0,0
Asuncion Cacalotepec,C,C,1,1,0,1,0,0,0,0,0,1,1,0,C
Asuncion Cuyotepeji,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Asuncion Ixtaltepec,11,11,11,8,0,11,5,0,0,0,0,3,2,0,0
Asuncion Nochixtlan,11,11,11,11,2,10,2,0,2,2,2,8,4,2,0
Asuncion Tlacolulita,C,C,2,2,0,2,0,0,0,0,0,0,0,0,C
Ayotzintepec,6,6,6,4,1,4,2,1,1,0,0,4,2,1,0
El Barrio de la Soledad,C,C,2,2,0,2,0,0,1,0,0,1,1,0,C
Calihuala,4,4,4,4,0,4,2,0,0,0,0,0,0,0,0
Candelaria Loxicha,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Cienega de Zimatlan,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Ciudad Ixtepec,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Coatecas Altas,C,C,2,2,0,1,0,0,0,0,0,0,0,0,C
Coicoyan de las Flores,C,C,2,2,1,2,0,0,0,0,0,0,0,0,C
La Compañia,C,C,3,3,0,3,2,0,0,0,0,2,2,0,C
Concepcion Buenavista,4,4,4,4,0,4,0,0,0,0,0,1,1,0,0
Concepcion Papalo,C,C,2,1,0,1,0,0,1,0,0,1,1,0,C
Constancia del Rosario,C,C,2,2,0,1,0,0,1,0,0,1,0,0,C
Cosolapa,8,8,8,8,1,8,0,0,2,0,0,3,3,1,0
Cosoltepec,3,3,3,3,0,3,3,0,0,0,0,2,0,0,0
Cuilapam de Guerrero,4,4,4,2,0,2,0,0,1,0,0,4,2,0,0
Cuyamecalco Villa de Zaragoza,C,C,2,2,0,1,0,0,1,1,1,1,0,0,C
Chahuites,C,C,1,1,0,1,0,0,0,0,0,1,1,0,C
Chalcatongo de Hidalgo,C,C,2,2,0,0,0,0,0,0,0,0,0,0,C
Chiquihuitlan de Benito Juarez,C,C,1,1,1,1,1,0,0,0,0,0,0,0,C
Heroica Ciudad de Ejutla de Crespo,13,13,13,10,0,11,5,0,0,0,0,2,2,0,0
Tamazulapam del Espiritu Santo,C,C,1,1,0,0,0,0,0,0,0,1,0,1,C
Fresnillo de Trujano,C,C,2,2,0,1,1,0,0,0,0,0,0,0,C
Guadalupe Etla,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Guadalupe de Ramirez,C,C,2,2,0,2,1,0,0,0,0,0,0,0,C
Guelatao de Juarez,C,C,1,0,0,1,0,0,0,0,0,1,1,0,C
Guevea de Humboldt,C,C,1,1,0,1,0,0,1,0,0,0,0,0,C
Mesones Hidalgo,3,3,3,2,0,3,0,0,0,0,0,3,1,0,0
Villa Hidalgo,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Heroica Ciudad de Huajuapan de Leon,8,8,8,7,0,8,2,0,0,0,0,1,0,0,0
Huautepec,C,C,1,1,1,0,0,0,0,0,0,1,1,1,C
Ixtlan de Juarez,10,10,10,9,1,8,4,0,5,3,1,9,7,0,0
Heroica Ciudad de Juchitan de Zaragoza,5,5,5,5,0,5,2,0,1,1,1,3,3,0,0
Loma Bonita,37,37,32,24,5,32,26,4,0,0,0,2,0,0,0
Magdalena Apasco,4,4,4,4,0,4,1,0,0,0,0,0,0,0,0
Magdalena Jaltepec,C,C,2,2,0,1,0,0,0,0,0,2,2,1,C
Santa Magdalena Jicotlan,C,C,1,1,1,1,0,0,0,0,0,0,0,0,C
Magdalena Mixtepec,C,C,2,2,1,1,0,0,2,2,1,1,1,0,C
Magdalena Ocotlan,C,C,1,0,0,1,0,0,0,0,0,0,0,0,C
Magdalena Peñasco,C,C,1,1,1,1,1,0,0,0,0,0,0,0,C
Magdalena Teitipac,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Magdalena Tequisistlan,3,3,3,3,0,3,1,0,0,0,0,1,1,0,0
Magdalena Tlacotepec,C,C,1,1,0,1,1,0,0,0,0,1,1,0,C
Magdalena Zahuatlan,C,C,1,1,0,1,0,0,0,0,0,1,0,0,C
Mariscala de Juarez,3,3,3,2,0,3,1,0,0,0,0,2,2,0,0
Martires de Tacubaya,C,C,2,1,0,2,0,0,0,0,0,1,1,0,C
Matias Romero Avendaño,24,24,23,13,0,24,23,0,2,1,0,2,1,0,0
Miahuatlan de Porfirio Diaz,9,9,9,9,0,6,3,0,4,3,1,4,1,1,0
Mixistlan de la Reforma,C,C,2,2,1,1,0,0,0,0,0,2,2,0,C
Monjas,C,C,1,0,0,0,0,0,0,0,0,0,0,0,C
Nazareno Etla,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Nejapa de Madero,9,9,9,9,0,6,1,0,0,0,0,1,1,0,0
Ixpantepec Nieves,3,3,3,3,0,3,0,0,0,0,0,2,1,0,0
Santiago Niltepec,4,4,4,4,1,4,3,1,0,0,0,4,3,0,0
Oaxaca de Juarez,9,9,8,6,3,4,1,0,2,2,1,3,0,0,0
Ocotlan de Morelos,10,10,10,9,0,8,0,0,0,0,0,4,3,1,0
"La ""Pe""",C,C,2,2,0,2,1,0,0,0,0,0,0,0,C
Pinotepa de Don Luis,C,C,1,1,0,1,1,0,0,0,0,1,0,0,C
San Jose del Progreso,C,C,2,2,0,2,0,0,0,0,0,1,1,0,C
Putla Villa de Guerrero,15,15,14,11,0,10,1,0,2,2,0,4,0,0,0
Santa Catarina Quioquitani,C,C,1,1,1,1,0,0,0,0,0,1,1,1,C
Reforma de Pineda,C,C,1,1,1,1,1,1,0,0,0,1,0,0,C
La Reforma,4,4,4,3,0,4,2,0,1,0,0,4,4,0,0
Reyes Etla,C,C,2,2,0,2,0,0,0,0,0,1,1,0,C
Rojas de Cuauhtemoc,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Salina Cruz,3,3,3,3,0,3,2,0,0,0,0,2,1,0,0
San Agustin Amatengo,C,C,2,2,0,2,1,0,0,0,0,2,0,0,C
San Agustin Atenango,C,C,1,1,0,2,1,0,1,1,0,2,1,0,C
San Agustin Chayuco,5,5,5,5,0,4,1,0,1,0,0,3,2,0,0
San Agustin de las Juntas,C,C,2,2,0,2,1,0,0,0,0,1,1,0,C
San Agustin Etla,C,C,1,0,0,1,0,0,0,0,0,0,0,0,C
San Agustin Loxicha,C,C,1,1,0,0,0,0,1,0,0,0,0,0,C
San Agustin Tlacotepec,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
San Agustin Yatareni,C,C,1,0,0,0,0,0,0,0,0,0,0,0,C
San Andres Cabecera Nueva,C,C,1,1,0,1,1,0,1,1,1,0,0,0,C
San Andres Dinicuiti,3,3,3,3,0,3,2,0,1,1,0,0,0,0,0
San Andres Huaxpaltepec,C,C,1,0,0,1,0,0,0,0,0,0,0,0,C
San Andres Huayapam,C,C,1,0,0,1,0,0,0,0,0,0,0,0,C
San Andres Ixtlahuaca,C,C,2,2,0,1,0,0,0,0,0,0,0,0,C
San Andres Lagunas,C,C,1,1,1,1,0,0,1,1,1,0,0,0,C
San Andres Nuxiño,C,C,1,1,0,1,0,0,1,0,1,1,0,0,C
San Andres Sinaxtla,C,C,2,2,0,2,1,0,0,0,0,0,0,0,C
San Andres Solaga,3,3,3,3,2,2,1,0,3,2,1,2,1,1,0
San Andres Teotilalpam,C,C,2,2,0,2,1,0,2,1,1,0,0,0,C
San Andres Yaa,C,C,1,1,0,1,0,0,0,0,0,1,1,0,C
San Andres Zabache,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
San Andres Zautla,3,3,3,3,0,3,1,0,1,1,0,1,1,0,0
San Antonino Castillo Velasco,C,C,1,0,0,1,0,0,0,0,0,0,0,0,C
San Antonino el Alto,C,C,2,2,0,2,0,0,2,2,2,2,2,0,C
San Antonino Monte Verde,C,C,1,1,0,1,0,0,0,0,0,1,0,0,C
San Antonio Acutla,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Antonio de la Cal,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Antonio Huitepec,C,C,2,2,0,1,0,0,1,0,1,1,0,0,C
San Antonio Nanahuatipam,3,3,3,3,1,2,0,1,0,0,0,0,0,0,0
San Antonio Sinicahua,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Antonio Tepetlapa,3,3,3,2,1,1,0,0,0,0,0,1,1,0,0
San Baltazar Chichicapam,C,C,2,2,0,2,0,0,0,0,0,2,2,0,C
San Baltazar Loxicha,C,C,2,2,0,2,0,0,0,0,0,2,2,0,C
San Baltazar Yatzachi el Bajo,4,4,4,4,0,3,1,0,0,0,0,1,1,0,0
San Bartolo Coyotepec,4,4,4,3,0,2,1,0,0,0,0,0,0,0,0
San Bartolome Ayautla,C,C,2,0,0,1,0,0,2,1,1,0,0,0,C
San Bartolome Loxicha,C,C,1,1,0,1,0,0,1,1,1,0,0,0,C
San Bartolome Quialana,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Bartolome Yucuañe,C,C,1,1,0,1,0,0,0,0,0,1,1,0,C
San Bartolome Zoogocho,C,C,1,0,0,1,0,0,0,0,0,0,0,0,C
San Bartolo Soyaltepec,C,C,2,2,1,2,2,0,0,0,0,2,1,1,C
San Bartolo Yautepec,C,C,1,1,0,0,0,0,1,1,0,0,0,0,C
San Bernardo Mixtepec,3,3,3,3,1,3,0,0,2,0,1,1,0,1,0
San Blas Atempa,C,C,1,1,0,1,1,0,0,0,0,1,1,0,C
San Carlos Yautepec,18,18,18,17,0,15,2,0,5,3,3,5,2,0,0
San Cristobal Amatlan,4,4,4,3,2,4,1,0,1,1,0,3,3,2,0
San Cristobal Amoltepec,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
San Cristobal Suchixtlahuaca,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Dionisio del Mar,C,C,1,1,0,1,0,0,1,1,0,0,0,0,C
San Dionisio Ocotepec,5,5,5,5,1,5,1,0,0,0,0,3,0,0,0
San Dionisio Ocotlan,C,C,2,2,0,2,0,0,0,0,0,0,0,0,C
San Esteban Atatlahuca,C,C,2,2,0,0,0,0,1,1,1,0,0,0,C
San Felipe Jalapa de Diaz,12,12,11,11,1,10,1,0,0,0,0,0,0,0,0
San Felipe Tejalapam,C,C,2,2,1,2,0,0,0,0,0,0,0,0,C
San Felipe Usila,8,8,8,6,2,5,1,1,2,1,1,1,0,0,0
San Francisco Cahuacua,C,C,2,2,0,2,0,0,2,2,2,0,0,0,C
San Francisco Cajonos,C,C,2,2,1,2,0,0,1,1,1,2,1,0,C
San Francisco Chapulapa,C,C,2,2,0,1,0,0,1,1,0,0,0,0,C
San Francisco Chindua,C,C,2,2,1,0,0,0,0,0,0,1,0,0,C
San Francisco del Mar,C,C,0,0,0,1,0,1,0,0,0,0,0,0,C
San Francisco Huehuetlan,C,C,1,1,0,1,0,0,0,0,0,1,1,0,C
San Francisco Ixhuatan,3,3,3,3,0,3,3,0,0,0,0,2,2,0,0
San Francisco Jaltepetongo,C,C,1,1,0,1,0,0,0,0,0,1,1,0,C
San Francisco Lachigolo,C,C,1,1,0,1,1,0,0,0,0,1,1,0,C
San Francisco Nuxaño,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
San Francisco Ozolotepec,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0
San Francisco Sola,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
San Francisco Telixtlahuaca,C,C,2,1,0,2,0,0,0,0,0,1,0,0,C
San Francisco Teopan,C,C,1,1,1,1,0,0,0,0,0,1,0,0,C
San Francisco Tlapancingo,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
San Gabriel Mixtepec,C,C,1,1,0,1,1,0,0,0,0,1,0,1,C
San Ildefonso Amatlan,C,C,1,1,0,1,1,0,1,1,0,1,1,0,C
San Ildefonso Sola,C,C,1,1,0,0,0,0,0,0,0,1,1,0,C
San Ildefonso Villa Alta,5,5,5,5,0,3,0,0,1,0,0,4,4,0,0
San Jacinto Amilpas,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
San Jacinto Tlacotepec,C,C,1,1,0,1,0,0,0,0,0,1,0,0,C
San Jeronimo Coatlan,C,C,2,2,0,2,1,0,0,0,0,0,0,0,C
San Jeronimo Silacayoapilla,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Jeronimo Sosola,6,6,6,6,0,3,0,0,0,0,0,0,0,0,0
San Jeronimo Taviche,C,C,2,2,0,2,0,0,0,0,0,2,2,0,C
San Jeronimo Tecoatl,C,C,1,1,0,1,0,0,1,0,0,0,0,0,C
San Jorge Nuchita,3,3,3,2,0,3,0,0,0,0,0,0,0,0,0
San Jose Ayuquila,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
San Jose Chiltepec,11,11,11,10,0,8,1,0,2,2,1,0,0,0,0
San Jose del Peñasco,C,C,1,0,0,0,0,0,0,0,0,0,0,0,C
San Jose Estancia Grande,C,C,1,0,1,1,1,0,0,0,0,0,0,0,C
San Jose Tenango,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
San Juan Achiutla,C,C,1,1,1,1,0,0,0,0,0,0,0,0,C
San Juan Atepec,C,C,1,1,0,1,1,0,1,0,1,1,1,0,C
Animas Trujano,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
San Juan Bautista Atatlahuca,3,3,3,1,1,1,1,0,1,0,1,1,0,0,0
San Juan Bautista Coixtlahuaca,3,3,3,3,0,3,0,0,0,0,0,2,1,0,0
San Juan Bautista Cuicatlan,16,16,16,15,3,6,1,0,2,1,1,3,1,0,0
San Juan Bautista Guelache,3,3,2,1,0,2,0,0,0,0,0,1,1,0,0
San Juan Bautista Jayacatlan,C,C,1,0,0,1,0,0,1,0,1,1,0,0,C
San Juan Bautista lo de Soto,C,C,1,0,0,1,1,0,0,0,0,0,0,0,C
San Juan Bautista Suchitepec,C,C,2,2,1,2,1,1,0,0,0,0,0,0,C
San Juan Bautista Tlacoatzintepec,C,C,1,1,1,1,0,0,0,0,0,0,0,0,C
San Juan Bautista Tlachichilco,C,C,2,2,0,1,0,0,0,0,0,0,0,0,C
San Juan Bautista Tuxtepec,68,68,68,59,3,60,21,1,1,1,0,6,5,1,0
San Juan Cacahuatepec,6,6,5,5,0,5,4,0,1,1,0,4,2,0,0
San Juan Cieneguilla,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Juan Coatzospam,C,C,1,0,0,1,0,0,1,0,0,1,0,0,C
San Juan Colorado,6,6,6,6,0,6,2,1,1,1,0,3,3,0,0
San Juan Comaltepec,3,3,3,3,0,3,0,0,2,2,0,0,0,0,0
San Juan Cotzocon,18,18,17,14,1,18,12,1,2,1,1,4,3,1,0
San Juan Chicomezuchil,C,C,1,1,0,1,1,0,0,0,0,1,1,0,C
San Juan Chilateca,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
San Juan del Estado,C,C,1,0,0,1,0,0,1,0,1,1,1,1,C
San Juan del Rio,C,C,1,1,0,1,0,0,0,0,0,1,0,0,C
San Juan Diuxi,C,C,1,1,1,0,0,0,0,0,0,0,0,0,C
San Juan Evangelista Analco,C,C,1,1,0,1,0,0,0,0,0,1,0,0,C
San Juan Guelavia,C,C,1,1,0,1,1,0,0,0,0,1,1,1,C
San Juan Guichicovi,31,31,30,21,0,29,11,1,5,1,1,15,12,0,0
San Juan Ihualtepec,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
San Juan Juquila Mixes,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Juan Juquila Vijanos,C,C,1,1,0,1,1,0,1,1,1,1,1,0,C
San Juan Lachao,C,C,1,1,0,1,1,0,1,1,0,1,1,0,C
San Juan Lachigalla,4,4,4,4,0,3,0,0,0,0,0,0,0,0,0
San Juan Lajarcia,C,C,2,2,0,2,0,0,1,1,0,1,1,0,C
San Juan Lalana,4,4,4,3,0,4,2,0,2,1,1,2,1,1,0
San Juan de los Cues,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Juan Mazatlan,20,20,19,14,2,19,15,2,2,1,0,3,2,0,0
San Juan Mixtepec -Dto. 08-,C,C,1,1,1,1,1,0,1,1,1,1,1,0,C
San Juan Mixtepec -Dto. 26-,C,C,1,1,1,1,0,0,0,0,0,1,1,1,C
San Juan Ñumi,3,3,3,3,0,1,0,0,1,1,0,1,1,1,0
San Juan Ozolotepec,4,4,4,2,0,3,0,0,3,3,3,0,0,0,0
San Juan Petlapa,6,6,6,6,0,3,0,0,2,1,1,3,3,1,0
San Juan Quiahije,C,C,1,1,0,1,1,0,1,1,1,1,0,0,C
San Juan Quiotepec,4,4,4,3,0,3,0,0,2,1,2,0,0,0,0
San Juan Sayultepec,3,3,3,3,0,3,2,0,0,0,0,0,0,0,0
San Juan Tabaa,C,C,1,1,0,1,1,0,1,1,0,0,0,0,C
San Juan Tamazola,C,C,2,2,0,2,1,0,1,1,0,1,0,0,C
San Juan Teita,C,C,1,1,1,1,0,0,0,0,0,1,1,1,C
San Juan Teitipac,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Juan Tepeuxila,5,5,5,5,0,1,0,0,3,1,2,2,2,0,0
San Juan Teposcolula,C,C,2,1,0,2,1,0,0,0,0,2,1,0,C
San Juan Yaee,3,3,3,3,0,3,3,0,3,2,0,2,2,0,0
San Juan Yatzona,C,C,1,1,0,1,0,0,1,0,0,1,1,0,C
San Juan Yucuita,C,C,2,2,0,2,1,0,0,0,0,1,1,0,C
San Lorenzo,3,3,3,3,0,3,1,0,0,0,0,3,3,0,0
San Lorenzo Albarradas,3,3,3,3,0,3,0,0,0,0,0,1,1,0,0
San Lorenzo Cacaotepec,3,3,3,3,1,3,2,0,0,0,0,0,0,0,0
San Lorenzo Texmelucan,C,C,1,0,0,1,0,0,0,0,0,0,0,0,C
San Lorenzo Victoria,C,C,2,2,0,2,1,0,0,0,0,0,0,0,C
San Lucas Camotlan,C,C,2,2,0,1,0,0,0,0,0,0,0,0,C
San Lucas Ojitlan,31,31,30,22,0,24,4,0,2,1,1,0,0,0,0
San Lucas Quiavini,C,C,2,2,0,2,0,0,0,0,0,1,1,1,C
San Luis Amatlan,C,C,2,2,0,2,1,0,0,0,0,1,1,0,C
San Marcos Arteaga,3,3,2,1,0,3,1,0,1,1,0,2,0,0,0
San Martin de los Cansecos,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Martin Huamelulpam,C,C,1,1,1,1,1,1,0,0,0,0,0,0,C
San Martin Itunyoso,C,C,2,2,1,2,2,1,0,0,0,2,2,1,C
San Martin Lachila,C,C,1,1,0,1,1,0,0,0,0,1,1,0,C
San Martin Peras,C,C,2,2,1,2,0,0,0,0,0,0,0,0,C
San Martin Tilcajete,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
San Martin Toxpalan,C,C,2,2,0,2,0,0,0,0,0,0,0,0,C
San Mateo Cajonos,C,C,1,1,1,1,0,0,0,0,0,0,0,0,C
Capulalpam de Mendez,C,C,1,0,0,1,0,0,1,0,1,1,1,0,C
San Mateo del Mar,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
San Mateo Etlatongo,C,C,2,2,0,2,0,0,0,0,0,1,1,0,C
San Mateo Nejapam,C,C,1,1,0,0,0,0,0,0,0,1,0,0,C
San Mateo Peñasco,C,C,2,2,0,1,1,0,0,0,0,0,0,0,C
San Mateo Rio Hondo,C,C,0,0,0,0,0,0,0,0,0,1,1,1,C
San Mateo Sindihui,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
San Mateo Tlapiltepec,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Melchor Betaza,C,C,2,2,0,1,0,0,2,2,0,2,1,0,C
San Miguel Achiutla,C,C,2,2,0,1,0,0,0,0,0,0,0,0,C
San Miguel Aloapam,C,C,1,1,0,1,0,0,1,0,1,1,1,0,C
San Miguel Amatitlan,9,9,9,8,2,8,2,0,0,0,0,2,1,0,0
San Miguel Coatlan,C,C,1,1,0,1,1,1,1,1,1,1,1,0,C
San Miguel Chicahua,C,C,1,1,0,1,1,0,0,0,0,1,0,0,C
San Miguel Chimalapa,C,C,2,1,0,2,2,0,0,0,0,1,0,0,C
San Miguel del Puerto,3,3,3,3,2,3,0,0,1,1,1,2,2,1,0
San Miguel Ejutla,C,C,1,0,0,1,0,0,0,0,0,0,0,0,C
San Miguel el Grande,C,C,1,1,0,1,0,0,1,0,0,0,0,0,C
San Miguel Huautla,C,C,1,1,0,1,1,0,0,0,0,1,1,0,C
San Miguel Mixtepec,C,C,1,1,1,1,0,0,1,0,0,0,0,0,C
San Miguel Panixtlahuaca,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Miguel Peras,C,C,1,1,0,1,0,0,1,1,1,1,1,0,C
San Miguel Piedras,C,C,1,1,0,0,0,0,1,0,0,1,1,0,C
San Miguel Quetzaltepec,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
San Miguel Santa Flor,C,C,1,1,0,1,1,0,1,1,1,1,1,0,C
Villa Sola de Vega,6,6,6,6,0,3,0,0,4,3,2,3,2,0,0
San Miguel Soyaltepec,35,35,35,31,3,27,4,1,2,1,1,5,3,1,0
San Miguel Suchixtepec,C,C,0,0,0,0,0,0,1,1,1,0,0,0,C
Villa Talea de Castro,3,3,3,2,0,3,2,0,3,1,1,3,3,1,0
San Miguel Tecomatlan,C,C,1,0,0,1,0,0,0,0,0,0,0,0,C
San Miguel Tenango,C,C,1,1,0,1,1,0,0,0,0,1,1,0,C
San Miguel Tequixtepec,C,C,2,2,0,2,0,0,0,0,0,1,0,0,C
San Miguel Tilquiapam,C,C,2,2,0,2,1,0,0,0,0,1,0,0,C
San Miguel Tlacamama,4,4,4,4,0,4,3,0,0,0,0,3,3,0,0
San Miguel Tlacotepec,C,C,1,0,0,1,0,0,0,0,0,0,0,0,C
San Miguel Tulancingo,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Miguel Yotao,C,C,1,1,0,1,1,0,0,0,0,1,0,1,C
San Nicolas Hidalgo,C,C,2,2,0,2,1,0,0,0,0,0,0,0,C
San Pablo Coatlan,3,3,3,3,1,2,0,0,0,0,0,0,0,0,0
San Pablo Cuatro Venados,C,C,1,1,0,0,0,0,1,0,0,0,0,0,C
San Pablo Etla,3,3,3,2,0,3,0,0,0,0,0,0,0,0,0
San Pablo Huitzo,C,C,2,2,0,2,0,0,0,0,0,1,0,0,C
San Pablo Huixtepec,C,C,2,2,0,2,1,0,0,0,0,0,0,0,C
San Pablo Macuiltianguis,C,C,2,1,0,2,1,0,2,2,2,2,1,0,C
San Pablo Tijaltepec,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Pablo Villa de Mitla,6,6,6,5,0,3,0,0,0,0,0,0,0,0,0
San Pablo Yaganiza,C,C,1,0,0,1,1,0,0,0,0,1,1,0,C
San Pedro Amuzgos,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Pedro Apostol,C,C,1,1,0,1,0,0,0,0,0,1,1,0,C
San Pedro Atoyac,3,3,3,3,1,3,2,0,1,1,1,3,3,0,0
San Pedro Cajonos,C,C,1,0,0,1,0,0,0,0,0,0,0,0,C
San Pedro Coxcaltepec Cantaros,C,C,2,2,0,1,1,0,0,0,0,1,1,0,C
San Pedro Comitancillo,C,C,1,1,0,1,0,0,0,0,0,1,0,0,C
San Pedro el Alto,C,C,1,1,0,1,0,0,0,0,0,1,0,0,C
San Pedro Huamelula,4,4,3,3,0,3,2,0,0,0,0,1,1,0,0
San Pedro Huilotepec,C,C,1,1,0,1,1,0,0,0,0,1,1,0,C
San Pedro Ixcatlan,8,8,8,4,0,6,1,0,2,0,0,0,0,0,0
San Pedro Ixtlahuaca,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Pedro Jaltepetongo,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
San Pedro Jicayan,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
San Pedro Jocotipac,C,C,1,1,0,1,0,0,1,1,0,0,0,0,C
San Pedro Juchatengo,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
San Pedro Martir,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
San Pedro Martir Quiechapa,C,C,1,1,1,1,0,0,0,0,0,1,1,1,C
San Pedro Martir Yucuxaco,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Pedro Mixtepec -Dto. 22-,C,C,1,1,0,1,1,1,0,0,0,1,0,0,C
San Pedro Mixtepec -Dto. 26-,C,C,1,1,1,1,0,0,1,0,0,1,1,1,C
San Pedro Molinos,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Pedro Nopala,C,C,1,1,0,1,0,0,0,0,0,1,0,0,C
San Pedro Ocopetatillo,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Pedro Ocotepec,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Pedro Pochutla,C,C,2,1,0,2,0,0,0,0,0,0,0,0,C
San Pedro Quiatoni,C,C,1,1,0,0,0,0,0,0,0,1,1,0,C
San Pedro Sochiapam,5,5,5,5,0,1,0,0,1,1,1,0,0,0,0
San Pedro Tapanatepec,8,8,7,7,0,8,4,1,1,0,1,6,3,0,0
San Pedro Taviche,C,C,2,2,0,2,1,0,0,0,0,2,1,0,C
San Pedro Teozacoalco,C,C,1,1,0,1,0,0,0,0,0,1,0,0,C
San Pedro Teutila,3,3,3,3,0,3,1,0,2,1,1,1,1,0,0
San Pedro Tidaa,C,C,1,0,0,1,0,0,0,0,0,1,0,0,C
San Pedro Topiltepec,C,C,2,2,1,0,0,0,0,0,0,0,0,0,C
San Pedro Totolapa,3,3,3,3,0,3,0,0,0,0,0,3,3,0,0
Villa de Tututepec de Melchor Ocampo,6,6,6,6,0,5,3,0,3,3,2,4,4,1,0
San Pedro Yaneri,C,C,2,2,0,1,0,0,2,0,0,1,0,0,C
San Pedro Yolox,6,6,6,6,0,6,0,0,4,0,4,1,1,0,0
San Pedro y San Pablo Ayutla,C,C,1,1,0,1,0,0,0,0,0,1,1,0,C
Villa de Etla,C,C,2,1,0,2,0,0,0,0,0,0,0,0,C
