INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,,,,
Total de ejidos y comunidades segun tipo de actividad agropecuaria o forestal,,,,,,,,,,,,,,,CUADRO 18
y forma de explotacion por entidad federativa y municipio,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
entidada_federativa_y _municipio,ejidos_y_comunidades,actividad_agropecuaria_o_forestal_a_total_de_ejidos_y_comunidades_con_actividad_agropecuaria_o_forestal,actividad_agropecuaria_o_forestal_a_agricola_total,actividad_agropecuaria_o_forestal_a_agricola_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_agricola_en_forma_colectiva,actividad_agropecuaria_o_forestal_a_ganadera_total,actividad_agropecuaria_o_forestal_a_ganadera_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_ganadera_en_forma_colectiva,actividad_agropecuaria_o_forestal_a_forestal_total,actividad_agropecuaria_o_forestal_a_forestal_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_forestal_en_forma_colectiva,actividad_agropecuaria_o_forestal_a_recoleccion_total,actividad_agropecuaria_o_forestal_a_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_en_forma_colectiva,sin actividades_de_este_tipo
Soyalo,4,4,4,3,0,3,2,0,0,0,0,0,0,0,0
Suchiapa,9,9,9,7,0,4,2,0,1,1,0,6,5,0,0
Suchiate,17,17,17,15,1,13,1,0,0,0,0,3,1,0,0
Sunuapa,C,C,1,1,0,1,1,0,0,0,0,1,1,0,C
Tapachula,52,52,52,50,0,31,2,0,0,0,0,26,22,0,0
Tapalapa,C,C,2,2,0,2,1,0,0,0,0,0,0,0,C
Tapilula,4,4,4,4,0,2,1,0,0,0,0,3,3,0,0
Tecpatan,59,59,55,31,1,57,40,1,4,3,1,22,19,0,0
Tenejapa,7,7,7,7,0,2,0,0,0,0,0,0,0,0,0
Teopisca,16,16,16,16,0,8,3,0,1,1,0,0,0,0,0
Tila,29,29,29,27,3,27,7,1,1,1,0,5,5,0,0
Tonala,54,54,42,24,2,51,43,2,2,2,0,15,11,1,0
Totolapa,8,8,8,8,0,2,1,0,0,0,0,0,0,0,0
La Trinitaria,85,85,82,76,7,68,27,12,5,3,3,12,7,0,0
Tumbala,24,24,24,23,0,21,3,0,4,1,1,15,12,0,0
Tuxtla Gutierrez,6,6,6,6,1,6,3,0,1,1,0,2,2,0,0
Tuxtla Chico,7,7,7,7,0,7,0,1,0,0,0,5,5,0,0
Tuzantan,16,16,16,16,1,14,2,0,1,1,0,3,1,0,0
Tzimol,18,17,17,17,0,6,3,0,0,0,0,0,0,0,1
Union Juarez,12,12,12,12,0,3,0,0,2,2,0,4,4,0,0
Venustiano Carranza,41,41,40,38,0,16,4,0,1,1,1,1,0,0,0
Villa Corzo,71,71,71,69,3,43,20,1,11,9,6,25,22,4,0
Villaflores,67,67,67,67,5,51,31,5,21,19,11,37,36,8,0
Yajalon,8,8,8,8,0,6,3,0,1,1,0,1,1,0,0
San Lucas,C,C,2,2,0,0,0,0,0,0,0,0,0,0,C
Zinacantan,6,6,6,6,0,4,0,0,1,0,0,6,6,0,0
San Juan Cancuc,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Aldama,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Benemerito de las Americas,14,14,14,14,0,11,6,0,2,1,0,11,8,0,0
Maravilla Tenejapa,33,33,33,25,0,24,13,0,3,0,1,7,1,0,0
Marques de Comillas,23,23,23,23,1,19,12,0,2,2,0,2,2,0,0
Montecristo de Guerrero,5,5,5,5,0,1,0,0,3,3,2,3,3,3,0
San Andres Duraznal,5,5,5,5,0,2,1,0,0,0,0,1,0,0,0
Santiago el Pinar,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Chihuahua,987,984,859,675,77,967,543,54,202,166,121,181,115,25,3
Ahumada,24,24,19,11,3,24,14,1,0,0,0,2,0,0,0
Aldama,24,24,18,11,0,24,4,0,0,0,0,3,1,1,0
Allende,21,21,21,18,4,21,6,1,1,0,0,4,1,0,0
Aquiles Serdan,C,C,1,1,0,2,0,0,0,0,0,0,0,0,C
Ascension,21,21,10,5,0,21,13,0,1,1,1,1,1,1,0
Bachiniva,11,11,10,8,2,11,6,2,2,1,1,1,1,1,0
Balleza,20,20,19,19,0,20,16,0,13,13,13,3,3,0,0
Batopilas,12,12,9,3,0,12,2,0,2,2,2,2,2,2,0
Bocoyna,26,26,26,26,0,26,19,2,25,22,3,11,3,0,0
Buenaventura,9,9,5,5,0,9,7,2,0,0,0,3,2,0,0
Camargo,24,24,16,13,1,23,14,2,0,0,0,2,1,0,0
Carichi,23,23,23,23,0,23,23,0,2,0,2,0,0,0,0
Casas Grandes,13,13,13,7,1,13,10,0,8,6,5,6,3,2,0
Coronado,6,6,5,5,1,6,6,1,0,0,0,0,0,0,0
Coyame del Sotol,12,12,8,4,1,12,7,1,0,0,0,7,4,3,0
La Cruz,5,5,3,3,0,5,2,0,0,0,0,1,0,0,0
Cuauhtemoc,26,26,26,25,0,26,22,0,1,1,0,10,7,0,0
Cusihuiriachi,21,21,19,16,2,20,15,2,1,1,1,0,0,0,0
Chihuahua,47,46,40,25,0,46,34,4,2,0,0,8,7,0,1
Chinipas,16,16,12,12,2,15,4,2,2,1,1,0,0,0,0
Delicias,4,4,4,3,0,3,1,0,1,0,0,2,2,0,0
Dr. Belisario Dominguez,9,9,9,8,0,9,9,0,0,0,0,0,0,0,0
Galeana,4,4,2,1,0,4,4,0,0,0,0,0,0,0,0
Santa Isabel,8,8,8,7,7,8,7,6,0,0,0,0,0,0,0
Gomez Farias,7,7,7,7,0,7,3,0,1,0,0,2,2,0,0
Gran Morelos,10,10,10,9,6,10,8,4,2,1,1,0,0,0,0
Guachochi,26,26,26,26,6,24,3,2,19,17,13,3,3,3,0
Guadalupe,7,7,6,5,0,7,5,0,0,0,0,1,1,0,0
Guadalupe y Calvo,45,45,43,35,2,40,19,1,27,22,21,8,7,2,0
Guazapares,11,11,10,10,2,11,9,1,5,2,1,0,0,0,0
Guerrero,50,50,49,42,4,50,24,2,18,17,18,22,14,3,0
Hidalgo del Parral,12,12,11,8,0,12,10,0,0,0,0,0,0,0,0
Huejotitan,8,8,8,8,0,8,8,0,0,0,0,0,0,0,0
Ignacio Zaragoza,4,4,4,4,0,4,3,0,0,0,0,0,0,0,0
Janos,14,14,9,6,0,14,12,1,2,2,1,5,5,1,0
Jimenez,53,53,42,29,2,53,18,0,0,0,0,8,4,0,0
Juarez,10,10,8,6,1,9,1,0,0,0,0,2,1,0,0
Julimes,6,6,6,4,1,6,3,0,0,0,0,2,1,0,0
Lopez,12,12,11,10,2,12,5,0,0,0,0,3,3,0,0
Madera,20,20,17,11,1,20,14,0,11,8,7,14,9,1,0
Maguarichi,5,5,5,3,1,5,2,0,5,3,0,1,1,0,0
Manuel Benavides,14,14,14,0,0,14,13,1,0,0,0,0,0,0,0
Matachi,5,5,5,3,0,5,2,0,0,0,0,5,5,0,0
Matamoros,8,8,8,8,0,8,8,0,0,0,0,0,0,0,0
Meoqui,4,4,3,2,0,4,0,0,0,0,0,1,1,0,0
Morelos,17,17,14,11,10,17,7,7,9,9,9,1,1,0,0
Moris,10,10,9,8,4,10,6,1,6,5,6,0,0,0,0
Namiquipa,12,12,12,12,0,12,7,0,0,0,0,1,1,0,0
Nonoava,C,C,3,3,0,3,3,1,0,0,0,0,0,0,C
Nuevo Casas Grandes,C,C,1,0,0,2,1,0,0,0,0,0,0,0,C
Ocampo,17,16,16,12,2,15,7,1,10,10,6,1,1,1,1
Ojinaga,33,32,17,12,1,31,9,1,0,0,0,3,2,2,1
Praxedis G. Guerrero,5,5,5,5,0,5,3,0,0,0,0,0,0,0,0
Riva Palacio,9,9,8,8,0,9,8,0,1,1,0,1,1,0,0
Rosales,11,11,9,1,0,11,0,0,0,0,0,2,1,0,0
Rosario,7,7,7,7,1,7,7,1,0,0,0,0,0,0,0
San Francisco de Borja,9,9,7,6,0,9,9,2,0,0,0,2,1,0,0
San Francisco de Conchos,7,7,7,5,0,7,3,0,0,0,0,0,0,0,0
San Francisco del Oro,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0
Santa Barbara,9,9,9,9,3,9,7,1,1,1,0,0,0,0,0
