INEGI. IX Censo Ejidal 2007,,,,,,,
Total de ejidos y comunidades segun disposicion y tipo de parcelas,,,,,,,cuadro 31
con destino especifico por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,parcelas_de_destino_especifico_ejidos_y_comunidades_con_parcelas_de_destino_especifico,parcelas_de_destino_especifico_parcela_escolar,parcelas_de_destino_especifico_unidad_productiva_para_el_desarrollo_integral_de_la_juventud,unidad_agricola_industrial_para_la_mujer_total,unidad_agricola_industrial_para_la_mujer_mujeres_participantes,sin_parcelas_de_este_tipo
Teopantlan,3,2,2,0,0,0,1
Teotlalco,4,3,3,0,1,8,1
Tepanco de Lopez,7,6,6,2,1,5,1
Tepatlaxco de Hidalgo,C,C,1,0,0,0,C
Tepeaca,23,22,22,1,0,0,1
Tepemaxalco,3,3,3,0,0,0,0
Tepeojuma,8,7,7,1,0,0,1
Tepetzintla,3,0,0,0,0,0,3
Tepexco,4,2,1,1,0,0,2
Tepexi de Rodriguez,12,7,7,0,0,0,5
Tepeyahualco,14,13,13,0,2,141,1
Tepeyahualco de Cuauhtemoc,C,C,2,1,0,0,C
Tetela de Ocampo,4,1,1,0,0,0,3
Teziutlan,C,C,0,0,0,0,C
Tianguismanalco,6,5,5,1,2,8,1
Tilapa,7,7,7,1,3,30,0
Tlacotepec de Benito Juarez,18,14,14,4,2,4,4
Tlacuilotepec,4,1,1,0,1,6,3
Tlachichuca,24,22,21,0,3,28,2
Tlahuapan,18,16,16,0,0,0,2
Tlanepantla,C,C,1,0,0,0,C
Tlapacoya,3,3,3,0,0,0,0
Tlapanala,6,6,6,2,1,0,0
Tlatlauquitepec,4,4,4,0,0,0,0
Tlaxco,C,C,0,0,0,0,C
Tochimilco,12,11,11,0,1,3,1
Tochtepec,4,4,4,0,0,0,0
Totoltepec de Guerrero,3,1,1,0,0,0,2
Tulcingo,C,C,1,0,0,0,C
Tuzamapan de Galeana,C,C,1,0,1,9,C
Tzicatlacoyan,7,5,5,0,0,0,2
Venustiano Carranza,12,11,11,0,5,23,1
Vicente Guerrero,4,4,4,0,0,0,0
Xayacatlan de Bravo,C,C,0,0,0,0,C
Xicotepec,10,6,6,1,1,29,4
Xicotlan,C,C,1,0,0,0,C
Xiutetelco,3,0,0,0,0,0,3
Xochiapulco,C,C,0,0,1,8,C
Xochiltepec,3,1,1,0,0,0,2
Xochitlan de Vicente Suarez,C,C,1,0,0,0,C
Xochitlan Todos Santos,3,3,3,1,0,0,0
Yehualtepec,9,7,7,0,0,0,2
Zacapala,7,4,4,0,0,0,3
Zacapoaxtla,10,6,6,0,1,15,4
Zacatlan,18,15,15,1,1,20,3
Zapotitlan,7,6,6,0,0,0,1
Zaragoza,C,C,2,0,0,0,C
Zautla,8,8,8,0,2,15,0
Zihuateutla,8,7,7,0,2,41,1
Zinacatepec,C,C,1,0,0,0,C
Zoquiapan,C,C,1,0,0,0,C
Zoquitlan,C,C,1,0,0,0,C
Queretaro,378,279,273,12,70,911,99
Amealco de Bonfil,23,19,19,0,3,77,4
Pinal de Amoles,19,16,16,1,2,34,3
Arroyo Seco,13,12,12,0,3,27,1
Cadereyta de Montes,38,25,24,0,7,181,13
Colon,42,32,29,2,15,133,10
Corregidora,16,15,15,3,2,10,1
Ezequiel Montes,8,7,7,2,0,0,1
Huimilpan,16,11,11,0,2,32,5
Jalpan de Serra,6,6,6,0,1,2,0
Landa de Matamoros,4,2,2,0,0,0,2
El Marques,39,25,23,0,12,189,14
Pedro Escobedo,19,15,15,0,2,40,4
Peñamiller,16,12,12,0,4,60,4
Queretaro,41,18,18,0,4,0,23
San Joaquin,4,2,2,0,0,0,2
San Juan del Rio,52,45,45,1,6,41,7
Tequisquiapan,12,9,9,2,4,36,3
Toliman,10,8,8,1,3,49,2
Quintana Roo,282,257,245,36,219,3484,25
Cozumel,C,C,1,0,1,0,C
Felipe Carrillo Puerto,55,47,43,2,36,417,8
Isla Mujeres,C,C,1,1,1,16,C
Othon P. Blanco,105,99,97,16,89,1109,6
Benito Juarez,C,C,2,1,2,223,C
Jose Maria Morelos,65,59,54,12,54,1429,6
Lazaro Cardenas,34,31,31,1,21,75,3
Solidaridad,17,16,16,3,15,215,1
San Luis Potosi,1421,1071,1052,17,232,3289,350
Ahualulco,14,9,9,0,0,0,5
Alaquines,11,10,10,0,0,0,1
Aquismon,28,23,22,1,5,89,5
Armadillo de los Infante,7,6,6,0,3,47,1
Cardenas,C,C,4,0,0,0,C
Catorce,21,19,19,0,1,20,2
Cedral,29,26,26,0,2,9,3
Cerritos,18,15,15,0,3,0,3
Cerro de San Pedro,5,4,4,0,1,10,1
Ciudad del Maiz,28,21,21,0,2,27,7
Ciudad Fernandez,15,12,12,0,0,0,3
Tancanhuitz,26,16,15,0,1,0,10
Ciudad Valles,60,49,48,1,13,180,11
Coxcatlan,28,22,22,0,0,0,6
Charcas,27,25,25,0,4,33,2
ebano,92,62,60,1,44,512,30
Guadalcazar,52,44,42,0,5,115,8
Huehuetlan,13,12,12,0,0,0,1
Lagunillas,7,7,7,1,2,20,0
Matehuala,44,41,41,1,10,257,3
Mexquitic de Carmona,30,28,28,0,9,81,2
Moctezuma,30,29,29,0,3,171,1
Rayon,8,8,8,0,0,0,0
Rioverde,55,49,48,2,8,33,6
Salinas,11,11,11,0,0,0,0
San Antonio,10,10,10,0,0,0,0
San Ciro de Acosta,5,5,5,0,0,0,0
San Luis Potosi,35,31,30,0,5,32,4
San Martin Chalchicuautla,58,32,31,1,3,109,26
San Nicolas Tolentino,6,5,5,0,0,0,1
Santa Catarina,5,4,4,0,0,0,1
Santa Maria del Rio,12,7,7,1,3,0,5
Santo Domingo,25,22,22,0,6,198,3
San Vicente Tancuayalab,23,17,14,0,9,157,6
Soledad de Graciano Sanchez,8,7,7,0,0,0,1
Tamasopo,21,20,20,0,4,46,1
Tamazunchale,33,23,22,0,2,31,10
Tampacan,23,20,20,0,1,9,3
Tampamolon Corona,31,18,18,0,0,0,13
Tamuin,175,43,40,0,26,290,132
Tanlajas,26,21,21,0,14,221,5
Tanquian de Escobedo,5,5,5,0,1,40,0
Tierra Nueva,C,C,0,0,0,0,C
Vanegas,20,17,17,1,3,66,3
Venado,18,18,18,2,6,71,0
Villa de Arriaga,11,11,11,1,4,70,0
Villa de Guadalupe,20,17,17,0,2,8,3
Villa de la Paz,5,4,4,1,2,35,1
Villa de Ramos,18,17,17,0,2,46,1
Villa de Reyes,20,20,20,3,6,30,0
Villa Hidalgo,27,24,24,0,6,54,3
Villa Juarez,9,8,8,0,0,0,1
Axtla de Terrazas,29,23,22,0,5,134,6
Xilitla,35,34,34,0,2,10,1
Zaragoza,7,6,5,0,2,19,1
Villa de Arista,8,6,6,0,1,0,2
Matlapa,12,11,11,0,0,0,1
El Naranjo,16,13,13,0,1,9,3
Sinaloa,1309,977,959,34,268,4820,332
Ahome,115,94,92,4,35,1025,21
Angostura,62,50,50,0,8,87,12
Badiraguato,44,11,11,0,0,0,33
Concordia,29,14,11,2,3,29,15
Cosala,37,19,19,0,1,15,18
Culiacan,185,151,150,3,40,770,34
Choix,63,51,51,0,7,101,12
Elota,39,33,32,2,14,433,6
Escuinapa,20,16,14,3,2,14,4
El Fuerte,103,87,86,3,19,394,16
Guasave,140,113,112,7,39,589,27
Mazatlan,45,33,32,3,8,59,12
Mocorito,71,47,47,0,10,231,24
Rosario,51,39,39,1,5,36,12
Salvador Alvarado,22,15,15,1,5,80,7
San Ignacio,51,17,12,4,4,35,34
Sinaloa,154,116,115,1,51,709,38
Navolato,78,71,71,0,17,213,7
Sonora,979,687,668,65,316,3285,292
Aconchi,C,C,0,1,0,0,C
Agua Prieta,6,4,4,0,0,0,2
alamos,84,69,68,2,21,399,15
Altar,7,5,5,0,3,2,2
Arivechi,C,C,3,0,0,0,C
Arizpe,6,6,6,0,2,10,0
Atil,C,C,1,0,1,0,C
Bacadehuachi,C,C,0,0,0,0,C
Bacanora,4,2,2,0,1,2,2
Bacerac,4,2,2,0,1,12,2
Bacoachi,5,3,3,0,0,0,2
Bacum,44,15,15,1,5,53,29
Banamichi,3,2,2,0,0,0,1
Baviacora,C,C,2,0,0,0,C
Bavispe,C,C,2,0,0,0,C
Benjamin Hill,3,2,2,0,1,12,1
Caborca,72,47,42,8,35,203,25
Cajeme,103,58,58,3,26,506,45
Cananea,7,5,5,0,2,13,2
Carbo,C,C,2,0,1,0,C
La Colorada,6,6,6,0,0,0,0
Cucurpe,3,1,1,0,0,0,2
Cumpas,7,7,6,1,0,0,0
Divisaderos,C,C,0,0,0,0,C
Empalme,16,9,9,0,3,0,7
Etchojoa,45,28,27,1,10,273,17
Fronteras,12,8,7,0,6,15,4
Granados,C,C,0,0,0,0,C
Guaymas,31,26,26,1,13,36,5
Hermosillo,52,40,37,6,21,193,12
Huachinera,C,C,2,0,0,0,C
Huasabas,C,C,0,0,0,0,C
Huatabampo,57,50,48,3,29,572,7
Huepac,3,1,1,0,0,0,2
Imuris,6,2,2,1,1,8,4
Magdalena,9,6,6,1,2,71,3
Mazatan,3,1,1,0,0,0,2
Moctezuma,4,1,1,0,0,0,3
Naco,C,C,2,0,0,0,C
Nacori Chico,4,3,3,0,1,10,1
Nacozari de Garcia,4,2,1,0,1,6,2
Navojoa,45,37,37,4,15,130,8
Nogales,8,4,3,2,2,0,4
Onavas,C,C,1,0,0,0,C
Opodepe,6,5,5,0,3,6,1
Oquitoa,C,C,0,0,0,0,C
Pitiquito,11,5,4,0,3,0,6
Puerto Peñasco,27,21,21,8,21,49,6
Quiriego,17,13,13,0,7,43,4
Rayon,5,3,3,0,0,0,2
Rosario,17,12,12,0,1,7,5
Sahuaripa,18,16,16,0,0,0,2
San Felipe de Jesus,C,C,1,0,0,0,C
San Javier,C,C,1,0,0,0,C
San Luis Rio Colorado,41,36,36,14,29,150,5
San Miguel de Horcasitas,4,4,4,1,1,0,0
San Pedro de la Cueva,6,3,3,0,0,0,3
Santa Ana,7,7,7,0,2,9,0
Santa Cruz,C,C,1,0,0,0,C
Saric,5,2,2,0,2,5,3
Soyopa,6,5,5,1,0,0,1
Suaqui Grande,C,C,1,0,0,0,C
Tepache,C,C,0,0,0,0,C
Trincheras,3,3,3,0,2,25,0
Tubutama,7,6,6,1,1,0,1
Ures,12,12,12,0,4,20,0
Villa Hidalgo,4,2,2,0,0,0,2
Villa Pesqueira,3,3,3,0,1,0,0
Yecora,9,5,5,0,2,30,4
General Plutarco Elias Calles,29,19,18,0,10,0,10
Benito Juarez,10,9,9,1,8,156,1
San Ignacio Rio Muerto,38,24,24,4,16,259,14
Tabasco,779,599,583,20,218,3643,180
Balancan,55,46,43,4,27,611,9
Cardenas,62,45,43,1,21,599,17
Centla,55,34,33,3,11,162,21
Centro,64,54,54,2,8,102,10
Comalcalco,33,20,20,0,5,173,13
Cunduacan,44,34,34,0,6,65,10
Emiliano Zapata,14,6,5,1,4,75,8
Huimanguillo,123,95,93,1,32,483,28
Jalapa,23,20,20,0,5,29,3
Jalpa de Mendez,28,23,23,1,7,81,5
Jonuta,37,22,22,0,10,133,15
Macuspana,66,53,50,1,24,389,13
Nacajuca,29,23,21,4,8,182,6
Paraiso,16,10,10,2,0,0,6
Tacotalpa,36,33,32,0,8,126,3
Teapa,21,17,17,0,8,105,4
Tenosique,73,64,63,0,34,328,9
Tamaulipas,1391,1246,1228,36,570,5743,145
Abasolo,37,33,33,1,27,269,4
Aldama,62,56,56,8,26,353,6
Altamira,39,32,30,0,16,125,7
Antiguo Morelos,17,15,15,0,4,69,2
Burgos,19,18,16,0,6,26,1
Bustamante,22,20,20,0,3,32,2
Camargo,9,7,7,0,2,10,2
Casas,23,18,18,0,7,15,5
Cruillas,10,5,5,0,0,0,5
Gomez Farias,25,21,20,1,10,31,4
Gonzalez,87,73,71,3,53,660,14
Güemez,41,41,41,0,17,217,0
Guerrero,C,C,1,0,0,0,C
Gustavo Diaz Ordaz,9,9,9,0,2,25,0
Hidalgo,62,58,58,1,13,135,4
Jaumave,40,35,35,0,12,113,5
Jimenez,22,17,16,1,8,140,5
Llera,54,50,50,0,24,290,4
Mainero,14,14,14,0,1,0,0
El Mante,124,121,120,1,76,763,3
Matamoros,78,72,71,1,14,125,6
Mendez,22,16,16,0,11,149,6
Miquihuana,9,7,7,0,1,18,2
Nuevo Laredo,16,13,13,3,7,15,3
Nuevo Morelos,6,5,5,0,1,15,1
Ocampo,34,31,31,1,17,90,3
Padilla,20,20,20,0,4,66,0
Palmillas,C,C,5,1,2,12,C
Reynosa,74,63,58,3,47,305,11
Rio Bravo,23,20,20,0,7,115,3
San Carlos,53,42,41,2,18,156,11
San Fernando,67,60,59,0,35,549,7
San Nicolas,7,5,5,1,3,15,2
Soto la Marina,59,52,51,4,30,402,7
Tampico,C,C,1,0,0,0,C
Tula,60,57,57,1,26,131,3
Valle Hermoso,27,23,23,0,3,48,4
Victoria,40,39,39,1,17,141,1
Villagran,31,31,31,1,6,73,0
Xicotencatl,41,40,40,1,14,45,1
Tlaxcala,246,192,190,12,32,637,54
Amaxac de Guerrero,C,C,0,0,0,0,C
Atlangatepec,4,4,4,0,0,0,0
Altzayanca,18,12,12,0,2,37,6
Apizaco,4,3,3,0,0,0,1
Calpulalpan,11,10,10,0,2,15,1
El Carmen Tequexquitla,C,C,2,0,1,50,C
Cuapiaxtla,11,5,5,0,1,10,6
Cuaxomulco,C,C,1,0,0,0,C
Chiautempan,5,2,2,1,1,116,3
Muñoz de Domingo Arenas,4,4,4,0,0,0,0
Españita,11,10,10,0,0,0,1
Huamantla,25,22,21,7,8,165,3
Hueyotlipan,13,11,11,0,2,22,2
Ixtacuixtla de Mariano Matamoros,16,10,10,0,0,0,6
Ixtenco,C,C,1,0,0,0,C
Tepetitla de Lardizabal,C,C,2,0,0,0,C
Sanctorum de Lazaro Cardenas,4,2,2,0,0,0,2
Nanacamilpa de Mariano Arista,5,5,5,0,0,0,0
Nativitas,15,13,13,1,0,0,2
Panotla,6,5,5,0,0,0,1
Santa Cruz Tlaxcala,4,3,3,0,0,0,1
Teolocholco,C,C,1,0,0,0,C
Terrenate,6,5,5,0,1,10,1
Tetla de la Solidaridad,7,7,7,0,1,20,0
Tetlatlahuca,3,1,1,0,0,0,2
Tlaxcala,3,2,2,0,0,0,1
Tlaxco,29,23,22,0,12,184,6
Tocatlan,C,C,1,1,0,0,C
Totolac,C,C,1,0,0,0,C
Zitlaltepec de Trinidad Sanchez Santos,3,3,3,0,0,0,0
Tzompantepec,3,3,3,0,0,0,0
Xaloztoc,C,C,2,1,0,0,C
Xaltocan,4,3,3,0,0,0,1
Papalotla de Xicohtencatl,C,C,1,0,0,0,C
Xicohtzinco,C,C,1,0,0,0,C
Yauhquemecan,3,2,2,0,0,0,1
Zacatelco,C,C,1,0,0,0,C
Benito Juarez,C,C,1,0,0,0,C
Emiliano Zapata,C,C,2,0,0,0,C
Lazaro Cardenas,C,C,2,0,1,8,C
La Magdalena Tlaltelulco,C,C,0,0,0,0,C
San Damian Texoloc,C,C,1,1,0,0,C
San Jose Teacalco,C,C,0,0,0,0,C
San Lorenzo Axocomanitla,C,C,1,0,0,0,C
San Lucas Tecopilco,C,C,1,0,0,0,C
Santa Ana Nopalucan,C,C,0,0,0,0,C
Santa Apolonia Teacalco,C,C,0,0,0,0,C
Veracruz Llave,3684,3200,3182,57,499,7755,484
Acajete,C,C,2,0,0,0,C
Acatlan,C,C,1,0,0,0,C
Acayucan,31,28,28,0,5,56,3
Actopan,29,27,27,0,0,0,2
Acula,9,4,4,0,0,0,5
Acultzingo,16,15,15,0,0,0,1
Camaron de Tejeda,5,5,5,0,2,0,0
Alto Lucero de Gutierrez Barrios,16,13,13,0,0,0,3
Altotonga,16,13,13,0,3,24,3
Alvarado,19,18,18,0,1,41,1
Amatitlan,6,5,5,0,0,0,1
Naranjos Amatlan,11,8,8,0,1,0,3
Amatlan de los Reyes,19,16,16,0,1,12,3
angel R. Cabada,21,20,20,0,1,15,1
La Antigua,11,10,10,2,0,0,1
Apazapan,5,5,5,0,1,10,0
Atlahuilco,C,C,1,0,0,0,C
Atoyac,15,13,13,0,1,6,2
Atzacan,7,4,4,0,1,3,3
Atzalan,39,36,36,0,8,95,3
Tlaltetela,14,13,13,0,0,0,1
Banderilla,C,C,1,0,0,0,C
Benito Juarez,23,13,13,2,1,60,10
Boca del Rio,C,C,2,0,0,0,C
Calcahualco,4,3,3,0,0,0,1
Camerino Z. Mendoza,C,C,1,0,0,0,C
Carrillo Puerto,4,4,4,0,1,4,0
Catemaco,30,29,29,1,4,59,1
Cazones,24,23,23,0,1,10,1
Cerro Azul,7,7,7,0,0,0,0
Citlaltepetl,C,C,1,0,0,0,C
Coacoatzintla,3,2,2,0,0,0,1
Coahuitlan,C,C,2,0,0,0,C
Coatepec,14,12,12,0,0,0,2
Coatzacoalcos,8,6,6,0,2,0,2
Coatzintla,16,15,15,0,3,13,1
Coetzala,C,C,1,0,0,0,C
Colipa,3,3,3,0,0,0,0
Comapa,15,13,13,0,1,49,2
Cordoba,24,21,21,0,3,198,3
Cosamaloapan de Carpio,32,30,30,0,8,134,2
Coscomatepec,4,4,4,0,0,0,0
Cosoleacaque,16,13,13,2,4,0,3
Cotaxtla,16,12,12,1,2,23,4
Coxquihui,5,5,5,0,0,0,0
Coyutla,8,8,8,0,1,10,0
Cuichapa,6,6,6,0,2,20,0
Cuitlahuac,15,13,12,1,1,2,2
Chacaltianguis,12,12,12,1,0,0,0
Chalma,16,12,11,0,4,118,4
Chiconamel,11,9,9,0,0,0,2
Chiconquiaco,9,8,8,0,0,0,1
Chicontepec,84,69,69,3,16,700,15
Chinameca,10,10,10,0,1,10,0
Chinampa de Gorostiza,7,6,5,0,1,7,1
Las Choapas,121,105,104,1,39,168,16
Chocaman,3,2,2,0,0,0,1
Chontla,12,7,7,0,0,0,5
Chumatlan,C,C,1,0,0,0,C
Emiliano Zapata,26,24,24,0,3,29,2
Espinal,20,19,19,1,1,12,1
Fortin,7,5,5,0,0,0,2
Gutierrez Zamora,15,10,10,0,0,0,5
Hidalgotitlan,40,40,40,0,4,29,0
Huatusco,10,9,9,0,1,20,1
Huayacocotla,25,24,22,7,6,94,1
Hueyapan de Ocampo,36,33,33,0,5,117,3
Huiloapan,C,C,1,0,0,0,C
Ignacio de la Llave,30,27,27,0,1,0,3
Ilamatlan,15,6,6,0,2,52,9
Isla,47,37,36,1,5,81,10
Ixcatepec,9,1,1,0,0,0,8
Ixhuacan de los Reyes,6,4,4,0,1,6,2
Ixhuatlan del Cafe,13,10,10,0,0,0,3
Ixhuatlancillo,3,2,2,0,0,0,1
Ixhuatlan del Sureste,12,8,8,0,3,12,4
Ixhuatlan de Madero,69,58,58,0,8,577,11
Ixmatlahuacan,8,7,7,0,0,0,1
Ixtaczoquitlan,15,12,12,0,0,0,3
Jalacingo,17,17,17,1,6,43,0
Xalapa,10,7,7,0,0,0,3
Jalcomulco,4,4,4,0,1,0,0
Jaltipan,14,14,13,0,5,82,0
Jamapa,12,11,11,0,2,15,1
Jesus Carranza,52,51,51,0,7,201,1
Xico,12,9,9,0,0,0,3
Jilotepec,5,5,5,0,0,0,0
Juan Rodriguez Clara,46,39,39,0,8,187,7
Juchique de Ferrer,11,10,10,0,0,0,1
Lerdo de Tejada,3,3,3,1,0,0,0
Maltrata,3,3,3,0,1,10,0
Manlio Fabio Altamirano,28,28,28,4,2,48,0
Mariano Escobedo,3,2,2,0,0,0,1
Martinez de la Torre,46,40,40,0,4,56,6
Mecayapan,14,14,14,0,0,0,0
Medellin,33,33,33,1,4,108,0
Miahuatlan,C,C,2,0,0,0,C
Minatitlan,122,112,111,1,12,92,10
Misantla,42,35,35,0,8,37,7
Moloacan,14,9,8,1,4,6,5
Naolinco,4,4,4,0,0,0,0
Nautla,19,12,12,0,0,0,7
Nogales,6,5,5,0,0,0,1
Oluta,3,2,2,0,0,0,1
Omealca,24,23,23,0,0,0,1
Otatitlan,4,3,3,0,0,0,1
Oteapan,C,C,1,0,0,0,C
Ozuluama de Mascareñas,39,35,35,0,12,89,4
Pajapan,10,10,10,0,4,94,0
Panuco,132,108,108,1,52,702,24
Papantla,70,66,66,0,8,81,4
Paso del Macho,27,26,26,0,1,0,1
Paso de Ovejas,26,26,26,0,2,22,0
La Perla,C,C,0,0,0,0,C
Perote,20,19,19,1,4,37,1
Platon Sanchez,11,9,9,1,2,66,2
Playa Vicente,65,58,58,1,7,60,7
Las Vigas de Ramirez,4,3,3,0,0,0,1
Pueblo Viejo,19,19,18,0,10,56,0
Puente Nacional,28,27,27,0,2,53,1
Rafael Delgado,C,C,1,0,0,0,C
Rafael Lucio,C,C,1,0,0,0,C
Los Reyes,C,C,2,0,0,0,C
Rio Blanco,C,C,1,0,0,0,C
Saltabarranca,4,4,4,0,0,0,0
San Andres Tuxtla,80,71,71,0,4,37,9
San Juan Evangelista,50,46,46,0,7,120,4
Santiago Tuxtla,45,42,42,0,7,82,3
Sayula de Aleman,31,28,28,0,5,104,3
Soconusco,7,7,7,0,0,0,0
Soledad Atzompa,C,C,2,0,0,0,C
Soledad de Doblado,26,23,23,0,3,55,3
Soteapan,25,23,23,0,7,464,2
Tamalin,9,7,7,0,1,14,2
Tamiahua,50,38,38,1,2,45,12
Tampico Alto,23,19,18,0,8,24,4
Tancoco,9,7,7,0,0,0,2
Tantima,18,15,15,0,3,72,3
Tantoyuca,38,31,31,0,2,60,7
Castillo de Teayo,26,19,19,0,2,176,7
Tecolutla,37,23,23,0,3,41,14
Temapache,108,97,95,0,8,121,11
Tempoal,39,31,31,0,11,121,8
Tenampa,6,6,6,0,1,10,0
Teocelo,C,C,1,0,0,0,C
Tepatlaxco,5,5,5,0,0,0,0
Tepetlan,6,6,6,1,0,0,0
Tepetzintla,12,11,11,0,3,53,1
Tequila,C,C,1,0,0,0,C
Jose Azueta,30,22,22,0,2,29,8
Texcatepec,5,4,4,1,3,47,1
Texistepec,21,19,19,1,7,122,2
Tezonapa,44,43,43,0,2,26,1
Tierra Blanca,80,75,75,7,9,122,5
Tihuatlan,64,51,50,1,4,73,13
Tlacojalpan,3,2,2,0,0,0,1
Tlacolulan,C,C,2,0,0,0,C
Tlacotalpan,19,12,12,0,2,6,7
Tlacotepec de Mejia,C,C,2,0,0,0,C
Tlachichilco,8,8,8,3,3,75,0
Tlalixcoyan,56,52,52,0,2,28,4
Tlalnelhuayocan,C,C,2,0,1,6,C
Tlapacoyan,16,13,13,0,5,50,3
Tlilapan,C,C,1,0,0,0,C
Tomatlan,C,C,2,0,0,0,C
Tonayan,3,3,3,0,0,0,0
Totutla,7,7,7,0,1,0,0
Tuxpam,74,67,67,0,2,13,7
Tuxtilla,C,C,1,0,0,0,C
ursulo Galvan,16,16,16,0,2,130,0
Vega de Alatorre,14,12,12,1,3,20,2
Veracruz,16,11,11,0,1,0,5
Villa Aldama,5,5,5,0,2,0,0
Xoxocotla,C,C,1,0,0,0,C
Yanga,10,10,10,0,0,0,0
Yecuatla,3,3,3,0,0,0,0
Zacualpan,4,4,4,2,0,0,0
Zentla,3,3,3,0,0,0,0
Zongolica,16,16,16,0,1,4,0
Zontecomatlan de Lopez y Fuentes,15,9,9,0,1,0,6
Zozocolco de Hidalgo,C,C,2,0,0,0,C
Agua Dulce,14,10,10,0,0,0,4
El Higo,15,14,14,1,2,91,1
Nanchital de Lazaro Cardenas del Rio,C,C,0,0,0,0,C
Tres Valles,41,38,37,1,1,12,3
Carlos A. Carrillo,10,8,8,0,0,0,2
Tatahuicapan de Juarez,22,21,21,0,3,0,1
Uxpanapa,88,70,68,1,35,281,18
San Rafael,3,2,2,0,0,0,1
Santiago Sochiapan,C,C,0,0,0,0,C
Yucatan,722,618,569,10,548,3198,104
Abala,7,5,5,0,5,8,2
Acanceh,7,7,7,0,6,26,0
Akil,C,C,0,0,0,0,C
Baca,C,C,3,0,2,10,C
Bokoba,C,C,1,0,1,6,C
Buctzotz,8,7,7,0,6,81,1
Cacalchen,C,C,1,0,2,11,C
Calotmul,4,4,3,0,3,27,0
Cansahcab,5,4,4,0,1,10,1
Cantamayec,3,2,2,0,2,0,1
Celestun,C,C,1,0,1,6,C
Cenotillo,4,3,3,0,1,12,1
Conkal,3,3,3,0,2,10,0
Cuncunul,4,2,2,0,2,0,2
Cuzama,4,3,2,0,3,0,1
Chacsinkin,C,C,2,0,2,0,C
Chankom,14,8,8,0,5,68,6
Chapab,C,C,1,0,0,0,C
Chemax,17,14,13,0,14,183,3
Chicxulub Pueblo,3,3,3,0,2,8,0
Chichimila,7,7,7,0,5,0,0
Chikindzonot,4,1,1,0,1,0,3
Chochola,C,C,1,0,1,10,C
Chumayel,C,C,0,0,1,0,C
Dzan,C,C,0,0,0,0,C
Dzemul,3,1,1,0,0,0,2
Dzidzantun,C,C,2,0,2,27,C
Dzilam de Bravo,C,C,0,0,1,25,C
Dzilam Gonzalez,4,4,4,0,3,18,0
Dzitas,3,3,3,0,2,45,0
Dzoncauich,C,C,2,0,2,15,C
Espita,9,9,8,0,9,155,0
Halacho,8,8,8,1,5,24,0
Hocaba,4,3,3,0,2,16,1
Hoctun,3,3,3,0,3,90,0
Homun,5,5,5,0,5,0,0
Huhi,C,C,2,0,2,18,C
Hunucma,7,6,5,1,6,48,1
Ixil,C,C,1,0,1,0,C
Izamal,11,9,8,0,8,61,2
Kanasin,5,4,4,0,4,10,1
Kantunil,C,C,2,0,1,20,C
Kaua,C,C,2,0,2,0,C
Kinchil,C,C,2,0,2,15,C
Kopoma,C,C,2,0,2,8,C
Mama,C,C,0,0,0,0,C
Mani,C,C,2,0,2,22,C
Maxcanu,14,12,11,0,10,68,2
Mayapan,C,C,1,0,1,0,C
Merida,46,40,39,1,36,97,6
Mococha,4,4,4,0,1,13,0
Motul,20,17,16,0,14,11,3
Muna,4,4,3,0,4,35,0
Muxupip,3,3,3,0,3,0,0
Opichen,C,C,2,0,2,0,C
Oxkutzcab,6,5,5,0,5,90,1
Panaba,5,5,4,0,4,42,0
Peto,30,30,29,0,30,23,0
Progreso,5,2,2,0,2,0,3
Quintana Roo,C,C,2,0,2,4,C
Rio Lagartos,C,C,0,0,0,0,C
Sacalum,4,4,4,1,4,40,0
Samahil,5,4,4,0,4,4,1
Sanahcat,C,C,0,0,0,0,C
San Felipe,C,C,0,0,0,0,C
Santa Elena,C,C,2,0,2,70,C
Seye,4,4,3,0,4,50,0
Sinanche,6,4,3,0,4,47,2
Sotuta,4,2,2,0,2,45,2
Sucila,C,C,0,0,1,5,C
Sudzal,4,3,3,0,3,75,1
Suma,3,3,2,0,1,6,0
Tahdziu,C,C,0,0,0,0,C
Tahmek,3,3,3,0,2,0,0
Teabo,C,C,0,0,1,0,C
Tecoh,11,7,4,0,7,64,4
Tekal de Venegas,3,2,2,0,2,4,1
Tekanto,5,4,4,1,3,0,1
Tekax,55,51,46,1,46,184,4
Tekit,C,C,1,0,1,0,C
Tekom,4,2,2,0,1,0,2
Telchac,C,C,1,0,0,0,C
Telchac Puerto,C,C,0,0,0,0,C
Temax,6,5,5,0,5,39,1
Temozon,13,11,9,0,11,88,2
Tepakan,C,C,1,0,2,90,C
Tetiz,6,4,4,0,4,0,2
Teya,C,C,2,0,2,14,C
Ticul,3,3,3,0,2,50,0
Timucuy,3,1,0,0,1,4,2
Tinum,8,7,7,0,4,70,1
Tixcacalcupul,5,5,4,0,4,10,0
Tixkokob,12,10,9,0,8,1,2
Tixmehuac,7,7,7,0,7,0,0
Tixpehual,5,4,4,0,4,0,1
Tizimin,73,69,65,2,68,242,4
Tunkas,7,6,4,0,6,40,1
Tzucacab,21,20,19,0,18,157,1
Uayma,3,3,3,0,2,22,0
Ucu,4,3,2,1,3,40,1
