INEGI. IX Censo Ejidal 2007,,,,,,,
Total de ejidos y comunidades segun disposicion y tipo de parcelas,,,,,,,cuadro 31
con destino especifico por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,parcelas_de_destino_especifico_ejidos_y_comunidades_con_parcelas_de_destino_especifico,parcelas_de_destino_especifico_parcela_escolar,parcelas_de_destino_especifico_unidad_productiva_para_el_desarrollo_integral_de_la_juventud,unidad_agricola_industrial_para_la_mujer_total,unidad_agricola_industrial_para_la_mujer_mujeres_participantes,sin_parcelas_de_este_tipo
Ocampo,17,11,11,0,1,10,6
Ojinaga,33,29,28,1,6,0,4
Praxedis G. Guerrero,5,5,5,1,1,0,0
Riva Palacio,9,4,4,0,1,7,5
Rosales,11,10,10,0,0,0,1
Rosario,7,5,5,0,2,11,2
San Francisco de Borja,9,7,7,1,0,0,2
San Francisco de Conchos,7,5,5,0,4,16,2
San Francisco del Oro,4,4,4,0,0,0,0
Santa Barbara,9,8,8,0,0,0,1
Satevo,20,13,13,0,3,0,7
Saucillo,13,8,8,1,0,0,5
Temosachi,13,10,10,0,0,0,3
El Tule,4,4,4,0,0,0,0
Urique,29,18,17,0,2,0,11
Uruachi,19,15,15,0,0,0,4
Valle de Zaragoza,15,13,13,0,8,15,2
Distrito Federal,37,16,14,0,7,224,21
Cuajimalpa de Morelos,C,C,3,0,2,178,C
La Magdalena Contreras,3,2,2,0,0,0,1
Milpa Alta,8,4,2,0,2,0,4
alvaro Obregon,C,C,0,0,0,0,C
Tlahuac,7,2,2,0,1,0,5
Tlalpan,10,4,4,0,1,46,6
Xochimilco,4,1,1,0,1,0,3
Durango,1124,851,844,25,149,1937,273
Canatlan,40,38,38,5,6,47,2
Canelas,C,C,1,0,0,0,C
Coneto de Comonfort,8,8,8,0,0,0,0
Cuencame,28,22,22,1,2,19,6
Durango,122,101,99,6,9,113,21
General Simon Bolivar,21,20,20,0,12,162,1
Gomez Palacio,98,88,87,0,22,316,10
Guadalupe Victoria,10,10,10,0,4,61,0
Guanacevi,40,18,18,0,0,0,22
Hidalgo,18,15,15,0,3,31,3
Inde,12,9,9,0,1,0,3
Lerdo,31,26,26,2,12,244,5
Mapimi,78,46,46,2,15,172,32
Mezquital,22,15,15,0,3,0,7
