INEGI. IX Censo Ejidal 2007,,,
"Total de ejidatarios, comuneros y posesionarios",,,cuadro 12
por entidad federativa y municipio,,,
,,,
entidad_federativa_y_municipio,total,ejidatarios_y_comuneros,posesionarios
Casimiro Castillo,2156,1688,468
Cihuatlan,2038,1620,418
Zapotlan el Grande,823,651,172
Cocula,4034,2282,1752
Colotlan,404,390,14
Concepcion de Buenos Aires,934,700,234
Cuautitlan de Garcia Barragan,5386,3017,2369
Cuautla,210,210,0
Cuquio,1627,1106,521
Chapala,1230,921,309
Chimaltitan,583,373,210
Chiquilistlan,561,473,88
Degollado,1451,1083,368
Ejutla,147,143,4
Encarnacion de Diaz,1201,911,290
Etzatlan,1358,1188,170
El Grullo,718,508,210
Guachinango,712,679,33
Guadalajara,42,42,0
Hostotipaquillo,1430,1216,214
Huejucar,412,404,8
Huejuquilla el Alto,1299,736,563
La Huerta,3588,2947,641
Ixtlahuacan de los Membrillos,1314,712,602
Ixtlahuacan del Rio,1444,843,601
Jalostotitlan,56,28,28
Jamay,1667,1452,215
Jesus Maria,265,180,85
Jilotlan de los Dolores,2146,1843,303
Jocotepec,2230,1917,313
Juanacatlan,1393,783,610
Juchitlan,433,387,46
Lagos de Moreno,3256,3044,212
El Limon,862,672,190
Magdalena,1471,1067,404
Santa Maria del Oro,255,210,45
La Manzanilla de la Paz,580,401,179
Mascota,1163,894,269
Mazamitla,832,668,164
Mexticacan,24,24,0
Mezquitic,6494,6340,154
Mixtlan,283,256,27
Ocotlan,1859,1438,421
Ojuelos de Jalisco,2979,2293,686
Pihuamo,1684,1438,246
Poncitlan,2295,1812,483
Puerto Vallarta,2719,2114,605
Villa Purificacion,2727,2213,514
Quitupan,2552,1393,1159
El Salto,229,182,47
San Cristobal de la Barranca,87,87,0
San Diego de Alejandria,48,48,0
San Juan de los Lagos,322,256,66
San Marcos,501,476,25
San Martin Hidalgo,2934,2657,277
San Miguel el Alto,23,23,0
Gomez Farias,619,514,105
San Sebastian del Oeste,1671,1420,251
Santa Maria de los angeles,795,777,18
Sayula,851,669,182
Tala,5468,3287,2181
Talpa de Allende,1934,1745,189
Tamazula de Gordiano,2890,2104,786
Tapalpa,1096,880,216
Tecalitlan,702,645,57
Tecolotlan,1478,1184,294
Techaluta de Montenegro,185,175,10
Tenamaxtlan,1047,845,202
Teocaltiche,1890,1306,584
