INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,
Ejidos y comunidades segun tipo de construcciones agropecuarias y forestales de su propiedad,,,,,,,,,,,,cuadro 23
por entidad federativa y municipio,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_total,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_bodegas,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_naves_para_aves,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_naves_para_cerdos,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_bordos_para_riego_o_abrevadero,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_pozo_para_riego,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_baño_garrapaticida,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_sala_de_ordeña,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_aserradero,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_otras_cosntrucciones,ejidos_y_comunidades_sin_construcciones_agropecuarias_ni_forestales_de_su_propiedad
Amixtlan,C,C,0,0,0,0,0,0,0,0,0,C
Amozoc,7,0,0,0,0,0,0,0,0,0,0,7
Aquixtla,5,0,0,0,0,0,0,0,0,0,0,5
Atexcal,9,1,0,0,0,1,0,0,0,0,0,8
Atlixco,29,19,2,0,0,15,9,0,0,0,2,10
Atoyatempan,C,C,0,0,0,0,1,0,0,0,1,C
Atzala,C,C,0,0,0,0,1,0,0,0,0,C
Atzitzihuacan,9,2,1,0,0,0,1,0,0,0,1,7
Atzitzintla,5,2,2,0,0,0,1,0,0,0,0,3
Axutla,C,C,0,0,0,0,0,0,0,0,0,C
Ayotoxco de Guerrero,3,2,2,0,0,0,0,0,0,0,0,1
Calpan,3,1,1,0,0,0,0,0,0,0,0,2
Caltepec,9,1,1,0,0,0,0,0,0,0,0,8
Camocuautla,C,C,0,0,0,0,0,0,0,0,0,C
Caxhuacan,C,C,1,0,0,0,0,0,0,0,0,C
Coatzingo,C,C,1,0,0,0,0,0,0,0,0,C
Cohetzala,3,1,0,0,0,1,0,0,0,0,0,2
Cohuecan,C,C,0,0,0,0,0,1,0,0,0,C
Coronango,3,1,0,0,0,0,1,0,0,0,0,2
Coxcatlan,9,3,0,0,0,1,1,0,0,1,0,6
Coyomeapan,3,0,0,0,0,0,0,0,0,0,0,3
Coyotepec,4,0,0,0,0,0,0,0,0,0,0,4
Cuapiaxtla de Madero,C,C,0,0,0,0,1,0,0,0,0,C
Cuautempan,C,C,0,0,0,0,0,0,0,0,1,C
Cuautinchan,7,2,1,0,0,1,2,0,0,0,0,5
Cuautlancingo,3,2,0,0,0,0,2,0,0,0,0,1
Cuayuca de Andrade,5,0,0,0,0,0,0,0,0,0,0,5
Cuetzalan del Progreso,C,C,0,1,1,0,0,0,0,0,0,C
Cuyoaco,11,3,3,0,0,0,1,0,0,0,0,8
Chalchicomula de Sesma,24,13,9,0,0,0,8,0,0,0,0,11
Chapulco,C,C,0,0,0,0,1,0,0,0,0,C
Chiautla,6,4,2,0,0,3,0,1,0,0,0,2
Chiautzingo,5,5,0,0,0,2,5,0,0,0,0,0
Chiconcuautla,C,C,0,0,0,0,0,0,0,0,0,C
Chietla,21,15,2,0,0,5,11,0,0,0,2,6
Chignahuapan,45,18,7,0,0,9,0,0,0,4,5,27
Chignautla,C,C,0,0,0,0,0,0,0,1,0,C
Chila,4,0,0,0,0,0,0,0,0,0,0,4
Chila de la Sal,C,C,0,0,0,0,0,0,0,0,0,C
Honey,C,C,0,0,0,0,0,0,0,0,0,C
Chilchotla,C,C,0,0,0,0,0,0,0,0,0,C
Chinantla,3,2,0,0,0,1,1,0,0,0,0,1
Domingo Arenas,C,C,0,0,0,0,1,0,0,0,0,C
Eloxochitlan,C,C,0,0,0,0,0,0,0,0,0,C
Epatlan,4,1,0,0,0,1,1,0,0,0,0,3
Esperanza,9,7,3,0,0,1,7,0,0,0,0,2
Francisco Z. Mena,21,2,1,0,0,2,0,0,0,0,0,19
General Felipe angeles,5,2,1,0,0,0,2,0,0,0,0,3
Guadalupe,3,1,0,0,0,1,0,0,0,0,0,2
Guadalupe Victoria,10,6,3,0,0,0,4,0,0,0,0,4
Huaquechula,26,12,2,0,1,2,11,0,0,0,1,14
Huatlatlauca,8,1,0,0,0,1,0,0,0,0,0,7
Huauchinango,4,1,1,0,0,0,0,0,0,0,1,3
Huehuetlan el Chico,4,2,0,0,0,2,1,0,0,0,0,2
Huejotzingo,11,8,3,0,0,1,7,0,0,0,1,3
Hueytamalco,9,5,2,0,0,1,0,0,0,0,3,4
Hueytlalpan,C,C,0,0,0,0,0,0,0,0,0,C
Huitzilan de Serdan,C,C,0,0,0,0,0,0,0,0,0,C
Ixcamilpa de Guerrero,4,1,0,0,0,1,0,0,0,0,0,3
Ixcaquixtla,7,5,1,0,0,0,5,0,0,0,0,2
Ixtacamaxtitlan,24,4,2,0,0,1,0,0,0,0,2,20
Izucar de Matamoros,26,10,3,0,1,1,6,0,0,0,1,16
Jalpan,7,1,1,0,0,0,0,0,0,0,0,6
Jolalpan,9,5,0,0,0,4,1,0,0,0,1,4
Jonotla,4,1,1,0,0,0,0,0,0,0,0,3
Jopala,C,C,0,0,0,0,0,0,0,0,0,C
Juan C. Bonilla,C,C,1,0,0,0,1,0,0,0,0,C
Juan N. Mendez,3,0,0,0,0,0,0,0,0,0,0,3
Lafragua,7,2,1,0,0,0,1,0,0,1,1,5
Libres,6,5,0,0,0,0,5,0,0,0,2,1
La Magdalena Tlatlauquitepec,C,C,0,0,0,0,0,0,0,0,0,C
Mazapiltepec de Juarez,3,0,0,0,0,0,0,0,0,0,0,3
Mixtla,C,C,0,0,0,0,1,0,0,0,0,C
Molcaxac,9,2,1,0,0,0,1,0,0,0,0,7
Cañada Morelos,5,2,0,0,0,2,0,0,0,0,1,3
Nicolas Bravo,C,C,0,0,0,1,0,0,0,0,0,C
Nopalucan,6,0,0,0,0,0,0,0,0,0,0,6
Ocotepec,C,C,0,0,0,0,0,0,0,0,0,C
Ocoyucan,11,2,0,0,0,1,1,0,0,0,0,9
Olintla,C,C,0,0,0,0,0,0,0,0,1,C
Oriental,7,6,3,0,0,1,6,0,0,0,0,1
Pahuatlan,C,C,0,0,0,0,0,0,0,0,0,C
Palmar de Bravo,14,14,2,0,0,1,14,0,0,0,0,0
Pantepec,16,0,0,0,0,0,0,0,0,0,0,16
Petlalcingo,8,1,0,0,0,0,1,0,0,0,0,7
Piaxtla,5,3,1,0,0,1,2,0,0,0,0,2
Puebla,20,3,1,0,1,2,0,0,0,0,0,17
Quecholac,12,10,0,0,0,1,10,0,0,0,1,2
Rafael Lara Grajales,C,C,0,0,0,0,0,0,0,0,0,C
Los Reyes de Juarez,3,3,0,0,0,0,3,0,0,0,0,0
San Andres Cholula,6,2,0,0,0,0,0,0,0,0,2,4
San Antonio Cañada,C,C,0,0,0,1,0,0,0,0,1,C
San Diego la Mesa Tochimiltzingo,4,1,0,0,0,1,0,0,0,0,1,3
San Felipe Teotlalcingo,3,2,0,0,0,0,2,0,0,0,0,1
San Gabriel Chilac,4,0,0,0,0,0,0,0,0,0,0,4
San Jeronimo Tecuanipan,3,1,0,0,0,0,1,0,0,0,0,2
San Jeronimo Xayacatlan,3,0,0,0,0,0,0,0,0,0,0,3
San Jose Chiapa,7,2,1,0,0,0,2,0,0,0,0,5
San Jose Miahuatlan,8,4,1,0,0,2,1,0,0,0,0,4
San Juan Atenco,5,2,2,0,0,0,0,0,0,0,0,3
San Martin Texmelucan,11,10,1,0,0,2,9,0,0,0,3,1
San Martin Totoltepec,C,C,0,0,0,0,0,0,0,0,0,C
San Matias Tlalancaleca,3,2,0,0,0,1,2,0,0,0,0,1
San Miguel Xoxtla,C,C,1,0,0,0,0,0,0,0,0,C
San Nicolas Buenos Aires,7,4,2,0,0,0,4,0,0,0,0,3
San Nicolas de los Ranchos,3,1,1,0,0,0,0,0,0,0,0,2
San Pablo Anicano,6,2,0,0,0,0,2,0,0,0,0,4
San Pedro Cholula,3,1,1,0,0,0,0,0,0,0,0,2
San Pedro Yeloixtlahuaca,C,C,0,0,0,1,1,0,0,0,0,C
San Salvador el Seco,4,3,3,0,0,0,0,0,0,0,0,1
San Salvador el Verde,8,8,1,0,0,3,8,0,0,1,1,0
San Salvador Huixcolotla,C,C,0,0,0,0,1,0,0,0,1,C
San Sebastian Tlacotepec,C,C,0,0,0,0,0,0,0,0,0,C
Santa Catarina Tlaltempan,C,C,0,0,0,0,0,0,0,0,0,C
Santa Ines Ahuatempan,C,C,0,0,0,0,0,0,0,0,0,C
Santa Isabel Cholula,4,3,0,0,0,2,1,0,0,0,0,1
Santiago Miahuatlan,3,2,1,0,0,2,2,0,0,0,0,1
Huehuetlan el Grande,13,4,0,0,0,4,0,0,0,0,0,9
Santo Tomas Hueyotlipan,C,C,0,0,0,0,2,0,0,0,1,C
Soltepec,7,0,0,0,0,0,0,0,0,0,0,7
Tecali de Herrera,12,4,1,0,0,1,4,0,0,0,1,8
Tecamachalco,18,13,1,0,0,2,12,0,0,0,3,5
Tecomatlan,3,0,0,0,0,0,0,0,0,0,0,3
Tehuacan,12,8,1,0,0,0,7,0,0,0,1,4
Tehuitzingo,10,0,0,0,0,0,0,0,0,0,0,10
Tenampulco,8,4,3,0,1,0,0,0,0,0,0,4
Teopantlan,3,0,0,0,0,0,0,0,0,0,0,3
Teotlalco,4,3,0,0,0,3,0,0,0,0,0,1
Tepanco de Lopez,7,6,0,0,0,2,4,0,0,0,2,1
Tepatlaxco de Hidalgo,C,C,0,0,0,0,0,0,0,0,0,C
Tepeaca,23,20,3,0,0,3,18,0,0,0,1,3
Tepemaxalco,3,0,0,0,0,0,0,0,0,0,0,3
Tepeojuma,8,4,2,1,0,0,3,0,0,0,0,4
Tepetzintla,3,0,0,0,0,0,0,0,0,0,0,3
Tepexco,4,2,0,0,0,2,0,0,0,0,0,2
Tepexi de Rodriguez,12,5,1,0,0,3,4,0,0,0,0,7
Tepeyahualco,14,7,4,0,0,0,5,0,0,0,0,7
Tepeyahualco de Cuauhtemoc,C,C,0,0,0,0,2,0,0,0,0,C
Tetela de Ocampo,4,0,0,0,0,0,0,0,0,0,0,4
Teziutlan,C,C,0,0,0,0,0,0,0,0,0,C
Tianguismanalco,6,2,0,0,0,0,2,0,0,0,0,4
Tilapa,7,6,0,0,0,2,4,0,0,0,2,1
Tlacotepec de Benito Juarez,18,11,2,0,0,5,4,0,0,0,6,7
Tlacuilotepec,4,0,0,0,0,0,0,0,0,0,0,4
Tlachichuca,24,9,7,0,0,0,4,0,0,0,2,15
Tlahuapan,18,10,3,0,0,4,6,0,0,0,2,8
Tlanepantla,C,C,0,0,0,0,1,0,0,0,0,C
Tlapacoya,3,0,0,0,0,0,0,0,0,0,0,3
Tlapanala,6,2,0,0,1,0,1,0,0,0,0,4
Tlatlauquitepec,4,4,1,0,0,0,0,0,0,1,4,0
Tlaxco,C,C,0,0,0,0,0,0,0,0,0,C
Tochimilco,12,0,0,0,0,0,0,0,0,0,0,12
Tochtepec,4,3,0,0,0,1,2,0,0,0,0,1
Totoltepec de Guerrero,3,1,0,0,0,1,0,0,0,0,0,2
Tulcingo,C,C,0,0,0,0,0,0,0,0,0,C
Tuzamapan de Galeana,C,C,1,0,0,0,0,0,0,0,0,C
Tzicatlacoyan,7,2,1,0,0,1,0,0,0,0,0,5
Venustiano Carranza,12,1,1,0,0,1,0,0,0,0,0,11
Vicente Guerrero,4,2,0,0,0,0,0,0,0,2,0,2
Xayacatlan de Bravo,C,C,0,0,0,0,0,0,0,0,0,C
Xicotepec,10,1,1,0,0,0,0,0,0,0,0,9
Xicotlan,C,C,0,0,0,0,0,0,0,0,0,C
Xiutetelco,3,0,0,0,0,0,0,0,0,0,0,3
Xochiapulco,C,C,0,0,0,0,0,0,0,0,0,C
Xochiltepec,3,0,0,0,0,0,0,0,0,0,0,3
Xochitlan de Vicente Suarez,C,C,0,0,0,0,0,0,0,0,0,C
Xochitlan Todos Santos,3,2,1,0,0,2,0,0,0,0,0,1
Yehualtepec,9,2,1,0,0,0,1,0,0,0,0,7
Zacapala,7,0,0,0,0,0,0,0,0,0,0,7
Zacapoaxtla,10,1,1,0,0,1,0,0,0,0,1,9
Zacatlan,18,1,0,0,0,0,0,0,0,0,1,17
Zapotitlan,7,1,0,0,0,1,1,0,0,0,0,6
Zaragoza,C,C,0,0,0,0,0,0,0,0,0,C
Zautla,8,3,1,0,0,0,0,0,0,0,2,5
Zihuateutla,8,5,2,0,0,0,0,0,0,0,4,3
Zinacatepec,C,C,0,0,0,0,1,0,0,0,0,C
Zoquiapan,C,C,0,0,0,0,0,0,0,0,0,C
Zoquitlan,C,C,0,0,0,0,0,0,0,0,0,C
Queretaro,378,327,88,4,6,261,118,37,1,2,95,51
Amealco de Bonfil,23,21,16,0,0,20,8,1,0,0,3,2
Pinal de Amoles,19,11,2,0,0,10,1,1,0,1,1,8
Arroyo Seco,13,11,2,0,0,10,0,4,0,0,4,2
Cadereyta de Montes,38,25,3,3,0,24,1,1,0,0,3,13
Colon,42,40,7,1,0,32,15,8,0,0,14,2
Corregidora,16,15,2,0,0,12,5,0,0,0,5,1
Ezequiel Montes,8,8,1,0,0,7,2,2,0,0,6,0
Huimilpan,16,13,2,0,0,11,6,0,0,0,5,3
Jalpan de Serra,6,6,1,0,1,5,0,1,0,0,2,0
Landa de Matamoros,4,2,1,0,0,2,0,0,0,1,1,2
El Marques,39,37,7,0,4,28,24,2,0,0,1,2
Pedro Escobedo,19,19,14,0,0,9,16,4,1,0,1,0
Peñamiller,16,10,4,0,0,3,3,1,0,0,4,6
Queretaro,41,33,0,0,1,27,7,1,0,0,8,8
San Joaquin,4,2,1,0,0,1,0,1,0,0,1,2
San Juan del Rio,52,52,11,0,0,40,20,4,0,0,28,0
Tequisquiapan,12,12,8,0,0,12,9,5,0,0,8,0
Toliman,10,10,6,0,0,8,1,1,0,0,0,0
Quintana Roo,282,126,21,3,7,10,36,4,5,10,67,156
Cozumel,C,C,0,1,0,0,0,0,0,0,0,C
Felipe Carrillo Puerto,55,38,3,0,1,1,8,0,0,4,33,17
Isla Mujeres,C,C,1,0,0,0,0,0,0,0,0,C
Othon P. Blanco,105,33,13,1,2,4,13,4,5,5,4,72
Benito Juarez,C,C,1,0,2,0,0,0,0,0,0,C
Jose Maria Morelos,65,18,0,1,1,5,15,0,0,0,0,47
Lazaro Cardenas,34,22,2,0,0,0,0,0,0,1,21,12
Solidaridad,17,11,1,0,1,0,0,0,0,0,9,6
San Luis Potosi,1421,792,164,19,14,600,197,124,20,2,128,629
Ahualulco,14,13,0,0,0,11,4,0,0,0,0,1
Alaquines,11,9,0,0,0,7,1,4,0,0,0,2
Aquismon,28,12,4,0,0,1,0,1,0,0,7,16
Armadillo de los Infante,7,4,1,0,0,4,3,1,0,0,0,3
Cardenas,C,C,2,0,0,5,1,3,0,0,1,C
Catorce,21,18,1,0,0,15,8,1,0,0,2,3
Cedral,29,29,2,2,1,26,10,3,0,0,5,0
Cerritos,18,15,7,0,0,12,2,7,0,0,3,3
Cerro de San Pedro,5,2,0,0,0,2,0,0,0,0,0,3
Ciudad del Maiz,28,25,1,0,0,15,4,14,0,1,3,3
Ciudad Fernandez,15,7,2,0,0,4,4,1,0,0,0,8
Tancanhuitz,26,9,8,1,0,0,0,0,0,0,0,17
Ciudad Valles,60,34,22,1,0,18,0,9,3,0,2,26
Coxcatlan,28,0,0,0,0,0,0,0,0,0,0,28
Charcas,27,15,1,1,0,14,2,0,0,0,1,12
ebano,92,45,9,0,1,23,1,11,4,1,15,47
Guadalcazar,52,48,5,2,0,45,7,5,0,0,1,4
Huehuetlan,13,1,1,0,0,0,0,0,0,0,0,12
Lagunillas,7,1,1,0,0,0,0,0,0,0,0,6
Matehuala,44,44,9,3,0,40,12,2,0,0,6,0
Mexquitic de Carmona,30,23,4,0,0,19,12,0,0,0,1,7
Moctezuma,30,21,3,0,0,18,8,0,0,0,1,9
Rayon,8,5,4,0,1,3,0,3,0,0,0,3
Rioverde,55,45,7,0,0,31,18,14,0,0,25,10
Salinas,11,10,3,0,0,10,5,1,0,0,0,1
San Antonio,10,3,0,0,0,1,0,0,0,0,2,7
San Ciro de Acosta,5,3,1,0,0,2,1,1,0,0,1,2
San Luis Potosi,35,28,1,0,0,19,16,0,0,0,0,7
San Martin Chalchicuautla,58,0,0,0,0,0,0,0,0,0,0,58
San Nicolas Tolentino,6,4,1,0,0,3,2,1,0,0,0,2
Santa Catarina,5,0,0,0,0,0,0,0,0,0,0,5
Santa Maria del Rio,12,10,2,0,0,9,0,1,0,0,0,2
Santo Domingo,25,21,1,0,0,21,9,2,0,0,4,4
San Vicente Tancuayalab,23,8,3,0,0,4,0,3,1,0,0,15
Soledad de Graciano Sanchez,8,6,2,0,0,2,3,0,1,0,1,2
Tamasopo,21,14,4,0,0,10,0,2,0,0,11,7
Tamazunchale,33,4,1,0,2,0,0,1,0,0,0,29
Tampacan,23,0,0,0,0,0,0,0,0,0,0,23
Tampamolon Corona,31,4,2,0,1,1,0,0,0,0,1,27
Tamuin,175,79,14,3,2,67,4,20,9,0,17,96
Tanlajas,26,11,0,0,0,10,0,0,0,0,1,15
Tanquian de Escobedo,5,3,1,0,0,2,0,1,0,0,1,2
Tierra Nueva,C,C,0,0,0,1,0,0,0,0,0,C
Vanegas,20,20,3,0,0,16,12,2,0,0,7,0
Venado,18,17,2,0,0,16,5,0,0,0,4,1
Villa de Arriaga,11,11,4,0,0,11,0,0,0,0,0,0
Villa de Guadalupe,20,8,0,0,0,6,3,0,0,0,0,12
Villa de la Paz,5,5,1,0,0,5,0,0,0,0,0,0
Villa de Ramos,18,18,1,0,0,17,9,3,0,0,0,0
Villa de Reyes,20,19,2,6,5,15,15,0,2,0,0,1
Villa Hidalgo,27,22,9,0,0,20,8,1,0,0,1,5
Villa Juarez,9,8,6,0,1,5,5,4,0,0,0,1
Axtla de Terrazas,29,0,0,0,0,0,0,0,0,0,0,29
Xilitla,35,5,2,0,0,0,0,0,0,0,3,30
Zaragoza,7,6,0,0,0,6,0,0,0,0,0,1
Villa de Arista,8,6,0,0,0,6,3,0,0,0,1,2
Matlapa,12,1,1,0,0,0,0,0,0,0,0,11
El Naranjo,16,7,3,0,0,2,0,2,0,0,0,9
Sinaloa,1309,562,44,7,6,211,136,364,11,14,57,747
Ahome,115,32,1,1,1,6,4,24,2,0,8,83
Angostura,62,19,0,0,0,0,0,2,0,0,19,43
Badiraguato,44,7,0,0,0,6,2,4,0,0,1,37
Concordia,29,18,4,2,0,8,8,11,1,2,2,11
Cosala,37,12,1,0,0,1,0,11,0,0,0,25
Culiacan,185,55,3,1,1,23,7,29,2,1,4,130
Choix,63,50,9,0,1,9,2,46,0,0,1,13
Elota,39,23,1,0,1,16,6,15,0,1,3,16
Escuinapa,20,13,4,0,0,9,4,7,0,0,0,7
El Fuerte,103,78,2,1,1,42,21,64,1,0,2,25
Guasave,140,30,2,0,0,3,21,7,2,2,0,110
Mazatlan,45,18,5,1,0,6,7,9,1,0,0,27
Mocorito,71,43,2,0,0,16,9,31,0,0,10,28
Rosario,51,35,4,1,0,20,13,23,2,2,0,16
Salvador Alvarado,22,12,0,0,0,5,5,4,0,0,2,10
San Ignacio,51,30,2,0,1,1,1,27,0,2,2,21
Sinaloa,154,76,1,0,0,38,21,46,0,4,2,78
Navolato,78,11,3,0,0,2,5,4,0,0,1,67
Sonora,979,599,221,2,43,290,299,176,16,3,114,380
Aconchi,C,C,0,0,0,1,0,1,0,0,0,C
Agua Prieta,6,6,2,0,0,6,5,3,1,0,0,0
alamos,84,53,20,2,0,24,15,22,1,0,14,31
Altar,7,5,1,0,0,3,5,0,0,0,1,2
Arivechi,C,C,1,0,0,3,1,3,1,0,0,C
Arizpe,6,5,0,0,0,5,2,1,0,0,1,1
Atil,C,C,0,0,0,1,1,0,0,0,0,C
Bacadehuachi,C,C,1,0,0,1,0,0,0,0,1,C
Bacanora,4,3,0,0,0,3,1,3,0,0,0,1
Bacerac,4,3,1,0,0,3,1,2,0,0,2,1
Bacoachi,5,5,0,0,1,5,2,1,0,0,1,0
Bacum,44,26,20,0,0,2,10,0,0,0,3,18
Banamichi,3,3,1,0,0,3,2,2,1,0,2,0
Baviacora,C,C,1,0,0,2,1,1,0,0,0,C
Bavispe,C,C,0,0,0,2,2,2,0,0,2,C
Benjamin Hill,3,3,1,0,2,3,3,1,0,0,1,0
Caborca,72,35,16,0,1,7,30,3,1,0,1,37
Cajeme,103,55,32,0,0,4,28,11,1,0,9,48
Cananea,7,7,4,0,0,7,4,3,1,0,1,0
Carbo,C,C,0,0,0,2,1,1,0,0,0,C
La Colorada,6,6,3,0,0,0,4,5,0,0,1,0
Cucurpe,3,3,1,0,0,2,3,2,0,0,0,0
Cumpas,7,6,1,0,0,5,5,3,0,0,0,1
Divisaderos,C,C,0,0,0,1,0,1,0,0,0,C
Empalme,16,7,3,0,1,2,4,2,0,0,1,9
Etchojoa,45,20,12,0,1,0,4,0,0,0,16,25
Fronteras,12,12,5,0,1,12,10,6,0,0,0,0
Granados,C,C,0,0,0,1,0,1,0,0,0,C
Guaymas,31,26,7,0,4,15,15,10,0,0,4,5
Hermosillo,52,33,9,0,6,17,19,4,3,0,5,19
Huachinera,C,C,0,0,0,2,1,1,0,0,1,C
Huasabas,C,C,0,0,0,1,0,1,0,0,0,C
Huatabampo,57,21,4,0,11,9,3,9,0,0,3,36
Huepac,3,3,2,0,0,3,0,2,1,0,0,0
Imuris,6,4,0,0,0,4,1,0,0,0,0,2
Magdalena,9,6,1,0,1,3,3,1,0,0,1,3
Mazatan,3,3,1,0,0,3,2,1,2,0,0,0
Moctezuma,4,3,0,0,0,3,2,3,0,0,0,1
Naco,C,C,1,0,0,2,2,1,0,0,1,C
Nacori Chico,4,3,3,0,0,2,0,1,0,1,1,1
Nacozari de Garcia,4,3,0,0,0,0,0,3,0,0,0,1
Navojoa,45,28,9,0,5,9,15,7,0,0,4,17
Nogales,8,7,4,0,0,6,2,5,0,0,1,1
Onavas,C,C,2,0,0,1,2,0,0,0,0,C
Opodepe,6,6,1,0,0,6,6,0,0,0,0,0
Oquitoa,C,C,0,0,0,0,0,0,0,0,0,C
Pitiquito,11,10,4,0,0,7,8,2,0,0,3,1
Puerto Peñasco,27,10,0,0,0,5,7,0,0,0,2,17
Quiriego,17,8,3,0,0,5,2,5,0,0,2,9
Rayon,5,5,0,0,0,5,1,2,0,0,1,0
Rosario,17,13,6,0,0,4,1,8,0,0,2,4
Sahuaripa,18,15,2,0,0,12,0,9,0,0,3,3
San Felipe de Jesus,C,C,0,0,0,0,1,1,0,0,0,C
San Javier,C,C,1,0,0,0,0,0,0,0,0,C
San Luis Rio Colorado,41,16,9,0,0,2,14,0,0,0,3,25
San Miguel de Horcasitas,4,4,0,0,1,3,3,0,0,0,1,0
San Pedro de la Cueva,6,3,1,0,0,3,1,0,0,0,0,3
Santa Ana,7,6,2,0,2,3,3,0,0,0,0,1
Santa Cruz,C,C,0,0,0,1,2,1,0,0,0,C
Saric,5,1,0,0,0,0,1,1,1,1,0,4
Soyopa,6,3,3,0,0,1,1,1,0,0,1,3
Suaqui Grande,C,C,0,0,0,1,1,1,1,0,1,C
Tepache,C,C,0,0,0,2,1,0,0,0,0,C
Trincheras,3,1,1,0,1,0,0,0,0,0,0,2
Tubutama,7,3,0,0,0,3,3,1,1,0,1,4
Ures,12,12,1,0,5,12,10,6,0,0,3,0
Villa Hidalgo,4,4,1,0,0,4,0,2,0,0,4,0
Villa Pesqueira,3,3,0,0,0,2,0,3,0,0,0,0
Yecora,9,5,2,0,0,2,0,4,0,1,2,4
General Plutarco Elias Calles,29,20,2,0,0,13,17,0,0,0,1,9
Benito Juarez,10,6,5,0,0,0,2,0,0,0,1,4
San Ignacio Rio Muerto,38,14,8,0,0,4,3,0,0,0,5,24
Tabasco,779,117,39,23,13,49,14,8,2,0,17,662
Balancan,55,16,11,2,0,5,7,1,0,0,0,39
Cardenas,62,4,1,0,1,2,1,0,0,0,0,58
Centla,55,7,1,0,0,6,0,0,0,0,0,48
Centro,64,17,2,1,2,10,0,2,1,0,4,47
Comalcalco,33,0,0,0,0,0,0,0,0,0,0,33
Cunduacan,44,1,0,0,0,0,0,0,0,0,1,43
Emiliano Zapata,14,9,1,3,3,5,1,0,0,0,0,5
Huimanguillo,123,9,6,2,1,0,1,0,0,0,1,114
Jalapa,23,14,2,5,0,13,0,1,0,0,4,9
Jalpa de Mendez,28,3,1,0,0,2,0,0,0,0,0,25
Jonuta,37,4,3,0,1,0,1,0,0,0,1,33
Macuspana,66,4,2,1,1,0,0,0,0,0,1,62
Nacajuca,29,2,0,0,0,0,0,0,0,0,2,27
Paraiso,16,1,1,0,0,0,0,0,0,0,0,15
Tacotalpa,36,5,3,1,1,0,0,0,1,0,0,31
Teapa,21,10,1,7,2,3,2,0,0,0,0,11
Tenosique,73,11,4,1,1,3,1,4,0,0,3,62
Tamaulipas,1391,518,144,16,4,284,77,112,1,3,72,873
Abasolo,37,8,5,0,0,3,0,1,0,0,1,29
Aldama,62,21,2,0,0,17,0,2,0,0,2,41
Altamira,39,23,2,0,1,5,1,1,1,0,20,16
Antiguo Morelos,17,3,3,0,0,0,0,0,0,0,0,14
Burgos,19,15,6,0,0,12,1,3,0,0,0,4
Bustamante,22,18,1,0,0,17,0,5,0,0,0,4
Camargo,9,7,1,1,0,5,4,4,0,0,0,2
Casas,23,3,2,1,0,0,0,0,0,0,0,20
Cruillas,10,5,1,1,0,1,0,3,0,0,1,5
Gomez Farias,25,3,0,0,0,2,0,0,0,0,1,22
Gonzalez,87,34,21,1,0,15,2,8,0,0,1,53
Güemez,41,29,2,1,1,8,16,6,0,2,13,12
Guerrero,C,C,1,0,0,1,0,1,0,0,1,C
Gustavo Diaz Ordaz,9,3,1,0,0,3,1,1,0,0,0,6
Hidalgo,62,15,6,0,0,8,5,1,0,1,0,47
Jaumave,40,26,2,0,0,24,0,7,0,0,0,14
Jimenez,22,11,6,2,1,5,1,4,0,0,2,11
Llera,54,24,9,0,0,4,4,15,0,0,1,30
Mainero,14,1,0,0,0,1,0,0,0,0,0,13
El Mante,124,26,11,0,0,13,0,8,0,0,3,98
Matamoros,78,26,3,1,0,19,1,1,0,0,6,52
Mendez,22,7,3,1,0,2,0,3,0,0,0,15
Miquihuana,9,0,0,0,0,0,0,0,0,0,0,9
Nuevo Laredo,16,4,2,0,0,2,0,1,0,0,0,12
Nuevo Morelos,6,1,0,0,0,0,0,1,0,0,0,5
Ocampo,34,19,1,0,0,18,0,2,0,0,0,15
Padilla,20,17,2,0,0,1,17,4,0,0,5,3
Palmillas,C,C,0,0,0,4,0,1,0,0,1,C
Reynosa,74,20,16,0,0,0,2,0,0,0,5,54
Rio Bravo,23,7,3,0,0,1,4,0,0,0,0,16
San Carlos,53,26,5,0,0,23,1,8,0,0,2,27
San Fernando,67,16,11,4,1,0,0,3,0,0,2,51
San Nicolas,7,3,1,0,0,3,0,1,0,0,0,4
Soto la Marina,59,7,5,0,0,2,0,1,0,0,0,52
Tampico,C,C,0,0,0,0,0,0,0,0,1,C
Tula,60,49,2,0,0,49,14,2,0,0,0,11
Valle Hermoso,27,3,0,0,0,3,1,0,0,0,0,24
Victoria,40,14,4,1,0,5,2,8,0,0,2,26
