INEGI. IX Censo Ejidal 2007,,,,,,,,
Total de ejidos y comunidades segun tipo de problematica interna,,,,,,,,cuadro 39
por entidad federativa y municipio,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,problematica_interna_de_linderos_al_interior_del_ejido,problematica_interna_de_linderos_con_sus_colindantes,problematica_interna_ invasion_de_terrenos,problematica_interna_ acceso_al_credito,problematica_interna_ erosion_o_salinidad_del_suelo,problematica_interna_ acceso_al_agua_para_riego,problematica_interna_otros_problemas
Domingo Arenas,C,0,1,1,0,0,2,0
Eloxochitlan,C,1,1,0,1,0,0,1
Epatlan,4,2,3,2,1,0,0,0
Esperanza,9,2,1,1,7,1,1,0
Francisco Z. Mena,21,2,1,0,3,1,1,0
General Felipe angeles,5,1,1,0,1,0,1,0
Guadalupe,3,1,2,2,1,0,0,0
Guadalupe Victoria,10,1,3,2,4,5,4,0
Huaquechula,26,1,8,3,7,0,3,1
Huatlatlauca,8,1,1,2,2,3,4,1
Huauchinango,4,1,1,0,0,0,0,0
Huehuetlan el Chico,4,1,2,2,0,0,2,0
Huejotzingo,11,2,2,1,5,0,4,1
Hueytamalco,9,3,3,1,1,0,5,1
Hueytlalpan,C,0,0,0,0,0,0,0
Huitzilan de Serdan,C,0,0,0,0,0,1,0
Ixcamilpa de Guerrero,4,1,2,2,3,0,2,0
Ixcaquixtla,7,0,1,0,0,0,1,0
Ixtacamaxtitlan,24,1,7,4,20,14,20,4
Izucar de Matamoros,26,3,5,4,3,3,3,0
Jalpan,7,1,1,2,5,0,0,0
Jolalpan,9,1,7,5,1,2,2,0
Jonotla,4,1,1,0,0,2,0,0
Jopala,C,0,0,0,0,0,0,0
Juan C. Bonilla,C,1,1,1,1,0,0,0
Juan N. Mendez,3,0,1,0,0,0,0,0
Lafragua,7,0,0,0,3,0,0,0
Libres,6,1,2,1,4,2,1,1
La Magdalena Tlatlauquitepec,C,1,1,0,0,0,1,0
Mazapiltepec de Juarez,3,0,1,0,3,2,1,0
Mixtla,C,0,0,0,0,0,0,0
Molcaxac,9,0,4,2,3,0,3,0
Cañada Morelos,5,2,2,1,2,1,1,1
Nicolas Bravo,C,1,2,0,1,1,1,0
Nopalucan,6,0,1,0,2,1,0,0
Ocotepec,C,1,0,1,2,0,1,1
Ocoyucan,11,3,5,2,4,0,4,0
Olintla,C,0,0,0,0,0,0,0
Oriental,7,1,1,0,5,4,3,0
Pahuatlan,C,0,1,1,0,1,0,0
Palmar de Bravo,14,1,2,3,4,0,1,0
Pantepec,16,3,1,1,4,1,1,0
Petlalcingo,8,2,2,1,1,0,1,0
Piaxtla,5,1,3,2,3,0,0,0
Puebla,20,6,6,5,4,6,4,0
Quecholac,12,1,2,0,8,1,3,0
Rafael Lara Grajales,C,0,0,0,0,0,0,0
Los Reyes de Juarez,3,1,1,1,1,0,0,0
San Andres Cholula,6,0,0,0,2,0,2,0
San Antonio Cañada,C,0,0,0,1,0,1,0
San Diego la Mesa Tochimiltzingo,4,1,2,2,0,3,3,0
San Felipe Teotlalcingo,3,0,0,1,2,0,0,0
San Gabriel Chilac,4,0,0,1,1,2,2,0
San Jeronimo Tecuanipan,3,0,0,0,1,0,1,1
San Jeronimo Xayacatlan,3,0,0,0,0,0,0,0
San Jose Chiapa,7,0,0,0,4,4,1,0
San Jose Miahuatlan,8,0,0,0,1,3,5,1
San Juan Atenco,5,1,1,1,3,1,3,1
San Martin Texmelucan,11,2,4,2,4,2,2,2
San Martin Totoltepec,C,1,1,1,1,0,0,0
San Matias Tlalancaleca,3,0,0,0,2,0,2,1
San Miguel Xoxtla,C,0,0,0,0,0,0,1
San Nicolas Buenos Aires,7,0,0,0,4,1,1,0
San Nicolas de los Ranchos,3,1,1,1,1,0,1,0
San Pablo Anicano,6,0,1,0,0,0,0,0
San Pedro Cholula,3,1,1,1,1,0,1,0
San Pedro Yeloixtlahuaca,C,0,0,0,0,0,0,0
San Salvador el Seco,4,0,0,0,1,0,3,0
San Salvador el Verde,8,1,2,1,7,1,2,0
San Salvador Huixcolotla,C,0,1,0,0,0,0,0
San Sebastian Tlacotepec,C,0,1,1,1,0,0,0
Santa Catarina Tlaltempan,C,0,0,0,0,0,0,0
Santa Ines Ahuatempan,C,0,0,0,0,1,1,0
Santa Isabel Cholula,4,1,1,1,1,0,1,1
Santiago Miahuatlan,3,1,0,0,0,0,1,0
Huehuetlan el Grande,13,2,4,3,3,3,0,0
Santo Tomas Hueyotlipan,C,1,0,0,0,1,0,0
Soltepec,7,1,1,1,4,2,1,0
Tecali de Herrera,12,2,4,2,2,0,1,1
Tecamachalco,18,5,4,2,5,5,6,0
Tecomatlan,3,0,1,2,0,0,0,0
Tehuacan,12,3,5,3,5,8,6,0
Tehuitzingo,10,4,4,2,7,0,3,0
Tenampulco,8,0,1,1,2,4,5,0
Teopantlan,3,1,1,1,2,1,0,0
Teotlalco,4,1,3,1,0,1,1,0
Tepanco de Lopez,7,2,2,4,3,2,2,0
Tepatlaxco de Hidalgo,C,0,0,0,0,1,0,0
Tepeaca,23,1,4,3,7,4,4,0
Tepemaxalco,3,0,1,0,2,0,3,0
Tepeojuma,8,0,0,1,0,1,0,0
Tepetzintla,3,0,0,0,1,0,0,0
Tepexco,4,0,2,0,2,1,1,0
Tepexi de Rodriguez,12,2,2,1,3,3,1,0
Tepeyahualco,14,0,3,0,5,5,7,1
Tepeyahualco de Cuauhtemoc,C,0,0,0,1,0,1,0
Tetela de Ocampo,4,0,2,0,0,0,0,0
Teziutlan,C,1,0,0,0,0,1,1
Tianguismanalco,6,1,1,0,0,0,0,0
Tilapa,7,3,3,1,1,1,4,1
Tlacotepec de Benito Juarez,18,2,3,4,9,1,6,2
Tlacuilotepec,4,1,2,1,2,0,1,0
Tlachichuca,24,2,2,1,10,0,12,1
Tlahuapan,18,3,4,3,6,2,4,1
Tlanepantla,C,0,0,0,0,1,0,0
Tlapacoya,3,0,1,0,0,0,0,0
Tlapanala,6,0,0,0,1,0,0,0
Tlatlauquitepec,4,0,2,0,1,3,3,0
Tlaxco,C,0,0,0,1,0,0,0
Tochimilco,12,0,1,1,4,2,5,0
Tochtepec,4,0,0,1,2,1,3,0
Totoltepec de Guerrero,3,0,0,0,0,0,0,0
Tulcingo,C,1,1,1,1,0,0,0
Tuzamapan de Galeana,C,0,0,0,0,0,0,0
Tzicatlacoyan,7,1,3,0,3,2,4,0
Venustiano Carranza,12,3,1,0,4,4,4,1
Vicente Guerrero,4,0,3,4,2,0,1,0
Xayacatlan de Bravo,C,0,0,0,0,0,0,0
Xicotepec,10,3,2,3,1,0,0,0
Xicotlan,C,0,1,0,1,0,0,0
Xiutetelco,3,2,1,2,1,1,1,0
Xochiapulco,C,0,1,0,0,0,0,0
Xochiltepec,3,0,1,1,1,0,0,0
Xochitlan de Vicente Suarez,C,0,0,1,0,1,0,0
Xochitlan Todos Santos,3,0,0,1,2,1,0,0
Yehualtepec,9,1,4,3,3,1,8,0
Zacapala,7,0,0,0,3,0,2,0
Zacapoaxtla,10,1,2,0,2,0,2,0
Zacatlan,18,4,9,6,5,0,1,0
Zapotitlan,7,0,3,3,1,4,3,0
Zaragoza,C,0,0,0,2,0,2,0
Zautla,8,3,4,1,5,7,6,0
Zihuateutla,8,0,0,1,7,1,0,0
Zinacatepec,C,0,0,1,1,0,0,0
Zoquiapan,C,0,0,0,0,1,0,0
Zoquitlan,C,0,0,0,1,0,0,0
Queretaro,378,93,131,108,113,103,135,13
Amealco de Bonfil,23,4,6,3,5,12,8,1
Pinal de Amoles,19,5,5,6,10,2,6,0
Arroyo Seco,13,4,4,4,2,4,6,0
Cadereyta de Montes,38,10,18,19,9,10,23,1
Colon,42,6,16,8,14,10,21,2
Corregidora,16,4,5,4,6,3,5,0
Ezequiel Montes,8,0,1,0,2,1,0,1
Huimilpan,16,7,6,3,7,2,4,2
Jalpan de Serra,6,0,0,0,2,1,1,0
Landa de Matamoros,4,0,0,0,0,0,0,0
El Marques,39,14,13,6,6,5,9,0
Pedro Escobedo,19,6,9,5,11,3,4,1
Peñamiller,16,4,12,9,0,10,10,1
Queretaro,41,8,7,9,3,7,2,1
San Joaquin,4,2,1,1,2,3,2,1
San Juan del Rio,52,15,21,22,25,17,27,1
Tequisquiapan,12,2,4,6,4,5,2,1
Toliman,10,2,3,3,5,8,5,0
Quintana Roo,282,15,35,28,170,13,47,19
Cozumel,C,0,0,1,1,0,0,0
Felipe Carrillo Puerto,55,1,6,3,23,1,3,0
Isla Mujeres,C,0,0,0,2,1,0,1
Othon P. Blanco,105,9,16,14,59,6,22,2
Benito Juarez,C,1,0,1,2,0,0,0
Jose Maria Morelos,65,3,11,7,47,3,15,10
Lazaro Cardenas,34,0,0,1,28,2,2,6
Solidaridad,17,1,2,1,8,0,5,0
San Luis Potosi,1421,172,252,165,394,222,384,87
Ahualulco,14,2,2,1,0,0,4,0
Alaquines,11,0,5,3,0,0,0,0
Aquismon,28,4,7,7,7,7,9,2
Armadillo de los Infante,7,0,1,2,0,0,0,0
Cardenas,C,2,3,3,2,1,3,0
Catorce,21,0,1,1,2,3,0,3
Cedral,29,2,4,1,8,1,3,2
Cerritos,18,2,5,5,0,4,4,1
Cerro de San Pedro,5,1,2,1,2,1,1,2
Ciudad del Maiz,28,5,6,4,6,4,2,1
Ciudad Fernandez,15,5,1,1,2,1,3,0
Tancanhuitz,26,4,2,3,21,0,11,1
Ciudad Valles,60,8,5,9,25,5,22,5
Coxcatlan,28,2,0,1,12,1,18,2
Charcas,27,6,8,5,2,5,0,2
ebano,92,11,14,4,28,17,49,13
Guadalcazar,52,8,18,8,23,12,27,3
Huehuetlan,13,1,3,0,9,3,9,1
Lagunillas,7,3,1,1,1,0,0,0
Matehuala,44,2,8,6,3,3,1,0
Mexquitic de Carmona,30,3,4,3,6,4,8,1
Moctezuma,30,2,13,2,0,5,1,2
Rayon,8,3,2,2,4,2,1,0
Rioverde,55,9,21,16,23,16,23,9
Salinas,11,3,4,3,7,1,5,0
San Antonio,10,0,2,0,10,3,9,0
San Ciro de Acosta,5,2,2,0,2,1,5,0
San Luis Potosi,35,8,8,5,10,9,10,0
San Martin Chalchicuautla,58,1,2,1,0,0,0,0
San Nicolas Tolentino,6,1,0,1,2,1,5,0
Santa Catarina,5,0,1,1,0,0,1,0
Santa Maria del Rio,12,1,4,2,0,0,0,0
Santo Domingo,25,4,4,7,4,11,6,2
San Vicente Tancuayalab,23,0,1,0,3,0,1,0
Soledad de Graciano Sanchez,8,3,4,3,5,2,3,0
Tamasopo,21,10,7,3,6,5,2,6
Tamazunchale,33,4,5,3,17,8,25,6
Tampacan,23,1,1,3,1,0,1,0
Tampamolon Corona,31,0,2,0,4,0,1,0
Tamuin,175,7,9,4,42,31,30,9
Tanlajas,26,1,1,1,20,1,17,0
Tanquian de Escobedo,5,1,0,0,1,0,1,0
Tierra Nueva,C,0,0,0,0,0,0,0
Vanegas,20,3,3,4,4,4,2,3
Venado,18,1,3,0,0,2,0,0
Villa de Arriaga,11,7,3,3,5,9,2,5
Villa de Guadalupe,20,0,9,5,3,1,2,1
Villa de la Paz,5,0,2,1,0,0,0,0
Villa de Ramos,18,4,3,2,15,5,7,1
Villa de Reyes,20,8,8,8,10,6,7,1
Villa Hidalgo,27,3,9,5,4,3,6,0
Villa Juarez,9,1,0,2,2,3,1,1
Axtla de Terrazas,29,3,1,0,3,6,0,0
Xilitla,35,5,11,4,20,10,27,0
Zaragoza,7,1,1,1,1,4,5,1
Villa de Arista,8,1,4,2,2,1,2,1
Matlapa,12,0,0,0,4,0,1,0
El Naranjo,16,3,2,2,1,0,1,0
Sinaloa,1309,163,207,151,573,414,424,31
Ahome,115,18,20,15,41,73,26,2
Angostura,62,5,7,3,22,38,15,1
Badiraguato,44,4,10,3,16,2,8,1
Concordia,29,4,8,8,10,3,8,4
Cosala,37,9,14,8,13,2,31,0
Culiacan,185,19,19,24,67,55,57,3
Choix,63,12,14,8,47,2,17,0
Elota,39,9,8,9,17,12,14,0
Escuinapa,20,2,2,3,18,6,12,0
El Fuerte,103,11,11,9,54,14,33,2
Guasave,140,20,19,12,54,93,30,4
Mazatlan,45,9,10,9,19,11,9,4
Mocorito,71,4,6,4,42,15,38,1
Rosario,51,12,14,11,30,9,19,3
Salvador Alvarado,22,1,4,3,12,6,9,1
San Ignacio,51,5,11,6,12,5,12,2
Sinaloa,154,14,19,12,66,33,70,1
Navolato,78,5,11,4,33,35,16,2
Sonora,979,131,170,172,536,207,312,31
Aconchi,C,0,0,1,0,0,0,0
Agua Prieta,6,0,0,1,2,1,3,0
alamos,84,10,12,15,32,4,12,3
Altar,7,2,2,2,5,1,5,0
Arivechi,C,1,2,1,3,1,1,0
Arizpe,6,2,1,1,4,1,5,1
Atil,C,0,0,0,0,0,1,0
Bacadehuachi,C,0,1,1,1,1,0,0
Bacanora,4,0,1,1,1,1,1,0
Bacerac,4,3,3,2,4,1,3,0
Bacoachi,5,3,4,3,3,2,1,0
Bacum,44,5,5,3,35,14,14,0
Banamichi,3,0,1,1,1,0,0,0
Baviacora,C,0,1,0,0,0,0,0
Bavispe,C,1,1,0,2,0,0,0
Benjamin Hill,3,0,0,0,2,0,0,0
Caborca,72,5,7,12,47,5,17,1
Cajeme,103,7,7,12,65,26,19,2
Cananea,7,1,1,2,3,3,3,1
Carbo,C,0,0,0,1,1,0,0
La Colorada,6,1,1,1,4,2,2,0
Cucurpe,3,1,0,0,1,1,1,0
Cumpas,7,0,1,2,2,0,1,0
Divisaderos,C,0,0,0,0,0,0,0
Empalme,16,1,1,1,12,2,7,0
Etchojoa,45,8,5,8,33,22,19,3
Fronteras,12,1,2,2,10,1,4,0
Granados,C,0,0,0,0,0,0,0
Guaymas,31,3,11,10,17,5,9,0
Hermosillo,52,8,15,10,31,9,16,3
Huachinera,C,0,0,0,2,0,2,0
Huasabas,C,0,1,1,0,0,0,0
Huatabampo,57,6,4,6,29,30,32,1
Huepac,3,1,0,0,0,0,0,0
Imuris,6,1,1,3,1,2,2,0
Magdalena,9,0,0,2,6,1,0,0
Mazatan,3,0,1,1,0,2,0,0
Moctezuma,4,1,1,1,0,0,0,0
Naco,C,0,0,0,2,1,0,0
Nacori Chico,4,1,2,2,3,3,1,1
Nacozari de Garcia,4,0,2,1,0,0,0,0
Navojoa,45,9,4,5,32,4,25,2
Nogales,8,1,0,0,1,0,4,0
Onavas,C,1,1,2,0,0,1,0
Opodepe,6,0,0,0,0,0,0,0
Oquitoa,C,1,1,1,1,0,0,0
Pitiquito,11,1,2,1,9,5,7,1
Puerto Peñasco,27,1,2,3,6,4,6,0
Quiriego,17,0,0,1,9,1,8,0
Rayon,5,1,3,2,0,0,0,0
Rosario,17,1,1,3,9,2,2,0
Sahuaripa,18,7,9,6,14,2,12,5
San Felipe de Jesus,C,0,1,0,0,0,0,0
San Javier,C,0,1,0,0,0,0,0
San Luis Rio Colorado,41,4,11,7,10,4,7,1
San Miguel de Horcasitas,4,0,0,1,2,2,2,1
San Pedro de la Cueva,6,1,0,0,3,2,3,0
Santa Ana,7,0,0,0,6,1,7,1
Santa Cruz,C,1,2,0,0,0,0,0
Saric,5,4,4,4,5,0,3,0
Soyopa,6,1,3,1,2,0,1,0
Suaqui Grande,C,0,1,0,1,0,0,1
Tepache,C,0,1,0,0,0,0,0
Trincheras,3,0,0,0,2,0,1,0
Tubutama,7,5,5,5,5,1,7,0
Ures,12,1,0,3,3,0,2,0
Villa Hidalgo,4,2,2,1,3,1,2,1
Villa Pesqueira,3,1,1,1,0,0,1,0
Yecora,9,5,3,5,4,1,3,1
General Plutarco Elias Calles,29,2,6,5,11,3,3,0
Benito Juarez,10,0,1,2,3,5,0,0
San Ignacio Rio Muerto,38,8,8,4,31,26,24,1
Tabasco,779,75,77,64,386,148,75,9
Balancan,55,2,3,0,25,3,0,0
Cardenas,62,6,8,7,29,16,7,2
Centla,55,8,13,10,36,8,0,1
Centro,64,8,9,6,27,8,5,3
Comalcalco,33,9,8,7,16,12,4,0
Cunduacan,44,2,1,0,33,12,12,2
Emiliano Zapata,14,2,2,1,5,0,0,0
Huimanguillo,123,9,7,6,58,24,8,0
Jalapa,23,2,2,3,12,6,1,0
Jalpa de Mendez,28,4,1,1,9,10,0,0
Jonuta,37,2,3,2,7,2,2,0
Macuspana,66,2,5,1,22,2,0,0
Nacajuca,29,1,2,3,13,6,1,0
Paraiso,16,5,3,5,3,8,4,0
Tacotalpa,36,3,3,4,33,3,2,0
Teapa,21,3,4,3,21,17,7,1
Tenosique,73,7,3,5,37,11,22,0
Tamaulipas,1391,132,148,126,445,270,243,27
Abasolo,37,6,0,3,27,26,6,0
Aldama,62,8,10,9,15,7,10,2
Altamira,39,6,5,5,16,14,5,3
Antiguo Morelos,17,0,1,1,3,0,2,0
Burgos,19,4,3,3,3,9,1,1
Bustamante,22,5,9,3,7,0,0,0
Camargo,9,0,1,0,3,0,2,1
Casas,23,2,5,3,12,1,2,0
Cruillas,10,2,0,3,1,1,0,1
Gomez Farias,25,3,5,7,3,3,6,1
Gonzalez,87,10,14,11,24,25,13,1
Güemez,41,5,6,2,17,6,13,4
Guerrero,C,0,0,1,0,0,0,0
Gustavo Diaz Ordaz,9,0,1,0,2,5,3,2
Hidalgo,62,7,3,1,20,0,6,0
Jaumave,40,2,2,1,11,6,4,0
Jimenez,22,0,0,1,4,3,1,1
Llera,54,4,3,4,4,0,3,0
Mainero,14,0,0,0,13,8,0,0
El Mante,124,12,13,5,38,16,30,2
Matamoros,78,4,4,5,31,36,11,0
Mendez,22,2,2,1,4,7,2,1
Miquihuana,9,0,3,0,1,0,0,0
Nuevo Laredo,16,2,1,2,3,2,5,0
Nuevo Morelos,6,0,0,1,0,1,0,0
Ocampo,34,7,7,11,5,1,22,2
Padilla,20,2,0,1,8,4,6,0
Palmillas,C,1,0,0,2,1,0,0
Reynosa,74,3,6,7,28,7,8,0
Rio Bravo,23,5,4,4,11,4,6,0
San Carlos,53,9,10,8,16,7,6,0
San Fernando,67,1,3,3,25,18,1,2
San Nicolas,7,1,2,0,4,0,0,0
Soto la Marina,59,4,5,5,10,5,15,2
Tampico,C,0,0,0,1,1,0,0
Tula,60,5,8,10,13,16,37,0
Valle Hermoso,27,0,2,0,12,1,0,0
Victoria,40,5,5,4,3,0,0,0
Villagran,31,2,1,1,25,13,1,0
Xicotencatl,41,3,4,0,20,16,16,1
Tlaxcala,246,32,42,16,98,74,55,3
Amaxac de Guerrero,C,0,0,1,0,1,0,0
Atlangatepec,4,0,0,0,2,1,0,0
Altzayanca,18,2,4,0,6,5,5,0
Apizaco,4,1,0,0,1,0,2,0
Calpulalpan,11,3,5,3,6,5,5,0
El Carmen Tequexquitla,C,0,0,0,0,0,0,0
Cuapiaxtla,11,0,2,1,3,4,0,0
Cuaxomulco,C,0,0,0,0,0,0,0
Chiautempan,5,0,0,0,1,1,1,0
Muñoz de Domingo Arenas,4,1,0,0,1,1,1,0
Españita,11,3,2,2,4,3,3,1
Huamantla,25,3,5,1,10,7,3,0
Hueyotlipan,13,1,2,0,6,8,0,0
Ixtacuixtla de Mariano Matamoros,16,1,1,1,4,0,4,1
Ixtenco,C,0,1,0,1,1,1,0
Tepetitla de Lardizabal,C,0,0,0,1,0,0,0
Sanctorum de Lazaro Cardenas,4,0,0,0,1,2,2,0
Nanacamilpa de Mariano Arista,5,1,1,0,2,2,1,0
Nativitas,15,1,3,0,7,1,4,0
Panotla,6,1,1,0,3,4,0,0
Santa Cruz Tlaxcala,4,0,0,0,1,1,1,0
Teolocholco,C,0,0,0,1,0,0,0
Terrenate,6,1,1,1,1,1,2,0
Tetla de la Solidaridad,7,2,2,0,3,3,2,0
Tetlatlahuca,3,1,0,0,1,1,1,0
Tlaxcala,3,0,0,0,1,2,1,0
Tlaxco,29,4,3,1,15,10,9,1
Tocatlan,C,0,0,0,0,0,0,0
Totolac,C,1,0,0,1,1,0,0
Zitlaltepec de Trinidad Sanchez Santos,3,1,2,0,2,1,1,0
Tzompantepec,3,0,2,2,3,1,0,0
Xaloztoc,C,0,1,1,2,0,0,0
Xaltocan,4,0,0,0,2,2,1,0
Papalotla de Xicohtencatl,C,0,0,0,1,0,1,0
Xicohtzinco,C,0,1,0,0,0,0,0
Yauhquemecan,3,1,1,1,0,2,0,0
Zacatelco,C,0,0,0,1,0,0,0
Benito Juarez,C,1,0,0,1,1,0,0
Emiliano Zapata,C,0,0,0,0,0,0,0
Lazaro Cardenas,C,0,0,0,0,0,1,0
La Magdalena Tlaltelulco,C,1,0,0,0,1,1,0
San Damian Texoloc,C,0,0,0,1,1,1,0
San Jose Teacalco,C,1,1,1,1,0,0,0
San Lorenzo Axocomanitla,C,0,0,0,0,0,1,0
San Lucas Tecopilco,C,0,1,0,1,0,0,0
Santa Ana Nopalucan,C,0,0,0,0,0,0,0
Santa Apolonia Teacalco,C,0,0,0,0,0,0,0
Veracruz de Ignacio de la Llave,3684,250,308,223,1488,356,864,182
Acajete,C,0,1,0,1,0,1,0
Acatlan,C,0,0,0,0,0,0,0
Acayucan,31,1,1,2,16,3,9,0
Actopan,29,1,3,1,10,4,9,0
Acula,9,0,1,0,1,0,1,0
Acultzingo,16,1,3,1,3,0,2,0
Camaron de Tejeda,5,1,1,0,2,0,2,1
Alto Lucero de Gutierrez Barrios,16,1,1,1,4,0,0,0
Altotonga,16,4,3,1,13,5,9,1
Alvarado,19,0,2,1,5,1,1,0
Amatitlan,6,0,0,1,5,0,1,0
Naranjos Amatlan,11,0,0,1,4,1,1,1
Amatlan de los Reyes,19,1,2,1,10,3,4,3
angel R. Cabada,21,3,2,3,8,2,2,0
La Antigua,11,0,0,0,0,2,3,0
Apazapan,5,0,0,0,4,0,3,0
Atlahuilco,C,0,0,0,1,0,0,0
Atoyac,15,4,5,2,6,4,11,6
Atzacan,7,1,1,1,7,0,2,0
Atzalan,39,6,1,0,21,9,12,3
Tlaltetela,14,4,3,1,11,1,3,0
Banderilla,C,0,1,1,0,0,0,0
Benito Juarez,23,2,2,1,6,0,8,0
Boca del Rio,C,0,0,1,0,1,0,1
Calcahualco,4,0,0,0,3,0,0,0
Camerino Z. Mendoza,C,0,0,0,1,0,0,0
Carrillo Puerto,4,0,0,0,1,1,1,0
Catemaco,30,4,7,0,14,2,8,1
Cazones,24,1,2,1,7,4,0,5
Cerro Azul,7,0,1,4,1,0,0,1
Citlaltepetl,C,0,0,0,1,0,0,0
Coacoatzintla,3,0,0,0,1,0,0,0
Coahuitlan,C,1,2,2,2,1,2,0
Coatepec,14,1,1,1,8,1,10,1
Coatzacoalcos,8,0,0,3,5,5,0,1
Coatzintla,16,1,1,3,4,3,13,2
Coetzala,C,0,0,0,0,0,0,0
Colipa,3,1,1,1,2,1,0,0
Comapa,15,1,1,2,11,5,14,2
Cordoba,24,3,4,0,8,3,13,0
Cosamaloapan de Carpio,32,5,8,2,16,11,10,4
Coscomatepec,4,0,1,0,1,0,0,0
Cosoleacaque,16,2,2,3,4,1,3,1
Cotaxtla,16,1,2,1,16,1,13,0
Coxquihui,5,0,0,0,3,0,1,0
Coyutla,8,0,2,2,0,2,1,1
Cuichapa,6,1,0,0,5,2,5,1
Cuitlahuac,15,0,0,0,1,0,2,6
Chacaltianguis,12,0,0,0,10,1,7,2
Chalma,16,1,1,1,15,2,9,1
Chiconamel,11,0,0,0,10,1,1,0
Chiconquiaco,9,0,1,2,0,0,0,0
Chicontepec,84,2,7,4,46,4,46,0
Chinameca,10,0,0,2,2,0,3,2
Chinampa de Gorostiza,7,0,1,0,1,1,1,0
Las Choapas,121,2,4,5,58,6,23,1
Chocaman,3,0,0,0,2,0,0,0
Chontla,12,1,1,0,5,2,3,1
Chumatlan,C,0,0,0,1,0,1,0
Emiliano Zapata,26,2,1,1,15,4,11,1
Espinal,20,1,2,2,11,2,8,0
Fortin,7,3,0,1,2,4,0,0
Gutierrez Zamora,15,2,2,2,7,0,13,0
Hidalgotitlan,40,0,0,0,26,0,5,0
Huatusco,10,0,1,1,0,0,0,0
Huayacocotla,25,3,4,2,6,9,1,0
Hueyapan de Ocampo,36,1,5,3,19,8,20,1
Huiloapan,C,0,0,0,0,0,1,0
Ignacio de la Llave,30,0,0,0,10,3,14,5
Ilamatlan,15,0,3,2,12,1,6,0
Isla,47,2,1,4,25,6,14,3
Ixcatepec,9,2,1,0,7,0,9,1
Ixhuacan de los Reyes,6,0,0,1,0,0,0,0
Ixhuatlan del Cafe,13,1,1,0,12,0,0,0
Ixhuatlancillo,3,1,0,1,3,0,1,1
Ixhuatlan del Sureste,12,0,0,0,3,0,0,0
Ixhuatlan de Madero,69,8,9,3,8,4,3,0
Ixmatlahuacan,8,1,1,1,3,2,2,0
Ixtaczoquitlan,15,2,0,1,7,0,12,4
Jalacingo,17,1,3,2,5,2,5,1
Xalapa,10,0,0,0,2,1,2,0
Jalcomulco,4,1,2,2,4,1,3,1
Jaltipan,14,0,0,0,7,1,0,2
Jamapa,12,0,0,0,8,1,5,1
Jesus Carranza,52,4,4,5,11,0,0,3
Xico,12,1,2,0,2,0,0,0
Jilotepec,5,1,1,0,3,0,2,0
Juan Rodriguez Clara,46,3,2,1,10,0,1,0
Juchique de Ferrer,11,3,2,1,6,2,1,2
Lerdo de Tejada,3,0,0,0,2,0,0,0
Maltrata,3,0,0,0,2,1,0,0
Manlio Fabio Altamirano,28,3,2,1,5,1,3,2
Mariano Escobedo,3,1,0,0,2,1,0,0
Martinez de la Torre,46,2,1,0,20,9,19,8
Mecayapan,14,0,0,0,6,2,4,3
Medellin,33,4,1,0,6,2,4,2
Miahuatlan,C,0,1,0,1,0,0,0
Minatitlan,122,2,3,2,53,2,7,4
Misantla,42,3,3,1,10,7,4,4
Moloacan,14,0,1,0,8,1,0,0
Naolinco,4,0,1,0,2,0,0,0
Nautla,19,0,5,0,2,1,0,0
Nogales,6,4,2,2,5,2,1,1
Oluta,3,0,0,0,1,0,0,0
Omealca,24,0,1,0,7,2,2,0
Otatitlan,4,0,0,0,0,0,0,0
Oteapan,C,1,1,1,0,0,0,0
Ozuluama de Mascareñas,39,1,3,1,9,5,2,2
Pajapan,10,0,0,0,2,1,0,0
Panuco,132,2,6,10,41,14,29,11
Papantla,70,1,8,3,21,6,5,1
Paso del Macho,27,1,2,0,12,5,4,2
Paso de Ovejas,26,0,0,0,18,0,13,0
La Perla,C,0,0,0,1,0,0,0
Perote,20,4,5,4,12,4,10,3
Platon Sanchez,11,1,0,0,6,0,5,0
Playa Vicente,65,5,4,2,17,2,11,2
Las Vigas de Ramirez,4,1,2,1,4,2,3,0
Pueblo Viejo,19,0,1,0,13,1,2,0
Puente Nacional,28,6,5,3,16,8,23,4
Rafael Delgado,C,0,0,0,2,1,2,0
Rafael Lucio,C,0,0,0,0,0,0,0
Los Reyes,C,0,0,0,1,0,1,0
Rio Blanco,C,0,0,0,1,0,1,0
Saltabarranca,4,0,0,0,0,0,0,0
San Andres Tuxtla,80,9,13,10,46,7,25,4
San Juan Evangelista,50,0,3,3,11,2,15,0
Santiago Tuxtla,45,4,4,3,26,4,1,0
Sayula de Aleman,31,1,1,0,2,0,0,0
Soconusco,7,0,1,0,2,0,0,1
Soledad Atzompa,C,1,0,0,2,1,2,2
Soledad de Doblado,26,1,3,1,15,1,15,1
Soteapan,25,4,1,2,12,6,11,1
Tamalin,9,0,1,1,1,0,1,1
Tamiahua,50,1,1,6,5,7,0,0
Tampico Alto,23,1,1,0,10,1,8,0
Tancoco,9,0,0,0,0,0,0,0
Tantima,18,0,0,1,2,1,1,1
Tantoyuca,38,9,7,5,13,1,9,1
Castillo de Teayo,26,1,0,0,15,3,20,1
Tecolutla,37,2,0,0,15,0,15,0
Temapache,108,8,9,14,42,23,32,9
