INEGI. IX Censo Ejidal 2007,,,,,,,,
Total de ejidos y comunidades segun tipo de problematica interna,,,,,,,,cuadro 39
por entidad federativa y municipio,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,problematica_interna_de_linderos_al_interior_del_ejido,problematica_interna_de_linderos_con_sus_colindantes,problematica_interna_ invasion_de_terrenos,problematica_interna_ acceso_al_credito,problematica_interna_ erosion_o_salinidad_del_suelo,problematica_interna_ acceso_al_agua_para_riego,problematica_interna_otros_problemas
Salamanca,54,6,6,7,20,3,14,0
Salvatierra,58,11,9,5,30,10,27,3
San Diego de la Union,34,6,4,1,6,7,8,1
San Felipe,81,13,16,14,39,22,19,4
San Francisco del Rincon,26,6,5,8,13,3,9,0
San Jose Iturbide,3,2,2,1,3,1,2,1
San Luis de la Paz,24,3,4,10,8,9,8,0
Santa Catarina,C,1,1,1,0,0,0,0
Santa Cruz de Juventino Rosas,26,2,2,2,8,6,7,1
Santiago Maravatio,9,3,3,1,7,2,4,0
Silao,64,11,8,4,17,14,28,0
Tarandacuao,3,1,2,1,0,1,0,0
Tarimoro,14,1,2,1,4,1,5,0
Tierra Blanca,3,0,1,0,1,1,0,0
Uriangato,9,0,0,0,1,0,2,1
Valle de Santiago,98,8,8,3,27,11,14,0
Victoria,15,2,2,2,1,2,4,0
Villagran,11,3,1,0,7,5,6,0
Xichu,14,5,8,7,4,0,2,0
Yuriria,53,6,6,2,13,10,13,0
Guerrero,1259,236,353,281,570,222,394,41
Acapulco de Juarez,45,16,22,22,13,15,10,2
Ahuacuotzingo,28,3,5,4,10,9,14,0
Ajuchitlan del Progreso,39,7,15,11,20,0,15,0
Alcozauca de Guerrero,14,4,5,2,7,2,4,1
Alpoyeca,5,2,2,2,3,0,0,0
Apaxtla,4,0,0,0,3,0,4,0
Arcelia,23,1,2,4,19,8,10,0
Atenango del Rio,14,2,6,4,9,0,0,0
Atlamajalcingo del Monte,7,4,4,4,5,5,5,3
Atlixtac,5,4,5,5,5,5,4,0
Atoyac de alvarez,36,0,5,3,18,4,11,1
Ayutla de los Libres,28,6,9,10,4,7,8,4
Azoyu,11,2,1,0,2,3,3,0
Benito Juarez,6,0,0,0,5,4,3,0
Buenavista de Cuellar,7,0,0,1,7,2,5,1
Coahuayutla de Jose Maria Izazaga,35,2,3,7,20,3,17,4
Cocula,16,2,7,6,6,1,4,0
Copala,6,2,4,3,1,4,0,0
Copalillo,9,0,1,1,7,0,0,0
Copanatoyac,8,1,8,7,8,2,6,0
Coyuca de Benitez,32,2,7,6,22,11,12,6
Coyuca de Catalan,56,1,9,10,36,2,11,1
Cuajinicuilapa,11,2,3,2,1,3,1,1
Cualac,C,0,1,1,0,0,0,0
Cuautepec,5,3,2,3,2,1,2,0
Cuetzala del Progreso,12,0,1,0,9,1,8,1
Cutzamala de Pinzon,33,2,2,1,33,11,23,0
Chilapa de alvarez,45,4,6,0,5,6,5,0
Chilpancingo de los Bravo,31,3,13,8,6,0,1,0
Florencio Villarreal,C,1,1,1,1,1,0,0
General Canuto A. Neri,5,2,1,1,1,1,0,0
General Heliodoro Castillo,7,6,6,6,5,3,4,1
Huamuxtitlan,8,3,4,4,7,1,5,0
Huitzuco de los Figueroa,21,6,10,4,7,2,4,0
Iguala de la Independencia,15,4,4,2,5,4,4,0
Igualapa,7,1,2,2,0,0,0,0
Ixcateopan de Cuauhtemoc,C,0,0,1,2,0,0,0
Jose Azueta,18,1,2,4,15,2,14,0
Juan R. Escudero,11,3,7,3,3,1,7,0
Leonardo Bravo,16,1,3,1,6,0,2,0
Malinaltepec,9,2,7,3,1,7,2,0
Martir de Cuilapan,11,0,5,3,0,3,0,0
Metlatonoc,9,4,6,1,8,1,2,0
Mochitlan,26,1,1,2,25,2,0,0
Olinala ,7,2,3,3,4,4,7,3
Ometepec,26,10,12,8,16,1,1,0
Petatlan,27,2,6,2,15,5,18,2
Pilcaya,6,1,0,0,4,1,3,0
Pungarabato,10,1,2,1,4,0,0,0
Quechultenango,26,6,6,1,11,2,6,0
San Luis Acatlan,23,10,9,6,7,2,5,0
San Marcos,33,4,7,9,4,3,4,1
San Miguel Totolapan,8,3,3,4,3,1,1,0
Taxco de Alarcon,23,6,9,6,14,4,8,0
Tecoanapa,39,22,15,15,17,10,12,4
Tecpan de Galeana,25,4,2,1,9,5,5,1
Teloloapan,27,3,4,3,6,3,6,0
Tepecoacuilco de Trujano,25,9,10,5,5,4,10,1
Tetipac,5,0,0,0,4,1,3,0
Tixtla de Guerrero,10,1,0,0,2,1,1,0
Tlacoachistlahuaca,15,13,9,7,15,0,0,0
Tlacoapa,C,2,1,1,3,0,1,0
Tlalchapa,16,1,1,1,0,0,13,0
Tlalixtaquilla de Maldonado,5,0,1,1,0,1,1,0
Tlapa de Comonfort,30,3,11,12,7,9,8,2
Tlapehuala,12,4,4,3,10,3,11,0
La Union de Isidoro Montes de Oca,31,5,7,10,13,3,11,0
Xalpatlahuac,8,0,1,1,2,5,6,0
Xochihuehuetlan,7,0,2,3,2,1,1,0
Xochistlahuaca,7,0,0,0,0,0,0,0
Zapotitlan Tablas,C,1,1,1,1,0,1,0
Zirandaro,28,5,4,3,7,3,7,0
Zitlala,11,3,6,4,2,5,3,0
Eduardo Neri,16,2,6,3,8,4,8,1
Acatepec,C,1,1,0,0,1,0,0
Marquelia,3,0,0,1,2,1,1,0
Cochoapa el Grande,C,1,1,0,1,0,0,0
Jose Joaquin de Herrera,C,1,1,1,0,0,1,0
Juchitan,C,0,0,0,0,0,0,0
Iliatenco,4,0,1,0,0,2,1,0
Hidalgo,1189,156,229,159,391,264,398,70
Acatlan,17,8,8,5,4,12,11,0
Acaxochitlan,13,5,4,0,8,0,4,0
Actopan,11,2,2,1,2,2,6,2
Agua Blanca de Iturbide,10,3,4,1,5,6,7,1
Ajacuba,8,1,3,1,1,0,4,0
Alfajayucan,28,4,4,3,8,7,9,2
Almoloya,13,2,4,1,3,8,0,0
Apan,15,5,4,4,4,9,3,3
El Arenal,8,1,1,0,0,3,4,2
Atitalaquia,5,1,0,0,3,1,2,1
Atlapexco,9,3,5,2,1,0,4,0
Atotonilco el Grande,24,6,7,3,8,8,10,0
Atotonilco de Tula,7,3,3,2,4,4,3,2
Calnali,C,0,0,0,3,1,2,0
Cardonal,20,0,3,3,7,16,16,3
Cuautepec de Hinojosa,24,6,5,8,12,13,6,4
Chapantongo,14,1,2,1,10,7,8,0
Chapulhuacan,22,3,7,2,9,3,11,0
Chilcuautla,6,0,2,2,0,1,2,0
Eloxochitlan,8,1,3,2,5,4,3,0
Emiliano Zapata,4,1,3,1,2,1,1,1
Epazoyucan,12,1,1,2,5,4,4,0
Francisco I. Madero,C,0,1,0,2,0,2,0
Huasca de Ocampo,27,9,9,11,13,16,8,0
Huautla,42,1,5,2,1,0,7,0
Huazalingo,12,4,0,1,7,0,0,0
Huehuetla,6,2,3,3,4,0,0,0
Huejutla de Reyes,47,0,0,0,13,1,3,0
Huichapan,35,0,3,2,4,13,14,1
Ixmiquilpan,24,2,3,1,9,10,14,1
Jacala de Ledezma,13,0,2,2,3,0,7,2
Jaltocan,16,0,1,0,2,0,0,0
Juarez Hidalgo,4,0,2,1,3,0,0,0
Lolotla,10,0,1,0,0,1,0,0
Metepec,11,0,0,0,4,4,6,0
San Agustin Metzquititlan,7,0,0,1,0,1,5,0
Metztitlan,27,4,5,3,11,5,7,0
Mineral del Chico,6,1,2,1,0,0,2,0
Mineral del Monte,C,0,2,2,0,0,0,0
Mixquiahuala de Juarez,7,0,4,1,3,1,3,0
Molango de Escamilla,13,0,1,1,0,0,0,0
Nicolas Flores,4,2,1,1,2,0,0,1
Nopala de Villagran,9,2,1,1,2,1,5,1
Omitlan de Juarez,4,2,3,2,2,0,1,0
San Felipe Orizatlan,80,5,4,0,34,2,36,1
Pacula,C,0,0,0,0,0,0,0
Pachuca de Soto,7,2,1,1,2,2,2,0
Pisaflores,6,0,1,0,1,0,1,0
Progreso de Obregon,C,0,0,0,1,0,0,0
Mineral de la Reforma,7,2,2,2,1,1,4,0
