entidad_federativa _y_municipio,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_industriales_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_industriales_ejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_srtesanales_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_artesanales_ejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_de_extraccion _de_materiales_para_la_construccion_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_de_extraccion _de_materiales_para_la_construccion_ejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_de_extraccion_de_otros_minerales_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_de_extraccion_de_otros_mineralesejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_pesqueras_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_pesqueras_ejidatarios participantes_mujeres,,entidad_federativa_y_municipio,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_turisticas_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_turisticas_ejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_de_acuicultura_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_de_acuicultura_ejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_otras_actividades_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_otras_actividades_ejidatarios participantes_mujeres
Angel Albino Corzo,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,,Angel Albino Corzo,0,0,0,0,0,0,0,0,0
Arriaga,0,0,0,0,0,0,1,275,40,0,0,0,0,0,0,,Arriaga,0,0,0,0,0,0,0,0,0
Bochil,0,0,0,11,199,199,1,120,0,0,0,0,0,0,0,,Bochil,0,0,0,0,0,0,0,0,0
El Bosque,0,0,0,4,248,248,1,5,0,0,0,0,0,0,0,,El Bosque,0,0,0,0,0,0,0,0,0
Catazaja,0,0,0,0,0,0,0,0,0,0,0,0,11,429,51,,Catazaja,0,0,0,2,78,15,0,0,0
Cintalapa,1,70,4,2,23,0,4,128,8,0,0,0,2,93,15,,Cintalapa,0,0,0,0,0,0,1,41,16
Coapilla,0,0,0,1,261,261,0,0,0,0,0,0,0,0,0,,Coapilla,1,15,4,0,0,0,1,25,0
La Concordia,0,0,0,0,0,0,2,227,60,0,0,0,12,383,5,,La Concordia,0,0,0,2,40,0,0,0,0
Copainala,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,,Copainala,0,0,0,0,0,0,0,0,0
Chamula,0,0,0,1,120,120,0,0,0,0,0,0,0,0,0,,Chamula,0,0,0,0,0,0,0,0,0
Chenalho,2,1812,172,3,80,80,1,250,0,0,0,0,0,0,0,,Chenalho,0,0,0,0,0,0,0,0,0
Chiapa de Corzo,0,0,0,3,46,46,1,36,6,0,0,0,1,21,0,,Chiapa de Corzo,2,82,42,0,0,0,0,0,0
Chicoasen,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,,Chicoasen,0,0,0,0,0,0,0,0,0
Chilon,0,0,0,2,306,256,1,2000,100,0,0,0,0,0,0,,Chilon,0,0,0,0,0,0,0,0,0
Huehuetan,0,0,0,0,0,0,0,0,0,0,0,0,1,29,8,,Huehuetan,0,0,0,0,0,0,0,0,0
Huitiupan,0,0,0,0,0,0,1,66,4,0,0,0,1,16,0,,Huitiupan,0,0,0,0,0,0,0,0,0
Huixtla,2,280,81,0,0,0,0,0,0,0,0,0,4,120,20,,Huixtla,1,35,14,2,86,15,0,0,0
La Independencia,0,0,0,2,18,8,3,53,0,0,0,0,3,372,14,,La Independencia,1,25,0,0,0,0,0,0,0
Ixhuatan,1,80,20,2,13,8,2,60,20,0,0,0,0,0,0,,Ixhuatan,1,60,40,0,0,0,0,0,0
Ixtacomitan,0,0,0,1,11,10,0,0,0,0,0,0,0,0,0,,Ixtacomitan,0,0,0,0,0,0,1,2,0
Ixtapa,0,0,0,7,150,55,2,49,5,0,0,0,0,0,0,,Ixtapa,0,0,0,0,0,0,0,0,0
Jiquipilas,0,0,0,1,3,0,4,70,0,0,0,0,0,0,0,,Jiquipilas,0,0,0,3,33,0,0,0,0
La Libertad,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,,La Libertad,0,0,0,0,0,0,0,0,0
Mapastepec,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,,Mapastepec,0,0,0,6,229,67,0,0,0
Las Margaritas,0,0,0,4,103,24,12,701,20,0,0,0,0,0,0,,Las Margaritas,3,134,20,0,0,0,0,0,0
Mazatan,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,,Mazatan,0,0,0,0,0,0,0,0,0
Motozintla,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,,Motozintla,0,0,0,0,0,0,0,0,0
Ocosingo,0,0,0,7,293,170,2,70,0,0,0,0,2,46,8,,Ocosingo,6,515,177,0,0,0,0,0,0
Ocotepec,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,,Ocotepec,0,0,0,0,0,0,0,0,0
Ocozocoautla de Espinosa,0,0,0,3,64,61,3,47,24,0,0,0,0,0,0,,Ocozocoautla de Espinosa,4,285,54,0,0,0,0,0,0
Ostuacan,0,0,0,0,0,0,2,62,18,0,0,0,5,39,4,,Ostuacan,0,0,0,0,0,0,0,0,0
Osumacinta,0,0,0,1,60,2,1,30,0,0,0,0,0,0,0,,Osumacinta,1,20,5,0,0,0,0,0,0
Oxchuc,0,0,0,1,1500,500,0,0,0,0,0,0,0,0,0,,Oxchuc,0,0,0,0,0,0,0,0,0
Palenque,0,0,0,1,5,5,3,209,37,0,0,0,2,41,4,,Palenque,2,98,4,0,0,0,0,0,0
Pantepec,0,0,0,1,10,5,0,0,0,1,70,0,0,0,0,,Pantepec,0,0,0,0,0,0,0,0,0
Pichucalco,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,Pichucalco,0,0,0,0,0,0,0,0,0
Pijijiapan,1,60,15,0,0,0,2,55,5,0,0,0,14,375,42,,Pijijiapan,0,0,0,2,55,10,0,0,0
Villa Comaltitlan,1,10,0,0,0,0,2,85,0,0,0,0,0,0,0,,Villa Comaltitlan,0,0,0,0,0,0,0,0,0
Pueblo Nuevo Solistahuacan,0,0,0,3,32,30,0,0,0,0,0,0,0,0,0,,Pueblo Nuevo Solistahuacan,0,0,0,0,0,0,0,0,0
Las Rosas,0,0,0,0,0,0,2,105,0,0,0,0,0,0,0,,Las Rosas,0,0,0,0,0,0,0,0,0
Salto de Agua,0,0,0,4,49,7,1,26,0,0,0,0,0,0,0,,Salto de Agua,1,57,2,0,0,0,0,0,0
