INEGI. IX Censo Ejidal 2007,,,,,,,
"Ejidos y comunidades con asistencia a la escuela del presidente del comisariado,",,,,,,,cuadro 41
segun nivel maximo de estudios aprobado por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_asistencia_a_la_escuela_del_presidente_del_comisariado,nivel_maximo_de_estudios_aprobado_ninguno,nivel_maximo_de_estudios_aprobado_primaria,nivel_maximo_de_estudios_aprobado_secundaria,nivel_maximo_de_estudios_aprobado_preparatoria,nivel_maximo_de_estudios_aprobado_otros_estudios,nivel_maximo_de_estudios_aprobado_sin_asistencia_a_la_escuela
Tlanepantla,2,0,2,0,0,0,0
Tlapacoya,3,0,3,0,0,0,0
Tlapanala,6,1,5,0,0,0,0
Tlatlauquitepec,4,0,3,1,0,0,0
Tlaxco,1,0,1,0,0,0,0
Tochimilco,11,0,11,0,0,0,1
Tochtepec,4,0,4,0,0,0,0
Totoltepec de Guerrero,3,0,2,1,0,0,0
Tulcingo,1,0,1,0,0,0,1
Tuzamapan de Galeana,1,0,1,0,0,0,0
Tzicatlacoyan,7,0,7,0,0,0,0
Venustiano Carranza,11,0,9,1,0,1,1
Vicente Guerrero,3,0,2,1,0,0,1
Xayacatlan de Bravo,0,0,0,0,0,0,1
Xicotepec,9,0,7,2,0,0,1
Xicotlan,2,0,2,0,0,0,0
Xiutetelco,2,0,2,0,0,0,1
Xochiapulco,1,0,1,0,0,0,0
Xochiltepec,3,0,3,0,0,0,0
Xochitlan de Vicente Suarez,1,0,1,0,0,0,1
Xochitlan Todos Santos,3,0,2,0,1,0,0
Yehualtepec,9,0,5,4,0,0,0
Zacapala,5,0,4,0,0,1,2
Zacapoaxtla,9,0,6,1,1,1,1
Zacatlan,18,0,13,4,0,1,0
Zapotitlan,7,0,6,0,0,1,0
Zaragoza,2,0,2,0,0,0,0
Zautla,7,0,3,4,0,0,1
Zihuateutla,7,0,7,0,0,0,1
Zinacatepec,1,0,0,1,0,0,0
Zoquiapan,2,0,2,0,0,0,0
Zoquitlan,1,0,1,0,0,0,0
Queretaro,289,6,217,43,10,13,89
Amealco de Bonfil,20,0,17,1,2,0,3
Pinal de Amoles,12,0,9,2,1,0,7
Arroyo Seco,10,0,9,0,1,0,3
Cadereyta de Montes,30,0,27,1,0,2,8
Colon,30,0,24,5,0,1,12
Corregidora,10,2,6,2,0,0,6
Ezequiel Montes,7,0,5,0,1,1,1
Huimilpan,8,1,7,0,0,0,8
Jalpan de Serra,4,0,3,1,0,0,2
Landa de Matamoros,4,0,3,0,0,1,0
El Marques,32,1,24,6,0,1,7
Pedro Escobedo,17,0,10,5,1,1,2
Peñamiller,14,0,13,0,1,0,2
Queretaro,31,1,23,5,1,1,10
San Joaquin,2,0,1,0,0,1,2
San Juan del Rio,39,1,23,11,2,2,13
Tequisquiapan,11,0,7,2,0,2,1
Toliman,8,0,6,2,0,0,2
Quintana Roo,265,4,156,73,20,12,17
Cozumel,1,0,0,1,0,0,0
Felipe Carrillo Puerto,53,0,34,10,7,2,2
Isla Mujeres,2,0,1,0,1,0,0
Othon P. Blanco,99,3,61,22,6,7,6
Benito Juarez,3,0,0,2,1,0,0
Jose Maria Morelos,60,1,32,25,2,0,5
Lazaro Cardenas,32,0,19,9,1,3,2
Solidaridad,15,0,9,4,2,0,2
San Luis Potosi,1290,6,980,205,48,51,131
Ahualulco,11,0,9,2,0,0,3
Alaquines,11,0,9,2,0,0,0
Aquismon,26,1,18,6,1,0,2
Armadillo de los Infante,5,0,5,0,0,0,2
Cardenas,5,0,4,1,0,0,0
Catorce,19,0,12,5,1,1,2
Cedral,28,0,19,9,0,0,1
Cerritos,16,0,14,2,0,0,2
Cerro de San Pedro,3,0,2,1,0,0,2
Ciudad del Maiz,27,0,25,1,0,1,1
Ciudad Fernandez,14,1,12,1,0,0,1
Tancanhuitz,26,0,23,3,0,0,0
Ciudad Valles,52,0,35,11,4,2,8
Coxcatlan,26,0,18,8,0,0,2
Charcas,22,0,19,3,0,0,5
ebano,78,0,58,15,3,2,14
Guadalcazar,41,2,34,4,0,1,11
Huehuetlan,13,0,9,1,1,2,0
Lagunillas,4,0,4,0,0,0,3
Matehuala,42,0,35,5,1,1,2
Mexquitic de Carmona,30,0,18,8,2,2,0
Moctezuma,27,0,23,2,0,2,3
Rayon,5,0,4,0,0,1,3
Rioverde,45,0,37,6,1,1,10
Salinas,11,0,7,2,2,0,0
San Antonio,9,0,8,1,0,0,1
San Ciro de Acosta,4,0,3,1,0,0,1
San Luis Potosi,30,0,28,0,0,2,5
San Martin Chalchicuautla,52,0,44,8,0,0,6
San Nicolas Tolentino,4,0,3,1,0,0,2
Santa Catarina,5,0,5,0,0,0,0
Santa Maria del Rio,9,0,8,0,0,1,3
Santo Domingo,23,0,18,3,1,1,2
San Vicente Tancuayalab,22,1,17,2,0,2,1
Soledad de Graciano Sanchez,8,0,5,2,0,1,0
Tamasopo,20,0,15,3,1,1,1
Tamazunchale,33,0,23,6,1,3,0
Tampacan,21,0,17,2,1,1,2
Tampamolon Corona,27,0,21,3,0,3,4
Tamuin,167,0,103,35,18,11,8
Tanlajas,24,0,17,7,0,0,2
Tanquian de Escobedo,5,0,2,2,0,1,0
Tierra Nueva,0,0,0,0,0,0,1
Vanegas,20,0,11,7,2,0,0
Venado,16,0,12,2,2,0,2
Villa de Arriaga,11,0,6,4,1,0,0
Villa de Guadalupe,19,0,18,0,1,0,1
Villa de la Paz,5,0,5,0,0,0,0
Villa de Ramos,17,0,16,1,0,0,1
Villa de Reyes,18,0,15,1,0,2,2
Villa Hidalgo,25,0,18,5,0,2,2
Villa Juarez,8,0,5,3,0,0,1
Axtla de Terrazas,28,1,24,1,1,1,1
Xilitla,32,0,28,2,1,1,3
Zaragoza,6,0,3,0,2,1,1
Villa de Arista,7,0,6,1,0,0,1
Matlapa,12,0,10,1,0,1,0
El Naranjo,16,0,13,3,0,0,0
Sinaloa,1251,6,821,193,90,141,58
Ahome,112,0,52,24,15,21,3
Angostura,60,0,34,15,6,5,2
Badiraguato,43,1,28,12,2,0,1
Concordia,28,0,18,4,1,5,1
Cosala,34,0,25,4,4,1,3
Culiacan,171,1,108,32,10,20,14
Choix,60,0,50,5,3,2,3
Elota,39,0,26,6,2,5,0
Escuinapa,20,0,14,1,4,1,0
El Fuerte,96,0,68,13,8,7,7
Guasave,134,1,89,15,11,18,6
Mazatlan,45,0,31,10,2,2,0
Mocorito,69,1,52,2,4,10,2
Rosario,51,0,37,10,2,2,0
Salvador Alvarado,22,0,13,3,0,6,0
San Ignacio,50,1,40,3,1,5,1
Sinaloa,143,1,101,19,10,12,11
Navolato,74,0,35,15,5,19,4
Sonora,923,4,520,192,86,121,56
Aconchi,1,0,1,0,0,0,0
Agua Prieta,6,0,3,0,3,0,0
alamos,76,0,55,15,1,5,8
Altar,7,0,4,3,0,0,0
Arivechi,3,0,2,0,0,1,0
Arizpe,6,0,4,2,0,0,0
Atil,2,0,1,1,0,0,0
Bacadehuachi,1,0,0,1,0,0,0
Bacanora,4,0,3,1,0,0,0
Bacerac,4,0,4,0,0,0,0
Bacoachi,5,0,3,2,0,0,0
Bacum,41,0,17,9,9,6,3
Banamichi,3,0,1,2,0,0,0
Baviacora,2,0,0,2,0,0,0
Bavispe,2,0,2,0,0,0,0
Benjamin Hill,1,0,0,1,0,0,2
Caborca,62,0,37,10,7,8,10
Cajeme,102,0,45,30,11,16,1
Cananea,7,0,5,1,1,0,0
Carbo,2,0,2,0,0,0,0
La Colorada,6,0,1,3,0,2,0
Cucurpe,3,0,0,1,0,2,0
Cumpas,7,0,3,3,0,1,0
Divisaderos,1,0,1,0,0,0,0
Empalme,13,2,10,1,0,0,3
Etchojoa,45,0,21,10,8,6,0
Fronteras,12,0,4,4,2,2,0
Granados,1,0,0,1,0,0,0
Guaymas,30,0,15,8,3,4,1
Hermosillo,52,0,29,5,9,9,0
Huachinera,2,0,1,1,0,0,0
Huasabas,1,0,0,0,0,1,0
Huatabampo,52,0,37,5,4,6,5
Huepac,3,0,1,1,1,0,0
Imuris,6,0,6,0,0,0,0
Magdalena,7,0,3,0,2,2,2
Mazatan,3,0,3,0,0,0,0
Moctezuma,4,0,0,1,0,3,0
Naco,2,0,2,0,0,0,0
Nacori Chico,4,0,3,1,0,0,0
Nacozari de Garcia,4,1,2,1,0,0,0
Navojoa,38,0,24,9,1,4,7
Nogales,8,0,6,1,1,0,0
Onavas,2,0,1,1,0,0,0
Opodepe,6,0,5,1,0,0,0
Oquitoa,1,0,0,1,0,0,0
Pitiquito,11,0,6,1,2,2,0
Puerto Peñasco,27,0,10,6,2,9,0
Quiriego,15,1,8,2,1,3,2
Rayon,4,0,2,0,2,0,1
Rosario,15,0,11,3,0,1,2
Sahuaripa,18,0,13,3,0,2,0
San Felipe de Jesus,1,0,0,1,0,0,0
San Javier,1,0,0,0,0,1,0
San Luis Rio Colorado,40,0,16,6,7,11,1
San Miguel de Horcasitas,3,0,1,1,1,0,1
San Pedro de la Cueva,6,0,4,2,0,0,0
Santa Ana,7,0,3,1,1,2,0
Santa Cruz,2,0,1,1,0,0,0
Saric,5,0,4,1,0,0,0
Soyopa,6,0,4,2,0,0,0
Suaqui Grande,2,0,1,1,0,0,0
Tepache,2,0,2,0,0,0,0
Trincheras,3,0,2,1,0,0,0
Tubutama,7,0,3,1,2,1,0
Ures,12,0,9,1,0,2,0
Villa Hidalgo,4,0,1,3,0,0,0
Villa Pesqueira,3,0,1,0,1,1,0
Yecora,8,0,7,1,0,0,1
General Plutarco Elias Calles,25,0,17,4,3,1,4
Benito Juarez,10,0,6,3,0,1,0
San Ignacio Rio Muerto,36,0,21,8,1,6,2
Tabasco,744,2,517,145,37,43,35
Balancan,52,0,35,15,2,0,3
Cardenas,56,0,38,11,3,4,6
Centla,54,0,38,12,2,2,1
Centro,60,0,47,5,3,5,4
Comalcalco,32,0,22,6,1,3,1
Cunduacan,38,0,27,8,1,2,6
Emiliano Zapata,14,0,6,7,1,0,0
Huimanguillo,115,1,78,21,9,6,8
Jalapa,23,0,15,2,4,2,0
Jalpa de Mendez,28,0,17,7,2,2,0
Jonuta,37,0,31,5,1,0,0
Macuspana,64,0,47,12,1,4,2
Nacajuca,28,0,21,4,1,2,1
Paraiso,16,0,12,4,0,0,0
Tacotalpa,36,0,22,11,1,2,0
Teapa,21,0,13,5,1,2,0
Tenosique,70,1,48,10,4,7,3
Tamaulipas,1317,2,914,205,91,105,74
Abasolo,32,0,24,2,5,1,5
Aldama,60,0,36,9,9,6,2
Altamira,37,0,21,6,6,4,2
Antiguo Morelos,16,0,13,2,0,1,1
Burgos,18,0,16,2,0,0,1
Bustamante,14,1,10,3,0,0,8
Camargo,9,0,7,0,2,0,0
Casas,21,0,16,4,1,0,2
Cruillas,10,0,7,3,0,0,0
Gomez Farias,23,0,14,4,1,4,2
Gonzalez,76,0,55,13,4,4,11
Güemez,41,0,32,6,2,1,0
Guerrero,2,0,1,0,1,0,0
Gustavo Diaz Ordaz,9,0,5,2,0,2,0
Hidalgo,62,1,43,9,3,6,0
Jaumave,39,0,30,5,2,2,1
Jimenez,21,0,16,4,1,0,1
Llera,49,0,34,9,3,3,5
Mainero,14,0,11,3,0,0,0
El Mante,118,0,72,19,12,15,6
Matamoros,77,0,40,18,8,11,1
Mendez,22,0,15,5,2,0,0
Miquihuana,7,0,6,1,0,0,2
Nuevo Laredo,16,0,6,2,1,7,0
Nuevo Morelos,6,0,4,1,0,1,0
Ocampo,32,0,24,4,4,0,2
Padilla,19,0,14,1,3,1,1
Palmillas,5,0,3,2,0,0,0
Reynosa,73,0,42,19,5,7,1
Rio Bravo,23,0,18,4,0,1,0
San Carlos,51,0,42,6,1,2,2
San Fernando,63,0,49,8,2,4,4
San Nicolas,5,0,2,3,0,0,2
Soto la Marina,55,0,40,5,4,6,4
Tampico,1,0,0,0,0,1,0
Tula,56,0,49,3,0,4,4
Valle Hermoso,27,0,21,3,3,0,0
Victoria,39,0,29,6,2,2,1
Villagran,30,0,26,4,0,0,1
Xicotencatl,39,0,21,5,4,9,2
Tlaxcala,233,1,164,42,8,18,13
Amaxac de Guerrero,1,0,0,0,0,1,0
Atlangatepec,4,0,2,1,1,0,0
Altzayanca,16,0,10,4,2,0,2
Apizaco,3,0,3,0,0,0,1
Calpulalpan,11,0,8,2,0,1,0
El Carmen Tequexquitla,2,0,2,0,0,0,1
Cuapiaxtla,9,0,9,0,0,0,2
Cuaxomulco,1,0,0,1,0,0,0
Chiautempan,5,0,4,0,0,1,0
Muñoz de Domingo Arenas,4,0,3,1,0,0,0
Españita,11,0,10,0,0,1,0
Huamantla,21,0,16,4,0,1,4
Hueyotlipan,13,0,9,3,0,1,0
Ixtacuixtla de Mariano Matamoros,16,0,10,4,1,1,0
Ixtenco,0,0,0,0,0,0,1
Tepetitla de Lardizabal,2,0,1,0,0,1,0
Sanctorum de Lazaro Cardenas,4,0,2,1,1,0,0
Nanacamilpa de Mariano Arista,5,0,4,0,1,0,0
Nativitas,15,0,6,7,0,2,0
Panotla,6,0,4,0,0,2,0
Santa Cruz Tlaxcala,4,0,2,1,1,0,0
Teolocholco,2,0,2,0,0,0,0
Terrenate,6,0,3,2,0,1,0
Tetla de la Solidaridad,7,0,6,0,1,0,0
Tetlatlahuca,3,0,2,1,0,0,0
Tlaxcala,3,0,1,0,0,2,0
Tlaxco,29,0,23,6,0,0,0
Tocatlan,1,0,1,0,0,0,0
Totolac,1,1,0,0,0,0,0
Zitlaltepec de Trinidad Sanchez Santos,2,0,1,1,0,0,1
Tzompantepec,3,0,3,0,0,0,0
Xaloztoc,2,0,1,1,0,0,0
Xaltocan,4,0,3,1,0,0,0
Papalotla de Xicohtencatl,1,0,1,0,0,0,0
Xicohtzinco,1,0,0,0,0,1,0
Yauhquemecan,3,0,2,0,0,1,0
Zacatelco,1,0,1,0,0,0,0
Benito Juarez,1,0,0,0,0,1,0
Emiliano Zapata,2,0,2,0,0,0,0
Lazaro Cardenas,1,0,1,0,0,0,1
La Magdalena Tlaltelulco,1,0,1,0,0,0,0
San Damian Texoloc,1,0,1,0,0,0,0
San Jose Teacalco,1,0,1,0,0,0,0
San Lorenzo Axocomanitla,1,0,0,1,0,0,0
San Lucas Tecopilco,1,0,1,0,0,0,0
Santa Ana Nopalucan,1,0,1,0,0,0,0
Santa Apolonia Teacalco,1,0,1,0,0,0,0
Veracruz de Ignacio de la Llave,3341,8,2562,468,159,144,343
Acajete,1,0,1,0,0,0,1
Acatlan,1,0,1,0,0,0,0
Acayucan,26,0,19,3,0,4,5
Actopan,28,0,21,2,2,3,1
Acula,8,0,6,0,1,1,1
Acultzingo,13,0,10,2,1,0,3
Camaron de Tejeda,5,0,3,2,0,0,0
Alto Lucero de Gutierrez Barrios,12,0,12,0,0,0,4
Altotonga,14,0,12,1,0,1,2
Alvarado,19,0,15,2,1,1,0
Amatitlan,4,0,1,2,1,0,2
Naranjos Amatlan,11,0,9,1,0,1,0
Amatlan de los Reyes,18,0,14,1,0,3,1
angel R. Cabada,18,0,15,0,2,1,3
La Antigua,11,0,8,2,0,1,0
Apazapan,5,0,4,0,0,1,0
Atlahuilco,1,0,0,1,0,0,0
Atoyac,13,0,12,1,0,0,2
Atzacan,4,0,4,0,0,0,3
Atzalan,32,0,29,2,1,0,7
Tlaltetela,13,0,12,1,0,0,1
Banderilla,1,0,1,0,0,0,0
Benito Juarez,21,0,20,0,1,0,2
Boca del Rio,3,0,1,1,0,1,0
Calcahualco,3,0,3,0,0,0,1
Camerino Z. Mendoza,1,0,1,0,0,0,0
Carrillo Puerto,4,0,3,0,1,0,0
Catemaco,30,0,21,7,1,1,0
Cazones,22,0,13,5,2,2,2
Cerro Azul,7,0,3,2,0,2,0
Citlaltepetl,1,0,1,0,0,0,0
Coacoatzintla,1,0,1,0,0,0,2
Coahuitlan,2,0,2,0,0,0,0
Coatepec,14,0,9,3,0,2,0
Coatzacoalcos,8,0,6,2,0,0,0
Coatzintla,14,0,10,0,2,2,2
Coetzala,0,0,0,0,0,0,1
Colipa,3,0,3,0,0,0,0
Comapa,13,0,11,2,0,0,2
Cordoba,24,0,20,4,0,0,0
Cosamaloapan de Carpio,28,0,16,3,3,6,4
Coscomatepec,1,0,1,0,0,0,3
Cosoleacaque,14,0,10,3,1,0,2
Cotaxtla,15,0,15,0,0,0,1
Coxquihui,5,0,5,0,0,0,0
Coyutla,7,0,3,4,0,0,1
Cuichapa,5,0,3,2,0,0,1
Cuitlahuac,15,0,10,4,1,0,0
Chacaltianguis,12,0,9,0,3,0,0
Chalma,16,0,13,2,1,0,0
Chiconamel,10,0,6,3,1,0,1
Chiconquiaco,6,0,6,0,0,0,3
Chicontepec,80,0,55,13,5,7,4
Chinameca,8,0,7,1,0,0,2
Chinampa de Gorostiza,7,0,7,0,0,0,0
Las Choapas,87,1,74,9,2,1,34
Chocaman,3,0,3,0,0,0,0
Chontla,12,0,10,1,0,1,0
Chumatlan,1,0,1,0,0,0,0
Emiliano Zapata,26,0,18,5,0,3,0
Espinal,20,0,13,4,2,1,0
Fortin,6,0,3,2,1,0,1
Gutierrez Zamora,14,0,6,5,1,2,1
Hidalgotitlan,33,0,31,2,0,0,7
Huatusco,8,0,6,2,0,0,2
Huayacocotla,22,0,18,3,0,1,3
Hueyapan de Ocampo,30,0,24,3,2,1,6
Huiloapan,1,0,1,0,0,0,0
Ignacio de la Llave,27,0,19,3,3,2,3
Ilamatlan,13,0,11,2,0,0,2
Isla,36,0,27,7,1,1,11
Ixcatepec,6,0,5,1,0,0,3
Ixhuacan de los Reyes,4,0,3,1,0,0,2
Ixhuatlan del Cafe,9,0,7,1,0,1,4
Ixhuatlancillo,2,0,2,0,0,0,1
Ixhuatlan del Sureste,11,0,7,2,1,1,1
Ixhuatlan de Madero,62,0,52,8,1,1,7
Ixmatlahuacan,7,0,4,1,1,1,1
Ixtaczoquitlan,15,0,10,3,1,1,0
Jalacingo,17,0,15,2,0,0,0
Xalapa,10,0,6,2,1,1,0
Jalcomulco,4,0,2,2,0,0,0
Jaltipan,14,0,8,4,1,1,0
Jamapa,11,0,9,1,0,1,1
Jesus Carranza,36,0,31,4,1,0,16
Xico,12,0,10,0,0,2,0
Jilotepec,5,0,4,0,1,0,0
Juan Rodriguez Clara,39,0,25,7,4,3,7
Juchique de Ferrer,10,0,8,2,0,0,1
Lerdo de Tejada,2,0,1,0,1,0,1
Maltrata,3,0,3,0,0,0,0
Manlio Fabio Altamirano,28,0,19,5,3,1,0
Mariano Escobedo,2,0,2,0,0,0,1
Martinez de la Torre,43,0,22,9,8,4,3
Mecayapan,9,0,6,3,0,0,5
Medellin,33,0,25,4,1,3,0
Miahuatlan,2,0,1,0,1,0,0
Minatitlan,115,0,102,6,5,2,7
Misantla,40,0,26,10,3,1,2
Moloacan,14,0,11,1,0,2,0
Naolinco,3,0,2,1,0,0,1
Nautla,18,0,14,1,2,1,1
Nogales,5,0,4,0,0,1,1
Oluta,3,0,3,0,0,0,0
Omealca,24,0,18,5,1,0,0
Otatitlan,4,0,2,1,1,0,0
Oteapan,1,0,0,1,0,0,0
Ozuluama de Mascareñas,37,0,32,3,0,2,2
Pajapan,7,0,7,0,0,0,3
Panuco,123,0,96,19,3,5,9
Papantla,70,0,56,9,1,4,0
Paso del Macho,26,0,24,0,1,1,1
Paso de Ovejas,24,0,21,2,1,0,2
La Perla,1,0,1,0,0,0,0
Perote,20,0,17,2,0,1,0
Platon Sanchez,10,0,8,2,0,0,1
Playa Vicente,57,0,46,6,3,2,8
Las Vigas de Ramirez,4,0,4,0,0,0,0
Pueblo Viejo,19,0,8,7,2,2,0
Puente Nacional,28,0,21,3,2,2,0
Rafael Delgado,2,0,1,1,0,0,0
Rafael Lucio,1,0,1,0,0,0,0
Los Reyes,2,0,2,0,0,0,0
Rio Blanco,1,0,1,0,0,0,0
Saltabarranca,4,1,2,1,0,0,0
San Andres Tuxtla,74,0,58,14,2,0,6
San Juan Evangelista,39,0,31,3,3,2,11
Santiago Tuxtla,41,0,31,9,1,0,4
Sayula de Aleman,29,1,22,3,1,2,2
Soconusco,7,0,5,1,0,1,0
Soledad Atzompa,2,0,2,0,0,0,0
Soledad de Doblado,25,0,25,0,0,0,1
Soteapan,22,0,18,2,1,1,3
Tamalin,9,0,6,3,0,0,0
Tamiahua,49,0,43,4,0,2,1
Tampico Alto,23,0,17,4,0,2,0
Tancoco,9,0,9,0,0,0,0
Tantima,17,1,11,4,0,1,1
Tantoyuca,35,0,27,6,2,0,3
Castillo de Teayo,26,0,23,1,2,0,0
Tecolutla,36,0,23,4,7,2,1
Temapache,105,0,80,10,8,7,3
Tempoal,36,0,27,9,0,0,3
Tenampa,4,0,3,0,1,0,2
Teocelo,1,0,1,0,0,0,0
Tepatlaxco,5,0,5,0,0,0,0
Tepetlan,5,0,5,0,0,0,1
Tepetzintla,12,0,10,1,1,0,0
Tequila,1,0,1,0,0,0,1
Jose Azueta,28,0,21,6,1,0,2
Texcatepec,5,0,4,1,0,0,0
Texistepec,20,0,18,1,1,0,1
Tezonapa,43,0,30,7,4,2,1
Tierra Blanca,77,0,59,14,4,0,3
Tihuatlan,51,2,30,8,7,4,13
Tlacojalpan,2,0,1,0,1,0,1
Tlacolulan,1,0,0,1,0,0,1
Tlacotalpan,14,0,6,7,1,0,5
Tlacotepec de Mejia,2,0,2,0,0,0,0
Tlachichilco,7,0,4,3,0,0,1
Tlalixcoyan,54,1,45,6,1,1,2
Tlalnelhuayocan,2,0,2,0,0,0,0
Tlapacoyan,12,0,9,2,0,1,4
Tlilapan,1,0,0,1,0,0,0
Tomatlan,2,0,2,0,0,0,0
Tonayan,3,0,3,0,0,0,0
Totutla,7,0,5,2,0,0,0
Tuxpam,73,0,54,11,4,4,1
Tuxtilla,2,0,2,0,0,0,0
ursulo Galvan,16,0,8,3,2,3,0
Vega de Alatorre,14,0,13,0,0,1,0
Veracruz,16,0,11,3,1,1,0
Villa Aldama,5,0,4,1,0,0,0
Xoxocotla,1,0,1,0,0,0,0
Yanga,10,0,5,4,0,1,0
Yecuatla,3,0,3,0,0,0,0
Zacualpan,3,0,1,1,1,0,1
Zentla,2,0,2,0,0,0,1
Zongolica,14,0,11,0,3,0,2
Zontecomatlan de Lopez y Fuentes,13,0,10,2,0,1,2
Zozocolco de Hidalgo,1,0,1,0,0,0,1
Agua Dulce,14,0,8,3,1,2,0
El Higo,15,0,10,5,0,0,0
Nanchital de Lazaro Cardenas del Rio,1,0,1,0,0,0,0
Tres Valles,38,1,26,9,0,2,3
Carlos A. Carrillo,9,0,5,2,2,0,1
Tatahuicapan de Juarez,17,0,16,0,1,0,5
Uxpanapa,71,0,58,11,1,1,17
San Rafael,3,0,2,1,0,0,0
Santiago Sochiapan,1,0,1,0,0,0,0
Yucatan,669,2,581,64,14,8,53
Abala,6,0,5,1,0,0,1
Acanceh,7,0,4,2,1,0,0
Akil,1,0,1,0,0,0,0
Baca,3,0,2,0,1,0,0
Bokoba,2,0,1,1,0,0,0
Buctzotz,5,0,4,0,0,1,3
Cacalchen,2,0,1,1,0,0,0
Calotmul,3,0,3,0,0,0,1
Cansahcab,5,0,5,0,0,0,0
Cantamayec,3,0,3,0,0,0,0
Celestun,1,0,1,0,0,0,0
Cenotillo,4,0,4,0,0,0,0
Conkal,3,0,1,2,0,0,0
Cuncunul,3,0,3,0,0,0,1
Cuzama,4,0,3,0,0,1,0
Chacsinkin,2,0,1,1,0,0,0
Chankom,12,0,12,0,0,0,2
Chapab,2,0,2,0,0,0,0
Chemax,16,0,13,3,0,0,1
Chicxulub Pueblo,3,0,1,2,0,0,0
Chichimila,7,0,6,0,0,1,0
Chikindzonot,3,0,3,0,0,0,1
Chochola,2,0,2,0,0,0,0
Chumayel,1,0,1,0,0,0,0
Dzan,1,0,1,0,0,0,0
Dzemul,2,0,1,1,0,0,1
Dzidzantun,2,0,2,0,0,0,0
Dzilam de Bravo,2,0,2,0,0,0,0
Dzilam Gonzalez,4,0,4,0,0,0,0
Dzitas,3,0,3,0,0,0,0
Dzoncauich,2,0,1,1,0,0,0
Espita,9,0,9,0,0,0,0
Halacho,8,0,7,1,0,0,0
Hocaba,3,0,2,0,1,0,1
Hoctun,3,1,1,1,0,0,0
Homun,5,0,4,1,0,0,0
Huhi,2,0,2,0,0,0,0
Hunucma,7,0,7,0,0,0,0
Ixil,1,0,0,1,0,0,0
Izamal,11,0,8,2,1,0,0
Kanasin,5,0,5,0,0,0,0
Kantunil,2,0,2,0,0,0,0
Kaua,1,0,1,0,0,0,1
Kinchil,2,0,2,0,0,0,0
Kopoma,2,0,2,0,0,0,0
Mama,1,0,1,0,0,0,0
Mani,1,0,0,1,0,0,1
Maxcanu,14,0,13,1,0,0,0
Mayapan,1,0,1,0,0,0,0
Merida,46,0,40,4,0,2,0
Mococha,4,0,4,0,0,0,0
Motul,17,0,14,3,0,0,3
Muna,4,0,4,0,0,0,0
Muxupip,2,0,2,0,0,0,1
Opichen,2,0,1,1,0,0,0
Oxkutzcab,5,0,4,0,1,0,1
Panaba,3,0,3,0,0,0,2
Peto,25,0,24,1,0,0,5
Progreso,5,0,4,0,1,0,0
Quintana Roo,1,0,1,0,0,0,1
Rio Lagartos,1,0,1,0,0,0,0
Sacalum,4,0,4,0,0,0,0
Samahil,5,0,4,1,0,0,0
Sanahcat,1,0,1,0,0,0,0
San Felipe,2,0,2,0,0,0,0
Santa Elena,1,0,1,0,0,0,1
Seye,4,0,2,1,1,0,0
Sinanche,6,0,5,1,0,0,0
Sotuta,4,0,4,0,0,0,0
Sucila,2,0,2,0,0,0,0
Sudzal,4,0,4,0,0,0,0
Suma,3,0,3,0,0,0,0
Tahdziu,1,0,1,0,0,0,0
Tahmek,3,0,3,0,0,0,0
Teabo,1,0,1,0,0,0,0
Tecoh,11,0,10,1,0,0,0
Tekal de Venegas,2,0,2,0,0,0,1
Tekanto,5,0,3,1,0,1,0
Tekax,45,0,30,11,4,0,10
Tekit,1,0,1,0,0,0,0
Tekom,4,0,3,1,0,0,0
Telchac,1,0,1,0,0,0,0
Telchac Puerto,1,0,1,0,0,0,0
Temax,6,0,6,0,0,0,0
Temozon,12,0,11,1,0,0,1
Tepakan,2,0,2,0,0,0,0
Tetiz,6,0,5,1,0,0,0
Teya,2,0,1,0,1,0,0
Ticul,3,0,3,0,0,0,0
Timucuy,3,0,3,0,0,0,0
Tinum,7,0,7,0,0,0,1
Tixcacalcupul,5,0,5,0,0,0,0
Tixkokob,12,0,10,1,0,1,0
Tixmehuac,7,0,5,2,0,0,0
Tixpehual,5,0,4,1,0,0,0
Tizimin,67,0,64,2,1,0,6
Tunkas,6,0,6,0,0,0,1
Tzucacab,20,0,18,1,1,0,1
Uayma,3,0,3,0,0,0,0
Ucu,4,0,3,1,0,0,0
Uman,18,0,17,0,0,1,0
Valladolid,19,1,17,1,0,0,3
Xocchel,2,0,2,0,0,0,0
Yaxcaba,37,0,33,4,0,0,1
Yaxkukul,1,0,1,0,0,0,0
Yobain,2,0,2,0,0,0,0
Zacatecas,698,2,586,74,13,23,69
Apozol,4,0,2,1,0,1,2
Apulco,1,0,1,0,0,0,0
Atolinga,1,0,1,0,0,0,0
Benito Juarez,3,0,3,0,0,0,1
Calera,2,0,1,1,0,0,0
Cañitas de Felipe Pescador,3,0,2,1,0,0,0
Concepcion del Oro,16,0,11,5,0,0,2
Cuauhtemoc,6,0,6,0,0,0,0
Chalchihuites,5,0,5,0,0,0,0
Fresnillo,68,0,57,7,1,3,5
Genaro Codina,7,0,6,0,0,1,0
General Enrique Estrada,2,0,2,0,0,0,0
General Francisco R. Murguia,41,0,37,2,1,1,2
El Plateado de Joaquin Amaro,5,0,5,0,0,0,0
