INEGI. IX Censo Ejidal 2007,,,,,,,
"Ejidos y comunidades con asistencia a la escuela del presidente del comisariado,",,,,,,,cuadro 41
segun nivel maximo de estudios aprobado por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_asistencia_a_la_escuela_del_presidente_del_comisariado,nivel_maximo_de_estudios_aprobado_ninguno,nivel_maximo_de_estudios_aprobado_primaria,nivel_maximo_de_estudios_aprobado_secundaria,nivel_maximo_de_estudios_aprobado_preparatoria,nivel_maximo_de_estudios_aprobado_otros_estudios,nivel_maximo_de_estudios_aprobado_sin_asistencia_a_la_escuela
Guachochi,25,0,16,5,2,2,1
Guadalupe,7,0,5,2,0,0,0
Guadalupe y Calvo,38,0,35,2,0,1,7
Guazapares,11,0,7,4,0,0,0
Guerrero,50,0,40,6,1,3,0
Hidalgo del Parral,11,0,10,1,0,0,1
Huejotitan,8,0,8,0,0,0,0
Ignacio Zaragoza,4,0,3,1,0,0,0
Janos,14,0,10,3,0,1,0
Jimenez,47,0,28,7,3,9,6
Juarez,10,0,3,5,1,1,0
Julimes,6,0,5,0,0,1,0
Lopez,11,1,8,1,0,1,1
Madera,20,0,10,6,1,3,0
Maguarichi,5,0,5,0,0,0,0
Manuel Benavides,13,0,10,3,0,0,1
Matachi,5,0,4,0,0,1,0
Matamoros,8,0,5,3,0,0,0
Meoqui,4,0,3,1,0,0,0
Morelos,14,0,10,3,1,0,3
Moris,9,0,6,1,0,2,1
Namiquipa,12,0,9,2,1,0,0
Nonoava,3,0,3,0,0,0,0
Nuevo Casas Grandes,1,0,1,0,0,0,1
Ocampo,16,0,13,2,1,0,1
Ojinaga,33,0,20,8,2,3,0
Praxedis G. Guerrero,5,0,3,1,1,0,0
Riva Palacio,9,0,7,2,0,0,0
Rosales,11,0,6,3,1,1,0
Rosario,7,0,7,0,0,0,0
San Francisco de Borja,9,0,7,2,0,0,0
San Francisco de Conchos,7,0,4,1,1,1,0
San Francisco del Oro,4,0,4,0,0,0,0
Santa Barbara,9,0,8,1,0,0,0
Satevo,20,0,15,4,1,0,0
Saucillo,12,0,10,1,0,1,1
Temosachi,12,0,11,1,0,0,1
El Tule,4,0,4,0,0,0,0
Urique,26,0,24,2,0,0,3
Uruachi,17,2,13,0,0,2,2
Valle de Zaragoza,15,0,14,0,0,1,0
Distrito Federal,37,0,15,6,5,11,0
Cuajimalpa de Morelos,3,0,1,1,0,1,0
La Magdalena Contreras,3,0,1,0,0,2,0
Milpa Alta,8,0,5,1,1,1,0
alvaro Obregon,2,0,0,1,1,0,0
Tlahuac,7,0,2,1,1,3,0
