INEGI. IX Censo Ejidal 2007,,,,
Ejidos y comunidades con superficie de uso comun segun pastos no cultivados,,,,cuadro 6
de agostadero o enmontada por entidad federativa y municipio,,,,
,,,,
,,,,
,,,,
entidad_federativa_y_municipio,total_de_ejidos_y_comunidades_con_superficie_de_uso_comun,ejidos_y_comunidades_con_pastos_no_cultivados_de_agostadero_o_enmontada_total,ejidos_y_comunidades_con_pastos_no_cultivados_de_agostadero_o_enmontada_principalmente_con_pastos_no_cultivados_total,ejidos_y_comunidades_con_pastos_no_cultivados_de_agostadero_o_enmontada_sembrada_alguna_vez en_los_ultimos_5_años
Almoloya de Juarez,29,19,11,1
Almoloya del Rio,1,1,1,0
Amanalco,19,10,10,2
Amatepec,13,9,6,0
Amecameca,9,2,2,0
Apaxco,2,1,0,0
Atenco,3,3,1,1
Atizapan,1,0,0,0
Atizapan de Zaragoza,1,1,0,0
Atlacomulco,28,19,15,3
Atlautla,2,2,1,0
Axapusco,16,12,9,0
Ayapango,3,3,2,1
Calimaya,4,1,1,0
Capulhuac,3,2,2,0
Coacalco de Berriozabal,1,1,1,0
Coatepec Harinas,10,4,4,2
Cocotitlan,2,2,0,0
Coyotepec,1,1,0,1
Chalco,13,8,3,0
Chapa de Mota,15,7,6,0
Chapultepec,1,0,0,0
Chiautla,3,3,2,0
Chicoloapan,1,1,1,0
Chimalhuacan,1,1,1,0
Donato Guerra,16,7,5,0
Ecatepec de Morelos,8,6,4,2
Ecatzingo,2,1,0,0
Huehuetoca,3,3,0,0
Hueypoxtla,10,10,9,1
Huixquilucan,6,4,4,0
Isidro Fabela,4,2,2,0
Ixtapaluca,8,4,1,0
Ixtapan de la Sal,1,1,0,0
Ixtapan del Oro,7,5,5,0
Ixtlahuaca,31,11,10,0
Jilotepec,30,23,15,4
Jilotzingo,6,4,3,1
Jiquipilco,15,6,3,0
Jocotitlan,10,5,3,0
Joquicingo,2,1,1,0
Juchitepec,2,0,0,0
Lerma,19,10,9,4
Malinalco,13,10,6,1
Melchor Ocampo,1,1,0,0
Metepec,2,2,2,0
Mexicaltzingo,1,1,1,0
Morelos,13,6,6,1
Naucalpan de Juarez,7,6,4,2
Nextlalpan,1,1,0,0
Nicolas Romero,8,2,1,0
Nopaltepec,3,3,1,0
Ocoyoacac,8,5,5,0
Ocuilan,5,5,5,0
El Oro,12,7,5,1
Otumba,8,7,6,1
Otzolotepec,7,1,0,0
Ozumba,5,2,2,0
Papalotla,1,1,0,0
La Paz,1,1,1,0
Polotitlan,8,8,5,0
Rayon,2,1,0,0
San Antonio la Isla,1,1,0,0
San Felipe del Progreso,41,30,24,1
San Martin de las Piramides,7,5,2,0
San Mateo Atenco,1,0,0,0
San Simon de Guerrero,2,2,2,0
Santo Tomas,4,4,1,0
Soyaniquilpan de Juarez,7,3,3,0
Sultepec,9,2,2,2
Tecamac,7,2,2,0
Tejupilco,10,10,8,0
Temamatla,2,2,1,0
Temascalapa,10,8,3,0
Temascalcingo,23,16,13,0
Temascaltepec,35,20,16,6
Temoaya,6,3,2,1
Tenancingo,18,6,3,1
Tenango del Aire,4,3,0,0
Tenango del Valle,12,5,2,0
Teoloyucan,5,5,0,0
Teotihuacan,5,2,1,0
Tepetlaoxtoc,10,9,9,0
Tepetlixpa,3,2,2,0
Tepotzotlan,5,5,3,1
Tequixquiac,3,3,1,0
Texcaltitlan,7,5,5,3
Texcalyacac,1,0,0,0
Texcoco,22,18,15,3
Tezoyuca,2,1,0,0
Tianguistenco,3,2,2,0
Timilpan,7,4,2,0
Tlalmanalco,6,4,2,0
Tlalnepantla de Baz,4,4,3,0
Tlatlaya,18,10,9,2
Toluca,11,7,5,0
Tonatico,3,3,2,0
Tultitlan,3,3,2,0
Valle de Bravo,18,12,11,6
Villa de Allende,31,11,6,0
Villa del Carbon,11,8,6,2
Villa Guerrero,9,5,5,0
Villa Victoria,28,15,14,2
Xonacatlan,2,2,0,1
Zacazonapan,1,1,0,0
Zacualpan,9,7,6,0
Zinacantepec,15,12,8,1
Zumpahuacan,2,1,1,0
Zumpango,5,4,3,0
Cuautitlan Izcalli,6,5,5,0
Valle de Chalco Solidaridad,2,1,0,0
Luvianos,3,2,1,1
San Jose del Rincon,43,23,18,3
Michoacan de Ocampo,1616,1245,939,177
Acuitzio,8,6,5,0
Aguililla,9,8,5,2
alvaro Obregon,15,12,11,0
Angamacutiro,22,22,20,2
Angangueo,6,2,2,1
Apatzingan,42,39,33,2
Aporo,3,2,2,0
Aquila,6,5,2,2
Ario,36,23,16,5
Arteaga,18,15,6,4
Briseñas,4,4,3,0
Buenavista,25,16,6,3
Caracuaro,11,11,5,3
Coahuayana,10,7,6,3
Coalcoman de Vazquez Pallares,3,2,1,1
Coeneo,29,25,18,0
Contepec,26,25,24,2
Copandaro,5,5,5,1
Cotija,13,10,10,6
Cuitzeo,6,6,3,0
Charapan,4,3,1,0
Charo,14,10,6,3
Chavinda,12,12,10,0
Cheran,2,1,1,0
Chilchota,12,10,9,1
Chinicuila,4,4,2,0
Chucandiro,13,13,12,1
Churintzio,16,15,6,1
Churumuco,24,19,13,1
Ecuandureo,16,10,4,1
Epitacio Huerta,15,13,13,0
Erongaricuaro,11,6,4,0
