INEGI. IX Censo Ejidal 2007,,,,,
Total de ejidos y comunidades segun cuenten con grupos para la produccion,,,,,cuadro 33
y ejidatarios participantes por entidad federativa y municipio,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,con_grupos_para_la_produccion_total,con_grupos_para_la_produccion_ejidatarios_participantes_total,con_grupos_para_la_produccion_ejidatarios_participantes_mujeres,sin_grupos_para_la_produccion
Coyuca de Catalan,56,1,10,1,55
Cuajinicuilapa,11,2,70,25,9
Cualac,     C,C,0,0,C
Cuautepec,5,0,0,0,5
Cuetzala del Progreso,12,1,35,10,11
Cutzamala de Pinzon,33,6,254,22,27
Chilapa de alvarez,45,2,38,12,43
Chilpancingo de los Bravo,31,3,100,6,28
Florencio Villarreal,     C,C,0,0,C
General Canuto A. Neri,5,0,0,0,5
General Heliodoro Castillo,7,2,80,25,5
Huamuxtitlan,8,1,30,3,7
Huitzuco de los Figueroa,21,2,50,0,19
Iguala de la Independencia,15,3,128,26,12
Igualapa,7,0,0,0,7
Ixcateopan de Cuauhtemoc,     C,C,0,0,C
Jose Azueta,18,3,161,37,15
Juan R. Escudero,11,3,55,0,8
Leonardo Bravo,16,0,0,0,16
Malinaltepec,9,1,684,200,8
Martir de Cuilapan,11,0,0,0,11
Metlatonoc,9,0,0,0,9
Mochitlan,26,0,0,0,26
Olinala ,7,0,0,0,7
Ometepec,26,4,108,17,22
Petatlan,27,3,132,30,24
Pilcaya,6,0,0,0,6
Pungarabato,10,1,13,0,9
Quechultenango,26,1,51,4,25
San Luis Acatlan,23,5,195,34,18
San Marcos,33,4,98,46,29
San Miguel Totolapan,8,0,0,0,8
Taxco de Alarcon,23,0,0,0,23
Tecoanapa,39,5,284,28,34
Tecpan de Galeana,25,0,0,0,25
Teloloapan,27,1,198,36,26
Tepecoacuilco de Trujano,25,2,16,0,23
Tetipac,5,0,0,0,5
Tixtla de Guerrero,10,0,0,0,10
Tlacoachistlahuaca,15,0,0,0,15
Tlacoapa,     C,C,25,10,C
Tlalchapa,16,0,0,0,16
Tlalixtaquilla de Maldonado,5,1,20,20,4
Tlapa de Comonfort,30,1,100,100,29
Tlapehuala,12,0,0,0,12
La Union de Isidoro Montes de Oca,31,1,22,0,30
Xalpatlahuac,8,0,0,0,8
Xochihuehuetlan,7,0,0,0,7
Xochistlahuaca,7,0,0,0,7
Zapotitlan Tablas,     C,C,0,0,C
Zirandaro,28,1,10,2,27
Zitlala,11,0,0,0,11
Eduardo Neri,16,2,50,15,14
Acatepec,     C,C,80,50,C
Marquelia,3,3,233,10,0
Cochoapa el Grande,     C,C,0,0,C
Jose Joaquín de Herrera,     C,C,0,0,C
Juchitan,     C,C,0,0,C
Iliatenco,4,1,21,8,3
Hidalgo, 1 189,98, 4 632,699, 1 091
Acatlan,17,2,72,15,15
Acaxochitlan,13,0,0,0,13
Actopan,11,0,0,0,11
Agua Blanca de Iturbide,10,1,9,0,9
Ajacuba,8,1,24,0,7
Alfajayucan,28,2,169,27,26
Almoloya,13,1,30,8,12
Apan,15,4,276,33,11
El Arenal,8,3,80,12,5
Atitalaquia,5,0,0,0,5
Atlapexco,9,2,80,1,7
Atotonilco el Grande,24,2,186,88,22
Atotonilco de Tula,7,0,0,0,7
Calnali,     C,C,73,10,C
Cardonal,20,3,148,11,17
Cuautepec de Hinojosa,24,1,43,3,23
Chapantongo,14,0,0,0,14
Chapulhuacan,22,1,20,0,21
Chilcuautla,6,0,0,0,6
Eloxochitlan,8,0,0,0,8
Emiliano Zapata,4,0,0,0,4
Epazoyucan,12,1,8,4,11
Francisco I. Madero,     C,C,0,0,C
Huasca de Ocampo,27,2,78,6,25
Huautla,42,7,145,8,35
Huazalingo,12,1,26,2,11
Huehuetla,6,1,100,50,5
Huejutla de Reyes,47,3,90,6,44
Huichapan,35,3,139,4,32
Ixmiquilpan,24,1,50,10,23
Jacala de Ledezma,13,1,16,0,12
Jaltocan,16,2,52,11,14
Juarez Hidalgo,4,1,25,0,3
Lolotla,10,0,0,0,10
Metepec,11,2,68,0,9
San Agustín Metzquititlan,7,0,0,0,7
Metztitlan,27,2,114,15,25
Mineral del Chico,6,0,0,0,6
