INEGI. IX Censo Ejidal 2007,,,,,,,,,,,
Total de ejidos y comunidades segun tipo de actividad no agropecuaria ni forestal,,,,,,,,,,,cuadro 19
por entidad federativa y municipio,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_total,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_extraccion_de_materiales_de_construccion,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_extraccion_de_otros_minerales,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_pesquera,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_artesanal,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_industrial,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_turistica,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_acuicola,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_otras_actividades,sin_actividades_de_este_tipo
Distrito Federal,37,19,7,0,1,4,1,13,4,1,18
Cuajimalpa De Morelos,C,C,0,0,0,0,0,1,1,0,C
La Magdalena Contreras,3,3,0,0,1,0,0,3,1,0,0
Milpa Alta,8,4,3,0,0,1,0,2,0,0,4
alvaro Obregon,C,C,0,0,0,0,0,0,0,0,C
Tlahuac,7,4,1,0,0,2,1,1,1,1,3
Tlalpan,10,7,3,0,0,1,0,6,1,0,3
Xochimilco,4,0,0,0,0,0,0,0,0,0,4
Durango,1124,232,78,31,35,22,74,29,42,5,892
Canatlan,40,5,3,0,1,1,0,0,0,1,35
Canelas,C,C,0,0,0,0,0,0,0,0,C
Coneto De Comonfort,8,4,0,1,2,1,0,0,3,0,4
Cuencame,28,8,4,3,1,1,0,1,0,0,20
Durango,122,26,13,0,5,2,9,7,3,1,96
General Simon Bolivar,21,4,2,0,1,2,1,0,0,0,17
Gomez Palacio,98,2,0,0,0,0,2,0,0,0,96
Guadalupe Victoria,10,0,0,0,0,0,0,0,0,0,10
Guanacevi,40,12,0,2,0,0,10,0,0,1,28
Hidalgo,18,2,0,0,2,0,1,0,0,0,16
Inde,12,6,0,1,3,0,0,0,5,0,6
Lerdo,31,12,11,0,0,0,3,0,0,0,19
Mapimi,78,11,5,2,0,1,0,2,2,0,67
Mezquital,22,6,0,0,0,6,0,0,0,0,16
Nazas,24,5,4,0,0,0,1,0,1,0,19
Nombre De Dios,19,4,0,1,0,0,2,1,0,1,15
Ocampo,24,5,1,0,1,0,0,1,2,0,19
El Oro,25,7,2,2,1,0,0,0,3,0,18
Otaez,14,5,1,3,0,0,1,0,1,0,9
Panuco De Coronado,17,4,2,1,0,0,1,1,0,0,13
Peñon Blanco,5,2,0,1,0,1,1,1,0,0,3
Poanas,20,2,1,1,1,0,0,0,0,0,18
Pueblo Nuevo,24,20,3,0,3,3,16,7,1,0,4
Rodeo,29,7,4,2,2,1,1,0,3,0,22
San Bernardo,24,1,0,1,0,0,0,0,0,0,23
San Dimas,49,14,0,2,0,1,10,2,3,1,35
San Juan De Guadalupe,21,3,0,1,0,2,0,0,0,0,18
San Juan Del Rio,22,2,1,1,0,0,0,0,0,0,20
San Luis Del Cordero,C,C,0,0,0,0,0,0,0,0,C
San Pedro Del Gallo,11,2,1,1,0,0,0,0,0,0,9
Santa Clara,6,3,1,0,1,0,0,0,2,0,3
Santiago Papasquiaro,62,14,1,1,4,0,6,3,7,0,48
Suchil,10,0,0,0,0,0,0,0,0,0,10
Tamazula,49,7,0,0,0,0,5,0,4,0,42
Tepehuanes,26,8,5,1,0,0,2,1,0,0,18
Tlahualilo,57,5,3,2,1,0,0,1,0,0,52
Topia,15,6,6,1,1,0,1,1,1,0,9
Vicente Guerrero,9,0,0,0,0,0,0,0,0,0,9
Nuevo Ideal,29,8,4,0,5,0,1,0,1,0,21
Guanajuato,1543,185,122,5,24,10,19,13,12,3,1358
Abasolo,47,8,6,0,0,0,2,0,0,0,39
Acambaro,69,14,2,0,5,0,2,1,4,1,55
San Miguel De Allende,61,10,8,0,2,2,0,0,2,0,51
Apaseo el Alto,28,6,4,0,1,1,0,0,0,0,22
Apaseo el Grande,39,8,8,0,0,0,0,0,0,0,31
Atarjea,12,1,1,0,0,0,0,0,0,0,11
Celaya,40,3,3,0,0,0,0,0,0,0,37
Manuel Doblado,33,1,1,0,0,0,0,0,0,0,32
Comonfort,32,2,0,0,0,1,0,1,0,0,30
Coroneo,C,C,0,0,0,0,0,0,0,0,C
Cortazar,23,1,0,0,0,0,1,0,0,0,22
Cueramaro,15,2,1,0,0,0,0,0,1,0,13
Doctor Mora,5,2,2,0,0,0,0,0,0,0,3
Dolores Hidalgo Cuna De la Independencia Nal.,60,3,2,0,0,0,0,1,0,0,57
Guanajuato,29,8,6,0,0,0,0,2,0,0,21
Huanimaro,20,0,0,0,0,0,0,0,0,0,20
Irapuato,80,5,3,0,1,0,0,0,2,0,75
Jaral Del Progreso,15,0,0,0,0,0,0,0,0,0,15
Jerecuaro,42,6,2,0,5,0,0,1,1,0,36
Leon,50,3,2,0,0,0,1,0,0,0,47
Moroleon,8,0,0,0,0,0,0,0,0,0,8
Ocampo,16,5,4,0,0,1,2,0,0,0,11
Penjamo,151,5,3,0,1,1,0,0,0,0,146
Pueblo Nuevo,6,0,0,0,0,0,0,0,0,0,6
Purisima Del Rincon,11,2,1,0,0,0,1,0,0,0,9
Romita,47,6,5,0,0,1,0,0,0,0,41
Salamanca,54,10,8,1,0,0,0,0,1,0,44
Salvatierra,58,6,4,0,1,0,0,1,0,0,52
San Diego De la Union,34,6,5,0,2,0,0,1,0,0,28
San Felipe,81,10,6,2,1,0,3,0,0,1,71
San Francisco Del Rincon,26,4,2,0,0,0,2,0,0,0,22
San Jose Iturbide,3,0,0,0,0,0,0,0,0,0,3
San Luis De la Paz,24,7,6,1,0,1,1,2,0,0,17
Santa Catarina,C,C,0,0,0,0,0,0,0,0,C
Santa Cruz De Juventino Rosas,26,4,2,1,0,0,1,0,0,0,22
Santiago Maravatio,9,0,0,0,0,0,0,0,0,0,9
Silao,64,12,9,0,0,1,1,0,0,1,52
Tarandacuao,3,3,1,0,2,1,0,0,0,0,0
Tarimoro,14,3,2,0,0,0,0,1,0,0,11
Tierra Blanca,3,1,1,0,0,0,0,0,0,0,2
Uriangato,9,3,2,0,0,0,1,0,0,0,6
Valle De Santiago,98,8,6,0,1,0,0,1,1,0,90
Victoria,15,1,0,0,0,0,1,0,0,0,14
Villagran,11,3,3,0,0,0,0,1,0,0,8
Xichu,14,0,0,0,0,0,0,0,0,0,14
Yuriria,53,3,1,0,2,0,0,0,0,0,50
Guerrero,1259,371,126,7,107,141,41,29,60,7,888
Acapulco De Juarez,45,17,9,0,8,1,3,5,4,1,28
Ahuacuotzingo,28,1,0,0,0,1,0,0,0,0,27
Ajuchitlan Del Progreso,39,8,4,0,2,3,1,0,3,0,31
Alcozauca De Guerrero,14,3,2,0,0,1,0,0,0,0,11
Alpoyeca,5,2,2,0,0,0,0,0,0,0,3
Apaxtla,4,1,1,0,0,0,0,0,0,0,3
Arcelia,23,2,1,0,0,1,0,0,0,0,21
Atenango Del Rio,14,2,1,0,0,0,1,0,0,0,12
Atlamajalcingo Del Monte,7,2,0,0,0,2,0,0,0,0,5
Atlixtac,5,3,2,0,0,2,0,0,0,0,2
Atoyac De alvarez,36,3,1,0,3,0,0,0,0,0,33
Ayutla De los Libres,28,10,7,0,1,2,2,0,3,0,18
Azoyu,11,2,1,0,2,0,0,1,0,0,9
Benito Juarez,6,4,2,0,4,1,1,1,1,0,2
Buenavista De Cuellar,7,1,0,0,0,0,0,0,1,0,6
Coahuayutla De Jose Maria Izazaga,35,11,1,0,10,0,0,0,0,1,24
Cocula,16,2,0,2,1,0,0,0,0,0,14
Copala,6,1,0,0,1,0,0,0,0,0,5
Copalillo,9,1,0,0,0,1,0,0,0,0,8
Copanatoyac,8,7,1,0,0,7,0,0,0,0,1
Coyuca De Benitez,32,17,7,0,12,2,0,4,5,0,15
Coyuca De Catalan,56,12,4,1,0,2,5,0,1,0,44
Cuajinicuilapa,11,3,2,0,2,0,0,0,0,0,8
Cualac,C,C,0,0,0,0,0,0,0,0,C
Cuautepec,5,1,0,0,1,1,0,0,0,0,4
Cuetzala Del Progreso,12,1,0,0,1,0,0,0,0,0,11
Cutzamala De Pinzon,33,7,0,0,6,0,0,0,5,0,26
Chilapa De alvarez,45,15,2,0,0,12,2,0,1,0,30
Chilpancingo De los Bravo,31,9,5,0,2,1,4,1,3,0,22
