INEGI. IX Censo Ejidal 2007,,,,,,,,,,,
Total de ejidos y comunidades segun tipo de actividad no agropecuaria ni forestal,,,,,,,,,,,cuadro 19
por entidad federativa y municipio,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_total,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_extraccion_de_materiales_de_construccion,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_extraccion_de_otros_minerales,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_pesquera,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_artesanal,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_industrial,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_turistica,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_acuicola,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_otras_actividades,sin_actividades_de_este_tipo
San Miguel Tlacotepec,C,C,1,0,0,1,0,0,0,0,C
San Miguel Tulancingo,C,C,0,0,0,0,0,0,0,0,C
San Miguel Yotao,C,C,0,0,0,0,0,0,0,0,C
San Nicolas Hidalgo,C,C,0,0,0,0,0,0,0,0,C
San Pablo Coatlan,3,0,0,0,0,0,0,0,0,0,3
San Pablo Cuatro Venados,C,C,0,0,0,0,0,0,0,0,C
San Pablo Etla,3,1,0,0,0,0,1,1,0,0,2
San Pablo Huitzo,C,C,0,0,0,0,0,0,1,0,C
San Pablo Huixtepec,C,C,0,0,0,0,0,0,0,0,C
San Pablo Macuiltianguis,C,C,0,0,0,0,0,1,0,0,C
San Pablo Tijaltepec,C,C,0,0,0,0,0,0,0,0,C
San Pablo Villa De Mitla,6,5,3,0,0,4,0,1,0,0,1
San Pablo Yaganiza,C,C,1,0,0,1,0,1,0,0,C
San Pedro Amuzgos,C,C,0,0,0,1,0,0,0,0,C
San Pedro Apostol,C,C,0,0,0,0,0,0,0,0,C
San Pedro Atoyac,3,1,1,0,0,1,0,0,1,0,2
San Pedro Cajonos,C,C,1,0,0,1,0,0,0,0,C
San Pedro Coxcaltepec Cantaros,C,C,0,0,0,0,0,0,0,0,C
San Pedro Comitancillo,C,C,0,0,0,1,0,0,1,0,C
San Pedro el Alto,C,C,1,0,0,0,0,0,0,0,C
San Pedro Huamelula,4,3,1,0,3,1,0,1,0,0,1
San Pedro Huilotepec,C,C,1,0,1,0,0,0,0,0,C
San Pedro Ixcatlan,8,4,0,0,4,0,0,0,0,0,4
San Pedro Ixtlahuaca,C,C,0,0,0,1,0,0,0,0,C
San Pedro Jaltepetongo,C,C,0,0,0,1,0,0,0,0,C
San Pedro Jicayan,C,C,0,0,0,1,0,0,0,0,C
San Pedro Jocotipac,C,C,0,0,0,1,0,0,0,0,C
San Pedro Juchatengo,C,C,1,0,0,0,0,0,0,1,C
San Pedro Martir,C,C,0,0,0,0,0,0,0,0,C
San Pedro Martir Quiechapa,C,C,0,0,0,0,0,0,0,0,C
San Pedro Martir Yucuxaco,C,C,1,0,0,0,0,0,0,0,C
San Pedro Mixtepec -Dto. 22-,C,C,1,0,1,0,0,1,0,0,C
San Pedro Mixtepec -Dto. 26-,C,C,0,0,0,0,0,0,0,0,C
San Pedro Molinos,C,C,0,0,0,0,0,0,0,0,C
San Pedro Nopala,C,C,0,0,0,0,0,0,0,0,C
San Pedro Ocopetatillo,C,C,0,0,0,0,0,0,0,0,C
San Pedro Ocotepec,C,C,0,0,0,0,0,0,0,0,C
San Pedro Pochutla,C,C,2,0,1,1,0,1,2,1,C
San Pedro Quiatoni,C,C,0,0,0,0,1,0,0,1,C
San Pedro Sochiapam,5,1,0,0,0,0,0,0,1,0,4
San Pedro Tapanatepec,8,1,0,0,1,0,0,0,0,0,7
San Pedro Taviche,C,C,0,0,0,2,0,0,0,0,C
San Pedro Teozacoalco,C,C,0,0,0,0,0,0,0,0,C
San Pedro Teutila,3,1,1,0,0,1,0,0,0,0,2
San Pedro Tidaa,C,C,1,0,0,0,0,0,0,0,C
San Pedro Topiltepec,C,C,0,0,0,0,0,0,0,0,C
San Pedro Totolapa,3,2,2,0,0,0,0,0,0,0,1
Villa De Tututepec De Melchor Ocampo,6,4,4,0,2,0,2,2,0,0,2
San Pedro Yaneri,C,C,0,0,0,1,0,0,0,0,C
San Pedro Yolox,6,1,0,0,0,1,0,0,1,0,5
San Pedro y San Pablo Ayutla,C,C,0,0,0,0,0,0,0,0,C
Villa De Etla,C,C,0,0,0,0,1,0,0,0,C
San Pedro y San Pablo Teposcolula,7,2,2,0,0,1,0,0,0,0,5
San Pedro y San Pablo Tequixtepec,8,7,2,0,0,5,1,0,0,0,1
San Pedro Yucunama,C,C,1,0,0,1,0,0,0,0,C
San Raymundo Jalpan,C,C,0,0,0,0,0,0,0,0,C
San Sebastian Abasolo,C,C,0,0,0,0,0,0,1,1,C
San Sebastian Coatlan,C,C,0,0,0,0,0,0,0,0,C
San Sebastian Ixcapa,7,0,0,0,0,0,0,0,0,0,7
San Sebastian Nicananduta,C,C,0,0,0,1,0,0,0,0,C
San Sebastian Rio Hondo,4,4,0,0,0,4,1,0,0,0,0
San Sebastian Tecomaxtlahuaca,3,2,2,0,0,1,0,1,0,0,1
San Sebastian Teitipac,C,C,0,0,0,1,0,0,0,0,C
San Sebastian Tutla,C,C,0,0,0,0,0,0,0,0,C
San Simon Almolongas,C,C,0,0,0,0,0,0,0,0,C
San Simon Zahuatlan,C,C,0,0,0,1,0,0,0,0,C
Santa Ana,C,C,0,0,0,0,0,0,0,0,C
Santa Ana Cuauhtemoc,C,C,0,0,0,0,0,0,0,0,C
Santa Ana Del Valle,C,C,0,0,0,1,0,1,0,0,C
Santa Ana Tavela,C,C,0,0,0,1,0,0,0,0,C
Santa Ana Tlapacoyan,C,C,1,0,0,0,1,0,0,0,C
Santa Ana Yareni,C,C,0,0,0,0,0,0,0,0,C
Santa Ana Zegache,C,C,0,0,0,0,0,0,0,0,C
Santa Catalina Quieri,C,C,0,0,0,0,0,0,0,0,C
Santa Catarina Cuixtla,C,C,0,0,0,0,0,0,0,0,C
Santa Catarina Ixtepeji,C,C,1,0,0,2,0,2,2,0,C
Santa Catarina Juquila,6,4,1,0,0,4,0,2,0,0,2
Santa Catarina Lachatao,C,C,0,0,1,0,1,1,0,0,C
Santa Catarina Loxicha,C,C,0,0,0,0,0,0,0,0,C
Santa Catarina Mechoacan,C,C,0,0,0,1,0,0,0,0,C
Santa Catarina Minas,C,C,1,0,0,0,0,0,0,0,C
Santa Catarina Quiane,C,C,0,0,0,0,0,0,0,0,C
Santa Catarina Tayata,C,C,1,0,0,0,0,0,0,0,C
Santa Catarina Ticua,C,C,1,0,0,0,0,0,0,0,C
Santa Catarina Yosonotu,C,C,0,0,0,0,0,0,0,0,C
Santa Catarina Zapoquila,3,3,0,0,0,3,0,0,0,0,0
Santa Cruz Amilpas,C,C,0,0,0,0,0,0,0,0,C
Santa Cruz Itundujia,C,C,0,0,0,0,0,0,0,0,C
Santa Cruz Mixtepec,4,2,1,0,1,1,0,0,1,0,2
Santa Cruz Nundaco,C,C,1,0,0,0,1,0,0,0,C
Santa Cruz Papalutla,C,C,0,0,0,1,0,0,0,0,C
Santa Cruz Tacache De Mina,C,C,1,0,0,0,0,0,0,0,C
Santa Cruz Tacahua,C,C,0,0,0,0,0,0,0,0,C
Santa Cruz Tayata,C,C,1,0,0,1,0,1,0,0,C
Santa Cruz Xitla,C,C,0,0,0,1,0,0,0,0,C
Santa Cruz Xoxocotlan,5,1,1,0,0,1,0,0,0,0,4
Santa Cruz Zenzontepec,C,C,1,0,0,1,0,0,1,0,C
Santa Gertrudis,5,4,4,0,0,0,0,0,0,0,1
Santa Ines Del Monte,C,C,0,0,0,0,0,0,0,0,C
Santa Lucia Del Camino,C,C,0,0,0,2,0,0,0,0,C
Santa Lucia Miahuatlan,C,C,0,0,0,0,0,0,0,0,C
Santa Lucia Monteverde,4,3,1,0,0,1,0,0,0,1,1
Santa Lucia Ocotlan,C,C,0,0,0,0,0,0,0,0,C
Santa Maria Alotepec,3,1,1,0,0,0,0,0,0,0,2
Santa Maria Apazco,C,C,0,0,0,1,0,0,0,0,C
Heroica Ciudad De Tlaxiaco,8,5,3,0,0,3,0,2,0,1,3
Ayoquezco De Aldama,C,C,1,0,0,0,0,0,0,0,C
Santa Maria Atzompa,C,C,1,0,0,1,1,0,0,0,C
Santa Maria Camotlan,C,C,0,0,0,0,0,0,0,0,C
Santa Maria Colotepec,C,C,1,0,1,1,0,1,0,0,C
Santa Maria Cortijo,C,C,0,0,0,0,0,0,0,0,C
Santa Maria Coyotepec,C,C,1,0,0,0,0,0,0,0,C
Santa Maria Chachoapam,C,C,1,0,0,1,0,0,0,0,C
Villa De Chilapa De Diaz,4,1,0,0,0,1,0,0,0,0,3
Santa Maria Chilchotla,5,3,2,0,2,0,0,0,2,0,2
Santa Maria Chimalapa,3,1,1,0,0,0,0,0,0,0,2
Santa Maria Del Rosario,C,C,0,0,0,0,0,0,0,0,C
Santa Maria Del Tule,3,2,1,0,0,0,0,0,1,0,1
Santa Maria Ecatepec,9,4,2,0,0,1,2,0,0,0,5
Santa Maria Guelace,C,C,0,0,0,0,0,0,0,0,C
Santa Maria Guienagati,C,C,0,0,0,0,0,0,0,0,C
Santa Maria Huatulco,C,C,1,0,1,1,0,1,0,1,C
Santa Maria Huazolotitlan,6,2,1,0,1,1,0,0,0,0,4
Santa Maria Ipalapa,3,3,3,0,1,1,0,0,0,0,0
Santa Maria Ixcatlan,C,C,1,0,0,1,0,1,0,0,C
Santa Maria Jacatepec,15,3,0,0,0,2,0,1,0,0,12
Santa Maria Jalapa Del Marques,C,C,0,0,1,0,0,0,0,0,C
Santa Maria Jaltianguis,C,C,1,1,0,0,1,1,1,0,C
Santa Maria Mixtequilla,C,C,1,0,0,0,0,0,0,0,C
Santa Maria Nativitas,C,C,1,0,0,1,0,0,0,0,C
Santa Maria Nduayaco,3,0,0,0,0,0,0,0,0,0,3
Santa Maria Papalo,C,C,0,0,0,0,0,0,0,0,C
Santa Maria Peñoles,4,0,0,0,0,0,0,0,0,0,4
Santa Maria Petapa,C,C,0,0,0,0,0,0,0,0,C
Santa Maria Quiegolani,C,C,1,0,0,1,0,0,0,0,C
Santa Maria Sola,4,0,0,0,0,0,0,0,0,0,4
Santa Maria Tataltepec,C,C,1,0,0,1,0,0,0,0,C
Santa Maria Tecomavaca,C,C,1,0,0,0,0,0,0,0,C
Santa Maria Temaxcalapa,C,C,1,0,0,0,0,0,0,0,C
Santa Maria Temaxcaltepec,C,C,0,0,0,0,0,0,0,0,C
Santa Maria Teopoxco,C,C,0,0,0,0,0,0,0,0,C
Santa Maria Tepantlali,C,C,1,0,0,0,0,0,0,0,C
Santa Maria Texcatitlan,C,C,0,0,0,1,0,0,0,0,C
Santa Maria Tlahuitoltepec,C,C,1,0,0,1,1,0,1,0,C
Santa Maria Tlalixtac,C,C,1,0,0,1,1,0,0,0,C
Santa Maria Tonameca,C,C,2,1,0,1,1,1,1,1,C
Santa Maria Totolapilla,C,C,0,0,0,0,0,0,0,0,C
Santa Maria Yalina,C,C,0,0,0,0,0,0,0,0,C
Santa Maria Yolotepec,C,C,0,0,0,0,0,0,0,0,C
Santa Maria Yosoyua,C,C,0,0,0,0,0,0,0,0,C
Santa Maria Yucuhiti,C,C,0,0,0,2,0,0,0,0,C
Santa Maria Zacatepec,C,C,1,0,0,1,0,0,0,0,C
Santa Maria Zaniza,C,C,0,0,0,0,0,0,0,0,C
Santa Maria Zoquitlan,C,C,1,0,0,1,1,0,0,0,C
Santiago Amoltepec,C,C,0,0,0,0,0,0,0,0,C
Santiago Apoala,C,C,1,0,0,1,0,1,1,0,C
Santiago Astata,C,C,1,0,1,0,0,0,0,0,C
Santiago Atitlan,C,C,0,0,1,1,0,0,1,0,C
Santiago Ayuquililla,C,C,0,0,0,1,0,0,0,0,C
Santiago Cacaloxtepec,C,C,1,0,0,1,0,0,0,0,C
Santiago Camotlan,4,2,2,0,0,1,0,0,0,0,2
Santiago Comaltepec,C,C,0,0,0,1,0,0,0,0,C
Santiago Chazumba,10,6,3,0,0,4,0,2,0,0,4
Santiago Choapam,6,0,0,0,0,0,0,0,0,0,6
Santiago Del Rio,C,C,0,0,0,0,0,0,0,0,C
Santiago Huajolotitlan,7,3,1,0,0,2,0,0,0,0,4
Santiago Huauclilla,4,0,0,0,0,0,0,0,0,0,4
Santiago Ihuitlan Plumas,C,C,0,0,0,0,0,0,0,0,C
Santiago Ixcuintepec,C,C,0,0,0,0,0,0,0,0,C
Santiago Ixtayutla,7,0,0,0,0,0,0,0,0,0,7
Santiago Jamiltepec,6,2,1,0,1,2,0,0,0,0,4
Santiago Jocotepec,23,8,4,0,1,8,0,0,0,0,15
Santiago Juxtlahuaca,10,7,4,0,0,3,0,2,0,0,3
Santiago Lachiguiri,C,C,0,0,0,0,0,0,0,0,C
Santiago Lalopa,C,C,1,0,0,1,1,0,1,0,C
Santiago Laollaga,C,C,1,0,0,0,0,2,0,0,C
Santiago Laxopa,3,3,2,0,0,2,0,0,0,0,0
Santiago Llano Grande,3,1,1,0,0,0,1,0,0,0,2
Santiago Matatlan,3,2,0,0,0,0,2,0,0,0,1
Santiago Minas,C,C,0,0,0,0,0,0,0,0,C
Santiago Nacaltepec,5,1,0,0,0,1,0,0,0,0,4
Santiago Nejapilla,C,C,0,0,0,0,0,0,0,0,C
Santiago Nundiche,C,C,0,0,0,1,0,0,0,0,C
Santiago Nuyoo,3,1,0,0,0,1,0,0,0,0,2
Santiago Pinotepa Nacional,23,12,6,3,7,4,0,2,3,2,11
Santiago Suchilquitongo,6,2,1,0,0,1,0,0,1,0,4
Santiago Tamazola,4,1,0,0,0,1,0,0,0,0,3
Santiago Tapextla,3,2,2,0,0,0,0,0,0,0,1
Villa Tejupam De la Union,C,C,1,0,0,0,0,0,0,0,C
Santiago Tenango,C,C,0,0,0,1,0,0,0,0,C
Santiago Tepetlapa,C,C,0,0,0,0,0,0,0,0,C
Santiago Tetepec,6,0,0,0,0,0,0,0,0,0,6
Santiago Texcalcingo,C,C,0,0,0,0,0,0,0,0,C
Santiago Textitlan,C,C,1,0,1,1,1,0,0,0,C
Santiago Tilantongo,C,C,1,0,0,0,0,0,0,0,C
Santiago Tillo,C,C,0,0,0,0,0,0,0,0,C
Santiago Tlazoyaltepec,C,C,0,0,0,0,0,0,0,0,C
Santiago Xanica,C,C,0,0,0,0,0,0,0,0,C
Santiago Xiacui,3,2,0,0,0,2,1,0,0,0,1
Santiago Yaitepec,C,C,0,0,0,0,0,0,0,0,C
Santiago Yaveo,8,1,0,0,0,1,0,0,0,0,7
Santiago Yosondua,4,3,2,0,0,2,0,0,0,0,1
Santiago Yucuyachi,C,C,0,0,0,0,0,0,0,0,C
Santiago Zacatepec,3,0,0,0,0,0,0,0,0,0,3
Santiago Zoochila,C,C,0,0,0,0,0,0,0,0,C
Nuevo Zoquiapam,C,C,1,0,0,0,0,1,1,0,C
Santo Domingo Ingenio,C,C,0,0,0,0,0,0,0,0,C
Santo Domingo Albarradas,C,C,0,0,0,1,0,0,1,0,C
Santo Domingo Armenta,C,C,0,0,0,0,0,0,0,0,C
Santo Domingo Chihuitan,C,C,1,0,0,0,0,0,0,0,C
Santo Domingo De Morelos,C,C,0,0,0,0,0,0,0,0,C
Santo Domingo Ixcatlan,C,C,1,0,0,1,1,0,0,0,C
Santo Domingo Nuxaa,C,C,0,0,0,0,0,0,0,0,C
Santo Domingo Ozolotepec,C,C,0,0,0,0,0,0,0,0,C
Santo Domingo Petapa,C,C,0,0,0,0,0,0,0,0,C
Santo Domingo Roayaga,C,C,1,0,0,0,0,0,0,0,C
Santo Domingo Tehuantepec,17,9,7,0,4,1,1,2,2,0,8
Santo Domingo Teojomulco,C,C,1,0,0,0,0,0,0,1,C
Santo Domingo Tepuxtepec,C,C,0,0,0,1,0,0,0,0,C
Santo Domingo Tlatayapam,C,C,1,0,0,0,0,0,0,0,C
Santo Domingo Tomaltepec,C,C,0,0,0,0,0,0,0,0,C
Santo Domingo Tonala,4,0,0,0,0,0,0,0,0,0,4
Santo Domingo Tonaltepec,C,C,0,0,0,0,0,0,0,0,C
Santo Domingo Xagacia,C,C,0,0,0,1,0,0,0,0,C
Santo Domingo Yanhuitlan,C,C,0,0,0,0,0,1,0,0,C
Santo Domingo Zanatepec,6,3,0,0,3,0,0,0,1,0,3
Santos Reyes Nopala,4,3,3,0,1,1,0,0,2,0,1
Santos Reyes Papalo,C,C,1,1,0,1,0,0,0,0,C
Santos Reyes Tepejillo,C,C,0,0,0,0,0,0,0,0,C
Santos Reyes Yucuna,C,C,0,0,0,1,0,0,0,0,C
Santo Tomas Jalieza,5,3,0,0,0,3,0,0,0,0,2
Santo Tomas Mazaltepec,C,C,1,0,0,0,0,1,0,0,C
Santo Tomas Ocotepec,C,C,0,0,0,1,0,0,0,0,C
San Vicente Coatlan,C,C,0,0,0,0,0,0,0,0,C
San Vicente Lachixio,C,C,0,0,0,0,1,0,0,0,C
San Vicente Nuñu,C,C,0,0,0,0,0,0,0,0,C
Silacayoapam,9,4,1,0,0,4,0,0,0,0,5
Soledad Etla,C,C,1,0,0,0,0,0,0,0,C
Villa De Tamazulapam Del Progreso,C,C,0,0,0,0,0,0,0,0,C
Tanetze De Zaragoza,C,C,1,0,0,2,1,0,0,0,C
Taniche,C,C,0,0,0,0,0,0,0,0,C
Tataltepec De Valdes,C,C,1,0,0,0,0,0,0,0,C
Teococuilco De Marcos Perez,C,C,0,0,0,0,0,1,0,0,C
Teotitlan De Flores Magon,C,C,1,1,0,0,0,0,0,0,C
Teotitlan Del Valle,C,C,0,0,0,1,0,1,0,1,C
Teotongo,C,C,0,0,0,0,0,0,0,0,C
Tepelmeme Villa De Morelos,C,C,1,0,0,0,0,0,0,0,C
Tezoatlan De Segura y Luna,9,8,1,0,0,7,0,0,0,0,1
San Jeronimo Tlacochahuaya,3,0,0,0,0,0,0,0,0,0,3
Tlacolula De Matamoros,6,3,2,0,0,2,0,1,0,0,3
Tlacotepec Plumas,C,C,0,0,0,0,0,0,0,0,C
Tlalixtac De Cabrera,C,C,0,0,0,0,0,0,0,0,C
Totontepec Villa De Morelos,11,2,1,0,1,0,0,1,0,0,9
Trinidad Zaachila,5,0,0,0,0,0,0,0,0,0,5
La Trinidad Vista Hermosa,C,C,0,0,0,0,0,0,0,0,C
Valerio Trujano,C,C,1,0,0,0,0,0,0,0,C
San Juan Bautista Valle Nacional,24,6,1,0,0,2,1,2,2,0,18
Villa Diaz Ordaz,3,3,2,0,1,2,0,1,0,0,0
Yaxe,C,C,0,0,0,1,0,0,0,0,C
Magdalena Yodocono De Porfirio Diaz,C,C,0,0,0,0,0,0,0,0,C
Yogana,C,C,1,0,0,0,0,0,0,0,C
Yutanduchi De Guerrero,C,C,1,0,0,1,0,0,0,0,C
Villa De Zaachila,3,0,0,0,0,0,0,0,0,0,3
Zapotitlan Del Rio,C,C,1,0,2,0,0,0,1,0,C
Zapotitlan Lagunas,C,C,0,0,0,0,0,0,0,0,C
Zapotitlan Palmas,C,C,2,0,0,2,0,0,1,0,C
Santa Ines De Zaragoza,C,C,0,0,0,0,0,0,0,0,C
Zimatlan De alvarez,8,4,3,0,0,0,2,0,0,0,4
Puebla,1194,229,113,6,23,66,21,26,30,7,965
Acajete,8,0,0,0,0,0,0,0,0,0,8
Acateno,4,1,0,0,1,0,0,0,0,0,3
Acatlan,16,0,0,0,0,0,0,0,0,0,16
Acatzingo,9,1,0,0,0,0,0,1,0,0,8
Acteopan,C,C,1,0,0,1,0,0,0,0,C
Ahuacatlan,C,C,0,0,0,0,0,0,0,0,C
Ahuatlan,C,C,0,0,0,0,0,0,0,0,C
Ahuazotepec,6,3,1,0,1,0,0,0,2,0,3
Ahuehuetitla,3,0,0,0,0,0,0,0,0,0,3
Ajalpan,10,3,1,0,0,1,0,0,1,0,7
Albino Zertuche,C,C,0,0,0,0,0,0,0,0,C
Aljojuca,4,0,0,0,0,0,0,0,0,0,4
Altepexi,C,C,0,0,0,0,0,0,0,0,C
Amixtlan,C,C,0,0,0,0,0,0,0,0,C
Amozoc,7,1,1,0,0,0,0,0,0,0,6
Aquixtla,5,0,0,0,0,0,0,0,0,0,5
Atexcal,9,2,0,0,0,2,0,0,0,0,7
Atlixco,29,4,1,0,0,0,1,1,1,1,25
Atoyatempan,C,C,0,0,0,0,0,0,0,0,C
Atzala,C,C,1,0,0,0,0,0,0,0,C
Atzitzihuacan,9,1,0,0,0,1,0,0,0,0,8
Atzitzintla,5,1,1,0,0,0,0,0,0,0,4
Axutla,C,C,0,0,0,0,0,0,0,0,C
Ayotoxco De Guerrero,3,2,2,0,2,0,0,1,0,0,1
Calpan,3,0,0,0,0,0,0,0,0,0,3
Caltepec,9,5,1,0,0,4,1,0,0,0,4
Camocuautla,C,C,0,0,0,0,0,0,0,0,C
Caxhuacan,C,C,0,0,0,0,0,0,0,0,C
Coatzingo,C,C,0,0,0,0,0,0,0,0,C
Cohetzala,3,2,2,0,1,0,0,0,0,0,1
Cohuecan,C,C,0,0,0,0,1,0,0,0,C
Coronango,3,1,0,0,0,1,0,0,0,0,2
Coxcatlan,9,2,1,0,0,0,0,0,1,0,7
Coyomeapan,3,0,0,0,0,0,0,0,0,0,3
Coyotepec,4,0,0,0,0,0,0,0,0,0,4
Cuapiaxtla De Madero,C,C,0,0,0,0,0,0,0,0,C
Cuautempan,C,C,0,0,0,0,0,0,1,0,C
Cuautinchan,7,0,0,0,0,0,0,0,0,0,7
Cuautlancingo,3,1,0,0,0,0,1,0,0,0,2
Cuayuca De Andrade,5,0,0,0,0,0,0,0,0,0,5
Cuetzalan Del Progreso,C,C,0,0,0,1,0,0,0,0,C
Cuyoaco,11,1,1,1,0,0,0,0,0,0,10
Chalchicomula De Sesma,24,4,1,0,0,0,2,1,0,0,20
Chapulco,C,C,1,0,0,0,0,0,0,0,C
Chiautla,6,1,1,0,0,0,0,0,0,0,5
Chiautzingo,5,0,0,0,0,0,0,0,0,0,5
Chiconcuautla,C,C,1,0,0,0,0,0,0,0,C
Chietla,21,7,5,0,0,0,1,1,1,0,14
Chignahuapan,45,15,11,1,2,3,0,1,1,0,30
Chignautla,C,C,0,0,0,0,0,0,0,0,C
Chila,4,0,0,0,0,0,0,0,0,0,4
Chila De la Sal,C,C,0,0,0,0,0,0,0,0,C
Honey,C,C,0,0,0,0,0,0,0,0,C
Chilchotla,C,C,0,0,0,0,0,1,1,0,C
Chinantla,3,0,0,0,0,0,0,0,0,0,3
Domingo Arenas,C,C,0,0,0,0,0,0,0,0,C
Eloxochitlan,C,C,0,0,0,0,0,0,1,0,C
Epatlan,4,1,0,0,1,0,0,1,1,0,3
Esperanza,9,0,0,0,0,0,0,0,0,0,9
Francisco Z. Mena,21,0,0,0,0,0,0,0,0,0,21
General Felipe angeles,5,0,0,0,0,0,0,0,0,0,5
Guadalupe,3,0,0,0,0,0,0,0,0,0,3
Guadalupe Victoria,10,1,1,0,0,0,0,0,0,0,9
Huaquechula,26,4,2,0,1,0,1,0,0,0,22
Huatlatlauca,8,4,1,0,0,4,0,0,0,0,4
Huauchinango,4,0,0,0,0,0,0,0,0,0,4
Huehuetlan el Chico,4,0,0,0,0,0,0,0,0,0,4
Huejotzingo,11,2,1,0,0,1,0,0,1,0,9
Hueytamalco,9,3,2,0,1,0,0,0,1,0,6
Hueytlalpan,C,C,0,0,0,0,0,0,0,0,C
Huitzilan De Serdan,C,C,1,0,0,1,0,0,0,0,C
Ixcamilpa De Guerrero,4,1,0,0,0,1,0,0,0,0,3
Ixcaquixtla,7,0,0,0,0,0,0,0,0,0,7
Ixtacamaxtitlan,24,1,0,0,0,1,0,0,0,0,23
Izucar De Matamoros,26,5,3,0,1,0,0,1,0,0,21
Jalpan,7,0,0,0,0,0,0,0,0,0,7
Jolalpan,9,5,1,2,1,1,0,1,0,0,4
Jonotla,4,1,1,0,0,0,0,0,0,0,3
Jopala,C,C,0,0,0,0,0,0,0,0,C
Juan C. Bonilla,C,C,1,0,0,0,0,0,0,0,C
Juan N. Mendez,3,2,0,0,0,2,0,0,0,0,1
Lafragua,7,0,0,0,0,0,0,0,0,0,7
Libres,6,3,0,0,0,2,0,0,0,1,3
La Magdalena Tlatlauquitepec,C,C,1,0,0,1,0,0,0,1,C
Mazapiltepec De Juarez,3,0,0,0,0,0,0,0,0,0,3
Mixtla,C,C,0,0,0,0,0,0,0,0,C
Molcaxac,9,0,0,0,0,0,0,0,0,0,9
Cañada Morelos,5,2,2,0,0,0,0,0,0,0,3
Nicolas Bravo,C,C,1,0,0,0,0,0,0,0,C
Nopalucan,6,0,0,0,0,0,0,0,0,0,6
Ocotepec,C,C,0,0,0,0,0,0,0,0,C
Ocoyucan,11,5,4,0,0,1,0,0,0,0,6
Olintla,C,C,0,0,0,0,0,0,0,0,C
Oriental,7,1,1,0,0,0,0,0,0,0,6
Pahuatlan,C,C,0,0,0,0,0,0,0,0,C
Palmar De Bravo,14,2,1,0,0,0,0,1,0,0,12
Pantepec,16,0,0,0,0,0,0,0,0,0,16
Petlalcingo,8,2,0,0,0,2,0,0,0,0,6
Piaxtla,5,1,0,0,0,0,1,0,0,0,4
Puebla,20,4,3,0,1,0,1,0,1,0,16
Quecholac,12,0,0,0,0,0,0,0,0,0,12
Rafael Lara Grajales,C,C,0,0,0,0,0,0,0,0,C
Los Reyes De Juarez,3,0,0,0,0,0,0,0,0,0,3
San Andres Cholula,6,0,0,0,0,0,0,0,0,0,6
San Antonio Cañada,C,C,2,0,0,1,0,0,0,0,C
San Diego la Mesa Tochimiltzingo,4,1,0,0,0,0,1,0,0,0,3
San Felipe Teotlalcingo,3,0,0,0,0,0,0,0,0,0,3
San Gabriel Chilac,4,1,1,0,0,0,0,0,0,0,3
San Jeronimo Tecuanipan,3,1,1,0,0,0,0,0,0,0,2
San Jeronimo Xayacatlan,3,2,0,0,0,2,0,0,0,0,1
San Jose Chiapa,7,0,0,0,0,0,0,0,0,0,7
San Jose Miahuatlan,8,5,4,0,0,3,0,0,0,0,3
San Juan Atenco,5,0,0,0,0,0,0,0,0,0,5
San Martin Texmelucan,11,0,0,0,0,0,0,0,0,0,11
San Martin Totoltepec,C,C,0,0,1,0,0,1,1,0,C
San Matias Tlalancaleca,3,0,0,0,0,0,0,0,0,0,3
San Miguel Xoxtla,C,C,0,0,0,0,0,0,0,0,C
San Nicolas Buenos Aires,7,2,1,0,0,0,1,0,0,0,5
San Nicolas De los Ranchos,3,0,0,0,0,0,0,0,0,0,3
San Pablo Anicano,6,0,0,0,0,0,0,0,0,0,6
San Pedro Cholula,3,0,0,0,0,0,0,0,0,0,3
San Pedro Yeloixtlahuaca,C,C,0,0,0,1,1,0,0,0,C
San Salvador el Seco,4,2,0,0,0,2,0,0,0,0,2
San Salvador el Verde,8,2,0,0,0,0,0,0,2,0,6
San Salvador Huixcolotla,C,C,0,0,0,0,0,0,0,0,C
San Sebastian Tlacotepec,C,C,0,0,0,0,0,0,0,0,C
Santa Catarina Tlaltempan,C,C,0,0,0,1,0,0,0,0,C
Santa Ines Ahuatempan,C,C,0,0,0,0,0,0,0,0,C
Santa Isabel Cholula,4,0,0,0,0,0,0,0,0,0,4
Santiago Miahuatlan,3,2,2,0,0,0,1,0,0,0,1
Huehuetlan el Grande,13,4,2,0,0,2,0,1,0,0,9
Santo Tomas Hueyotlipan,C,C,0,0,0,1,0,1,1,0,C
Soltepec,7,0,0,0,0,0,0,0,0,0,7
Tecali De Herrera,12,1,1,0,0,0,0,0,0,0,11
