INEGI. IX Censo Ejidal 2007,,,,,,,,,,
Ejidos y comunidades con maquinaria para uso agropecuario o forestal de su propiedad,,,,,,,,,,cuadro 30
"segun tipo, cantidad y funcionamiento por entidad federativa y municipio",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_maquinaria_para_uso_agropecuario_o_forestal,ejidos_y_comunidades_con_trilladoras,ejidos_y_comunidades_con_trilladoras_cantidad_total,ejidos_y_comunidades_con_trilladoras_en_funcionamiento,ejidos_y_comunidades_con_motogruas,ejidos_y_comunidades_con_motogruas_cantidad_total,ejidos_y_comunidades_con_motogruas_en_funcionamiento,ejidos_y_comunidades_con_otra_maquinaria_agropecuaria_o_forestal,ejidos_y_comunidades_con_otra_maquinaria_agropecuaria_o_forestal_cantidad_total,ejidos_y_comunidades_con_otra_maquinaria_agropecuaria_o_forestal_en_funcionamiento
Pajacuaran,1,1,1,0,0,0,0,0,0,0
Paracho,2,1,1,1,1,1,1,2,2,2
Penjamillo,1,0,0,0,0,0,0,1,2,2
Puruandiro,1,0,0,0,0,0,0,1,1,1
Quiroga,2,0,0,0,0,0,0,2,2,2
Salvador Escalante,2,0,0,0,0,0,0,2,2,2
Tacambaro,2,0,0,0,0,0,0,2,3,3
Tangancicuaro,2,0,0,0,0,0,0,2,3,3
Taretan,4,0,0,0,0,0,0,4,5,5
Tingambato,1,1,1,1,1,1,0,1,2,1
Uruapan,2,0,0,0,1,1,1,1,1,1
Yurecuaro,1,1,1,0,0,0,0,0,0,0
Zamora,2,0,0,0,0,0,0,2,5,5
Zinapecuaro,1,0,0,0,0,0,0,1,1,1
Zitacuaro,1,0,0,0,0,0,0,1,1,1
Morelos,9,1,1,1,0,0,0,8,12,9
Atlatlahucan,1,0,0,0,0,0,0,1,1,1
Axochiapan,1,0,0,0,0,0,0,1,1,0
Ayala,1,0,0,0,0,0,0,1,1,1
Jojutla,1,0,0,0,0,0,0,1,1,1
Puente de Ixtla,1,1,1,1,0,0,0,0,0,0
Tetela del Volcan,1,0,0,0,0,0,0,1,1,1
Tlaquiltenango,1,0,0,0,0,0,0,1,5,4
Zacualpan de Amilpas,2,0,0,0,0,0,0,2,2,1
Nayarit,25,3,3,3,3,5,5,22,32,30
Compostela,3,1,1,1,0,0,0,3,3,3
Huajicori,3,0,0,0,2,4,4,3,3,3
Xalisco,2,0,0,0,0,0,0,2,6,6
Del Nayar,4,0,0,0,1,1,1,3,3,3
Rosamorada,3,2,2,2,0,0,0,1,1,1
San Blas,3,0,0,0,0,0,0,3,5,4
