INEGI. IX Censo Ejidal 2007,,,,,
Ejidos y comunidades sin permanencia de la mayoria de los jovenes,,,,,cuadro 17
segun lugar de destino por entidad federativa y municipio,,,,,
,,,,,
,,,,,
,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_sin_permanencia_de_la_mayoria_de_los_jovenes,lugar_de_destino_dentro_del_pais_areas_urbanas,lugar_de_destino_dentro_del_pais_areas rurales,lugar_de_destino_fuera_del_pais_a_estados_unidos,lugar_de_destino_fuera_del_pais_a_otro_pais
El Grullo,5,0,1,4,0
Guachinango,10,0,0,10,0
Guadalajara,1,1,0,0,0
Hostotipaquillo,6,0,0,6,0
Huejucar,4,0,0,4,0
Huejuquilla el Alto,2,0,0,2,0
La Huerta,21,1,0,20,0
Ixtlahuacan de los Membrillos,2,0,0,2,0
Ixtlahuacan del Rio,9,0,0,9,0
Jalostotitlan,1,0,0,1,0
Jamay,2,0,0,2,0
Jesus Maria,2,0,0,2,0
Jilotlan de los Dolores,19,0,0,19,0
Jocotepec,4,0,0,4,0
Juanacatlan,2,1,0,1,0
Juchitlan,6,0,0,6,0
Lagos de Moreno,36,0,1,35,0
El Limon,5,0,0,5,0
Magdalena,5,0,0,5,0
Santa Maria del Oro,4,0,0,4,0
La Manzanilla de la Paz,8,0,0,8,0
Mascota,10,0,0,9,1
Mazamitla,9,0,0,9,0
Mexticacan,3,0,0,3,0
Mezquitic,2,0,0,2,0
Mixtlan,4,0,0,4,0
Ocotlan,6,0,0,6,0
Ojuelos de Jalisco,9,1,0,8,0
Pihuamo,11,0,0,11,0
Poncitlan,3,0,0,3,0
Puerto Vallarta,3,0,2,1,0
Villa Purificacion,11,0,0,11,0
Quitupan,21,0,0,21,0
El Salto,2,0,0,2,0
San Cristobal de la Barranca,1,0,0,1,0
San Diego de Alejandria,0,0,0,0,0
San Juan de los Lagos,3,0,0,3,0
San Marcos,3,0,0,3,0
San Martin Hidalgo,13,0,0,13,0
San Miguel el Alto,1,0,0,1,0
Gomez Farias,4,0,0,4,0
San Sebastian del Oeste,16,1,0,15,0
Santa Maria de los angeles,9,0,0,9,0
Sayula,4,1,1,2,0
Tala,5,0,0,5,0
Talpa de Allende,13,8,0,5,0
Tamazula de Gordiano,29,0,0,29,0
Tapalpa,2,0,1,1,0
Tecalitlan,11,2,0,9,0
Tecolotlan,17,0,0,17,0
Techaluta de Montenegro,1,0,0,1,0
Tenamaxtlan,11,0,0,11,0
Teocaltiche,6,0,0,6,0
Teocuitatlan de Corona,15,0,0,15,0
Tepatitlan de Morelos,2,0,2,0,0
Tequila,4,0,0,4,0
Teuchitlan,1,0,0,1,0
Tizapan el Alto,4,1,0,3,0
Tlajomulco de Zuñiga,0,0,0,0,0
Tlaquepaque,0,0,0,0,0
Toliman,7,2,1,4,0
Tomatlan,16,2,1,13,0
Tonala,1,1,0,0,0
Tonaya,2,0,0,2,0
Tonila,5,2,0,3,0
Tototlan,21,0,0,21,0
Tuxcacuesco,7,0,0,7,0
Tuxcueca,4,0,0,4,0
Tuxpan,8,0,0,8,0
Union de San Antonio,4,0,0,4,0
Union de Tula,11,1,0,10,0
Valle de Guadalupe,1,0,0,1,0
Valle de Juarez,9,0,0,9,0
San Gabriel,15,0,1,14,0
Villa Corona,5,0,0,5,0
Villa Guerrero,1,0,0,1,0
Villa Hidalgo,2,1,0,1,0
Cañadas de Obregon,1,0,0,1,0
Yahualica de Gonzalez Gallo,2,0,1,1,0
Zacoalco de Torres,7,0,0,7,0
Zapopan,8,2,0,6,0
Zapotiltic,8,1,1,6,0
Zapotitlan de Vadillo,1,0,0,1,0
Zapotlan del Rey,10,0,1,9,0
Zapotlanejo,9,0,0,9,0
Mexico,286,101,6,179,0
Acambay,11,2,0,9,0
Acolman,1,1,0,0,0
Aculco,8,2,0,6,0
Almoloya de Alquisiras,9,0,0,9,0
Almoloya de Juarez,3,1,0,2,0
Almoloya del Rio,0,0,0,0,0
Amanalco,6,1,1,4,0
Amatepec,16,0,0,16,0
Amecameca,1,0,0,1,0
Apaxco,0,0,0,0,0
Atenco,0,0,0,0,0
Atizapan,0,0,0,0,0
Atizapan de Zaragoza,0,0,0,0,0
Atlacomulco,4,1,0,3,0
Atlautla,0,0,0,0,0
Axapusco,2,1,0,1,0
