INEGI. IX Censo Ejidal 2007,,,,,,
Ejidos y comunidades con permanencia de la mayoria de los jovenes segun,,,,,,cuadro 16
actividad a la que se integran por entidad federativa y municipio,,,,,,
,,,,,,
,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_permanencia_de_la mayoria_de_los_jovenes,ejidos_y_comunidades_segun_actividad_a_la_que_se_integran_agropecuarias_o_forestales,ejidos_y_comunidades_segun_actividad_a_la_que_se_integran_comerciales,ejidos_y_comunidades_segun_actividad_a_la_que_se_integran_artesanales,ejidos_y_comunidades_segun_actividad_a_la_que_se_integran_otras,no_se_integran_a_las_actividades
Ignacio Zaragoza,0,0,0,0,0,0
Janos,6,3,0,0,0,3
Jimenez,30,21,0,0,1,8
Juarez,10,5,0,0,0,5
Julimes,4,1,0,0,0,3
Lopez,6,5,0,1,0,0
Madera,10,7,0,0,1,2
Maguarichi,3,1,0,0,0,2
Manuel Benavides,8,8,0,0,0,0
Matachi,0,0,0,0,0,0
Matamoros,7,6,0,0,0,1
Meoqui,3,0,0,0,0,3
Morelos,9,7,0,0,0,2
Moris,10,5,0,0,0,5
Namiquipa,4,4,0,0,0,0
Nonoava,2,2,0,0,0,0
Nuevo Casas Grandes,1,0,0,0,0,1
Ocampo,16,13,0,0,0,3
Ojinaga,25,9,0,0,0,16
Praxedis G. Guerrero,5,0,0,0,0,5
Riva Palacio,3,0,0,0,0,3
Rosales,8,0,0,0,0,8
Rosario,3,2,0,0,0,1
San Francisco de Borja,2,2,0,0,0,0
San Francisco de Conchos,6,1,0,0,0,5
San Francisco del Oro,2,0,0,0,0,2
Santa Barbara,5,3,0,0,0,2
Satevo,0,0,0,0,0,0
Saucillo,5,3,0,0,0,2
Temosachi,7,6,0,0,0,1
El Tule,2,1,0,0,0,1
Urique,16,13,0,0,0,3
Uruachi,18,7,0,0,1,10
Valle de Zaragoza,1,1,0,0,0,0
Distrito Federal,32,12,1,0,1,18
Cuajimalpa de Morelos,3,2,0,0,0,1
La Magdalena Contreras,3,2,0,0,1,0
Milpa Alta,8,3,1,0,0,4
alvaro Obregon,2,1,0,0,0,1
Tlahuac,3,1,0,0,0,2
Tlalpan,10,3,0,0,0,7
Xochimilco,3,0,0,0,0,3
Durango,649,380,4,0,10,255
Canatlan,19,13,0,0,0,6
Canelas,3,2,0,0,0,1
Coneto de Comonfort,3,3,0,0,0,0
Cuencame,20,10,0,0,0,10
Durango,82,44,0,0,0,38
General Simon Bolivar,7,5,0,0,0,2
Gomez Palacio,94,6,0,0,5,83
Guadalupe Victoria,1,0,0,0,0,1
Guanacevi,30,22,0,0,0,8
Hidalgo,3,3,0,0,0,0
Inde,1,1,0,0,0,0
Lerdo,29,6,1,0,2,20
Mapimi,31,25,0,0,0,6
Mezquital,12,10,0,0,1,1
Nazas,8,3,0,0,0,5
Nombre de Dios,2,2,0,0,0,0
Ocampo,9,6,0,0,0,3
El Oro,12,11,0,0,0,1
Otaez,7,5,0,0,0,2
Panuco de Coronado,9,7,0,0,0,2
Peñon Blanco,3,3,0,0,0,0
Poanas,8,6,0,0,0,2
Pueblo Nuevo,22,19,0,0,0,3
Rodeo,4,1,1,0,0,2
San Bernardo,2,2,0,0,0,0
San Dimas,41,31,0,0,0,10
San Juan de Guadalupe,9,6,0,0,0,3
San Juan del Rio,10,7,0,0,0,3
San Luis del Cordero,0,0,0,0,0,0
San Pedro del Gallo,2,2,0,0,0,0
Santa Clara,6,6,0,0,0,0
Santiago Papasquiaro,36,31,1,0,0,4
Suchil,2,1,0,0,0,1
Tamazula,44,41,0,0,0,3
Tepehuanes,7,7,0,0,0,0
Tlahualilo,52,17,0,0,2,33
Topia,14,12,0,0,0,2
Vicente Guerrero,0,0,0,0,0,0
Nuevo Ideal,5,4,1,0,0,0
Guanajuato,591,242,6,0,6,337
Abasolo,7,4,0,0,1,2
Acambaro,10,6,0,0,0,4
San Miguel de Allende,20,10,0,0,0,10
Apaseo el Alto,9,1,0,0,0,8
Apaseo el Grande,18,4,0,0,0,14
Atarjea,6,6,0,0,0,0
Celaya,25,11,0,0,0,14
Manuel Doblado,4,2,0,0,0,2
Comonfort,16,12,0,0,0,4
Coroneo,0,0,0,0,0,0
Cortazar,8,4,0,0,0,4
