INEGI. IX Censo Ejidal 2007,,,,,,
Ejidos y comunidades con permanencia de la mayoria de los jovenes segun,,,,,,cuadro 16
actividad a la que se integran por entidad federativa y municipio,,,,,,
,,,,,,
,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_permanencia_de_la mayoria_de_los_jovenes,ejidos_y_comunidades_segun_actividad_a_la_que_se_integran_agropecuarias_o_forestales,ejidos_y_comunidades_segun_actividad_a_la_que_se_integran_comerciales,ejidos_y_comunidades_segun_actividad_a_la_que_se_integran_artesanales,ejidos_y_comunidades_segun_actividad_a_la_que_se_integran_otras,no_se_integran_a_las_actividades
San Pedro Cajonos,1,0,1,0,0,0
San Pedro Coxcaltepec Cantaros,1,1,0,0,0,0
San Pedro Comitancillo,1,1,0,0,0,0
San Pedro el Alto,1,1,0,0,0,0
San Pedro Huamelula,3,0,0,0,0,3
San Pedro Huilotepec,1,1,0,0,0,0
San Pedro Ixcatlan,6,3,0,0,0,3
San Pedro Ixtlahuaca,0,0,0,0,0,0
San Pedro Jaltepetongo,1,1,0,0,0,0
San Pedro Jicayan,1,0,0,0,0,1
San Pedro Jocotipac,1,1,0,0,0,0
San Pedro Juchatengo,0,0,0,0,0,0
San Pedro Martir,0,0,0,0,0,0
San Pedro Martir Quiechapa,1,1,0,0,0,0
San Pedro Martir Yucuxaco,0,0,0,0,0,0
San Pedro Mixtepec -Dto. 22-,1,0,0,0,0,1
San Pedro Mixtepec -Dto. 26-,1,1,0,0,0,0
San Pedro Molinos,0,0,0,0,0,0
San Pedro Nopala,0,0,0,0,0,0
San Pedro Ocopetatillo,0,0,0,0,0,0
San Pedro Ocotepec,0,0,0,0,0,0
San Pedro Pochutla,1,0,0,0,0,1
San Pedro Quiatoni,1,1,0,0,0,0
San Pedro Sochiapam,5,5,0,0,0,0
San Pedro Tapanatepec,5,4,0,0,0,1
San Pedro Taviche,2,2,0,0,0,0
San Pedro Teozacoalco,1,1,0,0,0,0
San Pedro Teutila,3,3,0,0,0,0
San Pedro Tidaa,0,0,0,0,0,0
San Pedro Topiltepec,1,1,0,0,0,0
San Pedro Totolapa,1,1,0,0,0,0
Villa de Tututepec de Melchor Ocampo,4,4,0,0,0,0
San Pedro Yaneri,1,1,0,0,0,0
San Pedro Yolox,5,5,0,0,0,0
San Pedro y San Pablo Ayutla,0,0,0,0,0,0
Villa de Etla,2,0,0,0,1,1
San Pedro y San Pablo Teposcolula,4,2,2,0,0,0
San Pedro y San Pablo Tequixtepec,2,2,0,0,0,0
San Pedro Yucunama,0,0,0,0,0,0
San Raymundo Jalpan,1,0,0,0,0,1
San Sebastian Abasolo,2,1,0,0,0,1
San Sebastian Coatlan,1,1,0,0,0,0
San Sebastian Ixcapa,6,6,0,0,0,0
San Sebastian Nicananduta,1,1,0,0,0,0
San Sebastian Rio Hondo,2,2,0,0,0,0
San Sebastian Tecomaxtlahuaca,1,1,0,0,0,0
San Sebastian Teitipac,1,1,0,0,0,0
San Sebastian Tutla,2,0,0,0,0,2
San Simon Almolongas,1,0,0,0,0,1
San Simon Zahuatlan,0,0,0,0,0,0
Santa Ana,1,1,0,0,0,0
Santa Ana Cuauhtemoc,0,0,0,0,0,0
Santa Ana del Valle,0,0,0,0,0,0
Santa Ana Tavela,1,1,0,0,0,0
Santa Ana Tlapacoyan,0,0,0,0,0,0
Santa Ana Yareni,0,0,0,0,0,0
Santa Ana Zegache,0,0,0,0,0,0
Santa Catalina Quieri,1,0,0,0,0,1
Santa Catarina Cuixtla,0,0,0,0,0,0
Santa Catarina Ixtepeji,2,2,0,0,0,0
Santa Catarina Juquila,4,2,1,0,0,1
Santa Catarina Lachatao,1,1,0,0,0,0
Santa Catarina Loxicha,0,0,0,0,0,0
Santa Catarina Mechoacan,0,0,0,0,0,0
Santa Catarina Minas,1,1,0,0,0,0
Santa Catarina Quiane,2,2,0,0,0,0
Santa Catarina Tayata,1,0,0,0,0,1
Santa Catarina Ticua,0,0,0,0,0,0
Santa Catarina Yosonotu,1,0,1,0,0,0
Santa Catarina Zapoquila,0,0,0,0,0,0
Santa Cruz Amilpas,2,0,0,0,0,2
Santa Cruz Itundujia,1,0,0,0,0,1
Santa Cruz Mixtepec,1,1,0,0,0,0
Santa Cruz Nundaco,1,1,0,0,0,0
Santa Cruz Papalutla,1,0,0,0,0,1
Santa Cruz Tacache de Mina,0,0,0,0,0,0
Santa Cruz Tacahua,0,0,0,0,0,0
Santa Cruz Tayata,1,0,0,0,0,1
Santa Cruz Xitla,2,1,0,0,0,1
Santa Cruz Xoxocotlan,4,1,0,0,0,3
Santa Cruz Zenzontepec,1,1,0,0,0,0
Santa Gertrudis,2,2,0,0,0,0
Santa Ines del Monte,0,0,0,0,0,0
Santa Lucia del Camino,2,0,0,1,0,1
Santa Lucia Miahuatlan,1,1,0,0,0,0
Santa Lucia Monteverde,3,2,0,0,0,1
Santa Lucia Ocotlan,1,1,0,0,0,0
Santa Maria Alotepec,2,2,0,0,0,0
Santa Maria Apazco,1,0,0,0,0,1
Heroica Ciudad de Tlaxiaco,6,4,1,0,0,1
Ayoquezco de Aldama,0,0,0,0,0,0
Santa Maria Atzompa,1,1,0,0,0,0
Santa Maria Camotlan,0,0,0,0,0,0
Santa Maria Colotepec,1,1,0,0,0,0
Santa Maria Cortijo,1,0,1,0,0,0
Santa Maria Coyotepec,2,2,0,0,0,0
Santa Maria Chachoapam,1,0,0,0,0,1
Villa de Chilapa de Diaz,1,1,0,0,0,0
Santa Maria Chilchotla,4,4,0,0,0,0
Santa Maria Chimalapa,2,2,0,0,0,0
Santa Maria del Rosario,1,1,0,0,0,0
Santa Maria del Tule,2,0,0,0,1,1
Santa Maria Ecatepec,9,9,0,0,0,0
Santa Maria Guelace,1,1,0,0,0,0
Santa Maria Guienagati,1,1,0,0,0,0
Santa Maria Huatulco,1,0,0,0,0,1
Santa Maria Huazolotitlan,4,4,0,0,0,0
Santa Maria Ipalapa,3,3,0,0,0,0
Santa Maria Ixcatlan,1,1,0,0,0,0
Santa Maria Jacatepec,3,2,0,0,0,1
Santa Maria Jalapa del Marques,1,1,0,0,0,0
Santa Maria Jaltianguis,1,1,0,0,0,0
Santa Maria Mixtequilla,1,0,0,0,0,1
Santa Maria Nativitas,1,1,0,0,0,0
Santa Maria Nduayaco,1,1,0,0,0,0
Santa Maria Papalo,1,1,0,0,0,0
Santa Maria Peñoles,3,2,0,0,0,1
Santa Maria Petapa,1,0,0,0,0,1
Santa Maria Quiegolani,2,2,0,0,0,0
Santa Maria Sola,2,1,0,0,0,1
Santa Maria Tataltepec,1,1,0,0,0,0
Santa Maria Tecomavaca,1,0,0,0,0,1
Santa Maria Temaxcalapa,1,1,0,0,0,0
Santa Maria Temaxcaltepec,1,1,0,0,0,0
Santa Maria Teopoxco,1,1,0,0,0,0
Santa Maria Tepantlali,1,1,0,0,0,0
Santa Maria Texcatitlan,1,1,0,0,0,0
Santa Maria Tlahuitoltepec,1,0,0,0,0,1
Santa Maria Tlalixtac,1,1,0,0,0,0
Santa Maria Tonameca,1,1,0,0,0,0
Santa Maria Totolapilla,0,0,0,0,0,0
Santa Maria Yalina,0,0,0,0,0,0
Santa Maria Yolotepec,0,0,0,0,0,0
Santa Maria Yosoyua,0,0,0,0,0,0
Santa Maria Yucuhiti,2,1,0,0,0,1
Santa Maria Zacatepec,0,0,0,0,0,0
Santa Maria Zaniza,1,1,0,0,0,0
Santa Maria Zoquitlan,0,0,0,0,0,0
Santiago Amoltepec,0,0,0,0,0,0
Santiago Apoala,0,0,0,0,0,0
Santiago Astata,1,0,0,0,0,1
Santiago Atitlan,1,1,0,0,0,0
Santiago Ayuquililla,1,1,0,0,0,0
Santiago Cacaloxtepec,0,0,0,0,0,0
Santiago Camotlan,2,2,0,0,0,0
Santiago Comaltepec,1,1,0,0,0,0
Santiago Chazumba,4,4,0,0,0,0
Santiago Choapam,5,5,0,0,0,0
Santiago del Rio,0,0,0,0,0,0
Santiago Huajolotitlan,1,1,0,0,0,0
Santiago Huauclilla,4,3,0,0,0,1
Santiago Ihuitlan Plumas,1,1,0,0,0,0
Santiago Ixcuintepec,1,1,0,0,0,0
Santiago Ixtayutla,5,5,0,0,0,0
Santiago Jamiltepec,2,1,0,0,0,1
Santiago Jocotepec,8,8,0,0,0,0
Santiago Juxtlahuaca,7,6,0,0,0,1
Santiago Lachiguiri,2,2,0,0,0,0
Santiago Lalopa,1,1,0,0,0,0
Santiago Laollaga,1,1,0,0,0,0
Santiago Laxopa,3,3,0,0,0,0
Santiago Llano Grande,3,3,0,0,0,0
Santiago Matatlan,3,1,0,0,0,2
Santiago Minas,0,0,0,0,0,0
Santiago Nacaltepec,2,1,0,0,0,1
Santiago Nejapilla,0,0,0,0,0,0
Santiago Nundiche,1,0,0,0,0,1
Santiago Nuyoo,3,3,0,0,0,0
Santiago Pinotepa Nacional,18,9,0,0,0,9
Santiago Suchilquitongo,5,1,0,0,0,4
Santiago Tamazola,0,0,0,0,0,0
Santiago Tapextla,2,1,0,0,0,1
Villa Tejupam de la Union,1,0,1,0,0,0
Santiago Tenango,1,0,0,0,0,1
Santiago Tepetlapa,1,1,0,0,0,0
Santiago Tetepec,4,2,0,0,0,2
Santiago Texcalcingo,1,1,0,0,0,0
Santiago Textitlan,1,1,0,0,0,0
Santiago Tilantongo,1,1,0,0,0,0
Santiago Tillo,1,0,0,0,0,1
Santiago Tlazoyaltepec,0,0,0,0,0,0
Santiago Xanica,2,2,0,0,0,0
Santiago Xiacui,3,2,0,0,0,1
Santiago Yaitepec,0,0,0,0,0,0
Santiago Yaveo,6,4,0,0,0,2
Santiago Yosondua,2,2,0,0,0,0
Santiago Yucuyachi,0,0,0,0,0,0
Santiago Zacatepec,3,3,0,0,0,0
Santiago Zoochila,0,0,0,0,0,0
Nuevo Zoquiapam,1,1,0,0,0,0
Santo Domingo Ingenio,0,0,0,0,0,0
Santo Domingo Albarradas,0,0,0,0,0,0
Santo Domingo Armenta,1,1,0,0,0,0
Santo Domingo Chihuitan,0,0,0,0,0,0
Santo Domingo de Morelos,1,0,0,0,0,1
Santo Domingo Ixcatlan,0,0,0,0,0,0
Santo Domingo Nuxaa,1,0,0,0,0,1
Santo Domingo Ozolotepec,1,1,0,0,0,0
Santo Domingo Petapa,1,1,0,0,0,0
Santo Domingo Roayaga,2,2,0,0,0,0
Santo Domingo Tehuantepec,15,10,1,0,0,4
Santo Domingo Teojomulco,1,1,0,0,0,0
Santo Domingo Tepuxtepec,1,1,0,0,0,0
Santo Domingo Tlatayapam,0,0,0,0,0,0
Santo Domingo Tomaltepec,2,0,0,0,0,2
Santo Domingo Tonala,1,1,0,0,0,0
Santo Domingo Tonaltepec,0,0,0,0,0,0
Santo Domingo Xagacia,1,1,0,0,0,0
Santo Domingo Yanhuitlan,1,1,0,0,0,0
Santo Domingo Zanatepec,5,5,0,0,0,0
Santos Reyes Nopala,3,3,0,0,0,0
Santos Reyes Papalo,1,1,0,0,0,0
Santos Reyes Tepejillo,0,0,0,0,0,0
Santos Reyes Yucuna,0,0,0,0,0,0
Santo Tomas Jalieza,5,4,0,0,0,1
Santo Tomas Mazaltepec,0,0,0,0,0,0
Santo Tomas Ocotepec,0,0,0,0,0,0
San Vicente Coatlan,1,1,0,0,0,0
San Vicente Lachixio,1,1,0,0,0,0
San Vicente Nuñu,1,0,0,0,0,1
Silacayoapam,2,2,0,0,0,0
Soledad Etla,1,1,0,0,0,0
Villa de Tamazulapam del Progreso,1,0,0,0,0,1
Tanetze de Zaragoza,2,1,0,0,0,1
Taniche,1,0,0,0,0,1
Tataltepec de Valdes,1,1,0,0,0,0
Teococuilco de Marcos Perez,0,0,0,0,0,0
Teotitlan de Flores Magon,0,0,0,0,0,0
Teotitlan del Valle,2,1,0,1,0,0
Teotongo,0,0,0,0,0,0
Tepelmeme Villa de Morelos,0,0,0,0,0,0
Tezoatlan de Segura y Luna,1,1,0,0,0,0
San Jeronimo Tlacochahuaya,2,1,0,0,0,1
Tlacolula de Matamoros,4,0,0,1,0,3
Tlacotepec Plumas,0,0,0,0,0,0
Tlalixtac de Cabrera,2,2,0,0,0,0
Totontepec Villa de Morelos,4,4,0,0,0,0
Trinidad Zaachila,4,4,0,0,0,0
La Trinidad Vista Hermosa,0,0,0,0,0,0
Valerio Trujano,0,0,0,0,0,0
San Juan Bautista Valle Nacional,13,11,0,0,0,2
Villa Diaz Ordaz,0,0,0,0,0,0
Yaxe,1,0,0,0,0,1
Magdalena Yodocono de Porfirio Diaz,1,1,0,0,0,0
Yogana,0,0,0,0,0,0
Yutanduchi de Guerrero,1,1,0,0,0,0
Villa de Zaachila,2,1,0,0,0,1
Zapotitlan del Rio,2,2,0,0,0,0
Zapotitlan Lagunas,0,0,0,0,0,0
Zapotitlan Palmas,2,1,0,0,0,1
Santa Ines de Zaragoza,1,1,0,0,0,0
Zimatlan de alvarez,5,4,0,0,0,1
Puebla,677,396,11,6,7,257
Acajete,2,2,0,0,0,0
Acateno,1,1,0,0,0,0
Acatlan,2,1,0,0,0,1
Acatzingo,2,2,0,0,0,0
Acteopan,1,1,0,0,0,0
Ahuacatlan,0,0,0,0,0,0
Ahuatlan,1,1,0,0,0,0
Ahuazotepec,4,2,0,0,0,2
Ahuehuetitla,0,0,0,0,0,0
Ajalpan,10,2,0,0,1,7
Albino Zertuche,0,0,0,0,0,0
Aljojuca,2,2,0,0,0,0
Altepexi,2,2,0,0,0,0
Amixtlan,1,1,0,0,0,0
Amozoc,4,1,0,0,0,3
Aquixtla,2,0,0,0,0,2
Atexcal,4,4,0,0,0,0
Atlixco,22,15,0,0,0,7
Atoyatempan,1,1,0,0,0,0
Atzala,1,1,0,0,0,0
Atzitzihuacan,4,2,0,0,0,2
Atzitzintla,5,5,0,0,0,0
Axutla,1,0,0,0,0,1
Ayotoxco de Guerrero,1,0,0,0,0,1
Calpan,1,0,0,0,0,1
Caltepec,4,1,0,1,0,2
Camocuautla,0,0,0,0,0,0
Caxhuacan,1,0,0,0,0,1
Coatzingo,0,0,0,0,0,0
Cohetzala,1,1,0,0,0,0
Cohuecan,1,0,0,0,0,1
Coronango,3,1,0,0,0,2
Coxcatlan,9,8,0,0,0,1
Coyomeapan,1,1,0,0,0,0
Coyotepec,1,1,0,0,0,0
Cuapiaxtla de Madero,1,0,0,0,0,1
Cuautempan,0,0,0,0,0,0
Cuautinchan,2,0,0,0,0,2
Cuautlancingo,3,0,0,0,0,3
Cuayuca de Andrade,2,2,0,0,0,0
Cuetzalan del Progreso,2,2,0,0,0,0
Cuyoaco,2,0,0,0,0,2
Chalchicomula de Sesma,11,9,0,0,0,2
Chapulco,1,1,0,0,0,0
Chiautla,6,6,0,0,0,0
Chiautzingo,4,3,0,0,0,1
Chiconcuautla,1,1,0,0,0,0
Chietla,13,13,0,0,0,0
Chignahuapan,20,13,1,0,1,5
Chignautla,1,0,0,0,0,1
Chila,3,1,0,0,0,2
Chila de la Sal,0,0,0,0,0,0
Honey,0,0,0,0,0,0
Chilchotla,1,1,0,0,0,0
Chinantla,0,0,0,0,0,0
Domingo Arenas,1,0,0,0,0,1
Eloxochitlan,2,2,0,0,0,0
Epatlan,2,1,0,0,0,1
Esperanza,6,6,0,0,0,0
Francisco Z. Mena,13,9,0,0,0,4
General Felipe angeles,2,1,0,0,0,1
Guadalupe,1,0,0,0,0,1
Guadalupe Victoria,6,4,0,0,0,2
Huaquechula,10,9,0,0,0,1
Huatlatlauca,3,1,2,0,0,0
Huauchinango,4,2,0,0,0,2
Huehuetlan el Chico,2,1,0,0,0,1
Huejotzingo,6,3,0,0,0,3
Hueytamalco,2,2,0,0,0,0
Hueytlalpan,1,0,0,0,0,1
Huitzilan de Serdan,2,1,0,0,0,1
Ixcamilpa de Guerrero,1,1,0,0,0,0
Ixcaquixtla,4,2,0,0,0,2
Ixtacamaxtitlan,11,6,0,0,0,5
Izucar de Matamoros,12,11,0,0,0,1
Jalpan,3,1,0,0,0,2
Jolalpan,2,2,0,0,0,0
Jonotla,3,2,0,0,0,1
Jopala,1,1,0,0,0,0
Juan C. Bonilla,1,1,0,0,0,0
Juan N. Mendez,2,1,0,0,0,1
Lafragua,5,2,0,0,0,3
Libres,3,2,0,0,0,1
La Magdalena Tlatlauquitepec,1,1,0,0,0,0
Mazapiltepec de Juarez,0,0,0,0,0,0
Mixtla,1,1,0,0,0,0
Molcaxac,6,3,0,0,0,3
Cañada Morelos,4,3,0,0,0,1
Nicolas Bravo,2,2,0,0,0,0
Nopalucan,5,1,0,0,1,3
Ocotepec,1,1,0,0,0,0
Ocoyucan,8,7,0,0,0,1
Olintla,0,0,0,0,0,0
Oriental,4,2,0,0,0,2
Pahuatlan,1,0,0,0,0,1
Palmar de Bravo,12,6,0,0,0,6
Pantepec,3,0,0,0,0,3
Petlalcingo,5,2,0,0,0,3
Piaxtla,0,0,0,0,0,0
Puebla,18,4,0,1,0,13
Quecholac,9,9,0,0,0,0
Rafael Lara Grajales,0,0,0,0,0,0
Los Reyes de Juarez,1,1,0,0,0,0
San Andres Cholula,6,1,0,0,0,5
San Antonio Cañada,0,0,0,0,0,0
San Diego la Mesa Tochimiltzingo,3,3,0,0,0,0
San Felipe Teotlalcingo,3,3,0,0,0,0
San Gabriel Chilac,3,0,0,0,0,3
San Jeronimo Tecuanipan,2,2,0,0,0,0
San Jeronimo Xayacatlan,0,0,0,0,0,0
San Jose Chiapa,6,4,1,0,0,1
San Jose Miahuatlan,2,0,0,0,0,2
San Juan Atenco,0,0,0,0,0,0
San Martin Texmelucan,10,1,0,0,0,9
San Martin Totoltepec,1,1,0,0,0,0
San Matias Tlalancaleca,3,0,1,0,0,2
San Miguel Xoxtla,1,0,0,0,0,1
San Nicolas Buenos Aires,5,5,0,0,0,0
San Nicolas de los Ranchos,3,2,0,0,0,1
San Pablo Anicano,0,0,0,0,0,0
San Pedro Cholula,3,2,0,0,1,0
San Pedro Yeloixtlahuaca,0,0,0,0,0,0
San Salvador el Seco,1,0,0,0,0,1
San Salvador el Verde,8,4,0,0,0,4
San Salvador Huixcolotla,1,1,0,0,0,0
San Sebastian Tlacotepec,1,1,0,0,0,0
Santa Catarina Tlaltempan,0,0,0,0,0,0
Santa Ines Ahuatempan,0,0,0,0,0,0
Santa Isabel Cholula,4,3,0,0,0,1
Santiago Miahuatlan,3,0,0,0,0,3
Huehuetlan el Grande,9,6,0,1,0,2
Santo Tomas Hueyotlipan,2,0,0,1,0,1
Soltepec,6,3,0,0,0,3
Tecali de Herrera,10,2,0,1,0,7
Tecamachalco,17,8,0,0,0,9
Tecomatlan,1,1,0,0,0,0
Tehuacan,10,0,0,0,0,10
Tehuitzingo,1,1,0,0,0,0
Tenampulco,0,0,0,0,0,0
Teopantlan,1,1,0,0,0,0
Teotlalco,3,3,0,0,0,0
Tepanco de Lopez,7,2,0,0,0,5
Tepatlaxco de Hidalgo,2,1,1,0,0,0
Tepeaca,18,10,1,0,0,7
Tepemaxalco,1,1,0,0,0,0
Tepeojuma,0,0,0,0,0,0
Tepetzintla,2,2,0,0,0,0
Tepexco,3,3,0,0,0,0
Tepexi de Rodriguez,4,1,0,0,0,3
Tepeyahualco,10,5,1,0,0,4
Tepeyahualco de Cuauhtemoc,2,1,0,0,0,1
Tetela de Ocampo,2,1,0,0,0,1
Teziutlan,1,0,0,0,0,1
Tianguismanalco,3,1,0,0,0,2
Tilapa,0,0,0,0,0,0
Tlacotepec de Benito Juarez,16,9,1,0,0,6
Tlacuilotepec,0,0,0,0,0,0
Tlachichuca,18,18,0,0,0,0
Tlahuapan,13,8,1,0,0,4
Tlanepantla,1,1,0,0,0,0
Tlapacoya,1,1,0,0,0,0
Tlapanala,4,4,0,0,0,0
Tlatlauquitepec,3,3,0,0,0,0
Tlaxco,0,0,0,0,0,0
Tochimilco,8,5,0,0,0,3
Tochtepec,1,1,0,0,0,0
Totoltepec de Guerrero,3,2,0,0,1,0
Tulcingo,0,0,0,0,0,0
Tuzamapan de Galeana,1,0,0,0,0,1
Tzicatlacoyan,7,2,0,1,0,4
Venustiano Carranza,4,2,0,0,0,2
Vicente Guerrero,3,1,0,0,1,1
Xayacatlan de Bravo,0,0,0,0,0,0
Xicotepec,5,3,0,0,0,2
Xicotlan,1,0,0,0,1,0
Xiutetelco,2,0,0,0,0,2
Xochiapulco,0,0,0,0,0,0
Xochiltepec,1,1,0,0,0,0
Xochitlan de Vicente Suarez,1,0,0,0,0,1
Xochitlan Todos Santos,2,2,0,0,0,0
Yehualtepec,6,1,0,0,0,5
Zacapala,0,0,0,0,0,0
Zacapoaxtla,8,5,0,0,0,3
Zacatlan,10,6,0,0,0,4
Zapotitlan,5,1,1,0,0,3
Zaragoza,0,0,0,0,0,0
Zautla,6,3,0,0,0,3
Zihuateutla,1,1,0,0,0,0
Zinacatepec,1,1,0,0,0,0
Zoquiapan,0,0,0,0,0,0
Zoquitlan,1,1,0,0,0,0
Queretaro,207,42,0,1,4,160
Amealco de Bonfil,6,5,0,0,0,1
Pinal de Amoles,7,5,0,0,0,2
Arroyo Seco,4,3,0,0,0,1
Cadereyta de Montes,16,4,0,0,0,12
Colon,32,4,0,0,1,27
Corregidora,14,1,0,0,0,13
Ezequiel Montes,1,1,0,0,0,0
Huimilpan,7,2,0,0,0,5
Jalpan de Serra,2,2,0,0,0,0
Landa de Matamoros,1,0,0,0,0,1
El Marques,22,5,0,0,0,17
Pedro Escobedo,16,1,0,0,0,15
Peñamiller,6,1,0,0,0,5
Queretaro,30,2,0,0,1,27
San Joaquin,1,0,0,0,0,1
San Juan del Rio,28,6,0,1,2,19
Tequisquiapan,9,0,0,0,0,9
Toliman,5,0,0,0,0,5
Quintana Roo,215,134,0,0,3,78
Cozumel,1,0,0,0,0,1
Felipe Carrillo Puerto,49,34,0,0,0,15
Isla Mujeres,2,1,0,0,0,1
Othon P. Blanco,53,34,0,0,0,19
Benito Juarez,3,0,0,0,0,3
Jose Maria Morelos,59,36,0,0,1,22
Lazaro Cardenas,33,21,0,0,0,12
Solidaridad,15,8,0,0,2,5
San Luis Potosi,638,357,1,0,6,274
Ahualulco,7,5,0,0,0,2
Alaquines,0,0,0,0,0,0
Aquismon,8,6,0,0,0,2
Armadillo de los Infante,2,1,0,0,0,1
Cardenas,4,4,0,0,0,0
Catorce,16,3,0,0,0,13
Cedral,19,12,0,0,0,7
Cerritos,7,5,0,0,0,2
Cerro de San Pedro,5,0,0,0,0,5
Ciudad del Maiz,5,4,0,0,0,1
Ciudad Fernandez,2,0,0,0,0,2
Tancanhuitz,3,3,0,0,0,0
Ciudad Valles,40,16,0,0,0,24
Coxcatlan,11,8,0,0,0,3
Charcas,14,11,0,0,0,3
ebano,60,44,0,0,0,16
Guadalcazar,19,15,0,0,0,4
Huehuetlan,4,4,0,0,0,0
Lagunillas,0,0,0,0,0,0
Matehuala,24,8,0,0,0,16
Mexquitic de Carmona,20,5,0,0,0,15
Moctezuma,3,2,0,0,1,0
Rayon,2,1,0,0,0,1
Rioverde,18,14,0,0,0,4
Salinas,3,3,0,0,0,0
San Antonio,2,0,0,0,0,2
San Ciro de Acosta,1,1,0,0,0,0
San Luis Potosi,21,5,0,0,1,15
San Martin Chalchicuautla,11,4,0,0,0,7
San Nicolas Tolentino,1,0,0,0,0,1
Santa Catarina,0,0,0,0,0,0
Santa Maria del Rio,7,0,0,0,0,7
Santo Domingo,7,7,0,0,0,0
San Vicente Tancuayalab,7,3,0,0,0,4
Soledad de Graciano Sanchez,7,1,0,0,0,6
Tamasopo,8,7,0,0,0,1
Tamazunchale,12,7,0,0,1,4
Tampacan,6,4,0,0,0,2
Tampamolon Corona,4,4,0,0,0,0
Tamuin,108,75,1,0,0,32
Tanlajas,10,8,0,0,0,2
Tanquian de Escobedo,0,0,0,0,0,0
Tierra Nueva,1,0,0,0,0,1
Vanegas,12,8,0,0,0,4
Venado,3,3,0,0,0,0
Villa de Arriaga,11,4,0,0,0,7
Villa de Guadalupe,8,3,0,0,0,5
Villa de la Paz,2,0,0,0,0,2
Villa de Ramos,6,6,0,0,0,0
Villa de Reyes,19,2,0,0,2,15
Villa Hidalgo,9,3,0,0,0,6
Villa Juarez,2,1,0,0,0,1
Axtla de Terrazas,18,3,0,0,0,15
Xilitla,16,13,0,0,1,2
Zaragoza,6,2,0,0,0,4
Villa de Arista,2,2,0,0,0,0
Matlapa,5,1,0,0,0,4
El Naranjo,10,6,0,0,0,4
Sinaloa,840,356,2,2,21,459
Ahome,88,22,1,0,2,63
Angostura,16,3,0,0,0,13
Badiraguato,30,23,0,0,0,7
Concordia,26,12,0,0,0,14
Cosala,26,19,0,1,1,5
Culiacan,147,65,1,0,6,75
Choix,28,18,0,0,6,4
Elota,32,16,0,0,0,16
Escuinapa,14,8,0,0,0,6
El Fuerte,64,30,0,1,1,32
Guasave,68,24,0,0,2,42
Mazatlan,40,13,0,0,1,26
Mocorito,36,12,0,0,0,24
Rosario,34,24,0,0,0,10
Salvador Alvarado,10,2,0,0,0,8
San Ignacio,32,13,0,0,0,19
Sinaloa,86,45,0,0,0,41
Navolato,63,7,0,0,2,54
Sonora,612,181,4,3,13,411
Aconchi,1,1,0,0,0,0
Agua Prieta,5,1,0,0,0,4
alamos,63,28,0,0,1,34
Altar,3,1,0,0,0,2
Arivechi,2,0,0,0,0,2
Arizpe,4,1,0,0,0,3
Atil,2,0,0,0,0,2
Bacadehuachi,1,0,0,0,0,1
Bacanora,1,1,0,0,0,0
Bacerac,4,4,0,0,0,0
Bacoachi,2,1,0,0,0,1
Bacum,26,4,0,0,1,21
Banamichi,1,0,0,0,0,1
Baviacora,0,0,0,0,0,0
Bavispe,2,2,0,0,0,0
Benjamin Hill,3,1,0,0,0,2
Caborca,30,3,0,0,1,26
Cajeme,84,13,1,0,1,69
Cananea,3,1,0,0,0,2
Carbo,2,0,0,0,0,2
La Colorada,6,1,1,0,0,4
Cucurpe,2,2,0,0,0,0
Cumpas,1,0,0,0,0,1
Divisaderos,0,0,0,0,0,0
Empalme,13,1,0,0,0,12
Etchojoa,23,2,0,0,0,21
Fronteras,11,2,0,0,0,9
Granados,0,0,0,0,0,0
Guaymas,17,5,0,0,0,12
Hermosillo,44,9,0,0,1,34
Huachinera,2,1,0,0,0,1
Huasabas,0,0,0,0,0,0
Huatabampo,24,11,0,0,2,11
Huepac,2,1,0,0,0,1
Imuris,3,2,0,0,0,1
Magdalena,8,4,0,0,0,4
Mazatan,2,2,0,0,0,0
Moctezuma,1,0,0,0,0,1
Naco,1,0,0,0,0,1
Nacori Chico,3,2,0,0,0,1
Nacozari de Garcia,3,1,0,0,0,2
Navojoa,32,4,0,0,0,28
Nogales,7,2,0,0,0,5
Onavas,2,1,0,0,0,1
Opodepe,5,2,0,0,0,3
Oquitoa,0,0,0,0,0,0
Pitiquito,3,0,0,1,0,2
Puerto Peñasco,10,1,1,0,3,5
Quiriego,11,4,0,0,0,7
Rayon,3,2,0,0,0,1
Rosario,16,7,0,0,0,9
Sahuaripa,5,3,0,0,0,2
San Felipe de Jesus,1,1,0,0,0,0
San Javier,0,0,0,0,0,0
San Luis Rio Colorado,19,6,1,0,0,12
San Miguel de Horcasitas,4,0,0,0,0,4
San Pedro de la Cueva,6,3,0,0,0,3
Santa Ana,6,3,0,1,0,2
Santa Cruz,2,2,0,0,0,0
Saric,0,0,0,0,0,0
Soyopa,4,3,0,0,1,0
Suaqui Grande,2,1,0,0,0,1
Tepache,0,0,0,0,0,0
Trincheras,3,1,0,1,0,1
Tubutama,3,0,0,0,0,3
Ures,4,3,0,0,0,1
Villa Hidalgo,4,4,0,0,0,0
Villa Pesqueira,2,2,0,0,0,0
Yecora,7,6,0,0,0,1
General Plutarco Elias Calles,13,4,0,0,1,8
Benito Juarez,10,1,0,0,0,9
