INEGI. IX Censo Ejidal 2007,,,,,,,,
Ejidos y comunidades con posesionarios segun sexo y disposicion de parcela individual,,,,,,,,cuadro 14
por entidad federativa y municipio,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_posesionarios,posesionarios_total,posesionarios_total_hombres,posesionarios_total_mujeres,con_parcela_individual_total,con_parcela_individual_hombres,con_parcela_individual_mujeres,propiedades_sociales_sin_posesionarios
Acatzingo,9,256,167,89,251,164,87,0
Acteopan,3,47,42,5,30,25,5,0
Ahuacatlan,1,684,304,380,684,304,380,0
Ahuatlan,1,30,30,0,30,30,0,0
Ahuazotepec,3,117,102,15,117,102,15,3
Ahuehuetitla,0,0,0,0,0,0,0,3
Ajalpan,8,6694,3426,3268,6588,3322,3266,2
Albino Zertuche,0,0,0,0,0,0,0,1
Aljojuca,4,306,260,46,306,260,46,0
Altepexi,1,70,33,37,25,14,11,1
Amixtlan,0,0,0,0,0,0,0,1
Amozoc,7,938,730,208,938,730,208,0
Aquixtla,1,7,7,0,6,6,0,4
Atexcal,6,349,277,72,194,145,49,3
Atlixco,22,1097,761,336,597,467,130,7
Atoyatempan,1,3,3,0,3,3,0,0
Atzala,1,10,7,3,10,7,3,0
Atzitzihuacan,2,115,88,27,115,88,27,7
Atzitzintla,3,157,140,17,157,140,17,2
Axutla,1,324,324,0,60,60,0,0
Ayotoxco de Guerrero,3,53,37,16,53,37,16,0
Calpan,2,656,506,150,656,506,150,1
Caltepec,4,250,183,67,241,175,66,5
Camocuautla,0,0,0,0,0,0,0,1
Caxhuacan,0,0,0,0,0,0,0,1
Coatzingo,0,0,0,0,0,0,0,2
Cohetzala,0,0,0,0,0,0,0,3
Cohuecan,1,143,115,28,143,115,28,1
Coronango,3,2126,1917,209,200,157,43,0
Coxcatlan,7,2160,2038,122,2064,1957,107,2
Coyomeapan,1,3000,2000,1000,3000,2000,1000,2
Coyotepec,4,210,175,35,90,55,35,0
Cuapiaxtla de Madero,1,36,26,10,36,26,10,0
Cuautempan,0,0,0,0,0,0,0,1
Cuautinchan,6,86,68,18,82,64,18,1
Cuautlancingo,3,690,538,152,690,538,152,0
Cuayuca de Andrade,3,27,21,6,27,21,6,2
Cuetzalan del Progreso,1,44,36,8,0,0,0,1
Cuyoaco,8,517,304,213,516,303,213,3
Chalchicomula de Sesma,23,1725,1177,548,1725,1177,548,1
Chapulco,1,80,60,20,80,60,20,1
Chiautla,2,116,88,28,54,51,3,4
Chiautzingo,3,82,60,22,82,60,22,2
Chiconcuautla,0,0,0,0,0,0,0,1
Chietla,16,951,735,216,659,525,134,5
Chignahuapan,31,1206,1053,153,1201,1048,153,14
Chignautla,2,217,200,17,12,9,3,0
Chila,2,450,425,25,0,0,0,2
Chila de la Sal,0,0,0,0,0,0,0,1
Honey,1,8,5,3,8,5,3,0
Chilchotla,2,1618,1468,150,1618,1468,150,0
Chinantla,2,13,8,5,13,8,5,1
Domingo Arenas,1,50,25,25,50,25,25,1
Eloxochitlan,2,2450,1220,1230,2450,1220,1230,0
Epatlan,3,52,31,21,52,31,21,1
Esperanza,6,296,220,76,296,220,76,3
Francisco Z. Mena,6,153,142,11,153,142,11,15
General Felipe angeles,3,469,359,110,469,359,110,2
Guadalupe,3,563,390,173,563,390,173,0
Guadalupe Victoria,7,458,387,71,458,387,71,3
Huaquechula,17,387,245,142,335,205,130,9
Huatlatlauca,2,26,22,4,22,18,4,6
Huauchinango,2,20,18,2,20,18,2,2
Huehuetlan el Chico,1,404,234,170,404,234,170,3
Huejotzingo,8,773,529,244,314,222,92,3
Hueytamalco,8,105,75,30,105,75,30,1
Hueytlalpan,0,0,0,0,0,0,0,2
Huitzilan de Serdan,2,391,290,101,391,290,101,0
Ixcamilpa de Guerrero,2,307,114,193,209,114,95,2
Ixcaquixtla,6,293,246,47,293,246,47,1
Ixtacamaxtitlan,18,1555,1386,169,1483,1337,146,6
Izucar de Matamoros,13,620,493,127,536,421,115,13
Jalpan,5,63,42,21,63,42,21,2
Jolalpan,4,429,225,204,429,225,204,5
Jonotla,4,26,18,8,23,15,8,0
Jopala,1,3,2,1,3,2,1,0
Juan C. Bonilla,1,471,471,0,471,471,0,1
Juan N. Mendez,1,24,24,0,24,24,0,2
Lafragua,3,688,601,87,567,488,79,4
Libres,6,362,286,76,151,132,19,0
La Magdalena Tlatlauquitepec,0,0,0,0,0,0,0,1
Mazapiltepec de Juarez,1,40,40,0,30,30,0,2
Mixtla,1,8,0,8,8,0,8,0
Molcaxac,5,71,45,26,71,45,26,4
Cañada Morelos,5,504,347,157,504,347,157,0
Nicolas Bravo,0,0,0,0,0,0,0,2
Nopalucan,1,2,2,0,2,2,0,5
Ocotepec,1,77,62,15,0,0,0,1
Ocoyucan,8,1344,1128,216,1344,1128,216,3
Olintla,0,0,0,0,0,0,0,1
Oriental,7,796,620,176,796,620,176,0
Pahuatlan,0,0,0,0,0,0,0,2
Palmar de Bravo,13,1268,1051,217,508,422,86,1
Pantepec,11,220,184,36,155,126,29,5
Petlalcingo,8,447,279,168,240,133,107,0
Piaxtla,2,39,35,4,9,9,0,3
Puebla,15,2188,1724,464,2013,1594,419,5
Quecholac,11,621,499,122,621,499,122,1
Rafael Lara Grajales,0,0,0,0,0,0,0,1
Los Reyes de Juarez,3,56,45,11,56,45,11,0
San Andres Cholula,3,169,99,70,137,67,70,3
San Antonio Cañada,1,300,270,30,0,0,0,1
San Diego la Mesa Tochimiltzingo,2,14,13,1,6,5,1,2
San Felipe Teotlalcingo,1,30,25,5,30,25,5,2
San Gabriel Chilac,3,146,65,81,80,61,19,1
San Jeronimo Tecuanipan,2,93,78,15,90,75,15,1
San Jeronimo Xayacatlan,0,0,0,0,0,0,0,3
San Jose Chiapa,1,4,3,1,0,0,0,6
San Jose Miahuatlan,3,59,34,25,2,2,0,5
San Juan Atenco,3,31,25,6,31,25,6,2
San Martin Texmelucan,9,3804,2799,1005,3322,2367,955,2
San Martin Totoltepec,1,349,249,100,50,40,10,0
San Matias Tlalancaleca,2,235,187,48,235,187,48,1
San Miguel Xoxtla,1,10,10,0,10,10,0,0
San Nicolas Buenos Aires,4,501,306,195,501,306,195,3
San Nicolas de los Ranchos,2,417,317,100,417,317,100,1
San Pablo Anicano,3,35,33,2,35,33,2,3
San Pedro Cholula,1,204,162,42,204,162,42,2
San Pedro Yeloixtlahuaca,2,332,228,104,332,228,104,0
San Salvador el Seco,2,288,199,89,278,191,87,2
San Salvador el Verde,6,397,321,76,142,133,9,2
San Salvador Huixcolotla,1,100,75,25,100,75,25,0
San Sebastian Tlacotepec,0,0,0,0,0,0,0,1
Santa Catarina Tlaltempan,0,0,0,0,0,0,0,1
Santa Ines Ahuatempan,1,25,15,10,25,15,10,0
Santa Isabel Cholula,3,196,137,59,116,87,29,1
Santiago Miahuatlan,2,90,87,3,10,7,3,1
Huehuetlan el Grande,4,140,75,65,40,35,5,9
Santo Tomas Hueyotlipan,2,14,8,6,14,8,6,0
Soltepec,3,139,129,10,139,129,10,4
Tecali de Herrera,7,100,87,13,58,50,8,5
Tecamachalco,17,723,426,297,722,426,296,1
Tecomatlan,2,198,135,63,198,135,63,1
Tehuacan,10,10945,1524,9421,705,484,221,2
Tehuitzingo,3,1391,691,700,110,80,30,7
Tenampulco,7,99,79,20,99,79,20,1
Teopantlan,0,0,0,0,0,0,0,3
Teotlalco,1,26,25,1,26,25,1,3
Tepanco de Lopez,6,321,224,97,321,224,97,1
Tepatlaxco de Hidalgo,2,928,623,305,928,623,305,0
Tepeaca,21,1048,729,319,1008,729,279,2
Tepemaxalco,0,0,0,0,0,0,0,3
Tepeojuma,5,98,64,34,98,64,34,3
Tepetzintla,3,201,174,27,201,174,27,0
Tepexco,1,15,15,0,0,0,0,3
Tepexi de Rodriguez,6,642,381,261,642,381,261,6
Tepeyahualco,12,939,760,179,939,760,179,2
Tepeyahualco de Cuauhtemoc,2,170,90,80,170,90,80,0
Tetela de Ocampo,1,55,55,0,0,0,0,3
Teziutlan,1,8,3,5,8,3,5,1
Tianguismanalco,1,1,1,0,1,1,0,5
Tilapa,6,205,188,17,205,188,17,1
Tlacotepec de Benito Juarez,14,2838,2590,248,2838,2590,248,4
Tlacuilotepec,1,49,36,13,49,36,13,3
Tlachichuca,16,1126,893,233,1107,893,214,8
Tlahuapan,11,1273,1120,153,956,841,115,7
Tlanepantla,2,42,33,9,42,33,9,0
Tlapacoya,0,0,0,0,0,0,0,3
Tlapanala,1,22,18,4,22,18,4,5
Tlatlauquitepec,3,114,86,28,114,86,28,1
Tlaxco,0,0,0,0,0,0,0,1
Tochimilco,5,901,815,86,642,556,86,7
Tochtepec,3,133,99,34,133,99,34,1
Totoltepec de Guerrero,1,264,210,54,132,78,54,2
Tulcingo,1,64,47,17,64,47,17,1
Tuzamapan de Galeana,0,0,0,0,0,0,0,1
Tzicatlacoyan,6,517,417,100,367,277,90,1
Venustiano Carranza,7,272,231,41,272,231,41,5
Vicente Guerrero,3,3993,2459,1534,3843,2314,1529,1
Xayacatlan de Bravo,0,0,0,0,0,0,0,1
Xicotepec,7,123,85,38,123,85,38,3
Xicotlan,0,0,0,0,0,0,0,2
Xiutetelco,1,21,10,11,21,10,11,2
Xochiapulco,1,28,24,4,28,24,4,0
Xochiltepec,1,30,20,10,0,0,0,2
Xochitlan de Vicente Suarez,0,0,0,0,0,0,0,2
Xochitlan Todos Santos,2,233,204,29,233,204,29,1
Yehualtepec,3,51,45,6,47,41,6,6
Zacapala,2,32,24,8,32,24,8,5
Zacapoaxtla,6,563,376,187,563,376,187,4
Zacatlan,8,171,161,10,161,151,10,10
Zapotitlan,4,705,365,340,705,365,340,3
Zaragoza,2,358,188,170,358,188,170,0
Zautla,6,315,211,104,121,75,46,2
Zihuateutla,5,166,155,11,166,155,11,3
Zinacatepec,1,24,16,8,24,16,8,0
Zoquiapan,0,0,0,0,0,0,0,2
Zoquitlan,1,10,10,0,10,10,0,0
Queretaro,275,15147,12166,2981,13425,10787,2638,103
Amealco de Bonfil,20,4286,3322,964,3795,2852,943,3
Pinal de Amoles,17,668,482,186,447,355,92,2
Arroyo Seco,7,270,235,35,237,207,30,6
Cadereyta de Montes,26,2047,1388,659,1592,1032,560,12
Colon,33,567,495,72,543,474,69,9
Corregidora,12,243,211,32,192,171,21,4
Ezequiel Montes,4,49,41,8,49,41,8,4
Huimilpan,13,394,324,70,386,320,66,3
Jalpan de Serra,4,102,95,7,83,83,0,2
Landa de Matamoros,2,4,4,0,1,1,0,2
El Marques,28,757,625,132,721,594,127,11
Pedro Escobedo,16,1179,1039,140,1178,1039,139,3
Peñamiller,13,802,690,112,736,643,93,3
Queretaro,22,609,512,97,569,493,76,19
San Joaquin,1,12,10,2,12,10,2,3
San Juan del Rio,43,2481,2202,279,2225,1998,227,9
Tequisquiapan,10,654,477,177,636,460,176,2
Toliman,4,23,14,9,23,14,9,6
Quintana Roo,137,16635,14626,2009,1376,865,511,145
Cozumel,1,320,280,40,0,0,0,0
Felipe Carrillo Puerto,23,3425,3284,141,3,2,1,32
Isla Mujeres,1,616,308,308,616,308,308,1
Othon P. Blanco,56,1382,1075,307,608,428,180,49
Benito Juarez,3,6600,5470,1130,70,49,21,0
Jose Maria Morelos,40,4041,3975,66,58,58,0,25
Lazaro Cardenas,7,66,64,2,21,20,1,27
Solidaridad,6,185,170,15,0,0,0,11
San Luis Potosi,766,36554,30979,5575,32607,27652,4955,655
Ahualulco,6,745,618,127,745,618,127,8
Alaquines,7,641,521,120,616,496,120,4
Aquismon,19,2238,1605,633,1526,894,632,9
Armadillo de los Infante,3,14,13,1,14,13,1,4
Cardenas,4,265,222,43,265,222,43,1
Catorce,6,156,149,7,26,24,2,15
Cedral,8,108,106,2,85,83,2,21
Cerritos,10,161,140,21,161,140,21,8
Cerro de San Pedro,3,94,80,14,89,79,10,2
Ciudad del Maiz,17,658,585,73,522,483,39,11
Ciudad Fernandez,11,1260,1072,188,1260,1072,188,4
Tancanhuitz,18,431,262,169,251,153,98,8
Ciudad Valles,51,1277,1020,257,1225,980,245,9
Coxcatlan,8,131,118,13,103,93,10,20
Charcas,6,37,35,2,36,34,2,21
ebano,53,470,383,87,460,375,85,39
Guadalcazar,32,1013,828,185,742,661,81,20
Huehuetlan,6,178,140,38,152,119,33,7
Lagunillas,5,213,163,50,200,153,47,2
Matehuala,14,80,71,9,19,17,2,30
Mexquitic de Carmona,8,172,139,33,145,126,19,22
Moctezuma,12,591,528,63,561,501,60,18
Rayon,7,613,509,104,513,409,104,1
Rioverde,43,2477,1950,527,2072,1657,415,12
Salinas,7,754,658,96,713,624,89,4
San Antonio,5,151,106,45,106,91,15,5
San Ciro de Acosta,3,322,247,75,322,247,75,2
San Luis Potosi,24,859,774,85,778,693,85,11
San Martin Chalchicuautla,21,373,334,39,364,325,39,37
San Nicolas Tolentino,3,75,65,10,75,65,10,3
Santa Catarina,5,385,322,63,385,322,63,0
Santa Maria del Rio,7,132,119,13,126,116,10,5
Santo Domingo,8,98,86,12,80,69,11,17
San Vicente Tancuayalab,13,147,119,28,147,119,28,10
Soledad de Graciano Sanchez,5,81,51,30,81,51,30,3
Tamasopo,12,457,367,90,387,327,60,9
Tamazunchale,17,1973,1721,252,1555,1333,222,16
Tampacan,15,381,362,19,359,344,15,8
Tampamolon Corona,8,139,136,3,136,134,2,23
Tamuin,66,513,416,97,473,385,88,109
Tanlajas,17,549,493,56,496,468,28,9
Tanquian de Escobedo,5,226,194,32,226,194,32,0
Tierra Nueva,0,0,0,0,0,0,0,1
Vanegas,4,37,33,4,34,30,4,16
Venado,10,110,91,19,96,79,17,8
Villa de Arriaga,10,227,177,50,227,177,50,1
Villa de Guadalupe,10,154,149,5,150,146,4,10
Villa de la Paz,3,55,43,12,40,38,2,2
Villa de Ramos,12,3389,2975,414,3222,2859,363,6
Villa de Reyes,17,2125,1894,231,2122,1891,231,3
Villa Hidalgo,14,423,341,82,361,291,70,13
Villa Juarez,6,1244,1102,142,1161,1020,141,3
Axtla de Terrazas,19,1309,1172,137,886,764,122,10
Xilitla,30,3093,2808,285,3093,2808,285,5
Zaragoza,5,482,418,64,482,418,64,2
Villa de Arista,4,37,27,10,37,27,10,4
Matlapa,11,2014,1743,271,1891,1625,266,1
El Naranjo,13,217,179,38,208,170,38,3
Sinaloa,416,13478,11701,1777,10596,9137,1459,893
Ahome,47,1872,1590,282,1763,1499,264,68
Angostura,2,9,8,1,9,8,1,60
Badiraguato,13,1503,1335,168,468,444,24,31
Concordia,18,1305,1195,110,842,763,79,11
Cosala,7,155,141,14,135,121,14,30
Culiacan,49,1743,1400,343,1694,1362,332,136
Choix,34,474,423,51,371,339,32,29
Elota,17,273,210,63,268,208,60,22
Escuinapa,7,304,279,25,304,279,25,13
El Fuerte,48,1116,993,123,909,805,104,55
Guasave,42,848,698,150,773,637,136,98
Mazatlan,23,456,405,51,311,261,50,22
Mocorito,19,1280,1105,175,1274,1099,175,52
Rosario,20,511,445,66,296,247,49,31
Salvador Alvarado,3,86,64,22,33,19,14,19
San Ignacio,11,404,390,14,285,278,7,40
Sinaloa,44,1049,939,110,771,687,84,110
Navolato,12,90,81,9,90,81,9,66
Sonora,343,11093,8681,2412,6932,5305,1627,636
Aconchi,0,0,0,0,0,0,0,1
Agua Prieta,2,7,5,2,7,5,2,4
alamos,23,545,503,42,95,92,3,61
Altar,1,30,15,15,0,0,0,6
Arivechi,1,28,28,0,28,28,0,2
Arizpe,3,66,65,1,6,5,1,3
Atil,0,0,0,0,0,0,0,2
Bacadehuachi,0,0,0,0,0,0,0,1
Bacanora,0,0,0,0,0,0,0,4
Bacerac,1,86,56,30,0,0,0,3
Bacoachi,2,24,22,2,24,22,2,3
Bacum,14,203,171,32,155,134,21,30
Banamichi,0,0,0,0,0,0,0,3
Baviacora,0,0,0,0,0,0,0,2
Bavispe,0,0,0,0,0,0,0,2
Benjamin Hill,2,26,13,13,26,13,13,1
Caborca,15,142,122,20,52,51,1,57
Cajeme,21,858,677,181,698,543,155,82
Cananea,3,25,25,0,1,1,0,4
Carbo,2,9,5,4,2,1,1,0
La Colorada,4,195,164,31,170,154,16,2
Cucurpe,2,202,132,70,3,3,0,1
Cumpas,7,208,184,24,204,180,24,0
Divisaderos,1,28,28,0,28,28,0,0
Empalme,5,234,220,14,215,205,10,11
Etchojoa,19,341,207,134,264,153,111,26
Fronteras,0,0,0,0,0,0,0,12
Granados,0,0,0,0,0,0,0,1
Guaymas,9,222,167,55,220,165,55,22
Hermosillo,15,2171,1305,866,2133,1272,861,37
Huachinera,1,8,8,0,8,8,0,1
Huasabas,0,0,0,0,0,0,0,1
Huatabampo,37,1173,946,227,325,278,47,20
Huepac,0,0,0,0,0,0,0,3
Imuris,4,183,161,22,22,16,6,2
Magdalena,4,111,107,4,105,105,0,5
Mazatan,2,112,111,1,112,111,1,1
Moctezuma,2,5,4,1,4,4,0,2
Naco,2,75,73,2,52,52,0,0
Nacori Chico,1,230,178,52,230,178,52,3
Nacozari de Garcia,4,37,37,0,0,0,0,0
Navojoa,14,321,281,40,148,136,12,31
Nogales,7,181,170,11,181,170,11,1
Onavas,2,42,35,7,5,4,1,0
Opodepe,3,80,73,7,3,2,1,3
Oquitoa,0,0,0,0,0,0,0,1
Pitiquito,3,32,28,4,2,2,0,8
Puerto Peñasco,7,77,60,17,42,27,15,20
Quiriego,4,23,21,2,9,9,0,13
Rayon,1,23,20,3,0,0,0,4
Rosario,9,119,110,9,70,69,1,8
Sahuaripa,10,238,213,25,69,58,11,8
San Felipe de Jesus,0,0,0,0,0,0,0,1
San Javier,0,0,0,0,0,0,0,1
San Luis Rio Colorado,13,467,381,86,120,93,27,28
San Miguel de Horcasitas,3,32,25,7,28,21,7,1
San Pedro de la Cueva,1,42,40,2,0,0,0,5
Santa Ana,6,457,368,89,341,273,68,1
Santa Cruz,1,60,30,30,0,0,0,1
Saric,0,0,0,0,0,0,0,5
Soyopa,5,82,65,17,49,39,10,1
Suaqui Grande,2,195,189,6,165,159,6,0
Tepache,1,133,111,22,133,111,22,1
Trincheras,3,212,193,19,141,124,17,0
Tubutama,2,204,114,90,9,9,0,5
Ures,3,169,136,33,5,5,0,9
Villa Hidalgo,1,21,21,0,21,21,0,3
Villa Pesqueira,1,27,23,4,27,23,4,2
Yecora,4,42,41,1,15,14,1,5
General Plutarco Elias Calles,11,56,43,13,48,39,9,18
Benito Juarez,3,30,27,3,25,23,2,7
San Ignacio Rio Muerto,14,144,124,20,87,67,20,24
Tabasco,587,52628,37330,15298,44809,32202,12607,192
Balancan,47,878,661,217,743,572,171,8
Cardenas,57,9548,7192,2356,9548,7192,2356,5
Centla,37,2827,2011,816,2656,1851,805,18
Centro,48,3877,2150,1727,2576,1498,1078,16
Comalcalco,30,10757,7189,3568,9778,6685,3093,3
Cunduacan,41,6962,4824,2138,6606,4626,1980,3
Emiliano Zapata,10,392,235,157,380,227,153,4
Huimanguillo,90,8491,6365,2126,5382,3972,1410,33
Jalapa,17,191,157,34,159,134,25,6
Jalpa de Mendez,22,1894,1384,510,847,669,178,6
Jonuta,25,2405,1871,534,1980,1652,328,12
Macuspana,31,668,527,141,568,455,113,35
Nacajuca,22,1036,740,296,967,698,269,7
Paraiso,12,1129,725,404,1095,705,390,4
Tacotalpa,29,654,575,79,649,573,76,7
Teapa,19,371,310,61,367,306,61,2
Tenosique,50,548,414,134,508,387,121,23
Tamaulipas,629,8214,6533,1681,6436,5287,1149,762
Abasolo,9,114,106,8,112,104,8,28
Aldama,39,397,327,70,397,327,70,23
Altamira,16,181,149,32,151,126,25,23
Antiguo Morelos,7,57,51,6,56,50,6,10
Burgos,5,43,37,6,39,33,6,14
Bustamante,5,127,119,8,127,119,8,17
Camargo,4,10,9,1,9,9,0,5
Casas,5,42,42,0,12,12,0,18
Cruillas,1,23,20,3,0,0,0,9
Gomez Farias,11,138,108,30,117,91,26,14
Gonzalez,49,401,335,66,395,329,66,38
Güemez,32,418,337,81,221,177,44,9
Guerrero,2,36,25,11,15,14,1,0
Gustavo Diaz Ordaz,8,53,37,16,50,36,14,1
Hidalgo,48,435,391,44,427,383,44,14
Jaumave,18,178,158,20,148,131,17,22
Jimenez,15,119,110,9,116,107,9,7
Llera,31,266,232,34,245,214,31,23
Mainero,4,8,8,0,8,8,0,10
El Mante,40,241,164,77,197,130,67,84
Matamoros,23,1400,854,546,540,378,162,55
Mendez,7,82,71,11,33,28,5,15
Miquihuana,3,17,17,0,0,0,0,6
Nuevo Laredo,7,107,78,29,45,36,9,9
Nuevo Morelos,2,19,14,5,19,14,5,4
Ocampo,19,170,107,63,154,91,63,15
Padilla,16,148,128,20,121,102,19,4
Palmillas,1,10,10,0,0,0,0,4
Reynosa,19,343,291,52,343,291,52,55
Rio Bravo,3,54,34,20,53,33,20,20
San Carlos,18,89,82,7,89,82,7,35
San Fernando,35,795,635,160,737,579,158,32
San Nicolas,2,3,1,2,2,1,1,5
Soto la Marina,34,545,468,77,542,465,77,25
Tampico,1,2,2,0,2,2,0,0
Tula,23,426,370,56,305,262,43,37
Valle Hermoso,3,7,5,2,1,1,0,24
Victoria,22,439,377,62,344,302,42,18
Villagran,15,72,68,4,69,65,4,16
Xicotencatl,27,199,156,43,195,155,40,14
Tlaxcala,161,8702,7215,1487,7144,6032,1112,85
Amaxac de Guerrero,0,0,0,0,0,0,0,1
Atlangatepec,2,136,109,27,136,109,27,2
Altzayanca,15,191,171,20,176,156,20,3
Apizaco,3,215,210,5,215,210,5,1
Calpulalpan,10,313,295,18,299,282,17,1
El Carmen Tequexquitla,3,87,72,15,87,72,15,0
Cuapiaxtla,5,441,433,8,441,433,8,6
Cuaxomulco,0,0,0,0,0,0,0,1
Chiautempan,5,408,378,30,408,378,30,0
Muñoz de Domingo Arenas,3,34,8,26,34,8,26,1
Españita,9,297,189,108,64,54,10,2
Huamantla,3,551,248,303,481,178,303,22
Hueyotlipan,8,358,313,45,306,266,40,5
Ixtacuixtla de Mariano Matamoros,11,808,640,168,760,612,148,5
Ixtenco,1,150,135,15,150,135,15,0
Tepetitla de Lardizabal,2,26,15,11,26,15,11,0
Sanctorum de Lazaro Cardenas,4,69,57,12,62,50,12,0
Nanacamilpa de Mariano Arista,4,293,274,19,32,30,2,1
Nativitas,10,479,394,85,315,251,64,5
Panotla,4,287,251,36,133,111,22,2
Santa Cruz Tlaxcala,3,66,51,15,66,51,15,1
Teolocholco,1,107,87,20,102,82,20,1
Terrenate,3,38,28,10,28,28,0,3
Tetla de la Solidaridad,6,458,330,128,190,171,19,1
Tetlatlahuca,1,24,19,5,24,19,5,2
Tlaxcala,3,25,17,8,22,14,8,0
Tlaxco,22,1609,1457,152,1569,1446,123,7
Tocatlan,0,0,0,0,0,0,0,1
Totolac,1,118,83,35,0,0,0,0
Zitlaltepec de Trinidad Sanchez Santos,3,159,106,53,159,106,53,0
Tzompantepec,3,12,5,7,8,5,3,0
Xaloztoc,1,10,9,1,10,9,1,1
Xaltocan,0,0,0,0,0,0,0,4
Papalotla de Xicohtencatl,1,5,5,0,5,5,0,0
Xicohtzinco,0,0,0,0,0,0,0,1
Yauhquemecan,2,242,220,22,150,140,10,1
Zacatelco,1,50,30,20,50,30,20,0
Benito Juarez,1,150,130,20,150,130,20,0
Emiliano Zapata,2,345,335,10,345,335,10,0
Lazaro Cardenas,2,11,10,1,11,10,1,0
La Magdalena Tlaltelulco,0,0,0,0,0,0,0,1
San Damian Texoloc,0,0,0,0,0,0,0,1
San Jose Teacalco,1,100,75,25,100,75,25,0
San Lorenzo Axocomanitla,0,0,0,0,0,0,0,1
San Lucas Tecopilco,1,20,16,4,20,16,4,0
Santa Ana Nopalucan,1,10,10,0,10,10,0,0
Santa Apolonia Teacalco,0,0,0,0,0,0,0,1
Veracruz de Ignacio de la Llave,2454,104796,84143,20653,87737,69749,17988,1230
Acajete,0,0,0,0,0,0,0,2
Acatlan,0,0,0,0,0,0,0,1
Acayucan,21,3138,2220,918,2929,2065,864,10
Actopan,26,2752,2338,414,2338,1994,344,3
Acula,5,140,133,7,111,105,6,4
Acultzingo,13,975,702,273,974,701,273,3
Camaron de Tejeda,5,134,119,15,37,33,4,0
Alto Lucero de Gutierrez Barrios,16,3756,3458,298,3470,3207,263,0
Altotonga,9,191,113,78,158,113,45,7
Alvarado,16,764,527,237,644,472,172,3
Amatitlan,1,30,0,30,30,0,30,5
Naranjos Amatlan,8,28,19,9,12,9,3,3
Amatlan de los Reyes,15,307,249,58,288,235,53,4
angel R. Cabada,7,99,60,39,99,60,39,14
La Antigua,11,347,268,79,347,268,79,0
Apazapan,5,351,313,38,334,313,21,0
Atlahuilco,0,0,0,0,0,0,0,1
Atoyac,10,207,130,77,191,114,77,5
Atzacan,7,1138,953,185,542,443,99,0
Atzalan,32,2378,1902,476,2269,1793,476,7
Tlaltetela,9,1406,1339,67,1282,1218,64,5
Banderilla,1,30,20,10,0,0,0,0
Benito Juarez,3,17,17,0,11,11,0,20
Boca del Rio,1,70,30,40,15,11,4,2
Calcahualco,1,34,32,2,34,32,2,3
Camerino Z. Mendoza,1,14,12,2,14,12,2,0
Carrillo Puerto,1,35,30,5,0,0,0,3
Catemaco,25,365,322,43,344,305,39,5
Cazones,22,594,450,144,549,414,135,2
Cerro Azul,2,52,45,7,52,45,7,5
Citlaltepetl,1,4,3,1,0,0,0,0
Coacoatzintla,3,64,57,7,29,28,1,0
Coahuitlan,2,313,235,78,313,235,78,0
Coatepec,12,1535,1023,512,1388,931,457,2
Coatzacoalcos,2,27,21,6,27,21,6,6
Coatzintla,5,269,183,86,246,165,81,11
Coetzala,1,15,12,3,15,12,3,0
Colipa,3,173,156,17,173,156,17,0
Comapa,8,950,736,214,654,540,114,7
Cordoba,9,72,59,13,70,57,13,15
Cosamaloapan de Carpio,25,527,386,141,461,347,114,7
Coscomatepec,2,208,205,3,3,3,0,2
Cosoleacaque,9,71,53,18,46,34,12,7
Cotaxtla,11,348,250,98,316,233,83,5
Coxquihui,5,972,817,155,972,817,155,0
Coyutla,6,894,635,259,889,632,257,2
Cuichapa,2,22,12,10,22,12,10,4
Cuitlahuac,11,128,116,12,35,27,8,4
Chacaltianguis,8,291,244,47,291,244,47,4
Chalma,4,37,37,0,25,25,0,12
Chiconamel,5,38,37,1,35,35,0,6
Chiconquiaco,8,1177,1010,167,1167,1010,157,1
Chicontepec,54,1845,1623,222,1575,1378,197,30
Chinameca,10,58,49,9,53,44,9,0
Chinampa de Gorostiza,5,41,36,5,22,19,3,2
Las Choapas,84,853,614,239,735,527,208,37
Chocaman,1,115,51,64,115,51,64,2
Chontla,7,247,241,6,246,241,5,5
Chumatlan,0,0,0,0,0,0,0,1
Emiliano Zapata,26,3360,2484,876,3205,2371,834,0
Espinal,15,137,101,36,137,101,36,5
Fortin,7,1097,736,361,634,399,235,0
Gutierrez Zamora,14,180,133,47,169,128,41,1
Hidalgotitlan,23,331,272,59,311,254,57,17
Huatusco,0,0,0,0,0,0,0,10
Huayacocotla,14,570,499,71,548,479,69,11
Hueyapan de Ocampo,26,2011,1576,435,1988,1559,429,10
Huiloapan,1,120,90,30,120,90,30,0
Ignacio de la Llave,20,572,406,166,541,390,151,10
Ilamatlan,5,776,706,70,156,156,0,10
Isla,24,356,286,70,139,112,27,23
Ixcatepec,1,5,5,0,5,5,0,8
Ixhuacan de los Reyes,0,0,0,0,0,0,0,6
Ixhuatlan del Cafe,0,0,0,0,0,0,0,13
Ixhuatlancillo,2,231,181,50,231,181,50,1
Ixhuatlan del Sureste,5,170,155,15,170,155,15,7
Ixhuatlan de Madero,49,2041,1746,295,2022,1732,290,20
Ixmatlahuacan,4,61,58,3,49,48,1,4
Ixtaczoquitlan,13,3707,2525,1182,3102,2220,882,2
