INEGI. IX Censo Ejidal 2007,,,,,,,,
Ejidos y comunidades con posesionarios segun sexo y disposicion de parcela individual,,,,,,,,cuadro 14
por entidad federativa y municipio,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_posesionarios,posesionarios_total,posesionarios_total_hombres,posesionarios_total_mujeres,con_parcela_individual_total,con_parcela_individual_hombres,con_parcela_individual_mujeres,propiedades_sociales_sin_posesionarios
Matachi,2,5,4,1,5,4,1,3
Matamoros,1,19,19,0,19,19,0,7
Meoqui,2,6,6,0,0,0,0,2
Morelos,3,81,72,9,1,1,0,14
Moris,1,150,120,30,150,120,30,9
Namiquipa,7,2205,1843,362,2190,1843,347,5
Nonoava,3,207,181,26,207,181,26,0
Nuevo Casas Grandes,1,18,18,0,0,0,0,1
Ocampo,3,353,252,101,190,150,40,14
Ojinaga,6,62,45,17,49,32,17,27
Praxedis G. Guerrero,2,23,0,23,23,0,23,3
Riva Palacio,5,96,94,2,96,94,2,4
Rosales,5,145,136,9,144,135,9,6
Rosario,6,107,97,10,89,79,10,1
San Francisco de Borja,6,125,111,14,75,64,11,3
San Francisco de Conchos,2,63,63,0,63,63,0,5
San Francisco del Oro,3,46,38,8,46,38,8,1
Santa Barbara,8,61,59,2,48,46,2,1
Satevo,0,0,0,0,0,0,0,20
Saucillo,3,52,48,4,42,38,4,10
Temosachi,8,202,167,35,102,79,23,5
El Tule,2,68,63,5,40,35,5,2
Urique,26,865,714,151,525,424,101,3
Uruachi,3,200,193,7,116,112,4,16
Valle de Zaragoza,4,240,156,84,4,3,1,11
Distrito Federal,23,3630,3025,605,2440,2104,336,14
Cuajimalpa de Morelos,1,128,81,47,0,0,0,2
La Magdalena Contreras,1,200,180,20,200,180,20,2
Milpa Alta,7,665,531,134,532,420,112,1
alvaro Obregon,1,300,270,30,0,0,0,1
Tlahuac,5,1090,921,169,1087,918,169,2
Tlalpan,6,1177,997,180,581,561,20,4
Xochimilco,2,70,45,25,40,25,15,2
Durango,505,26848,22350,4498,16068,13900,2168,619
Canatlan,24,1941,1704,237,1862,1645,217,16
Canelas,1,10,7,3,0,0,0,2
Coneto de Comonfort,7,152,135,17,126,109,17,1
Cuencame,17,1271,1041,230,1204,984,220,11
Durango,67,2238,1947,291,1610,1443,167,55
General Simon Bolivar,9,506,410,96,417,328,89,12
Gomez Palacio,42,460,378,82,276,231,45,56
Guadalupe Victoria,4,1178,857,321,874,851,23,6
Guanacevi,13,150,130,20,116,97,19,27
Hidalgo,9,69,63,6,57,51,6,9
Inde,10,1477,1255,222,1402,1203,199,2
Lerdo,20,821,763,58,278,230,48,11
Mapimi,28,480,434,46,422,384,38,50
Mezquital,7,393,328,65,90,80,10,15
Nazas,10,90,69,21,79,58,21,14
Nombre de Dios,12,389,333,56,366,313,53,7
Ocampo,5,16,10,6,12,9,3,19
El Oro,21,2341,1949,392,1987,1691,296,4
Otaez,9,1351,841,510,203,173,30,5
Panuco de Coronado,9,178,135,43,163,125,38,8
Peñon Blanco,3,478,378,100,458,360,98,2
Poanas,11,343,298,45,313,268,45,9
Pueblo Nuevo,5,444,309,135,0,0,0,19
Rodeo,22,1211,1071,140,892,797,95,7
San Bernardo,0,0,0,0,0,0,0,24
San Dimas,13,519,425,94,199,168,31,36
San Juan de Guadalupe,6,122,114,8,71,63,8,15
San Juan del Rio,12,337,311,26,337,311,26,10
San Luis del Cordero,1,50,30,20,50,30,20,1
San Pedro del Gallo,4,7,7,0,7,7,0,7
Santa Clara,3,586,561,25,586,561,25,3
Santiago Papasquiaro,22,1459,1049,410,750,691,59,40
Suchil,5,36,31,5,25,20,5,5
Tamazula,22,1619,1502,117,0,0,0,27
Tepehuanes,14,1403,1063,340,10,9,1,12
Tlahualilo,14,2086,1886,200,425,284,141,43
Topia,4,110,102,8,13,13,0,11
Vicente Guerrero,5,278,220,58,139,109,30,4
Nuevo Ideal,15,249,204,45,249,204,45,14
Guanajuato,1109,39444,30844,8600,30253,24770,5483,434
Abasolo,35,1331,1163,168,1294,1136,158,12
Acambaro,48,1185,991,194,1134,950,184,21
San Miguel de Allende,45,4163,2968,1195,1015,891,124,16
Apaseo el Alto,26,520,455,65,500,442,58,2
Apaseo el Grande,28,394,311,83,309,242,67,11
Atarjea,11,463,367,96,425,346,79,1
Celaya,27,1000,848,152,956,806,150,13
Manuel Doblado,27,1047,794,253,1029,786,243,6
Comonfort,25,605,411,194,461,304,157,7
Coroneo,3,56,39,17,56,39,17,0
Cortazar,20,406,336,70,353,293,60,3
Cueramaro,10,646,501,145,642,497,145,5
Doctor Mora,5,226,196,30,209,179,30,0
Dolores Hidalgo Cuna de la Independencia Nal.,41,914,616,298,733,535,198,19
Guanajuato,25,1393,1060,333,805,565,240,4
Huanimaro,14,499,455,44,499,455,44,6
Irapuato,67,2707,2308,399,2578,2211,367,13
Jaral del Progreso,5,183,146,37,44,37,7,10
Jerecuaro,38,1152,971,181,1093,914,179,4
Leon,40,1361,1141,220,1155,990,165,10
Moroleon,4,63,45,18,48,35,13,4
Ocampo,15,250,222,28,222,198,24,1
Penjamo,88,2447,2156,291,2404,2118,286,63
Pueblo Nuevo,6,118,95,23,118,95,23,0
Purisima del Rincon,9,377,321,56,275,219,56,2
Romita,39,1051,927,124,1026,907,119,8
Salamanca,45,1420,1175,245,1395,1162,233,9
Salvatierra,34,1013,832,181,1011,831,180,24
San Diego de la Union,14,172,141,31,122,96,26,20
San Felipe,34,883,698,185,804,642,162,47
San Francisco del Rincon,20,2573,1359,1214,572,359,213,6
San Jose Iturbide,3,216,154,62,216,154,62,0
San Luis de la Paz,15,647,325,322,183,141,42,9
Santa Catarina,1,1,1,0,0,0,0,1
Santa Cruz de Juventino Rosas,20,637,453,184,607,440,167,6
Santiago Maravatio,8,45,43,2,44,42,2,1
Silao,53,1089,869,220,957,777,180,11
Tarandacuao,2,119,81,38,119,81,38,1
Tarimoro,12,291,247,44,282,242,40,2
Tierra Blanca,3,170,138,32,91,78,13,0
Uriangato,8,124,86,38,124,86,38,1
Valle de Santiago,64,2781,2262,519,1991,1589,402,34
