INEGI. IX Censo Ejidal 2007,,,,,,,,,,
"Total de ejidos y comunidades segun compravente de tierras ejidales, tipo de participantes",,,,,,,,,,Cuadro 38
y superficie vendida por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio, ejidos_y_comunidades,con_compraventa_de_tierras_ejidales_total,con_compraventa_de_tierras_ejidales_entro_ejidatarios,con_compraventa_de_tierras_ejidales_con_avecindados_o_posesionarios,con_compraventa_de_tierras_ejidales_con_personas_ajenas_al_ejido,principales_compradores_ejidatarios,principales_compradores_avecindados_o_posesionarios,principales_compradores_personas_ajenas_al_ejido,superficie_vendida_en_los_ultimos_10 años_(ha),no_reportan_compraventa
Santa Ana del Valle,C,C,0,0,0,0,0,0,0,C
Santa Ana Tavela,C,C,0,0,0,0,0,0,0,C
Santa Ana Tlapacoyan,C,C,0,0,0,0,0,0,0,C
Santa Ana Yareni,C,C,0,0,0,0,0,0,0,C
Santa Ana Zegache,C,C,1,0,0,1,0,0,0,C
Santa Catalina Quieri,C,C,0,0,0,0,0,0,0,C
Santa Catarina Cuixtla,C,C,0,0,0,0,0,0,0,C
Santa Catarina Ixtepeji,C,C,0,0,0,0,0,0,0,C
Santa Catarina Juquila,6,1,1,1,1,1,0,0,1000,5
Santa Catarina Lachatao,C,C,0,0,0,0,0,0,0,C
Santa Catarina Loxicha,C,C,0,0,0,0,0,0,0,C
Santa Catarina Mechoacan,C,C,1,1,1,1,0,0,5,C
Santa Catarina Minas,C,C,0,0,0,0,0,0,0,C
Santa Catarina Quiane,C,C,2,1,0,2,0,0,17,C
Santa Catarina Tayata,C,C,1,0,0,1,0,0,3,C
Santa Catarina Ticua,C,C,1,1,1,0,1,0,1,C
Santa Catarina Yosonotu,C,C,1,0,0,1,0,0,5,C
Santa Catarina Zapoquila,3,1,1,1,0,1,0,0,0,2
Santa Cruz Amilpas,C,C,2,2,2,0,1,1,15.25,C
Santa Cruz Itundujia,C,C,2,1,0,2,0,0,100,C
Santa Cruz Mixtepec,4,3,3,2,0,3,0,0,31,1
Santa Cruz Nundaco,C,C,1,1,0,1,0,0,3,C
Santa Cruz Papalutla,C,C,0,0,0,0,0,0,0,C
Santa Cruz Tacache de Mina,C,C,0,0,0,0,0,0,0,C
Santa Cruz Tacahua,C,C,1,0,0,1,0,0,1,C
Santa Cruz Tayata,C,C,1,1,0,1,0,0,1,C
Santa Cruz Xitla,C,C,0,0,1,0,0,1,0,C
Santa Cruz Xoxocotlan,5,5,4,3,4,1,1,3,131,0
Santa Cruz Zenzontepec,C,C,0,0,0,0,0,0,0,C
Santa Gertrudis,5,4,4,3,0,4,0,0,106,1
Santa Ines del Monte,C,C,0,0,0,0,0,0,0,C
Santa Lucia del Camino,C,C,0,0,0,0,0,0,0,C
Santa Lucia Miahuatlan,C,C,1,1,0,1,0,0,400,C
Santa Lucia Monteverde,4,4,4,1,0,3,1,0,45,0
Santa Lucia Ocotlan,C,C,1,1,0,1,0,0,50,C
Santa Maria Alotepec,3,1,1,1,0,1,0,0,12,2
Santa Maria Apazco,C,C,0,0,0,0,0,0,0,C
Heroica Ciudad de Tlaxiaco,8,3,2,3,2,1,1,1,38.5,5
Ayoquezco de Aldama,C,C,0,0,0,0,0,0,0,C
Santa Maria Atzompa,C,C,0,1,1,0,0,1,209,C
Santa Maria Camotlan,C,C,0,0,0,0,0,0,0,C
Santa Maria Colotepec,C,C,1,1,1,0,0,1,500,C
Santa Maria Cortijo,C,C,1,1,0,0,1,0,400,C
Santa Maria Coyotepec,C,C,1,1,0,1,0,0,12,C
Santa Maria Chachoapam,C,C,1,1,0,0,1,0,0,C
Villa de Chilapa de Diaz,4,0,0,0,0,0,0,0,0,4
Santa Maria Chilchotla,5,2,2,0,0,2,0,0,9,3
Santa Maria Chimalapa,3,1,1,1,0,1,0,0,100,2
Santa Maria del Rosario,C,C,0,0,0,0,0,0,0,C
Santa Maria del Tule,3,2,2,2,1,1,0,1,51,1
Santa Maria Ecatepec,9,0,0,0,0,0,0,0,0,9
Santa Maria Guelace,C,C,1,1,0,1,0,0,33,C
Santa Maria Guienagati,C,C,0,0,0,0,0,0,0,C
Santa Maria Huatulco,C,C,0,0,1,0,0,1,200,C
Santa Maria Huazolotitlan,6,6,5,5,5,5,1,0,480,0
Santa Maria Ipalapa,3,3,3,1,0,3,0,0,215,0
Santa Maria Ixcatlan,C,C,1,0,0,1,0,0,5,C
Santa Maria Jacatepec,15,9,9,6,3,6,2,1,274,6
Santa Maria Jalapa del Marques,C,C,1,0,0,1,0,0,1000,C
Santa Maria Jaltianguis,C,C,0,0,0,0,0,0,0,C
Santa Maria Mixtequilla,C,C,1,1,1,1,0,0,5,C
Santa Maria Nativitas,C,C,0,0,0,0,0,0,0,C
Santa Maria Nduayaco,3,1,1,0,0,1,0,0,2,2
Santa Maria Papalo,C,C,0,0,0,0,0,0,0,C
Santa Maria Peñoles,4,0,0,0,0,0,0,0,0,4
Santa Maria Petapa,C,C,1,1,1,1,0,0,1000,C
Santa Maria Quiegolani,C,C,1,0,0,1,0,0,200,C
Santa Maria Sola,4,1,1,1,0,1,0,0,10,3
Santa Maria Tataltepec,C,C,0,0,0,0,0,0,0,C
Santa Maria Tecomavaca,C,C,1,0,0,1,0,0,10,C
Santa Maria Temaxcalapa,C,C,1,0,0,1,0,0,15,C
Santa Maria Temaxcaltepec,C,C,0,0,0,0,0,0,0,C
Santa Maria Teopoxco,C,C,1,1,0,1,0,0,5,C
Santa Maria Tepantlali,C,C,0,0,0,0,0,0,0,C
Santa Maria Texcatitlan,C,C,1,1,0,1,0,0,3,C
Santa Maria Tlahuitoltepec,C,C,1,0,0,1,0,0,12,C
Santa Maria Tlalixtac,C,C,1,1,1,1,0,0,20,C
Santa Maria Tonameca,C,C,1,1,1,0,0,1,2000,C
Santa Maria Totolapilla,C,C,0,0,0,0,0,0,0,C
Santa Maria Yalina,C,C,0,0,0,0,0,0,0,C
Santa Maria Yolotepec,C,C,0,0,0,0,0,0,0,C
Santa Maria Yosoyua,C,C,0,0,0,0,0,0,0,C
Santa Maria Yucuhiti,C,C,1,1,0,0,1,0,40,C
Santa Maria Zacatepec,C,C,1,1,0,1,0,0,200,C
Santa Maria Zaniza,C,C,0,0,0,0,0,0,0,C
Santa Maria Zoquitlan,C,C,1,0,0,1,0,0,20,C
Santiago Amoltepec,C,C,1,1,0,1,0,0,50,C
Santiago Apoala,C,C,1,0,0,1,0,0,15,C
Santiago Astata,C,C,0,0,0,0,0,0,0,C
Santiago Atitlan,C,C,0,0,0,0,0,0,0,C
Santiago Ayuquililla,C,C,1,1,0,0,0,1,4,C
Santiago Cacaloxtepec,C,C,1,0,0,1,0,0,5,C
Santiago Camotlan,4,1,1,0,0,1,0,0,12,3
Santiago Comaltepec,C,C,0,0,0,0,0,0,0,C
Santiago Chazumba,10,0,0,0,0,0,0,0,0,10
Santiago Choapam,6,1,1,1,0,1,0,0,200,5
Santiago del Rio,C,C,1,0,0,1,0,0,10,C
Santiago Huajolotitlan,7,5,3,3,2,4,1,0,16,2
Santiago Huauclilla,4,1,1,0,0,1,0,0,2,3
Santiago Ihuitlan Plumas,C,C,2,1,0,2,0,0,15,C
Santiago Ixcuintepec,C,C,1,1,1,1,0,0,0,C
Santiago Ixtayutla,7,2,2,2,0,2,0,0,130,5
Santiago Jamiltepec,6,5,5,2,2,4,1,0,552.5,1
Santiago Jocotepec,23,10,9,4,3,8,1,1,419,13
Santiago Juxtlahuaca,10,4,4,2,1,2,2,0,24,6
Santiago Lachiguiri,C,C,1,1,0,1,0,0,15,C
Santiago Lalopa,C,C,0,0,0,0,0,0,0,C
Santiago Laollaga,C,C,1,1,1,0,0,1,40,C
Santiago Laxopa,3,0,0,0,0,0,0,0,0,3
Santiago Llano Grande,3,2,2,2,1,2,0,0,170,1
Santiago Matatlan,3,1,1,1,1,1,0,0,2,2
Santiago Minas,C,C,1,0,0,1,0,0,5,C
Santiago Nacaltepec,5,0,0,0,0,0,0,0,0,5
Santiago Nejapilla,C,C,0,0,0,0,0,0,0,C
Santiago Nundiche,C,C,0,0,0,0,0,0,0,C
Santiago Nuyoo,3,1,1,0,0,1,0,0,2,2
Santiago Pinotepa Nacional,23,20,19,19,15,12,2,6,1880,3
Santiago Suchilquitongo,6,5,4,4,2,3,1,1,56.25,1
Santiago Tamazola,4,0,0,0,0,0,0,0,0,4
Santiago Tapextla,3,2,2,2,2,1,0,1,90,1
Villa Tejupam de la Union,C,C,1,1,1,0,1,0,1,C
Santiago Tenango,C,C,0,0,0,0,0,0,0,C
Santiago Tepetlapa,C,C,0,0,0,0,0,0,0,C
Santiago Tetepec,6,1,1,1,0,1,0,0,10,5
Santiago Texcalcingo,C,C,0,0,0,0,0,0,0,C
Santiago Textitlan,C,C,0,0,0,0,0,0,0,C
Santiago Tilantongo,C,C,0,0,0,0,0,0,0,C
Santiago Tillo,C,C,2,0,0,2,0,0,13,C
Santiago Tlazoyaltepec,C,C,0,0,0,0,0,0,0,C
Santiago Xanica,C,C,0,0,0,0,0,0,0,C
Santiago Xiacui,3,0,0,0,0,0,0,0,0,3
Santiago Yaitepec,C,C,1,0,0,1,0,0,100,C
Santiago Yaveo,8,5,5,3,1,4,1,0,430,3
Santiago Yosondua,4,0,0,0,0,0,0,0,0,4
Santiago Yucuyachi,C,C,1,0,0,1,0,0,2,C
Santiago Zacatepec,3,0,0,0,0,0,0,0,0,3
Santiago Zoochila,C,C,1,0,0,1,0,0,1,C
Nuevo Zoquiapam,C,C,0,0,0,0,0,0,0,C
Santo Domingo Ingenio,C,C,1,1,0,1,0,0,1000,C
Santo Domingo Albarradas,C,C,0,0,0,0,0,0,0,C
Santo Domingo Armenta,C,C,1,1,0,1,0,0,210,C
Santo Domingo Chihuitan,C,C,1,0,0,1,0,0,100,C
Santo Domingo de Morelos,C,C,0,0,0,0,0,0,0,C
Santo Domingo Ixcatlan,C,C,0,0,0,0,0,0,0,C
Santo Domingo Nuxaa,C,C,1,0,0,1,0,0,20,C
Santo Domingo Ozolotepec,C,C,0,0,0,0,0,0,0,C
Santo Domingo Petapa,C,C,1,1,1,0,1,0,20,C
Santo Domingo Roayaga,C,C,0,0,0,0,0,0,0,C
Santo Domingo Tehuantepec,17,9,6,8,8,4,2,3,472,8
Santo Domingo Teojomulco,C,C,1,0,0,1,0,0,20,C
Santo Domingo Tepuxtepec,C,C,1,0,0,1,0,0,500,C
Santo Domingo Tlatayapam,C,C,0,0,0,0,0,0,0,C
Santo Domingo Tomaltepec,C,C,0,0,0,0,0,0,0,C
Santo Domingo Tonala,4,2,2,0,0,2,0,0,12,2
Santo Domingo Tonaltepec,C,C,0,0,0,0,0,0,0,C
Santo Domingo Xagacia,C,C,1,0,0,1,0,0,6,C
Santo Domingo Yanhuitlan,C,C,0,0,0,0,0,0,0,C
Santo Domingo Zanatepec,6,5,5,3,1,5,0,0,1082,1
Santos Reyes Nopala,4,3,3,2,1,2,1,0,49,1
Santos Reyes Papalo,C,C,1,1,0,1,0,0,2,C
Santos Reyes Tepejillo,C,C,0,0,0,0,0,0,0,C
Santos Reyes Yucuna,C,C,0,0,0,0,0,0,0,C
Santo Tomas Jalieza,5,3,3,1,0,3,0,0,32,2
Santo Tomas Mazaltepec,C,C,0,0,0,0,0,0,0,C
Santo Tomas Ocotepec,C,C,1,1,0,1,0,0,300,C
San Vicente Coatlan,C,C,1,0,0,1,0,0,5,C
San Vicente Lachixio,C,C,2,0,0,2,0,0,9,C
San Vicente Nuñu,C,C,1,0,0,1,0,0,8,C
Silacayoapam,9,4,4,0,0,4,0,0,19,5
Soledad Etla,C,C,1,1,1,0,0,1,30,C
Villa de Tamazulapam del Progreso,C,C,1,1,1,1,0,0,10,C
Tanetze de Zaragoza,C,C,1,0,0,1,0,0,30,C
Taniche,C,C,1,1,1,0,0,1,50,C
Tataltepec de Valdes,C,C,0,0,0,0,0,0,0,C
Teococuilco de Marcos Perez,C,C,0,0,0,0,0,0,0,C
Teotitlan de Flores Magon,C,C,1,1,1,0,1,0,20,C
Teotitlan del Valle,C,C,2,2,1,2,0,0,6,C
Teotongo,C,C,0,0,0,0,0,0,0,C
Tepelmeme Villa de Morelos,C,C,0,0,0,0,0,0,0,C
Tezoatlan de Segura y Luna,9,3,3,0,0,3,0,0,824,6
San Jeronimo Tlacochahuaya,3,2,2,1,1,1,1,0,50,1
Tlacolula de Matamoros,6,3,2,2,1,1,1,1,13,3
Tlacotepec Plumas,C,C,0,0,0,0,0,0,0,C
Tlalixtac de Cabrera,C,C,0,0,0,0,0,0,0,C
Totontepec Villa de Morelos,11,1,1,1,0,1,0,0,10,10
Trinidad Zaachila,5,4,3,2,1,3,0,1,85,1
La Trinidad Vista Hermosa,C,C,1,0,0,1,0,0,12,C
Valerio Trujano,C,C,1,1,0,1,0,0,10,C
San Juan Bautista Valle Nacional,24,10,10,4,2,9,1,0,124,14
Villa Diaz Ordaz,3,1,1,0,0,1,0,0,0.5,2
Yaxe,C,C,0,0,0,0,0,0,0,C
Magdalena Yodocono de Porfirio Diaz,C,C,0,0,0,0,0,0,0,C
Yogana,C,C,1,0,0,1,0,0,150,C
Yutanduchi de Guerrero,C,C,0,0,0,0,0,0,0,C
Villa de Zaachila,3,3,3,2,1,3,0,0,515,0
Zapotitlan del Rio,C,C,0,0,0,0,0,0,0,C
Zapotitlan Lagunas,C,C,0,0,0,0,0,0,0,C
Zapotitlan Palmas,C,C,1,0,0,1,0,0,0,C
Santa Ines de Zaragoza,C,C,0,0,0,0,0,0,0,C
Zimatlan de alvarez,8,1,1,1,0,1,0,0,6,7
Puebla,1194,778,692,433,313,557,101,120,33794.66,416
Acajete,8,5,5,3,1,4,1,0,131,3
Acateno,4,2,1,1,1,0,1,1,30,2
Acatlan,16,10,9,2,4,8,0,2,123,6
Acatzingo,9,8,8,7,4,4,3,1,723,1
Acteopan,C,C,1,1,1,1,0,0,150,C
Ahuacatlan,C,C,1,0,1,0,0,1,15,C
Ahuatlan,C,C,1,0,0,1,0,0,50,C
Ahuazotepec,6,3,2,1,2,2,0,1,15,3
Ahuehuetitla,3,1,1,0,0,1,0,0,15,2
Ajalpan,10,4,2,3,4,1,1,2,107,6
Albino Zertuche,C,C,0,0,0,0,0,0,0,C
Aljojuca,4,4,4,2,3,4,0,0,115,0
Altepexi,C,C,2,1,0,2,0,0,45,C
Amixtlan,C,C,0,0,0,0,0,0,0,C
Amozoc,7,6,4,3,4,2,0,4,567,1
Aquixtla,5,1,1,1,1,1,0,0,30,4
Atexcal,9,5,5,2,1,5,0,0,50,4
Atlixco,29,20,15,11,15,7,2,11,864.99,9
Atoyatempan,C,C,1,0,0,1,0,0,5,C
Atzala,C,C,1,1,1,1,0,0,40,C
Atzitzihuacan,9,4,4,2,0,4,0,0,334,5
Atzitzintla,5,4,4,2,0,3,1,0,65,1
Axutla,C,C,0,0,0,0,0,0,0,C
Ayotoxco de Guerrero,3,3,3,3,3,0,1,2,190,0
Calpan,3,0,0,0,0,0,0,0,0,3
Caltepec,9,1,1,1,0,1,0,0,10,8
Camocuautla,C,C,0,0,0,0,0,0,0,C
Caxhuacan,C,C,0,0,1,0,0,1,4,C
Coatzingo,C,C,1,0,0,1,0,0,3,C
Cohetzala,3,2,2,0,0,2,0,0,2.5,1
Cohuecan,C,C,1,1,0,1,0,0,10,C
Coronango,3,3,2,1,1,2,0,1,74,0
Coxcatlan,9,3,3,1,1,2,0,1,30,6
Coyomeapan,3,0,0,0,0,0,0,0,0,3
Coyotepec,4,0,0,0,0,0,0,0,0,4
Cuapiaxtla de Madero,C,C,0,1,1,0,1,0,20,C
Cuautempan,C,C,0,0,0,0,0,0,0,C
Cuautinchan,7,6,3,3,4,2,1,3,194,1
Cuautlancingo,3,2,1,1,1,1,0,1,50,1
Cuayuca de Andrade,5,1,1,0,0,1,0,0,100,4
Cuetzalan del Progreso,C,C,0,0,0,0,0,0,0,C
Cuyoaco,11,11,11,4,1,9,2,0,1463,0
Chalchicomula de Sesma,24,23,23,21,12,16,5,2,1397,1
Chapulco,C,C,0,0,0,0,0,0,0,C
Chiautla,6,3,2,2,1,2,0,1,49,3
Chiautzingo,5,5,5,3,0,5,0,0,70,0
Chiconcuautla,C,C,1,0,0,1,0,0,15,C
Chietla,21,12,10,9,5,7,4,1,1370,9
Chignahuapan,45,31,27,14,5,24,4,3,1042,14
Chignautla,C,C,1,0,0,1,0,0,1,C
Chila,4,2,1,0,1,1,0,1,9,2
Chila de la Sal,C,C,0,0,0,0,0,0,0,C
Honey,C,C,0,0,0,0,0,0,0,C
Chilchotla,C,C,2,1,1,2,0,0,315,C
Chinantla,3,2,1,0,1,1,0,1,10,1
Domingo Arenas,C,C,1,1,0,1,0,0,0,C
Eloxochitlan,C,C,2,2,1,2,0,0,70,C
Epatlan,4,3,2,3,2,1,2,0,45,1
Esperanza,9,9,8,5,1,7,1,1,725,0
Francisco Z. Mena,21,14,11,6,10,10,1,3,463,7
General Felipe angeles,5,5,4,2,3,4,0,1,205,0
Guadalupe,3,2,2,0,1,1,0,1,50,1
Guadalupe Victoria,10,9,7,3,4,7,0,2,565,1
Huaquechula,26,17,16,10,6,11,4,2,162,9
Huatlatlauca,8,1,1,0,0,1,0,0,8,7
Huauchinango,4,2,1,1,1,1,0,1,17.39,2
Huehuetlan el Chico,4,0,0,0,0,0,0,0,0,4
Huejotzingo,11,11,9,5,5,9,0,2,264,0
Hueytamalco,9,8,8,4,4,3,2,3,217,1
Hueytlalpan,C,C,1,0,0,1,0,0,3,C
Huitzilan de Serdan,C,C,1,1,0,1,0,0,15,C
Ixcamilpa de Guerrero,4,1,1,0,0,1,0,0,297,3
Ixcaquixtla,7,5,5,3,1,5,0,0,45,2
Ixtacamaxtitlan,24,14,14,7,3,12,2,0,225.5,10
Izucar de Matamoros,26,14,13,7,5,10,2,2,357,12
Jalpan,7,3,2,2,0,2,1,0,35,4
Jolalpan,9,3,3,0,1,3,0,0,70,6
Jonotla,4,1,0,0,1,0,0,1,40,3
Jopala,C,C,1,1,0,1,0,0,5,C
Juan C. Bonilla,C,C,2,2,1,1,0,1,30,C
Juan N. Mendez,3,2,2,1,1,2,0,0,25,1
Lafragua,7,5,5,1,1,5,0,0,105,2
Libres,6,5,5,5,5,4,0,1,681,1
La Magdalena Tlatlauquitepec,C,C,0,0,0,0,0,0,0,C
Mazapiltepec de Juarez,3,3,3,0,1,3,0,0,37,0
Mixtla,C,C,1,1,1,1,0,0,3,C
Molcaxac,9,6,5,6,1,4,2,0,51,3
Cañada Morelos,5,4,4,4,1,4,0,0,525,1
Nicolas Bravo,C,C,2,0,0,2,0,0,39,C
Nopalucan,6,4,4,1,0,3,1,0,117,2
Ocotepec,C,C,0,0,0,0,0,0,0,C
Ocoyucan,11,10,5,6,5,3,3,4,248.5,1
Olintla,C,C,1,0,0,1,0,0,8,C
Oriental,7,6,4,4,5,3,1,2,1006,1
Pahuatlan,C,C,0,0,0,0,0,0,0,C
Palmar de Bravo,14,8,8,5,0,8,0,0,317,6
Pantepec,16,11,11,6,3,11,0,0,187,5
Petlalcingo,8,3,2,3,2,2,0,1,36,5
Piaxtla,5,1,1,0,1,1,0,0,15,4
Puebla,20,9,7,5,5,3,0,6,406,11
Quecholac,12,12,9,11,9,7,2,3,393,0
Rafael Lara Grajales,C,C,1,0,0,1,0,0,24,C
Los Reyes de Juarez,3,3,3,3,0,3,0,0,145,0
San Andres Cholula,6,2,2,2,2,0,0,2,209,4
San Antonio Cañada,C,C,1,1,0,1,0,0,2,C
San Diego la Mesa Tochimiltzingo,4,3,3,0,1,3,0,0,10.75,1
San Felipe Teotlalcingo,3,3,3,1,0,3,0,0,125,0
San Gabriel Chilac,4,0,0,0,0,0,0,0,0,4
San Jeronimo Tecuanipan,3,3,3,2,1,2,1,0,33,0
San Jeronimo Xayacatlan,3,0,0,0,0,0,0,0,0,3
San Jose Chiapa,7,5,5,3,2,5,0,0,97,2
San Jose Miahuatlan,8,5,4,0,0,5,0,0,41,3
San Juan Atenco,5,5,4,4,1,4,0,1,482,0
San Martin Texmelucan,11,11,9,10,11,4,2,5,236,0
San Martin Totoltepec,C,C,0,0,0,0,0,0,0,C
San Matias Tlalancaleca,3,3,3,2,2,2,1,0,45,0
San Miguel Xoxtla,C,C,1,1,0,1,0,0,15,C
San Nicolas Buenos Aires,7,7,7,2,3,6,0,1,1308,0
San Nicolas de los Ranchos,3,1,1,0,0,1,0,0,2,2
San Pablo Anicano,6,4,4,2,0,4,0,0,37,2
San Pedro Cholula,3,1,1,1,1,1,0,0,5,2
San Pedro Yeloixtlahuaca,C,C,2,1,1,2,0,0,70,C
San Salvador el Seco,4,4,4,2,1,4,0,0,555,0
San Salvador el Verde,8,6,6,4,1,4,2,0,161,2
San Salvador Huixcolotla,C,C,1,1,1,0,0,1,30,C
San Sebastian Tlacotepec,C,C,1,1,1,1,0,0,25,C
Santa Catarina Tlaltempan,C,C,0,0,0,0,0,0,0,C
Santa Ines Ahuatempan,C,C,0,0,0,0,0,0,0,C
Santa Isabel Cholula,4,2,2,0,0,2,0,0,8,2
Santiago Miahuatlan,3,2,2,2,1,0,2,0,205,1
Huehuetlan el Grande,13,3,3,1,1,3,0,0,70,10
Santo Tomas Hueyotlipan,C,C,2,1,0,2,0,0,38,C
Soltepec,7,6,6,2,0,6,0,0,186,1
Tecali de Herrera,12,7,5,3,2,5,1,1,75,5
Tecamachalco,18,17,16,13,9,15,2,0,2365,1
Tecomatlan,3,1,1,0,0,1,0,0,20,2
Tehuacan,12,7,4,6,6,2,1,4,843.78,5
Tehuitzingo,10,4,3,1,0,3,1,0,25,6
Tenampulco,8,6,6,5,5,5,0,1,412,2
Teopantlan,3,2,2,1,1,2,0,0,1.5,1
Teotlalco,4,2,2,2,1,2,0,0,110,2
Tepanco de Lopez,7,4,4,4,2,2,0,2,230,3
Tepatlaxco de Hidalgo,C,C,2,1,0,2,0,0,20,C
Tepeaca,23,19,17,17,7,8,9,2,776,4
Tepemaxalco,3,2,2,0,0,2,0,0,6,1
Tepeojuma,8,6,6,3,1,5,1,0,74.25,2
Tepetzintla,3,3,3,1,0,3,0,0,10,0
Tepexco,4,1,1,0,0,1,0,0,15,3
Tepexi de Rodriguez,12,6,6,3,0,5,1,0,59,6
Tepeyahualco,14,12,12,9,4,8,4,0,1213,2
Tepeyahualco de Cuauhtemoc,C,C,0,1,1,0,0,1,30,C
Tetela de Ocampo,4,0,0,0,0,0,0,0,0,4
Teziutlan,C,C,2,0,0,2,0,0,16,C
Tianguismanalco,6,1,1,0,0,1,0,0,7,5
Tilapa,7,6,3,4,2,2,4,0,236,1
Tlacotepec de Benito Juarez,18,13,13,9,3,11,1,1,509,5
Tlacuilotepec,4,4,4,1,0,4,0,0,34,0
Tlachichuca,24,22,22,14,17,19,0,3,1226,2
Tlahuapan,18,14,13,9,5,10,2,2,251.5,4
Tlanepantla,C,C,1,2,1,0,2,0,5,C
Tlapacoya,3,3,3,0,1,3,0,0,24,0
Tlapanala,6,6,6,2,2,6,0,0,110,0
Tlatlauquitepec,4,2,2,0,0,2,0,0,107,2
Tlaxco,C,C,0,0,1,0,0,1,7,C
Tochimilco,12,5,5,0,0,5,0,0,70,7
Tochtepec,4,3,2,3,1,0,3,0,40,1
Totoltepec de Guerrero,3,0,0,0,0,0,0,0,0,3
Tulcingo,C,C,1,0,0,1,0,0,40,C
Tuzamapan de Galeana,C,C,1,0,0,1,0,0,1,C
Tzicatlacoyan,7,3,2,1,2,2,0,1,27,4
Venustiano Carranza,12,9,9,4,6,4,1,4,694,3
Vicente Guerrero,4,2,1,2,1,1,1,0,315,2
Xayacatlan de Bravo,C,C,0,0,0,0,0,0,0,C
Xicotepec,10,8,8,5,3,6,2,0,240,2
Xicotlan,C,C,0,0,0,0,0,0,0,C
Xiutetelco,3,0,0,0,0,0,0,0,0,3
Xochiapulco,C,C,1,0,1,0,0,1,10,C
Xochiltepec,3,0,0,0,0,0,0,0,0,3
Xochitlan de Vicente Suarez,C,C,0,0,0,0,0,0,0,C
Xochitlan Todos Santos,3,2,1,1,2,0,1,1,10,1
Yehualtepec,9,6,5,1,1,5,0,1,100,3
Zacapala,7,3,3,1,0,3,0,0,28,4
Zacapoaxtla,10,7,7,3,3,7,0,0,85,3
Zacatlan,18,14,11,5,5,10,2,2,219,4
Zapotitlan,7,3,3,1,1,2,1,0,46,4
Zaragoza,C,C,2,0,1,1,0,1,22,C
Zautla,8,6,6,5,2,6,0,0,146,2
Zihuateutla,8,8,8,6,6,5,1,2,670,0
Zinacatepec,C,C,1,1,1,0,1,0,20,C
Zoquiapan,C,C,1,1,2,1,0,1,12,C
Zoquitlan,C,C,0,0,0,0,0,0,0,C
Queretaro,378,265,152,153,194,69,40,156,12216.77,113
Amealco de Bonfil,23,17,16,14,8,12,3,2,441,6
Pinal de Amoles,19,10,9,9,3,7,1,2,83.02,9
Arroyo Seco,13,7,6,4,1,7,0,0,33,6
Cadereyta de Montes,38,13,8,8,5,7,3,3,73.5,25
Colon,42,31,12,12,25,2,6,23,1335,11
Corregidora,16,16,7,14,15,4,2,10,2251,0
Ezequiel Montes,8,3,3,2,3,0,1,2,181,5
Huimilpan,16,15,8,11,13,1,1,13,588,1
Jalpan de Serra,6,6,5,3,2,5,0,1,62,0
Landa de Matamoros,4,1,0,0,1,0,0,1,0,3
El Marques,39,31,13,14,29,2,4,25,1753,8
Pedro Escobedo,19,16,5,4,12,2,2,12,1415,3
Peñamiller,16,6,3,6,1,2,3,1,15,10
Queretaro,41,33,23,20,29,5,3,25,2378,8
San Joaquin,4,1,0,1,1,0,0,1,5,3
San Juan del Rio,52,44,27,26,36,10,6,28,1234.75,8
Tequisquiapan,12,11,6,4,9,2,3,6,364,1
Toliman,10,4,1,1,1,1,2,1,4.5,6
Quintana Roo,282,75,65,54,41,41,19,15,27251,207
Cozumel,C,C,1,1,0,0,1,0,200,C
Felipe Carrillo Puerto,55,4,4,2,2,4,0,0,710,51
Isla Mujeres,C,C,1,1,1,0,0,1,5500,C
Othon P. Blanco,105,54,47,42,30,31,14,9,14757,51
Benito Juarez,C,C,3,3,3,1,2,0,0,C
Jose Maria Morelos,65,5,5,1,1,4,0,1,178,60
Lazaro Cardenas,34,2,2,1,1,1,0,1,106,32
Solidaridad,17,5,2,3,3,0,2,3,5800,12
San Luis Potosi,1421,857,723,400,409,530,85,242,70549.39,564
Ahualulco,14,2,2,2,0,2,0,0,30,12
Alaquines,11,9,9,3,2,9,0,0,274,2
Aquismon,28,23,21,17,8,15,6,2,992.25,5
Armadillo de los Infante,7,3,2,2,2,1,1,1,85,4
Cardenas,C,C,4,2,2,4,0,0,705,C
Catorce,21,4,2,1,1,2,1,1,538,17
Cedral,29,23,20,3,9,18,0,5,889,6
Cerritos,18,12,11,5,3,7,1,4,385,6
Cerro de San Pedro,5,2,1,2,2,0,1,1,17.25,3
Ciudad del Maiz,28,19,18,10,7,16,0,3,631,9
Ciudad Fernandez,15,12,6,1,6,6,0,6,310,3
Tancanhuitz,26,11,9,5,1,9,1,1,82.25,15
Ciudad Valles,60,45,33,27,35,14,10,21,15021.75,15
Coxcatlan,28,5,4,3,1,4,0,1,25,23
Charcas,27,10,9,1,0,10,0,0,532,17
ebano,92,76,63,41,57,38,4,34,5168.5,16
Guadalcazar,52,26,26,6,6,25,0,1,2372.5,26
Huehuetlan,13,2,2,2,2,1,0,1,90,11
Lagunillas,7,3,3,3,1,2,0,1,110,4
Matehuala,44,34,27,10,23,18,0,16,1151.1,10
Mexquitic de Carmona,30,14,11,5,4,10,1,3,128,16
Moctezuma,30,19,17,2,1,17,1,1,228.25,11
Rayon,8,7,7,5,0,6,1,0,470,1
