INEGI. IX Censo Ejidal 2007,,,,,,,,,,
"Total de ejidos y comunidades segun compravente de tierras ejidales, tipo de participantes",,,,,,,,,,Cuadro 38
y superficie vendida por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio, ejidos_y_comunidades,con_compraventa_de_tierras_ejidales_total,con_compraventa_de_tierras_ejidales_entro_ejidatarios,con_compraventa_de_tierras_ejidales_con_avecindados_o_posesionarios,con_compraventa_de_tierras_ejidales_con_personas_ajenas_al_ejido,principales_compradores_ejidatarios,principales_compradores_avecindados_o_posesionarios,principales_compradores_personas_ajenas_al_ejido,superficie_vendida_en_los_ultimos_10 años_(ha),no_reportan_compraventa
Tamazula,49,6,6,4,3,4,0,2,360,43
Tepehuanes,26,18,17,8,8,17,0,1,306.5,8
Tlahualilo,57,28,21,14,13,13,7,8,2649.75,29
Topia,15,1,0,0,1,0,0,1,3,14
Vicente Guerrero,9,9,8,6,7,3,1,5,1067,0
Nuevo Ideal,29,26,24,12,13,20,2,4,2696.7,3
Guanajuato,1543,1107,885,577,607,640,139,328,35894.11,436
Abasolo,47,39,28,22,27,18,7,14,912.75,8
Acambaro,69,50,46,30,22,39,4,7,1381,19
San Miguel de Allende,61,30,18,16,25,11,2,17,701.25,31
Apaseo el Alto,28,23,14,17,15,8,7,8,736.5,5
Apaseo el Grande,39,30,27,17,15,19,6,5,1412.67,9
Atarjea,12,5,5,3,0,5,0,0,0,7
Celaya,40,35,29,19,22,17,2,16,1536.5,5
Manuel Doblado,33,28,22,14,13,20,1,7,968,5
Comonfort,32,22,18,14,17,13,1,8,430,10
Coroneo,C,C,3,3,0,3,0,0,85,C
Cortazar,23,18,14,14,9,8,6,4,333.5,5
Cueramaro,15,12,10,8,8,3,2,7,497,3
Doctor Mora,5,1,1,1,1,0,1,0,100,4
Dolores Hidalgo Cuna de la Independencia Nal.,60,28,19,12,21,8,4,16,647.32,32
Guanajuato,29,18,15,14,8,10,3,5,524.62,11
Huanimaro,20,18,17,6,6,14,1,3,202.5,2
Irapuato,80,70,60,41,41,42,11,17,2617,10
Jaral del Progreso,15,11,6,3,7,4,2,5,361,4
Jerecuaro,42,32,30,18,9,19,9,4,649.5,10
Leon,50,44,34,28,31,14,6,24,4167,6
Moroleon,8,2,0,0,1,1,0,1,10,6
Ocampo,16,13,10,9,11,6,1,6,504.25,3
Penjamo,151,113,100,48,51,84,5,24,2601.5,38
Pueblo Nuevo,6,5,4,3,5,4,0,1,250,1
Purisima del Rincon,11,11,9,9,7,8,0,3,664,0
Romita,47,38,26,19,25,17,8,13,1003,9
Salamanca,54,39,27,18,20,16,9,14,892.18,15
Salvatierra,58,47,40,22,26,32,4,11,805,11
San Diego de la Union,34,12,7,6,4,6,3,3,435,22
San Felipe,81,47,37,21,21,27,6,14,2064,34
San Francisco del Rincon,26,22,14,8,12,12,2,8,853,4
San Jose Iturbide,3,2,1,1,1,0,1,1,10,1
San Luis de la Paz,24,9,5,7,3,3,3,3,455.5,15
Santa Catarina,C,C,0,0,0,0,0,0,0,C
Santa Cruz de Juventino Rosas,26,21,17,11,18,8,3,10,575.55,5
Santiago Maravatio,9,5,4,1,0,4,1,0,50,4
Silao,64,51,41,24,25,32,4,15,2588.74,13
Tarandacuao,3,3,3,2,2,3,0,0,97.75,0
Tarimoro,14,11,10,6,5,10,0,1,205,3
Tierra Blanca,3,0,0,0,0,0,0,0,0,3
Uriangato,9,6,4,3,4,3,0,3,374,3
Valle de Santiago,98,71,57,23,36,41,7,23,1612.5,27
Victoria,15,5,4,3,2,4,1,0,126,10
Villagran,11,11,10,7,11,9,1,1,704,0
Xichu,14,0,0,0,0,0,0,0,0,14
Yuriria,53,46,39,26,20,35,5,6,750.03,7
Guerrero,1259,858,789,453,289,671,91,96,86438.52,401
Acapulco de Juarez,45,31,24,23,16,14,12,5,2272.22,14
Ahuacuotzingo,28,13,13,2,0,13,0,0,150.1,15
Ajuchitlan del Progreso,39,20,19,6,4,16,1,3,511,19
Alcozauca de Guerrero,14,6,4,2,0,4,2,0,108,8
Alpoyeca,5,4,3,1,0,3,1,0,33,1
Apaxtla,4,1,1,0,0,1,0,0,24,3
Arcelia,23,16,10,9,7,8,3,5,617,7
Atenango del Rio,14,8,8,1,0,8,0,0,173,6
Atlamajalcingo del Monte,7,0,0,0,0,0,0,0,0,7
Atlixtac,5,3,3,3,0,2,1,0,390,2
Atoyac de alvarez,36,29,27,27,10,21,7,1,3631,7
Ayutla de los Libres,28,20,19,16,15,12,3,5,1007,8
Azoyu,11,10,9,8,3,7,2,1,1315,1
Benito Juarez,6,5,5,3,4,3,2,0,155,1
Buenavista de Cuellar,7,6,6,6,3,4,1,1,275,1
Coahuayutla de Jose Maria Izazaga,35,24,24,13,4,23,0,1,4860,11
Cocula,16,11,11,3,1,11,0,0,157.56,5
Copala,6,3,3,1,1,3,0,0,610,3
Copalillo,9,6,6,2,1,5,1,0,490,3
Copanatoyac,8,8,8,0,0,8,0,0,71,0
Coyuca de Benitez,32,27,26,27,19,17,4,6,2364,5
Coyuca de Catalan,56,39,36,10,3,35,3,1,3013,17
Cuajinicuilapa,11,11,11,10,9,10,0,1,2098.08,0
Cualac,C,C,0,0,0,0,0,0,0,C
Cuautepec,5,1,1,0,0,1,0,0,0,4
Cuetzala del Progreso,12,5,5,1,0,5,0,0,125,7
Cutzamala de Pinzon,33,25,23,2,4,23,0,2,1182,8
Chilapa de alvarez,45,35,32,11,1,32,2,1,286.5,10
Chilpancingo de los Bravo,31,15,14,9,7,12,2,1,2873,16
Florencio Villarreal,C,C,0,1,1,0,0,1,2500,C
General Canuto A. Neri,5,4,2,3,3,2,0,2,396,1
General Heliodoro Castillo,7,4,4,2,1,4,0,0,1135,3
Huamuxtitlan,8,8,8,2,0,7,1,0,51,0
Huitzuco de los Figueroa,21,21,17,1,5,17,1,3,293,0
Iguala de la Independencia,15,15,14,9,7,11,1,3,2632,0
Igualapa,7,7,7,1,1,7,0,0,230,0
Ixcateopan de Cuauhtemoc,C,C,0,0,0,0,0,0,0,C
Jose Azueta,18,18,17,18,14,10,1,7,5756,0
Juan R. Escudero,11,11,10,8,3,9,1,1,442,0
Leonardo Bravo,16,3,3,0,0,3,0,0,147,13
Malinaltepec,9,4,4,3,0,4,0,0,72,5
Martir de Cuilapan,11,7,7,2,0,7,0,0,38,4
Metlatonoc,9,3,3,0,0,3,0,0,100,6
Mochitlan,26,4,2,3,3,2,0,2,17,22
Olinala ,7,0,0,0,0,0,0,0,0,7
