INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,
Ejidos y comunidades agropecuarias y forestales con construcciones de su propiedad,,,,,,,,,,,,cuadro 25
segun tipo y cantidad por entidad federativa y municipio,,,,,,,,,,,,
,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_bordos_para_riego_o_abrevadero,cantidad_de_bordos_para_riego_o_abrevadero,ejidos_y_comunidades_con_pozo_para_riego,cantidad_de_pozos_para_riego,ejidos_y_comunidades_con_baños_garrapaticidas,cantidad_de_baños_garrapaticidas,ejidos_y_comunidades_con_salas_de_ordeña,cantidad_de_salas_de_ordeña,ejidos_y_comunidades_con_aserradero,cantidad_de_aserraderos,ejidos_y_comunidades_con_otras_construcciones,cantidad_de_otras_construcciones
Zacapoaxtla,1,1,0,0,0,0,0,0,0,0,1,1
Zacatlan,0,0,0,0,0,0,0,0,0,0,1,1
Zapotitlan,1,200,1,1,0,0,0,0,0,0,0,0
Zautla,0,0,0,0,0,0,0,0,0,0,2,2
Zihuateutla,0,0,0,0,0,0,0,0,0,0,4,4
Zinacatepec,0,0,1,1,0,0,0,0,0,0,0,0
Queretaro,261,1006,118,404,37,38,1,1,2,2,95,132
Amealco de Bonfil,20,247,8,27,1,1,0,0,0,0,3,3
Pinal de Amoles,10,14,1,2,1,1,0,0,1,1,1,1
Arroyo Seco,10,10,0,0,4,4,0,0,0,0,4,4
Cadereyta de Montes,24,110,1,1,1,1,0,0,0,0,3,4
Colon,32,87,15,44,8,8,0,0,0,0,14,16
Corregidora,12,25,5,11,0,0,0,0,0,0,5,6
Ezequiel Montes,7,37,2,9,2,2,0,0,0,0,6,8
Huimilpan,11,36,6,7,0,0,0,0,0,0,5,13
Jalpan de Serra,5,54,0,0,1,1,0,0,0,0,2,2
Landa de Matamoros,2,2,0,0,0,0,0,0,1,1,1,2
El Marques,28,64,24,78,2,3,0,0,0,0,1,6
Pedro Escobedo,9,28,16,59,4,4,1,1,0,0,1,1
Peñamiller,3,10,3,13,1,1,0,0,0,0,4,7
Queretaro,27,64,7,19,1,1,0,0,0,0,8,10
San Joaquin,1,1,0,0,1,1,0,0,0,0,1,1
San Juan del Rio,40,147,20,91,4,4,0,0,0,0,28,37
Tequisquiapan,12,40,9,42,5,5,0,0,0,0,8,11
Toliman,8,30,1,1,1,1,0,0,0,0,0,0
Quintana Roo,10,114,36,338,4,5,5,33,10,12,67,68
Felipe Carrillo Puerto,1,40,8,70,0,0,0,0,4,5,33,34
Othon P. Blanco,4,28,13,220,4,5,5,33,5,6,4,4
Jose Maria Morelos,5,46,15,48,0,0,0,0,0,0,0,0
Lazaro Cardenas,0,0,0,0,0,0,0,0,1,1,21,21
Solidaridad,0,0,0,0,0,0,0,0,0,0,9,9
San Luis Potosi,600,3873,197,923,124,183,20,32,2,4,128,158
Ahualulco,11,59,4,18,0,0,0,0,0,0,0,0
Alaquines,7,44,1,2,4,5,0,0,0,0,0,0
Aquismon,1,32,0,0,1,1,0,0,0,0,7,8
Armadillo de los Infante,4,17,3,9,1,1,0,0,0,0,0,0
Cardenas,5,14,1,7,3,3,0,0,0,0,1,1
Catorce,15,81,8,15,1,1,0,0,0,0,2,5
Cedral,26,102,10,18,3,3,0,0,0,0,5,6
Cerritos,12,55,2,2,7,8,0,0,0,0,3,3
Cerro de San Pedro,2,8,0,0,0,0,0,0,0,0,0,0
Ciudad del Maiz,15,40,4,10,14,57,0,0,1,3,3,3
Ciudad Fernandez,4,8,4,7,1,1,0,0,0,0,0,0
Ciudad Valles,18,144,0,0,9,14,3,3,0,0,2,4
Charcas,14,95,2,2,0,0,0,0,0,0,1,1
ebano,23,406,1,1,11,12,4,4,1,1,15,15
Guadalcazar,45,206,7,16,5,6,0,0,0,0,1,1
Matehuala,40,169,12,15,2,2,0,0,0,0,6,6
Mexquitic de Carmona,19,83,12,55,0,0,0,0,0,0,1,3
Moctezuma,18,68,8,58,0,0,0,0,0,0,1,1
Rayon,3,13,0,0,3,3,0,0,0,0,0,0
Rioverde,31,78,18,100,14,14,0,0,0,0,25,29
Salinas,10,71,5,9,1,1,0,0,0,0,0,0
San Antonio,1,4,0,0,0,0,0,0,0,0,2,8
San Ciro de Acosta,2,9,1,4,1,4,0,0,0,0,1,1
San Luis Potosi,19,97,16,46,0,0,0,0,0,0,0,0
San Nicolas Tolentino,3,49,2,2,1,1,0,0,0,0,0,0
Santa Maria del Rio,9,43,0,0,1,1,0,0,0,0,0,0
Santo Domingo,21,112,9,71,2,2,0,0,0,0,4,4
San Vicente Tancuayalab,4,22,0,0,3,3,1,1,0,0,0,0
Soledad de Graciano Sanchez,2,2,3,12,0,0,1,3,0,0,1,1
Tamasopo,10,41,0,0,2,2,0,0,0,0,11,12
Tamazunchale,0,0,0,0,1,1,0,0,0,0,0,0
Tampamolon Corona,1,3,0,0,0,0,0,0,0,0,1,1
Tamuin,67,651,4,4,20,22,9,10,0,0,17,17
Tanlajas,10,407,0,0,0,0,0,0,0,0,1,5
Tanquian de Escobedo,2,5,0,0,1,1,0,0,0,0,1,4
Tierra Nueva,1,2,0,0,0,0,0,0,0,0,0,0
Vanegas,16,107,12,26,2,3,0,0,0,0,7,10
Venado,16,127,5,25,0,0,0,0,0,0,4,4
Villa de Arriaga,11,46,0,0,0,0,0,0,0,0,0,0
Villa de Guadalupe,6,31,3,5,0,0,0,0,0,0,0,0
Villa de la Paz,5,18,0,0,0,0,0,0,0,0,0,0
Villa de Ramos,17,92,9,289,3,3,0,0,0,0,0,0
Villa de Reyes,15,54,15,47,0,0,2,11,0,0,0,0
Villa Hidalgo,20,94,8,20,1,1,0,0,0,0,1,1
Villa Juarez,5,19,5,15,4,5,0,0,0,0,0,0
Xilitla,0,0,0,0,0,0,0,0,0,0,3,3
Zaragoza,6,21,0,0,0,0,0,0,0,0,0,0
Villa de Arista,6,20,3,13,0,0,0,0,0,0,1,1
El Naranjo,2,4,0,0,2,2,0,0,0,0,0,0
Sinaloa,211,1405,136,1456,364,438,11,18,14,18,57,72
Ahome,6,7,4,14,24,26,2,2,0,0,8,9
Angostura,0,0,0,0,2,2,0,0,0,0,19,28
Badiraguato,6,27,2,5,4,5,0,0,0,0,1,1
Concordia,8,129,8,386,11,12,1,1,2,2,2,2
Cosala,1,1,0,0,11,11,0,0,0,0,0,0
Culiacan,23,80,7,27,29,34,2,2,1,1,4,4
Choix,9,19,2,3,46,49,0,0,0,0,1,1
Elota,16,80,6,19,15,16,0,0,1,1,3,3
Escuinapa,9,385,4,511,7,7,0,0,0,0,0,0
El Fuerte,42,152,21,36,64,73,1,1,0,0,2,2
Guasave,3,5,21,66,7,23,2,6,2,3,0,0
Mazatlan,6,92,7,162,9,9,1,3,0,0,0,0
Mocorito,16,22,9,37,31,33,0,0,0,0,10,10
Rosario,20,219,13,89,23,33,2,3,2,2,0,0
Salvador Alvarado,5,13,5,17,4,4,0,0,0,0,2,3
San Ignacio,1,5,1,3,27,32,0,0,2,4,2,2
Sinaloa,38,167,21,70,46,65,0,0,4,5,2,2
Navolato,2,2,5,11,4,4,0,0,0,0,1,5
Sonora,290,2758,299,1139,176,264,16,31,3,3,114,142
Aconchi,1,9,0,0,1,3,0,0,0,0,0,0
Agua Prieta,6,77,5,29,3,3,1,1,0,0,0,0
alamos,24,76,15,46,22,34,1,1,0,0,14,17
Altar,3,6,5,13,0,0,0,0,0,0,1,1
Arivechi,3,111,1,4,3,3,1,1,0,0,0,0
Arizpe,5,58,2,6,1,1,0,0,0,0,1,1
Atil,1,6,1,1,0,0,0,0,0,0,0,0
Bacadehuachi,1,12,0,0,0,0,0,0,0,0,1,6
Bacanora,3,35,1,2,3,3,0,0,0,0,0,0
Bacerac,3,24,1,1,2,2,0,0,0,0,2,3
Bacoachi,5,31,2,4,1,1,0,0,0,0,1,1
Bacum,2,7,10,46,0,0,0,0,0,0,3,3
Banamichi,3,33,2,5,2,2,1,1,0,0,2,2
Baviacora,2,39,1,11,1,1,0,0,0,0,0,0
Bavispe,2,23,2,4,2,2,0,0,0,0,2,2
Benjamin Hill,3,5,3,7,1,1,0,0,0,0,1,1
Caborca,7,39,30,84,3,4,1,1,0,0,1,4
Cajeme,4,17,28,87,11,13,1,1,0,0,9,11
Cananea,7,394,4,28,3,4,1,1,0,0,1,1
Carbo,2,6,1,1,1,1,0,0,0,0,0,0
La Colorada,0,0,4,51,5,5,0,0,0,0,1,1
Cucurpe,2,19,3,19,2,29,0,0,0,0,0,0
Cumpas,5,37,5,53,3,5,0,0,0,0,0,0
Divisaderos,1,30,0,0,1,2,0,0,0,0,0,0
Empalme,2,8,4,5,2,2,0,0,0,0,1,1
Etchojoa,0,0,4,14,0,0,0,0,0,0,16,16
Fronteras,12,112,10,43,6,10,0,0,0,0,0,0
Granados,1,70,0,0,1,1,0,0,0,0,0,0
Guaymas,15,54,15,35,10,13,0,0,0,0,4,4
Hermosillo,17,133,19,39,4,4,3,3,0,0,5,7
Huachinera,2,27,1,7,1,1,0,0,0,0,1,2
Huasabas,1,40,0,0,1,1,0,0,0,0,0,0
Huatabampo,9,15,3,3,9,9,0,0,0,0,3,3
Huepac,3,16,0,0,2,4,1,1,0,0,0,0
Imuris,4,32,1,10,0,0,0,0,0,0,0,0
Magdalena,3,19,3,13,1,1,0,0,0,0,1,1
Mazatan,3,5,2,2,1,1,2,2,0,0,0,0
Moctezuma,3,195,2,6,3,16,0,0,0,0,0,0
Naco,2,60,2,23,1,1,0,0,0,0,1,1
Nacori Chico,2,65,0,0,1,1,0,0,1,1,1,1
Nacozari de Garcia,0,0,0,0,3,12,0,0,0,0,0,0
Navojoa,9,26,15,48,7,7,0,0,0,0,4,4
Nogales,6,36,2,3,5,8,0,0,0,0,1,2
Onavas,1,6,2,5,0,0,0,0,0,0,0,0
Opodepe,6,42,6,22,0,0,0,0,0,0,0,0
Pitiquito,7,12,8,17,2,2,0,0,0,0,3,5
Puerto Peñasco,5,8,7,12,0,0,0,0,0,0,2,4
Quiriego,5,17,2,43,5,6,0,0,0,0,2,2
Rayon,5,34,1,1,2,2,0,0,0,0,1,1
Rosario,4,22,1,14,8,8,0,0,0,0,2,3
Sahuaripa,12,207,0,0,9,9,0,0,0,0,3,3
San Felipe de Jesus,0,0,1,2,1,1,0,0,0,0,0,0
San Luis Rio Colorado,2,9,14,53,0,0,0,0,0,0,3,7
San Miguel de Horcasitas,3,20,3,6,0,0,0,0,0,0,1,1
San Pedro de la Cueva,3,25,1,3,0,0,0,0,0,0,0,0
Santa Ana,3,9,3,36,0,0,0,0,0,0,0,0
Santa Cruz,1,15,2,35,1,5,0,0,0,0,0,0
Saric,0,0,1,4,1,1,1,1,1,1,0,0
Soyopa,1,15,1,2,1,1,0,0,0,0,1,1
Suaqui Grande,1,42,1,1,1,1,1,7,0,0,1,1
Tepache,2,9,1,1,0,0,0,0,0,0,0,0
Tubutama,3,22,3,18,1,1,1,10,0,0,1,1
Ures,12,115,10,53,6,6,0,0,0,0,3,3
Villa Hidalgo,4,46,0,0,2,3,0,0,0,0,4,4
Villa Pesqueira,2,3,0,0,3,3,0,0,0,0,0,0
Yecora,2,23,0,0,4,4,0,0,1,1,2,2
General Plutarco Elias Calles,13,34,17,39,0,0,0,0,0,0,1,1
Benito Juarez,0,0,2,7,0,0,0,0,0,0,1,1
San Ignacio Rio Muerto,4,16,3,12,0,0,0,0,0,0,5,6
Tabasco,49,1342,14,39,8,8,2,2,0,0,17,17
Balancan,5,356,7,15,1,1,0,0,0,0,0,0
Cardenas,2,12,1,15,0,0,0,0,0,0,0,0
Centla,6,356,0,0,0,0,0,0,0,0,0,0
Centro,10,134,0,0,2,2,1,1,0,0,4,4
Cunduacan,0,0,0,0,0,0,0,0,0,0,1,1
Emiliano Zapata,5,279,1,1,0,0,0,0,0,0,0,0
Huimanguillo,0,0,1,1,0,0,0,0,0,0,1,1
Jalapa,13,142,0,0,1,1,0,0,0,0,4,4
Jalpa de Mendez,2,31,0,0,0,0,0,0,0,0,0,0
Jonuta,0,0,1,1,0,0,0,0,0,0,1,1
Macuspana,0,0,0,0,0,0,0,0,0,0,1,1
Nacajuca,0,0,0,0,0,0,0,0,0,0,2,2
Tacotalpa,0,0,0,0,0,0,1,1,0,0,0,0
Teapa,3,25,2,2,0,0,0,0,0,0,0,0
Tenosique,3,7,1,4,4,4,0,0,0,0,3,3
Tamaulipas,284,1231,77,289,112,214,1,2,3,3,72,149
Abasolo,3,135,0,0,1,1,0,0,0,0,1,1
Aldama,17,24,0,0,2,2,0,0,0,0,2,2
Altamira,5,70,1,10,1,1,1,2,0,0,20,25
Burgos,12,50,1,1,3,3,0,0,0,0,0,0
Bustamante,17,24,0,0,5,6,0,0,0,0,0,0
Camargo,5,21,4,18,4,4,0,0,0,0,0,0
Cruillas,1,3,0,0,3,5,0,0,0,0,1,1
Gomez Farias,2,11,0,0,0,0,0,0,0,0,1,3
Gonzalez,15,86,2,7,8,10,0,0,0,0,1,1
Güemez,8,22,16,52,6,7,0,0,2,2,13,21
Guerrero,1,40,0,0,1,25,0,0,0,0,1,60
Gustavo Diaz Ordaz,3,10,1,2,1,1,0,0,0,0,0,0
Hidalgo,8,190,5,28,1,1,0,0,1,1,0,0
Jaumave,24,46,0,0,7,8,0,0,0,0,0,0
Jimenez,5,45,1,1,4,4,0,0,0,0,2,2
Llera,4,10,4,5,15,16,0,0,0,0,1,1
Mainero,1,1,0,0,0,0,0,0,0,0,0,0
El Mante,13,88,0,0,8,57,0,0,0,0,3,3
Matamoros,19,84,1,1,1,1,0,0,0,0,6,6
Mendez,2,41,0,0,3,3,0,0,0,0,0,0
Nuevo Laredo,2,2,0,0,1,1,0,0,0,0,0,0
Nuevo Morelos,0,0,0,0,1,1,0,0,0,0,0,0
Ocampo,18,32,0,0,2,3,0,0,0,0,0,0
Padilla,1,1,17,114,4,4,0,0,0,0,5,8
Palmillas,4,15,0,0,1,20,0,0,0,0,1,1
Reynosa,0,0,2,12,0,0,0,0,0,0,5,5
Rio Bravo,1,1,4,11,0,0,0,0,0,0,0,0
San Carlos,23,47,1,1,8,8,0,0,0,0,2,2
San Fernando,0,0,0,0,3,3,0,0,0,0,2,2
San Nicolas,3,8,0,0,1,1,0,0,0,0,0,0
Soto la Marina,2,3,0,0,1,1,0,0,0,0,0,0
Tampico,0,0,0,0,0,0,0,0,0,0,1,1
Tula,49,96,14,20,2,2,0,0,0,0,0,0
Valle Hermoso,3,5,1,2,0,0,0,0,0,0,0,0
Victoria,5,7,2,4,8,9,0,0,0,0,2,2
Villagran,5,10,0,0,4,4,0,0,0,0,0,0
Xicotencatl,3,3,0,0,2,2,0,0,0,0,2,2
Tlaxcala,65,195,69,204,2,2,2,21,1,1,4,4
Atlangatepec,2,5,0,0,0,0,0,0,0,0,1,1
Altzayanca,1,1,2,15,0,0,1,1,0,0,0,0
Apizaco,2,2,1,1,0,0,0,0,0,0,0,0
Calpulalpan,3,6,1,2,0,0,0,0,0,0,1,1
El Carmen Tequexquitla,0,0,3,12,0,0,0,0,0,0,0,0
Cuapiaxtla,0,0,5,13,0,0,0,0,0,0,0,0
Cuaxomulco,0,0,1,1,0,0,0,0,0,0,0,0
Chiautempan,0,0,1,1,0,0,0,0,0,0,0,0
Muñoz de Domingo Arenas,1,5,1,2,0,0,0,0,0,0,0,0
Españita,6,21,0,0,0,0,0,0,0,0,0,0
Huamantla,2,3,6,49,0,0,0,0,0,0,1,1
Hueyotlipan,9,33,1,4,1,1,0,0,0,0,0,0
Ixtacuixtla de Mariano Matamoros,1,2,2,2,0,0,0,0,0,0,0,0
Ixtenco,0,0,1,2,0,0,0,0,0,0,0,0
Tepetitla de Lardizabal,0,0,1,1,0,0,0,0,0,0,0,0
Sanctorum de Lazaro Cardenas,2,2,1,9,0,0,0,0,0,0,0,0
Nanacamilpa de Mariano Arista,3,3,0,0,0,0,0,0,0,0,0,0
Nativitas,1,1,14,17,0,0,0,0,0,0,0,0
Panotla,1,1,4,4,0,0,0,0,0,0,0,0
Santa Cruz Tlaxcala,0,0,2,4,0,0,0,0,0,0,0,0
Terrenate,1,1,3,13,1,1,0,0,0,0,0,0
Tetla de la Solidaridad,4,28,2,2,0,0,0,0,0,0,0,0
Tetlatlahuca,2,2,0,0,0,0,0,0,0,0,0,0
Tlaxcala,0,0,2,2,0,0,0,0,0,0,0,0
Tlaxco,17,37,3,4,0,0,0,0,1,1,0,0
Tocatlan,0,0,1,1,0,0,0,0,0,0,0,0
Totolac,0,0,1,2,0,0,0,0,0,0,0,0
Zitlaltepec de Trinidad Sanchez Santos,0,0,2,3,0,0,0,0,0,0,0,0
Tzompantepec,1,1,0,0,0,0,0,0,0,0,0,0
Xaloztoc,0,0,1,14,0,0,0,0,0,0,0,0
Xicohtzinco,1,30,0,0,0,0,0,0,0,0,0,0
Yauhquemecan,1,3,1,1,0,0,0,0,0,0,1,1
Benito Juarez,1,4,1,14,0,0,0,0,0,0,0,0
Emiliano Zapata,1,2,0,0,0,0,0,0,0,0,0,0
Lazaro Cardenas,1,1,2,2,0,0,0,0,0,0,0,0
La Magdalena Tlaltelulco,0,0,1,3,0,0,0,0,0,0,0,0
San Damian Texoloc,0,0,0,0,0,0,1,20,0,0,0,0
San Jose Teacalco,1,1,0,0,0,0,0,0,0,0,0,0
San Lucas Tecopilco,0,0,1,1,0,0,0,0,0,0,0,0
Santa Apolonia Teacalco,0,0,1,3,0,0,0,0,0,0,0,0
Veracruz de Ignacio de la Llave,145,1408,96,302,40,41,7,11,8,9,354,414
Acayucan,10,276,0,0,1,1,2,2,0,0,1,1
Actopan,3,102,5,13,1,1,0,0,0,0,0,0
Acultzingo,1,1,0,0,0,0,0,0,0,0,0,0
Camaron de Tejeda,0,0,4,8,0,0,0,0,0,0,0,0
Alto Lucero de Gutierrez Barrios,0,0,0,0,0,0,0,0,0,0,5,5
Altotonga,0,0,0,0,0,0,0,0,0,0,8,8
Naranjos Amatlan,0,0,0,0,0,0,0,0,0,0,2,2
Amatlan de los Reyes,0,0,0,0,0,0,0,0,0,0,4,4
La Antigua,1,1,2,4,0,0,0,0,0,0,4,4
Apazapan,0,0,0,0,0,0,0,0,0,0,1,1
Atoyac,1,4,0,0,0,0,0,0,0,0,1,4
Atzalan,0,0,0,0,0,0,0,0,0,0,4,5
Tlaltetela,0,0,0,0,0,0,0,0,0,0,4,4
Boca del Rio,0,0,0,0,0,0,0,0,0,0,3,3
Calcahualco,0,0,0,0,0,0,0,0,0,0,2,2
Camerino Z. Mendoza,0,0,0,0,0,0,0,0,0,0,1,1
Catemaco,2,2,3,55,0,0,0,0,0,0,0,0
Cerro Azul,0,0,0,0,1,2,0,0,0,0,0,0
Coatepec,1,1,0,0,0,0,0,0,0,0,0,0
Coatzacoalcos,0,0,0,0,1,1,0,0,0,0,0,0
Coatzintla,1,30,0,0,0,0,0,0,0,0,3,3
Coetzala,0,0,0,0,0,0,0,0,0,0,1,1
Colipa,0,0,0,0,0,0,0,0,0,0,2,2
Comapa,11,28,0,0,0,0,0,0,0,0,11,12
Cosamaloapan de Carpio,1,1,7,13,0,0,0,0,0,0,5,5
Cosoleacaque,1,3,0,0,0,0,0,0,0,0,3,3
Cotaxtla,1,1,1,1,0,0,0,0,0,0,0,0
Coyutla,0,0,0,0,0,0,0,0,0,0,4,4
Cuichapa,0,0,0,0,0,0,0,0,0,0,4,5
Cuitlahuac,2,2,1,5,0,0,0,0,0,0,0,0
Chacaltianguis,0,0,1,3,0,0,0,0,0,0,0,0
Chicontepec,7,8,0,0,2,2,0,0,0,0,0,0
Chinameca,0,0,0,0,0,0,0,0,0,0,2,2
Chinampa de Gorostiza,1,4,0,0,0,0,0,0,0,0,3,3
Las Choapas,0,0,1,1,0,0,1,1,0,0,10,11
Emiliano Zapata,9,23,2,5,0,0,0,0,0,0,11,12
Fortin,0,0,0,0,0,0,0,0,0,0,6,7
Huatusco,0,0,0,0,0,0,0,0,0,0,2,2
Huayacocotla,8,18,0,0,0,0,0,0,2,2,2,9
Hueyapan de Ocampo,0,0,0,0,0,0,0,0,0,0,13,13
Ignacio de la Llave,0,0,1,1,10,10,0,0,0,0,0,0
Isla,0,0,0,0,0,0,0,0,0,0,21,22
Ixhuatlan del Cafe,0,0,0,0,0,0,0,0,0,0,1,1
Ixhuatlancillo,0,0,0,0,0,0,0,0,1,1,0,0
Ixhuatlan de Madero,0,0,0,0,0,0,0,0,0,0,1,2
Ixtaczoquitlan,0,0,1,1,0,0,0,0,0,0,2,3
Jalacingo,0,0,1,1,0,0,0,0,1,1,2,2
Xalapa,0,0,0,0,0,0,0,0,0,0,1,1
Jalcomulco,0,0,0,0,0,0,0,0,0,0,1,1
Jaltipan,0,0,0,0,0,0,0,0,0,0,1,1
Jamapa,0,0,1,1,0,0,0,0,0,0,1,1
Jesus Carranza,5,85,0,0,0,0,0,0,0,0,0,0
Jilotepec,0,0,1,1,0,0,0,0,0,0,2,2
Juchique de Ferrer,0,0,0,0,0,0,0,0,0,0,7,7
Maltrata,0,0,0,0,0,0,0,0,1,1,0,0
Manlio Fabio Altamirano,2,11,9,39,1,1,0,0,0,0,9,9
Mariano Escobedo,0,0,0,0,0,0,0,0,0,0,1,1
Martinez de la Torre,0,0,0,0,0,0,0,0,0,0,4,4
Mecayapan,0,0,1,3,0,0,0,0,0,0,2,2
Medellin,2,3,3,9,1,1,0,0,0,0,23,23
Minatitlan,2,21,0,0,0,0,0,0,0,0,0,0
Misantla,0,0,0,0,0,0,0,0,0,0,10,11
Naolinco,0,0,0,0,0,0,0,0,0,0,1,1
Nautla,0,0,0,0,0,0,0,0,0,0,4,4
Nogales,0,0,0,0,0,0,0,0,0,0,4,4
Omealca,0,0,1,1,0,0,0,0,0,0,1,1
Ozuluama de Mascareñas,6,13,0,0,0,0,0,0,0,0,16,17
Panuco,21,28,0,0,4,4,0,0,0,0,15,15
Papantla,3,17,0,0,0,0,0,0,0,0,0,0
Paso del Macho,2,3,0,0,1,1,0,0,0,0,1,1
Paso de Ovejas,0,0,6,13,0,0,0,0,0,0,4,4
Perote,0,0,5,12,0,0,0,0,1,1,1,1
Las Vigas de Ramirez,0,0,0,0,0,0,0,0,1,2,0,0
Puente Nacional,1,1,5,9,1,1,1,1,0,0,0,0
San Andres Tuxtla,0,0,0,0,1,1,0,0,0,0,3,18
San Juan Evangelista,0,0,0,0,0,0,0,0,0,0,1,1
Santiago Tuxtla,0,0,0,0,1,1,0,0,0,0,0,0
Sayula de Aleman,1,1,0,0,1,1,0,0,0,0,0,0
Soconusco,0,0,0,0,0,0,0,0,0,0,1,1
Soledad de Doblado,3,3,6,15,3,3,0,0,0,0,1,2
Soteapan,5,87,0,0,0,0,0,0,0,0,1,1
Tamiahua,3,49,0,0,0,0,0,0,0,0,2,4
Tampico Alto,0,0,0,0,0,0,0,0,0,0,1,1
Tancoco,0,0,0,0,1,1,0,0,0,0,3,3
Tantima,0,0,0,0,0,0,1,1,0,0,5,5
Tantoyuca,4,259,0,0,0,0,0,0,0,0,1,15
Castillo de Teayo,2,3,0,0,0,0,0,0,0,0,0,0
Tecolutla,1,20,0,0,0,0,0,0,0,0,0,0
Temapache,1,1,3,3,0,0,0,0,0,0,0,0
Tempoal,2,2,0,0,0,0,0,0,0,0,1,1
Tenampa,0,0,0,0,0,0,0,0,0,0,2,3
Tepetzintla,0,0,1,2,0,0,0,0,0,0,0,0
Tequila,0,0,0,0,0,0,0,0,0,0,1,1
Jose Azueta,1,10,1,10,0,0,0,0,0,0,0,0
Tezonapa,0,0,0,0,0,0,0,0,0,0,1,1
Tierra Blanca,8,47,8,29,1,1,0,0,0,0,24,27
Tlachichilco,0,0,0,0,1,1,0,0,0,0,0,0
Tlalixcoyan,1,1,0,0,5,5,1,2,0,0,0,0
Tlapacoyan,1,1,0,0,0,0,0,0,0,0,0,0
Totutla,0,0,0,0,0,0,0,0,0,0,1,1
Tuxpam,1,20,0,0,0,0,0,0,0,0,0,0
ursulo Galvan,1,210,10,33,0,0,0,0,0,0,6,7
Vega de Alatorre,0,0,0,0,0,0,0,0,0,0,12,13
Veracruz,1,1,1,5,1,1,1,4,0,0,9,9
Yanga,0,0,1,1,0,0,0,0,0,0,5,5
Yecuatla,0,0,0,0,1,1,0,0,0,0,2,2
Zacualpan,0,0,0,0,0,0,0,0,1,1,0,0
Zentla,2,4,1,1,0,0,0,0,0,0,3,4
Zongolica,0,0,0,0,0,0,0,0,0,0,1,1
El Higo,2,2,0,0,0,0,0,0,0,0,0,0
Tres Valles,0,0,2,4,0,0,0,0,0,0,1,1
Tatahuicapan de Juarez,0,0,0,0,0,0,0,0,0,0,8,8
Yucatan,18,166,217,3171,40,200,1,1,1,1,44,50
Abala,0,0,3,14,0,0,0,0,0,0,0,0
Acanceh,0,0,1,8,0,0,0,0,0,0,0,0
Akil,0,0,1,60,0,0,0,0,0,0,0,0
Baca,0,0,1,80,1,4,0,0,0,0,0,0
Bokoba,0,0,1,1,0,0,0,0,0,0,0,0
Buctzotz,0,0,2,16,1,6,0,0,0,0,0,0
Calotmul,0,0,3,9,1,60,0,0,0,0,0,0
Cantamayec,0,0,3,4,0,0,0,0,0,0,0,0
Cenotillo,0,0,2,3,1,1,0,0,0,0,0,0
Conkal,0,0,2,23,0,0,0,0,0,0,1,1
Chacsinkin,0,0,1,1,1,1,0,0,0,0,0,0
Chankom,0,0,1,3,0,0,0,0,0,0,0,0
Chapab,0,0,1,24,0,0,0,0,0,0,0,0
Chemax,0,0,1,1,0,0,0,0,0,0,0,0
Chicxulub Pueblo,0,0,3,64,0,0,0,0,0,0,0,0
Chichimila,0,0,6,11,0,0,0,0,0,0,0,0
Chikindzonot,0,0,1,10,0,0,0,0,0,0,0,0
Chochola,0,0,1,15,0,0,0,0,0,0,0,0
Dzan,0,0,1,31,0,0,0,0,0,0,0,0
Dzilam de Bravo,0,0,0,0,0,0,0,0,0,0,2,2
Dzitas,1,1,1,2,0,0,0,0,0,0,0,0
Espita,0,0,3,31,1,1,0,0,0,0,1,1
Halacho,0,0,4,310,1,4,0,0,0,0,0,0
Hocaba,0,0,1,10,0,0,0,0,0,0,0,0
Hoctun,0,0,1,20,0,0,0,0,0,0,1,1
Huhi,0,0,1,4,0,0,0,0,0,0,0,0
Hunucma,0,0,7,477,0,0,0,0,0,0,1,1
Ixil,0,0,1,150,0,0,0,0,0,0,0,0
Izamal,0,0,4,10,0,0,0,0,0,0,0,0
Kanasin,0,0,2,14,0,0,0,0,0,0,0,0
Kopoma,0,0,2,32,0,0,0,0,0,0,0,0
Mani,0,0,2,30,0,0,0,0,0,0,1,1
Maxcanu,0,0,8,118,4,7,1,1,0,0,2,2
Mayapan,0,0,1,4,0,0,0,0,0,0,0,0
Merida,1,30,8,142,0,0,0,0,0,0,8,8
Mococha,0,0,2,28,0,0,0,0,0,0,2,2
Motul,0,0,5,32,0,0,0,0,0,0,0,0
Muna,1,30,1,48,1,70,0,0,0,0,0,0
Muxupip,0,0,1,2,0,0,0,0,0,0,0,0
Opichen,0,0,1,3,0,0,0,0,0,0,0,0
Oxkutzcab,0,0,2,61,0,0,0,0,0,0,1,1
Panaba,0,0,2,11,0,0,0,0,0,0,0,0
Peto,0,0,2,5,5,5,0,0,0,0,0,0
Progreso,0,0,1,4,0,0,0,0,0,0,2,3
Quintana Roo,0,0,1,1,0,0,0,0,0,0,0,0
Rio Lagartos,1,3,1,3,0,0,0,0,0,0,0,0
Sacalum,0,0,4,18,0,0,0,0,0,0,0,0
Samahil,0,0,3,26,0,0,0,0,0,0,0,0
Sanahcat,0,0,1,20,0,0,0,0,0,0,0,0
San Felipe,1,80,1,10,0,0,0,0,0,0,0,0
Santa Elena,0,0,1,11,0,0,0,0,0,0,0,0
Seye,0,0,2,6,0,0,0,0,0,0,0,0
