INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,
Ejidos y comunidades agropecuarias y forestales con construcciones de su propiedad,,,,,,,,,,,,cuadro 25
segun tipo y cantidad por entidad federativa y municipio,,,,,,,,,,,,
,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_bordos_para_riego_o_abrevadero,cantidad_de_bordos_para_riego_o_abrevadero,ejidos_y_comunidades_con_pozo_para_riego,cantidad_de_pozos_para_riego,ejidos_y_comunidades_con_baños_garrapaticidas,cantidad_de_baños_garrapaticidas,ejidos_y_comunidades_con_salas_de_ordeña,cantidad_de_salas_de_ordeña,ejidos_y_comunidades_con_aserradero,cantidad_de_aserraderos,ejidos_y_comunidades_con_otras_construcciones,cantidad_de_otras_construcciones
Manuel Benavides,14,150,1,1,0,0,0,0,0,0,1,1
Matachi,4,7,0,0,4,4,0,0,1,1,3,6
Matamoros,2,16,0,0,5,5,0,0,0,0,0,0
Meoqui,1,1,0,0,0,0,0,0,0,0,1,1
Moris,1,1,0,0,0,0,0,0,1,3,0,0
Namiquipa,4,9,3,164,7,17,1,1,0,0,1,1
Nonoava,3,310,0,0,2,16,0,0,0,0,1,1
Nuevo Casas Grandes,1,3,1,200,1,1,0,0,0,0,0,0
Ocampo,0,0,0,0,7,7,0,0,6,7,1,1
Ojinaga,10,28,0,0,0,0,0,0,0,0,0,0
Praxedis G. Guerrero,1,1,5,9,1,1,0,0,0,0,0,0
Riva Palacio,6,18,1,2,9,10,0,0,0,0,2,2
Rosales,6,7,3,20,2,2,0,0,0,0,0,0
Rosario,7,32,0,0,2,2,0,0,0,0,0,0
San Francisco de Borja,9,99,3,3,6,6,0,0,0,0,7,9
San Francisco de Conchos,5,15,2,3,0,0,0,0,0,0,2,2
San Francisco del Oro,4,50,1,3,3,3,0,0,0,0,0,0
Santa Barbara,6,12,0,0,6,6,0,0,0,0,0,0
Satevo,20,145,0,0,7,7,0,0,0,0,4,4
Saucillo,11,11,4,7,3,3,0,0,0,0,0,0
Temosachi,6,126,1,2,8,8,0,0,4,4,0,0
El Tule,3,10,0,0,1,1,0,0,0,0,0,0
Urique,1,1,0,0,1,1,0,0,2,2,0,0
Uruachi,0,0,0,0,0,0,0,0,2,3,0,0
Valle de Zaragoza,12,57,2,2,8,8,0,0,0,0,5,5
Distrito Federal,2,3,2,5,2,2,0,0,0,0,11,27
La Magdalena Contreras,0,0,0,0,0,0,0,0,0,0,2,6
Milpa Alta,1,2,0,0,1,1,0,0,0,0,5,17
Tlahuac,1,1,1,1,1,1,0,0,0,0,1,1
Tlalpan,0,0,1,4,0,0,0,0,0,0,2,2
Xochimilco,0,0,0,0,0,0,0,0,0,0,1,1
Durango,670,4349,220,752,410,497,8,9,54,66,175,240
Canatlan,34,199,15,94,27,31,1,1,1,1,2,2
Coneto de Comonfort,8,75,0,0,8,8,0,0,0,0,6,9
Cuencame,17,119,10,20,2,2,0,0,0,0,11,12
Durango,92,504,16,64,77,85,2,2,2,2,31,38
General Simon Bolivar,17,83,15,54,10,10,0,0,0,0,1,1
Gomez Palacio,10,12,11,25,5,5,1,1,0,0,1,1
Guadalupe Victoria,9,36,4,11,5,13,0,0,0,0,8,12
Guanacevi,13,85,0,0,8,9,0,0,10,12,8,8
Hidalgo,16,151,0,0,10,13,0,0,0,0,0,0
Inde,12,26,1,1,6,6,0,0,0,0,0,0
Lerdo,14,48,12,76,3,4,1,2,0,0,5,6
