INEGI. IX Censo Ejidal 2007,,,,,,
Ejidos y comunidades con tractores de su propiedad segun cantidad,,,,,,cuadro 27
y años de uso por entidad federativa y municipio,,,,,,
,,,,,,
,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_tractores,total_de_tractores,ejidos_y_comunidades_con_tractores_de_su_propiedad_con_tractores_hasta_5_años_de_uso,ejidos_y_comunidades_con_tractores_de_su_propiedad_con_tractores_mas_de_5 hasta_10_años_de_uso,ejidos_y_comunidades_con_tractores_de_su_propiedad_con_tractores_mas_de_10_hasta_15 años_de_uso,ejidos_y_comunidades_con_tractores_de_su_propiedad_con_tractores_con_mas_de_15_años_de_uso
Mascota,2,4,0,0,0,2
Mezquitic,2,4,0,0,1,1
Mixtlan,1,3,1,1,0,1
Ojuelos de Jalisco,1,1,1,0,0,0
Poncitlan,2,3,1,0,0,1
Puerto Vallarta,1,1,0,0,0,1
El Salto,1,2,0,0,0,1
Sayula,1,3,0,1,0,1
Tamazula de Gordiano,1,1,1,0,0,0
Teuchitlan,1,1,0,0,0,1
Tlajomulco de Zuñiga,3,6,0,1,0,2
Tlaquepaque,1,2,0,0,0,1
Tonila,3,6,1,1,0,1
Union de San Antonio,2,3,0,0,2,0
Zapopan,2,2,1,0,0,1
Zapotiltic,3,5,1,0,1,2
Mexico,101,203,41,25,21,47
Acolman,7,12,4,2,1,3
Almoloya de Juarez,1,2,0,0,1,1
Amecameca,1,1,1,0,0,0
Apaxco,1,5,0,0,0,1
Atenco,2,4,2,0,0,0
Atlacomulco,5,12,2,1,1,2
Axapusco,1,2,0,1,0,1
Capulhuac,1,1,1,0,0,0
Coyotepec,1,1,0,1,0,0
Chalco,7,10,3,0,4,1
Chiautla,4,5,4,0,0,1
Chicoloapan,1,5,1,0,0,1
Chimalhuacan,1,2,0,0,1,0
Ecatzingo,2,2,2,0,0,0
Huehuetoca,1,1,1,0,0,0
Hueypoxtla,1,2,1,0,0,0
Huixquilucan,1,1,0,1,0,0
Ixtapaluca,3,7,2,2,1,1
Ixtapan del Oro,1,1,0,1,0,0
Jaltenco,1,1,0,0,0,1
Jilotepec,1,2,0,0,0,1
Jilotzingo,1,1,0,0,0,1
Jiquipilco,8,36,5,5,1,5
Lerma,4,5,1,0,0,4
Morelos,1,1,0,0,0,1
Naucalpan de Juarez,2,6,0,0,0,2
Nextlalpan,1,1,0,0,0,1
Ocoyoacac,1,2,0,0,0,1
Ozumba,1,2,0,1,1,0
Papalotla,1,2,0,0,1,1
Polotitlan,2,4,1,0,0,2
Soyaniquilpan de Juarez,2,9,0,0,2,2
Tecamac,4,7,2,3,0,1
Temamatla,1,1,0,0,1,0
Temascaltepec,3,3,1,1,1,0
Tenancingo,1,1,0,0,0,1
Teotihuacan,2,3,1,1,1,0
Tepetlaoxtoc,4,6,2,0,1,2
Tepotzotlan,2,2,0,1,1,0
Texcoco,8,15,2,1,0,7
Timilpan,1,5,0,0,1,0
Tlalmanalco,2,4,1,0,0,1
Tlalnepantla de Baz,1,1,0,0,0,1
Toluca,1,2,0,1,0,0
Villa del Carbon,1,1,1,0,0,0
Zinacantepec,1,1,0,1,0,0
Valle de Chalco Solidaridad,1,3,0,1,1,0
Michoacan de Ocampo,123,219,31,35,28,61
Acuitzio,1,2,0,0,1,1
alvaro Obregon,4,6,1,1,2,1
Apatzingan,1,1,1,0,0,0
Ario,3,5,0,1,1,2
Arteaga,1,4,1,0,0,1
Buenavista,3,9,0,1,1,1
Coahuayana,1,3,0,0,0,1
Coeneo,6,13,0,2,2,5
Contepec,3,10,0,1,3,0
Cotija,1,2,1,1,0,0
Cuitzeo,1,1,0,0,0,1
Charapan,1,3,0,1,0,0
Charo,1,2,1,1,0,0
Chinicuila,1,1,0,0,0,1
Chucandiro,1,1,0,0,0,1
Churumuco,1,1,0,0,0,1
Ecuandureo,1,1,0,1,0,0
Erongaricuaro,5,11,1,4,3,2
Hidalgo,6,11,1,1,0,5
La Huacana,4,5,0,0,0,4
Huaniqueo,1,1,0,0,0,1
Indaparapeo,2,3,1,1,1,0
Irimbo,2,3,0,0,2,0
Ixtlan,2,3,0,1,1,1
Madero,1,1,1,0,0,0
Maravatio,1,1,0,0,0,1
Lazaro Cardenas,2,3,2,1,0,0
Morelia,3,6,1,1,0,2
Morelos,2,2,0,0,0,2
Mugica,1,3,0,0,0,1
Nahuatzen,1,1,0,0,0,1
Nuevo Parangaricutiro,2,4,0,0,1,2
Panindicuaro,1,1,0,0,0,1
Paracho,1,1,0,0,0,1
Patzcuaro,4,5,1,0,2,1
Penjamillo,2,5,0,0,0,2
Querendaro,1,1,1,0,0,0
Quiroga,2,3,1,1,1,0
Los Reyes,2,6,1,1,0,1
San Lucas,1,1,0,1,0,0
Salvador Escalante,8,13,2,3,1,4
Susupuato,1,1,0,1,0,0
Tacambaro,2,6,2,2,0,0
Tangancicuaro,1,2,0,0,1,0
Taretan,1,1,1,0,0,0
Tarimbaro,3,8,1,2,0,1
Tingambato,3,4,1,2,0,0
Tlazazalca,1,1,1,0,0,0
Tuxpan,1,2,0,0,0,1
Uruapan,4,6,3,0,1,0
Venustiano Carranza,1,2,0,0,0,1
Villamar,1,1,0,0,0,1
Zacapu,5,9,2,1,0,4
Zamora,2,6,1,1,1,1
Zinaparo,1,1,0,0,0,1
Zinapecuaro,5,7,1,0,2,2
Ziracuaretiro,1,1,0,0,0,1
Zitacuaro,2,2,0,1,1,0
Morelos,27,36,6,4,3,14
Amacuzac,1,1,0,0,0,1
Ayala,2,2,1,0,1,0
Cuernavaca,4,5,0,1,1,2
Emiliano Zapata,1,1,1,0,0,0
Jantetelco,1,1,0,0,0,1
Jojutla,1,1,0,0,0,1
Jonacatepec,1,2,0,0,0,1
Puente de Ixtla,3,7,0,2,0,1
Temixco,2,2,0,0,0,2
Tepalcingo,1,1,0,1,0,0
Tepoztlan,1,2,1,0,0,0
Tlalnepantla,1,1,1,0,0,0
Tlaltizapan,3,4,0,0,0,3
Tlaquiltenango,3,3,2,0,0,1
Yecapixtla,1,1,0,0,0,1
Temoac,1,2,0,0,1,0
Nayarit,28,44,6,8,6,10
Ahuacatlan,1,1,0,0,0,1
Amatlan de Cañas,1,1,0,0,0,1
Compostela,2,5,0,1,1,0
Huajicori,5,7,2,1,1,1
Jala,2,2,0,0,2,0
Del Nayar,3,7,1,1,0,2
Rosamorada,4,5,0,2,0,2
Ruiz,1,2,0,0,0,1
San Blas,1,1,0,0,0,1
Santiago Ixcuintla,3,5,2,2,0,0
Tepic,5,8,1,1,2,1
Nuevo Leon,58,82,13,16,15,19
Dr. Arroyo,17,20,1,3,9,4
Galeana,17,29,7,4,2,6
Hualahuises,1,5,0,0,0,1
Linares,7,11,2,1,1,5
Mina,12,12,2,7,2,1
Montemorelos,1,1,0,0,0,1
Sabinas Hidalgo,1,2,0,0,1,1
Salinas Victoria,1,1,1,0,0,0
Villaldama,1,1,0,1,0,0
Oaxaca,185,290,85,80,42,30
Acatlan de Perez Figueroa,3,4,0,0,2,2
Asuncion Cuyotepeji,1,1,0,1,0,0
Asuncion Ixtaltepec,3,4,2,2,0,0
Asuncion Nochixtlan,5,7,3,3,0,0
El Barrio de la Soledad,1,5,0,1,0,0
Ciudad Ixtepec,1,2,1,1,0,0
Concepcion Buenavista,1,1,0,1,0,0
Constancia del Rosario,2,2,0,2,0,0
Cosoltepec,1,1,1,0,0,0
Heroica Ciudad de Ejutla de Crespo,2,6,1,0,1,0
Heroica Ciudad de Huajuapan de Leon,2,2,0,0,2,0
Ixtlan de Juarez,2,3,1,2,0,0
Heroica Ciudad de Juchitan de Zaragoza,2,2,1,1,0,0
Loma Bonita,1,1,0,1,0,0
Magdalena Apasco,1,1,0,0,1,0
Magdalena Jaltepec,1,2,1,0,1,0
Santa Magdalena Jicotlan,1,2,0,1,1,0
Magdalena Peñasco,1,4,1,1,1,0
Magdalena Tlacotepec,1,2,1,1,0,0
Matias Romero Avendaño,1,1,0,0,0,1
Miahuatlan de Porfirio Diaz,1,1,0,1,0,0
Nazareno Etla,1,1,0,0,0,1
Ixpantepec Nieves,1,1,0,1,0,0
Ocotlan de Morelos,1,1,0,0,0,1
Putla Villa de Guerrero,4,5,2,2,1,0
Reforma de Pineda,1,1,1,0,0,0
La Reforma,1,1,1,0,0,0
Salina Cruz,2,6,1,2,0,1
San Agustin Amatengo,1,2,1,0,0,0
San Agustin Chayuco,1,1,1,0,0,0
San Agustin de las Juntas,1,2,1,0,1,0
San Andres Cabecera Nueva,1,2,0,1,0,1
San Andres Huaxpaltepec,1,1,0,1,0,0
San Andres Huayapam,1,1,0,1,0,0
San Andres Lagunas,1,4,1,1,0,0
San Andres Nuxiño,1,2,1,1,0,0
San Andres Sinaxtla,1,2,1,0,0,0
San Andres Zautla,1,1,0,1,0,0
San Antonio Huitepec,1,1,1,0,0,0
San Baltazar Chichicapam,2,4,2,2,0,0
San Bartolo Coyotepec,1,1,0,1,0,0
San Bartolome Yucuañe,1,2,1,1,0,0
San Bartolo Soyaltepec,1,1,0,0,0,1
San Bernardo Mixtepec,1,1,0,0,1,0
San Cristobal Amoltepec,1,1,1,0,0,0
San Dionisio del Mar,1,2,1,1,0,0
San Francisco Ixhuatan,1,2,0,1,0,0
San Francisco Jaltepetongo,1,2,1,0,1,0
San Ildefonso Sola,1,1,1,0,0,0
San Jeronimo Sosola,4,5,3,1,0,1
San Jose Estancia Grande,1,1,0,0,0,1
San Juan Atepec,1,1,1,0,0,0
Animas Trujano,1,1,0,0,0,1
San Juan Bautista Atatlahuca,1,1,0,1,0,0
San Juan Bautista Jayacatlan,1,3,0,1,0,0
San Juan Bautista Tuxtepec,3,4,0,1,2,1
San Juan Cacahuatepec,1,1,1,0,0,0
San Juan Chicomezuchil,1,1,0,0,1,0
San Juan Chilateca,1,1,0,0,1,0
San Juan del Estado,1,1,1,0,0,0
San Juan Guichicovi,1,1,0,0,0,1
San Juan Mixtepec -Dto. 26-,1,1,1,0,0,0
San Juan Quiahije,1,1,1,0,0,0
San Juan Sayultepec,1,1,0,0,1,0
San Juan Tamazola,1,6,1,0,1,0
San Juan Teita,1,1,1,0,0,0
San Juan Yucuita,1,2,0,1,1,0
San Lorenzo Victoria,1,3,1,0,1,1
San Marcos Arteaga,1,1,1,0,0,0
Capulalpam de Mendez,1,1,1,0,0,0
San Mateo Sindihui,1,1,1,0,0,0
San Mateo Tlapiltepec,1,1,1,0,0,0
San Miguel Achiutla,1,1,1,0,0,0
San Miguel Peras,1,1,0,0,1,0
San Miguel Piedras,1,1,0,1,0,0
Villa Sola de Vega,2,2,1,0,0,1
San Miguel Soyaltepec,2,3,0,1,0,1
San Miguel Tecomatlan,1,1,1,0,0,0
San Miguel Tequixtepec,1,2,1,0,0,0
San Pablo Coatlan,1,1,1,0,0,0
San Pablo Villa de Mitla,1,1,1,0,0,0
San Pedro Huamelula,2,6,1,2,0,0
San Pedro Juchatengo,1,2,1,0,0,0
San Pedro Tapanatepec,2,2,1,1,0,0
San Pedro Teozacoalco,1,1,1,0,0,0
San Pedro y San Pablo Teposcolula,4,4,0,4,0,0
San Pedro y San Pablo Tequixtepec,1,1,1,0,0,0
Santa Ana,1,1,1,0,0,0
Santa Ana del Valle,1,1,1,0,0,0
Santa Ana Yareni,1,1,1,0,0,0
Santa Catarina Cuixtla,1,1,0,1,0,0
Santa Catarina Ixtepeji,1,1,0,1,0,0
Santa Catarina Lachatao,1,5,0,0,1,1
Santa Catarina Mechoacan,1,1,1,0,0,0
Santa Cruz Itundujia,2,5,0,0,1,1
Santa Cruz Tacache de Mina,2,3,0,0,1,1
Santa Cruz Xitla,1,5,1,1,0,0
Santa Cruz Zenzontepec,1,2,0,1,0,0
Santa Gertrudis,1,1,1,0,0,0
Santa Maria Atzompa,1,1,1,0,0,0
Villa de Chilapa de Diaz,1,1,1,0,0,0
Santa Maria del Tule,1,3,0,1,1,1
Santa Maria Ipalapa,1,1,0,1,0,0
Santa Maria Jacatepec,1,1,1,0,0,0
Santa Maria Mixtequilla,1,1,1,0,0,0
Santa Maria Nativitas,1,1,0,0,1,0
Santa Maria Nduayaco,2,3,0,2,0,1
Santa Maria Petapa,1,2,0,0,1,0
Santa Maria Tataltepec,1,2,1,1,0,0
Santiago Comaltepec,1,1,0,0,1,0
Santiago Chazumba,1,1,0,1,0,0
Santiago del Rio,2,3,1,1,1,0
Santiago Huajolotitlan,1,1,1,0,0,0
Santiago Huauclilla,1,3,0,1,1,1
Santiago Ihuitlan Plumas,1,3,0,0,1,1
Santiago Ixtayutla,1,1,1,0,0,0
Santiago Juxtlahuaca,1,2,0,1,1,0
Santiago Laollaga,1,1,1,0,0,0
Santiago Llano Grande,1,6,1,1,0,0
Santiago Nacaltepec,2,2,0,2,0,0
